CASE_NUMBER,Meeting_Date,Agenda_Item,Body,Description,Source,Item_URL
NPA-2020-0016.01,2020-12-10T00:00:00.000,80,Austin City Council,"NPA-2020-0016.01 - MSC & CTC Tracts - Conduct a public hearing and approve an ordinance amending Ordinance No. 030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 748, 750, 760, 764 Airport Blvd. and 5301 Glissman Road (Boggy Creek Watershed; Colorado River Watershed) from Commercial to Mixed Use land use. Staff Recommendation: To grant the applicant's request for Mixed Use land use. Planning Commission recommendation: To be reviewed on December 8, 2020.  Owners/Applicants: Modern Supply Company of Austin, Texas (M. Jack Hall) and Coastal Transport Co., Inc. (Joe A. Morgan). Agent: Glasco Consulting (Alice Glasco). City Staff: Maureen Meredith, Housing and Planning Department, (512) 974-2695. District(s) Affected: District 3.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201210-REG.htm#080
NPA-2019-0019.01,2019-09-19T00:00:00.000,127,Austin City Council,"NPA-2019-0019.01 - 3805 Red River Street-Conduct a public hearing and approve an ordinance amending Ordinance No. 040826-056, the Central Austin Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 3805 Red River Street (Boggy Creek and Waller Creek Watersheds) from Single Family use to Mixed-Use/Office use. Staff Recommendation and Planning Commission Recommendation: To grant Mixed-Use/Office use. Owner/Applicant: 3805 Red River Preservation LLC. Agent: Richard Kooris. City Staff: Jeff Engstrom, (512) 974-1621. District(s) Affected: District 9.",akgy-tbxy,http://austintexas.gov/department/city-council/2019/20190919-REG.htm#127
NPA-2019-0015.01,2020-12-03T00:00:00.000,74,Austin City Council,"NPA-2019-0015.01-5010 & 5102 Heflin Lane - Conduct a public hearing and approve an ordinance amending Ordinance No.021107-Z-11, the East MLK Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 5010 and 5102 Heflin Lane, (Fort Branch Watershed) from Single Family to Higher Density Single Family land use. Staff Recommendation and Planning Commission Recommendation: To Grant Higher Density Single Family land use. Owner: Heflin Phase I LLC: Agent: Ron Thrower; Thrower Design. City Staff: Kathleen Fox, (512) 974-7877. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201203-REG.htm#074
NPA-2019-0015.01,2020-06-04T00:00:00.000,36,Austin City Council,"NPA-2019-0015.01 - 5010 & 5102 Heflin Lane- Conduct a public hearing and approve an ordinance amending Ordinance No.021107-Z-11, the East MLK Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 5010 and 5102 Heflin Lane, (Fort Branch Watershed) from Single Family to Higher Density Single Family land use. Staff recommendation: Pending. Planning Commission recommendation: To be reviewed May 26, 2020. Owner/Applicant: Heflin Phase I LLC: Ron Thrower; Thrower Design. City Staff: Kathleen Fox, (512) 974-7877. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200604-REG.htm#036
NPA-2019-0015.01,2020-08-27T00:00:00.000,127,Austin City Council,"NPA-2019-0015.01 - 5010 & 5102 Heflin Lane - Conduct a public hearing and approve an ordinance amending Ordinance No. 021107-Z-11, the East MLK Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 5010 and 5102 Heflin Lane, (Fort Branch Watershed) from Single Family to Higher Density Single Family land use. Staff Recommendation and Planning Commission Recommendation: To Grant High Density Single Family land use. Owner: Heflin Phase I LLC: Agent: Ron Thrower; Thrower Design. City Staff: Kathleen Fox, (512) 974-7877. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200827-REG.htm#127
NPA-2019-0015.01,2020-12-10T00:00:00.000,96,Austin City Council,"NPA-2019-0015.01-5010 & 5102 Heflin Lane - Conduct a public hearing and approve second and third readings of an ordinance amending Ordinance No.021107-Z-11, the East MLK Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 5010 and 5102 Heflin Lane, (Fort Branch Watershed) from Single Family to Higher Density Single Family land use. First reading approved on December 3, 2020. Vote 9-2. Council Member Alter and Pool voted nay. Owner: Heflin Phase I LLC: Agent: Ron Thrower; Thrower Design. City Staff: Kathleen Fox, (512) 974-7877. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201210-REG.htm#096
NPA-2019-0015.01,2020-07-30T00:00:00.000,49,Austin City Council,"NPA-2019-0015.01 - 5010 & 5102 Heflin Lane - Conduct a public hearing and approve an ordinance amending Ordinance No. 021107-Z-11, the East MLK Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 5010 and 5102 Heflin Lane, (Fort Branch Watershed) from Single Family to High Density Single Family land use. Staff Recommendation and Planning Commission Recommendation: To Grant High Density Single Family land use. Owner: Heflin Phase I LLC: Agent: Ron Thrower; Thrower Design. City Staff: Kathleen Fox, (512) 974-7877. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200730-REG.htm#049
NPA-2018-0028.01,2018-11-01T00:00:00.000,51,Austin City Council,"NPA-2018-0028.01 -Dessau Homes -Conduct a public hearing and approve an ordinance amending Ordinance No. 20110113-059, the Heritage Hills/Windsor Hills Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 10300 Dessau Road (Walnut Creek Watershed) from Single Family to Higher Density Single Family land use. Staff Recommendation: To grant Higher Density Single Family Use land use. Planning Commission recommendation: To grant Higher Density Single Family land use. Owner/Applicant: Central Texas Group, LLC. (Preya Sundaram). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2018/20181101-REG.htm#051
NPA-2018-0028.01,2018-10-18T00:00:00.000,50,Austin City Council,"NPA-2018-0028.01 - 10300 Dessau Road, Dessau Homes -District 1-Conduct a public hearing and approve an ordinance amending Ordinance No. 010927-05, the Montopolis Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 10300 Dessau Road (Walnut Creek Watershed) from Single Family to Higher Density Single Family land use. Staff Recommendation: To grant Higher Density Single Family Use land use. Planning Commission recommendation: To grant Higher Density Single Family land use. Owner/Applicant: Central Texas Group, LLC. (Preya Sundaram). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2018/20181018-REG.htm#050
NPA-2018-0028.01,2018-11-15T00:00:00.000,67,Austin City Council,"NPA-2018-0028.01 -Dessau Homes -Conduct a public hearing and approve an ordinance amending Ordinance No. 20110113-059, the Heritage Hills/Windsor Hills Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 10300 Dessau Road (Walnut Creek Watershed) from Single Family to Higher Density Single Family land use. Staff Recommendation: To grant Higher Density Single Family Use land use. Planning Commission recommendation: To grant Higher Density Single Family land use. Owner/Applicant: Central Texas Group, LLC. (Preya Sundaram). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2018/20181115-REG.htm#067
NPA-2019-0016.01,2020-10-01T00:00:00.000,65,Austin City Council,"NPA-2019-0016.01 - Shady Lane Mixed Use -Approve third reading of an ordinance amending Ordinance No. 20030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 914 Shady Lane (Boggy Creek Watershed) from Single Family and Water land use to Neighborhood Mixed Use and Higher Density Single Family land use. First Reading approved on July 30, 2020. Vote 11-0. Second Reading approved on September 17, 2020. Vote: 10-0, Council Member Casar was off the dais. Owner/Applicant: Kimberly Beal and Stephanie Scherzer. Agent: Alice Glasco Consulting (Alice Glasco). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 3.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201001-REG.htm#065
NPA-2019-0016.01,2020-09-17T00:00:00.000,80,Austin City Council,"NPA-2019-0016.01 - Shady Lane Mixed Use - Conduct a public hearing and approve second and third readings of an ordinance amending Ordinance No. 20030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 914 Shady Lane (Boggy Creek Watershed) from Single Family and Water land use to Neighborhood Mixed Use and Higher Density Single Family land use. First reading approved July 30, 2020. Vote: 11-0. Owner/Applicant: Kimberly Beal and Stephanie Scherzer. Agent: Alice Glasco Consulting (Alice Glasco). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 3.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200917-REG.htm#080
NPA-2019-0016.01,2020-07-30T00:00:00.000,35,Austin City Council,"NPA-2019-0016.01 - 914 Shady Lane - Conduct a public hearing and approve an ordinance amending Ordinance No. 20030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 914 Shady Lane (Boggy Creek Watershed) from Single Family and Water land use to Neighborhood Mixed Use and Higher Density Single Family land use. Staff and Planning Commission recommendation: To grant the applicant's request for Neighborhood Mixed Use and Higher Density Single Family land use. Owner/Applicant: Kimberly Beal and Stephanie Scherzer. Agent: Alice Glasco Consulting (Alice Glasco). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 3.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200730-REG.htm#035
NPA-2019-0016.01,2020-03-26T00:00:00.000,67,Austin City Council,"NPA-2019-0016.01 - 914 Shady Lane - Conduct a public hearing and approve an ordinance amending Ordinance No. 20030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 914 Shady Lane (Boggy Creek Watershed) from Single Family and Water land use to Mixed Use and Higher Density Single Family land use. Staff Recommendation: Neighborhood Mixed Use and Higher Density Single Family land use. Planning Commission Recommendation: To be reviewed on April 14, 2020. Owner/Applicant: Kimberly Beal and Stephanie Scherzer. Agent: Alice Glasco Consulting (Alice Glasco). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 3.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200326-REG.htm#067
NPA-2019-0016.01,2020-04-23T00:00:00.000,54,Austin City Council,"NPA-2019-0016.01 - 914 Shady Lane - Conduct a public hearing and approve an ordinance amending Ordinance No. 20030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 914 Shady Lane (Boggy Creek Watershed) from Single Family and Water land use to Mixed Use and Higher Density Single Family land use. Staff Recommendation: Neighborhood Mixed Use and Higher Density Single Family land use. Planning Commission Recommendation: To be reviewed on April 28, 2020. Owner/Applicant: Kimberly Beal and Stephanie Scherzer. Agent: Alice Glasco Consulting (Alice Glasco). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 3.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200423-REG.htm#054
NPA-2019-0016.01,2020-08-27T00:00:00.000,102,Austin City Council,"NPA-2019-0016.01 - Shady Lane Mixed Use - Conduct a public hearing and approve second and third readings of an ordinance amending Ordinance No. 20030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 914 Shady Lane (Boggy Creek Watershed) from Single Family and Water land use to Neighborhood Mixed Use and Higher Density Single Family land use. First reading approved July 30, 2020. Vote: 11-0. Owner/Applicant: Kimberly Beal and Stephanie Scherzer. Agent: Alice Glasco Consulting (Alice Glasco). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 3.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200827-REG.htm#102
NPA-2019-0016.01,2020-01-23T00:00:00.000,89,Austin City Council,"NPA-2019-0016.01 - 914 Shady Lane - Conduct a public hearing and approve an ordinance amending Ordinance No. 20030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 914 Shady Lane (Boggy Creek Watershed) from Single Family and Water land use to Mixed Use and Higher Density Single Family land use. Staff Recommendation: Pending. Planning Commission Recommendation: To be reviewed on January 14, 2020. Owner/Applicant: Kimberly Beal and Stephanie Scherzer. Agent: Alice Glasco Consulting (Alice Glasco). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 3.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200123-REG.htm#089
NPA-2019-0016.01,2020-06-11T00:00:00.000,82,Austin City Council,"NPA-2019-0016.01 - Shady Lane Mixed Use -Conduct a public hearing and approve an ordinance amending Ordinance No. 20030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 914 Shady Lane (Boggy Creek Watershed) from Single Family and Water land use to Neighborhood Mixed Use and Higher Density Single Family land use. Staff Recommendation: To grant the applicant's request for Neighborhood Mixed Use and Higher Density Single Family land use. Planning Commission Recommendation: To be reviewed June 23, 2020. Owner/Applicant: Kimberly Beal and Stephanie Scherzer. Agent: Alice Glasco Consulting (Alice Glasco). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 3.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200611-REG.htm#082
NPA-2019-0016.01,2020-05-21T00:00:00.000,65,Austin City Council,"NPA-2019-0016.01 - Shady Lane Mixed Use - District 3 -Conduct a public hearing and approve an ordinance amending Ordinance No. 20030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 914 Shady Lane (Boggy Creek Watershed) from Single Family and Water land use to Neighborhood Mixed Use and Higher Density Single Family land use. Staff Recommendation: To grant the applicant's request for Neighborhood Mixed Use and Higher Density Single Family land use. Planning Commission Recommendation: To be reviewed May 12, 2020. Owner/Applicant: Kimberly Beal and Stephanie Scherzer. Agent: Alice Glasco Consulting (Alice Glasco). City Staff: Maureen Meredith, (512) 974-2695. District(s) Affected: District 3.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200521-REG.htm#065
C14-2019-0055,2019-06-06T00:00:00.000,97,Austin City Council,"C14-2019-0055 - Austin FC -Conduct a public hearing and approve an ordinance amending City Code Title 25 by zoning property locally known as 10414 McKalla Place and 10617 � Burnet Road (Little Walnut Creek Watershed). Applicant Request: To rezone from limited industrial services-neighborhood plan (LI-NP) combining district zoning and north burnet/gateway-neighborhood plan (NBG-NP) combining district zoning to limited industrial services-planned development area-neighborhood plan (LI-PDA-NP) combining district zoning. Staff Recommendation and Planning Commission Recommendation: To grant limited industrial services-planned development area-neighborhood plan (LI-PDA-NP) combining district zoning. Owner/Applicant: City of Austin-Economic Growth & Redevelopment Department (Greg Kiloh). Agent: Armbrust & Brown, PLLC (Richard T. Suttle, Jr.). City Staff: Sherri Sirwaitis, 512-974-3057. District(s) Affected: District 7.",akgy-tbxy,http://austintexas.gov/department/city-council/2019/20190606-REG.htm#097
NPA-2019-0015.02,2020-10-15T00:00:00.000,59,Austin City Council,"NPA-2019-0015.02 - Pecan Springs Residential -Approve third reading of an ordinance amending Ordinance No.021107-Z-11, the East MLK Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 3500 Pecan Springs Rd., (Fort Branch Watershed) from Single Family to Higher Density Single Family land use. First reading approved June 11, 2020. Vote 11-0. Second reading approved September 17, 2020. Vote 10-0. Council Member Casar was off the dais Owner/Applicant: Peter Gray. Agent: Thrower Design (Ron Thrower). City Staff: Jesse Gutierrez, (512) 974-1606. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201015-REG.htm#059
NPA-2019-0015.02,2020-09-17T00:00:00.000,84,Austin City Council,"NPA-2019-0015.02 - Pecan Springs Residential - Conduct a public hearing and approve second and third readings amending Ordinance No. 021107-Z-11, the East MLK Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 3500 Pecan Springs Rd., (Fort Branch Watershed) from Single Family to Higher Density Single Family land use. First reading approved June 11, 2020. Vote 11-0. Owner/Applicant: Peter Gray. Agent: Ron Thrower; Thrower Design. City Staff: Jesse Gutierrez, (512) 974-1606. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200917-REG.htm#084
NPA-2019-0015.02,2020-05-21T00:00:00.000,67,Austin City Council,"NPA-2019-0015.02 - 3500 Pecan Springs Residential -Conduct a public hearing and approve an ordinance amending Ordinance No.021107-Z-11, the East MLK Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 3500 Pecan Springs Rd., (Fort Branch Watershed) from Single Family to Higher Density Single Family land use. Staff Recommendation and Planning Commission Recommendation: To Grant Higher Density Single Family land use. Owner/Applicant: Peter Gray. Agent: Ron Thrower; Thrower Design. City Staff: Jesse Gutierrez, (512) 974-1606. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200521-REG.htm#067
NPA-2019-0015.02,2020-08-27T00:00:00.000,117,Austin City Council,"NPA-2019-0015.02 - Pecan Springs Residential - Conduct a public hearing and approve second and third readings amending Ordinance No.021107-Z-11, the East MLK Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 3500 Pecan Springs Rd., (Fort Branch Watershed) from Single Family to Higher Density Single Family land use. First reading approved June 11, 2020. Vote 11-0. Owner/Applicant: Peter Gray. Agent: Ron Thrower; Thrower Design. City Staff: Jesse Gutierrez, (512) 974-1606. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200827-REG.htm#117
NPA-2019-0015.02,2020-06-11T00:00:00.000,84,Austin City Council,"NPA-2019-0015.02 - 3500 Pecan Springs Residential -Conduct a public hearing and approve an ordinance amending Ordinance No.021107-Z-11, the East MLK Combined Neighborhood Plan, an element of the Imagine Austin Comprehensive Plan, to change the land use designation on the future land use map (FLUM) on property locally known as 3500 Pecan Springs Rd., (Fort Branch Watershed) from Single Family to Higher Density Single Family land use. Staff Recommendation and Planning Commission Recommendation: To Grant Higher Density Single Family land use. Owner/Applicant: Peter Gray. Agent: Ron Thrower; Thrower Design. City Staff: Jesse Gutierrez, (512) 974-1606. District(s) Affected: District 1.",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200611-REG.htm#084
