Zoning Case: C14-2017-0042
Meeting Date: 2017-12-14T00:00:00.000
Agenda Item: 102
Source URL: http://austintx.swagit.com/play/45753/0/
================================================================================

[0.00s -> 3.30s]  One zero two, blackfoot.
[449.52s -> 453.36s]  saying we've reviewed zoning cases for 2016 and 2017
[453.36s -> 456.08s]  and find no example of access restrictions
[456.08s -> 457.60s]  in a restrictive covenant,
[457.60s -> 460.20s]  likely because city code specifically provides
[460.20s -> 462.84s]  that an access restriction is an appropriate conditional
[462.84s -> 464.60s]  overlay in a zoning ordinance.
[464.60s -> 469.08s]  So I understand that my colleague does not favor
[469.08s -> 472.04s]  conditional overlays, I appreciate that you've proposed
[472.04s -> 473.88s]  them for alcohol use, you know,
[473.88s -> 475.72s]  for the restaurant and the liquor sales.
[475.72s -> 479.00s]  But I really believe that we need consistency here.
[479.00s -> 480.80s]  We are always talking about,
[480.80s -> 483.08s]  we always hear from the public about, you know,
[483.08s -> 485.72s]  one inconsistency, one in simplicity and code.
[485.72s -> 489.96s]  And to suddenly have a restrictive vehicular access
[489.96s -> 491.48s]  contained in a restrictive covenant
[491.48s -> 493.68s]  rather than in the zoning overlay
[493.68s -> 495.68s]  that attaches itself to this site,
[495.68s -> 497.44s]  whatever we decide here tonight,
[497.44s -> 498.88s]  just doesn't seem appropriate.
[498.88s -> 502.16s]  So I seconded the motion, but did not make it.
[504.76s -> 507.20s]  I guess we'll leave it as the zoning for now
[507.20s -> 509.00s]  and then I'll, that's what we'll do.
[510.44s -> 512.76s]  And then I'll make it as a second item.
[512.76s -> 515.28s]  But if I could ask the staff if we have a restrict,
[515.28s -> 517.48s]  is there still a valid petition on this case?
[523.12s -> 524.12s]  Second.
[524.12s -> 526.04s]  Mayor Porteam and Council,
[526.04s -> 529.88s]  the petition that I had actually spoke to
[529.88s -> 533.08s]  any other classification other than LRMUCO,
[533.08s -> 538.08s]  or GRMUCO, with a conditional overlay prohibiting alcohol sales,
[538.60s -> 541.88s]  which I believe both motions by Council member Poole
[541.88s -> 544.92s]  and Council Plan again are duplicative
[544.92s -> 546.52s]  after talking about the motion.
[546.52s -> 547.44s]  On the conditional and release.
[547.44s -> 548.28s]  Okay.
[548.28s -> 550.52s]  And so I think that that's been set aside.
[550.52s -> 551.36s]  Okay, thank you.
[552.36s -> 553.36s]  Okay.
[555.36s -> 560.04s]  What is before us right now is going from GRMUC to LRMUC.
[560.04s -> 561.76s]  Been moved and seconded as amendment.
[561.76s -> 563.12s]  We're ready to take a vote.
[566.68s -> 569.44s]  I have some quizzical looks just on the amendment
[569.44s -> 574.44s]  that's been offered going from GRMUC to LR, LRMUC.
[575.72s -> 577.32s]  So that is that?
[577.32s -> 578.16s]  Sorry?
[578.16s -> 579.56s]  It's the amendment.
[579.56s -> 583.08s]  So it's the amendment that Mr. Flanagan opposes.
[585.04s -> 585.88s]  Take a vote.
[585.88s -> 588.52s]  Those in favor of the amendment, please raise your hand.
[588.52s -> 593.52s]  It's the Mayor Pro Tem, Poole, and Alter, those opposed.
[594.56s -> 596.36s]  It's the other hands on the dyes.
[596.36s -> 597.88s]  Amendment is not passed.
[597.88s -> 600.12s]  We're back to the main motion.
[600.12s -> 602.20s]  Mayor Pro Tem, did you wanna raise a motion
[602.20s -> 604.68s]  with respect to access?
[604.68s -> 606.52s]  I would like to move the provision
[606.52s -> 610.32s]  that Council Member Flanagan has had
[610.32s -> 612.40s]  prohibiting vehicular traffic
[614.96s -> 616.88s]  associated with the non-residential use
[616.88s -> 618.44s]  on the property to Blackfoot Trail.
[618.44s -> 622.48s]  I would like to include that in the conditional overlay
[622.48s -> 624.04s]  versus a restrictive covenant.
[624.04s -> 627.80s]  And I'd like to, again, just call up staff
[627.80s -> 631.04s]  to verify what I read from Alicia Mayberry
[631.04s -> 633.88s]  regarding how we usually handle the vehicular access.
[633.88s -> 636.20s]  Okay, let's see if we have a second to that amendment.
[636.20s -> 639.36s]  Mayor Pro Tem is moving to amend this
[639.36s -> 644.36s]  to have the prohibition concerning vehicular traffic.
[644.96s -> 647.32s]  Not made part of a restrictive covenant,
[647.32s -> 649.80s]  but rather just made as part of the conditional overlay
[649.80s -> 650.64s]  on the property.
[650.64s -> 652.60s]  Is there a second to that amendment?
[653.88s -> 655.60s]  Council Member Poole seconds that.
[656.92s -> 658.88s]  Is there any discussion on the dyes?
[659.80s -> 663.80s]  Now you wanted staff to come up to corroborate the history.
[664.28s -> 666.36s]  Mayor Bertum, that's my understanding.
[666.36s -> 669.84s]  As big Mary's also here, but I think the research
[669.84s -> 672.64s]  that the law department conducted in the last two years
[672.64s -> 677.64s]  could not find a conditional alert.
[679.04s -> 683.16s]  I say a registered covenant that spoke to prohibiting access.
[683.16s -> 686.60s]  Just I'm aware that we have done them historically,
[686.60s -> 689.44s]  but I know the research that law department has conducted
[689.44s -> 692.12s]  the last two years has found none
[692.12s -> 695.52s]  and it can be done through a CEO of Council so desire.
[695.52s -> 698.48s]  Is there a benefit to doing it through a restrictive covenant
[698.48s -> 700.44s]  versus putting it into the conditional overlay,
[700.44s -> 702.68s]  which already has conditions?
[702.68s -> 704.96s]  Alicia Mayberry, Assistant City Attorney,
[704.96s -> 707.64s]  is there a benefit to using a restrictive covenant
[707.64s -> 710.24s]  versus the conditional overlay?
[710.24s -> 714.60s]  No, there really isn't much of a benefit.
[716.36s -> 720.12s]  I guess I'm not exactly sure what your question is getting at.
[720.12s -> 725.20s]  I can say that for an ordinance that is the strongest
[725.20s -> 728.60s]  action that the Council can take,
[728.60s -> 732.60s]  it is enacted legislation and it is the place
[732.60s -> 737.60s]  where staff and the public looks for conditions of zoning
[738.04s -> 739.76s]  and so it would be the most,
[739.76s -> 742.16s]  one of the most appropriate places
[742.16s -> 744.44s]  to put the conditional overlay.
[744.44s -> 747.56s]  So it would be more appropriate to put it
[747.56s -> 749.96s]  in a conditional overlay versus a restrictive covenant
[749.96s -> 753.36s]  because when staff go to look for the conditions
[753.36s -> 754.92s]  that accompany the zoning,
[754.92s -> 756.48s]  they would look to the zoning ordinance.
[756.48s -> 759.36s]  They would not necessarily look to a restrictive covenant
[759.36s -> 761.20s]  that is associated with it.
[762.24s -> 766.44s]  To the extent that staff would have an easier time finding it,
[766.44s -> 770.64s]  yes, they tend to look for conditions of zoning
[770.64s -> 775.12s]  in the ordinance and this ordinarily would be a condition
[775.12s -> 777.08s]  that would be found in the ordinance.
[777.96s -> 782.96s]  Okay, again, I think there has been no benefit offered
[784.68s -> 786.28s]  for having a restrictive covenant.
[786.28s -> 787.68s]  I think there are disadvantages.
[787.68s -> 790.20s]  I don't know why we would be out from our practice
[790.20s -> 791.92s]  in this instance.
[798.80s -> 799.64s]  Discussion?
[800.48s -> 802.76s]  Ms. Flanagan, why would you put a restricted covenant
[802.76s -> 804.84s]  as opposed to conditional overlay?
[804.88s -> 807.20s]  As I explained on first and second readings,
[807.20s -> 809.92s]  my intent is to keep the zoning as simplistic as possible.
[809.92s -> 813.44s]  That's been my intent for the last six months
[813.44s -> 816.00s]  when I have acted on zoning cases.
[816.00s -> 819.56s]  I think if we as a city don't have a mechanism
[819.56s -> 822.56s]  to track and enforce our public restrictive covenants,
[822.56s -> 824.24s]  that is a much bigger problem
[824.24s -> 825.68s]  than one that we need to find a solution to.
[825.68s -> 828.24s]  There are things we put in public restrictive covenants
[828.24s -> 831.16s]  that we want to make sure is being enforced.
[831.16s -> 834.12s]  I think that's the problem we need to be solving.
[834.12s -> 837.16s]  But let's just get this thing done, please.
[837.16s -> 838.00s]  Okay.
[840.60s -> 842.64s]  Mayor Pro Tem's amendment is in front of us.
[842.64s -> 844.64s]  Ready to take a vote.
[844.64s -> 846.80s]  Those in favor of the Mayor Pro Tem's amendment,
[846.80s -> 848.84s]  please raise your hand.
[848.84s -> 853.64s]  Mayor Pro Tem, pull, alter those opposed, raise your hand.
[853.64s -> 857.16s]  See how there's on the dyes, not pass.
[857.16s -> 858.84s]  We're down to the main motion.
[858.84s -> 860.68s]  I need a baked.
[860.68s -> 863.96s]  Those in favor of this item 102, please raise your hand.
[864.00s -> 866.80s]  Those opposed, unanimous on the dyes,
[866.80s -> 868.20s]  102 is taken care of.
[869.24s -> 870.08s]  Okay.
[871.08s -> 873.36s]  Let's go to item number five.
