Zoning Case: C14-2012-0048
Meeting Date: 2012-06-14T00:00:00.000
Agenda Item: 46
Source URL: http://austintx.swagit.com/play/45520/0/
================================================================================

[0.00s -> 3.00s]  Item number 46.
[254.00s -> 261.00s]  When we were trying to negotiate for the postponement he goes out there and in three minutes he wants
[261.00s -> 265.00s]  me to make a decision and today and today only he can give me a grease trap.
[265.00s -> 270.00s]  And so I'm kind of against those kinds of car salesman tactics that he uses with him.
[270.00s -> 276.00s]  I know he's a nice guy and all of that and everybody knows him and he knows how to work everybody.
[276.00s -> 279.00s]  But it's very disingenuous.
[279.00s -> 284.00s]  We're women of color, you know, we've worked our asses off.
[284.00s -> 291.00s]  The other thing is that he then comes and he goes, I'm not authorized to negotiate.
[291.00s -> 299.00s]  And so if he's not authorized to negotiate he's very good about it because he comes in at the last minute on Friday.
[299.00s -> 306.00s]  He says I think there's a meeting on Monday at 11 a.m. in the alley about the utility removals.
[306.00s -> 309.00s]  You can go if you want to, you don't have to.
[309.00s -> 316.00s]  And then on Monday morning an hour before the meeting or so we get a FedEx from White Lodge Inc.
[316.00s -> 321.00s]  with the details of the removals and the maps or something.
[321.00s -> 333.00s]  And so we just feel that we have participated in a very honest and generous manner.
[333.00s -> 336.00s]  They vacated the alley. We were all going to park in the alley.
[336.00s -> 339.00s]  The first thing I know, there I am at Board of Adjustments going.
[339.00s -> 345.00s]  He's going to me telling me, well, you know, it'll be too much traffic if we're all in the alley.
[345.00s -> 349.00s]  When I now have come to understand they never intended to park in the alley.
[349.00s -> 356.00s]  They always intended to do it on 3rd Street and be able to back up and maneuver on 3rd Street.
[356.00s -> 358.00s]  And now there's 30 stories higher.
[358.00s -> 360.00s]  So we're talking about the postponement.
[360.00s -> 361.00s]  Right.
[362.00s -> 368.00s]  I want the postponement so that I can get it in writing that what he is going to commit to.
[368.00s -> 372.00s]  And what these people have offered us parking and loading docks for our trucks.
[372.00s -> 375.00s]  And those kinds of things are in writing because I'm a Mexican mayor.
[375.00s -> 380.00s]  And you know what people say and what they do are two different things.
[380.00s -> 383.00s]  I'm not sure he's trapped, not enough for you.
[383.00s -> 386.00s]  Thank you, ma'am.
[386.00s -> 392.00s]  Two weeks, would that be sufficient?
[392.00s -> 403.00s]  Well, I would rather leave that to my council because I feel like it really requires that type of, you know, negotiation.
[403.00s -> 409.00s]  You know, and I feel for the staff and I'm not opposed to them doing the dog and pony show because now I see that they finally
[409.00s -> 413.00s]  brought the hotel with the additional 30 feet, 30 stories on it.
[413.00s -> 417.00s]  And for the time that these people have taken out of their date.
[417.00s -> 426.00s]  Because it takes three people just to hold the cardboard model.
[426.00s -> 430.00s]  But, you know, I'm not opposed to that.
[430.00s -> 435.00s]  I'm opposed to not being treated fairly and negotiated with Liz, honestly.
[435.00s -> 437.00s]  I think that means yes.
[437.00s -> 447.00s]  Okay, thank you.
[447.00s -> 456.00s]  Well, since it is normally our procedure to grant a one-time postponement, I'll move that we postpone this item to June 28th.
[456.00s -> 458.00s]  Our next council meeting.
[458.00s -> 463.00s]  The item moves to postpone until June 28th.
[463.00s -> 467.00s]  Second by Councillor Spelman.
[467.00s -> 478.00s]  I'd just say any delay, we have to realize any delay beyond June 28th is going to result in a significant delay in the construction of this project,
[478.00s -> 484.00s]  which in turn translates in the significant loss revenue to the city.
[484.00s -> 486.00s]  I think we have to keep that in mind.
[486.00s -> 498.00s]  We also keep in mind that a delay postpone has been requested every stage of this process by the same parties.
[498.00s -> 510.00s]  So I have to wonder what the real purpose of a postponement might be, but I will support the motion to postpone until June 28th.
[510.00s -> 511.00s]  All in favor say aye.
[511.00s -> 512.00s]  Aye.
[512.00s -> 513.00s]  Aye.
[513.00s -> 514.00s]  Opposed say no.
[514.00s -> 519.00s]  Passes on a vote of 7-0.
[519.00s -> 542.00s]  Go to item 49.
[542.00s -> 543.00s]  Aye.
[543.00s -> 544.00s]  Aye.
[544.00s -> 545.00s]  Aye.
[545.00s -> 546.00s]  Aye.
[546.00s -> 547.00s]  Aye.
[547.00s -> 548.00s]  Aye.
[548.00s -> 549.00s]  Aye.
