Zoning Case: C14-2014-0167
Meeting Date: 2015-04-16T00:00:00.000
Agenda Item: 21
Source URL: http://austintx.swagit.com/play/45674/0/
================================================================================

[0.00s -> 5.00s]  Welcome back, Mr. Grincy.
[547.00s -> 553.00s]  The zoning was appropriate. The law department has always advised at least for the 21 years when I worked as a city employee,
[553.00s -> 562.00s]  the advice from the law department was a sound one where you have a dispute between either property owner or LSE and the landlord
[562.00s -> 569.00s]  that the separation ought to be considered as it relates to the land use.
[569.00s -> 575.00s]  Is that appropriate? Is it the land use appropriate and therefore council should zone it accordingly?
[575.00s -> 580.00s]  And the matter regarding the dispute should be handled separately and especially if it's a private matter,
[580.00s -> 584.00s]  a private dispute, a private agreement, a private restrictive covenant,
[584.00s -> 589.00s]  then that should be handled between the entities disputing that particular agreement.
[589.00s -> 597.00s]  So the dispute here is the fence and we would ask the two prohibit the fence as recommended by the zoning and planning commission
[597.00s -> 608.00s]  so that the property owner and the person holding the easement agreement can work together to amicably reach an agreement
[608.00s -> 612.00s]  that would meet both of their needs.
[612.00s -> 616.00s]  And if I can have a moment to go back to this slide here,
[616.00s -> 619.00s]  as you can see, that is the entire property again.
[619.00s -> 626.00s]  The star shows the development that we're going to have 1,100 homes within the next two to three years,
[626.00s -> 632.00s]  where you're going to have residents who would like to walk over to this area where they can have a convenience.
[632.00s -> 638.00s]  So I would like to pause there and answer any questions you might have.
[639.00s -> 645.00s]  That's very loud.
[645.00s -> 652.00s]  So that I can make sure that I understand.
[652.00s -> 661.00s]  Your client owns property that's separated from the road with an easement that's owned by someone else.
[661.00s -> 662.00s]  Is that correct?
[662.00s -> 663.00s]  Yes.
[664.00s -> 665.00s]  Yes.
[665.00s -> 676.00s]  The easement that's owned by someone else, that person, the easement owner, has the dominant estate over that easement area.
[676.00s -> 682.00s]  By dominant state, I mean the priority rights over anyone else.
[682.00s -> 689.00s]  My understanding in reading the document, it's titled as a landscape easement and within the landscape easement,
[689.00s -> 692.00s]  it allows them to have landscaping.
[692.00s -> 693.00s]  There is the slide.
[693.00s -> 699.00s]  That's the exhibit that shows the green area is reflective of the 50 foot easement.
[699.00s -> 704.00s]  It says a landscape easement that gives them permission.
[704.00s -> 705.00s]  They don't own the land.
[705.00s -> 709.00s]  It gives them, I just use general terminology and not, I apologize.
[710.00s -> 719.00s]  The legal terminology that the document gives the holder of the green area.
[719.00s -> 720.00s]  He's not the landowner.
[720.00s -> 722.00s]  My client is the landowner.
[722.00s -> 725.00s]  He owns the green and the pink area.
[725.00s -> 736.00s]  The person who owns the green area has purchased or owns the unrestricted right to construct, repair and replace.
[736.00s -> 743.00s]  Landscaping has the unrestricted right to put on to that green area screening.
[743.00s -> 751.00s]  It has the unrestricted right to put on to the area fencing, signage, monuments, those things.
[751.00s -> 753.00s]  Is that right?
[753.00s -> 755.00s]  Yes and no.
[755.00s -> 757.00s]  And the no has to do with the purchasing.
[757.00s -> 765.00s]  My understanding from my client who purchased the property from the previous owner is that there was no purchase involved other than an agreement.
[766.00s -> 769.00s]  Well he has the vested legal rights.
[769.00s -> 771.00s]  The owner of the property in green.
[771.00s -> 772.00s]  Correct.
[772.00s -> 785.00s]  Has the legal right to put on to that green area unrestricted right to install landscaping, screening and berms, trees and fencing, monuments, signage.
[785.00s -> 786.00s]  Is that right?
[786.00s -> 787.00s]  That is correct, Mr. Mayor.
[787.00s -> 791.00s]  When your client purchased the property in pink or purple.
[791.00s -> 792.00s]  Yes.
[792.00s -> 807.00s]  Did that person know that they were buying property that was back behind property that had the right, unrestricted right to put up fencing and landscaping and berms and that kind of thing?
[807.00s -> 812.00s]  Yes, my client purchased the property that is in both pink and green.
[812.00s -> 815.00s]  He purchased both of them.
[815.00s -> 816.00s]  No, no, it's absolutely.
[816.00s -> 818.00s]  He purchased the pink property on the green.
[818.00s -> 819.00s]  Correct.
[820.00s -> 821.00s]  Correct.
[821.00s -> 824.00s]  Someone else owned considerable rights in the green area.
[824.00s -> 826.00s]  The rights for the landscaping mayor, yes.
[826.00s -> 829.00s]  And the fencing and the berms, the owner's screening and all that stuff.
[829.00s -> 830.00s]  Right.
[830.00s -> 832.00s]  How long did he purchase the property?
[832.00s -> 834.00s]  He purchased it about a year ago and yes.
[834.00s -> 841.00s]  He knew was very much aware of the landscape easement.
[841.00s -> 842.00s]  We are not disputing that at all.
[843.00s -> 858.00s]  We are not disputing that he knew of the existence of, he just, he believed in the goodness of his heart that the developer would be amicable in not fencing him in, basically.
[858.00s -> 861.00s]  So yes, he did understand.
[861.00s -> 862.00s]  Thank you.
[862.00s -> 863.00s]  That was in place.
[863.00s -> 864.00s]  Thank you.
[864.00s -> 866.00s]  Any further questions?
[867.00s -> 877.00s]  Could you talk a little bit more about the fence has now landlocked, your client, the owner of the pink property.
[877.00s -> 883.00s]  What's the entry and exit availability with that land?
[883.00s -> 884.00s]  Now that the fence is up.
[884.00s -> 885.00s]  We don't have any.
[886.00s -> 898.00s]  All around except to the east of the property because there's a detention pond, detention water quality pond that the city maintains because it's a residential water collection pond.
[898.00s -> 902.00s]  And it prohibits any fencing around it to inhibit any water flow.
[902.00s -> 905.00s]  So otherwise, everything else is completely fenced in.
[905.00s -> 912.00s]  There's a little gate that we are that is there, but even that's not wide enough to allow you to move in a lawnmower.
[913.00s -> 921.00s]  So with that fence out, is your client able to either access or do anything, develop the land that's in the pink?
[921.00s -> 923.00s]  They would have to negotiate right now.
[923.00s -> 926.00s]  It's all fenced in, completely fenced in as you saw in the slide.
[926.00s -> 930.00s]  And you have copies of the photographs that are left in folders with your staff.
[930.00s -> 933.00s]  And I'm not sure if you have them, but I can gladly pull them up again.
[933.00s -> 937.00s]  That is correct, completely fenced in.
[938.00s -> 946.00s]  And the reason we are asking that you prohibit a fence, realizing that the city does not enforce that.
[946.00s -> 956.00s]  And I draw upon other cases in the past where previous council has either approved a zoning change because the zoning was appropriate.
[956.00s -> 959.00s]  But there was a dispute between either a landlord and a lessee.
[959.00s -> 964.00s]  An example I have was a case here for CS1 zoning in the shopping center.
[964.00s -> 972.00s]  One of the tenants in the shopping center opposed the rezoning from CS to CS1 because in his lease agreement,
[972.00s -> 981.00s]  there was understanding that there would never be any change in zoning that would allow the sale or consumption of alcohol on site.
[981.00s -> 992.00s]  The advice from the law department for that case was that you separate the land use versus the dispute of the agreement between the two entities,
[992.00s -> 994.00s]  the owner of the property and the lessee.
[994.00s -> 995.00s]  It's very similar.
[995.00s -> 1006.00s]  So when I look at this case, I look at it in the same situation as we all have looked at cases in the past where they had been either did restriction
[1006.00s -> 1012.00s]  for the planning commission where they look at plots and either prohibits duplex, for example.
[1012.00s -> 1021.00s]  And in that case, or it prohibits height of certain buildings over so many stories,
[1021.00s -> 1027.00s]  where then in those cases, the advice that we were given by the law department,
[1027.00s -> 1033.00s]  and they still do swear that you separate the private dispute agreement, which the city does not enforce,
[1033.00s -> 1037.00s]  which is, that's a civil matter versus the merits of the rezoning.
[1037.00s -> 1040.00s]  And that's what I'm asking if you can separate the merits of the zoning.
[1040.00s -> 1048.00s]  The prohibition of offense is appropriate and have attached an ordinance where the city council in the past did approve a zoning case
[1048.00s -> 1054.00s]  in Territown on exposition boulevard and prohibited offense along exposition boulevard.
[1054.00s -> 1057.00s]  So the legal tool is there to allow you to do that.
[1057.00s -> 1069.00s]  Now the question is, is this dissimilar to those cases that have been approved with conditions in a zoning change
[1069.00s -> 1074.00s]  that were contrary to a dispute in an agreement between two entities?
[1075.00s -> 1077.00s]  That's the point I'm trying to make.
[1077.00s -> 1087.00s]  It's not that dissimilar here that you do have the one landowner and not a real estate lawyer using the knowledge that I learned
[1087.00s -> 1094.00s]  from the legal services that were given to me as a city employee for 21 years,
[1094.00s -> 1101.00s]  and I draw upon those lessons for those many, many, many cases that came up before the city council,
[1101.00s -> 1105.00s]  the planning commission, zoning and planning commission, that had very similar situations,
[1105.00s -> 1110.00s]  and each and every one of those cases got approved because the zoning was appropriate,
[1110.00s -> 1117.00s]  and the disputing matters were handled separately through the appropriate channels that existed.
[1117.00s -> 1119.00s]  And that's all we're asking for here.
[1119.00s -> 1126.00s]  So what you're asking us to vote on is the change to zoning to require that the fence be removed,
[1126.00s -> 1137.00s]  and then the parties would go separately to dispute resolution and to deal with access in and out of the property?
[1137.00s -> 1142.00s]  Just minor correction is the motion would be to prohibit a fence.
[1142.00s -> 1150.00s]  Obviously it's already there, it was installed last week, so the dispute would then handle separately the agreement
[1150.00s -> 1154.00s]  to either remove the fence or come to an agreeable solution about the fence,
[1154.00s -> 1155.00s]  and it's already there.
[1155.00s -> 1159.00s]  Unfortunately it got constructed last week before this council hearing.
[1159.00s -> 1167.00s]  So the motion, this recommendation, I would ask the city council would be to adopt the zoning
[1167.00s -> 1172.00s]  and planning commission recommendation to support L.R.M. U.C.O.,
[1172.00s -> 1178.00s]  neighborhood commercial zoning, condition overlay, prohibiting the fence,
[1178.00s -> 1187.00s]  then we can hopefully use that to help guide the discussion and dispute resolution regarding everything else
[1187.00s -> 1191.00s]  for the joint, the common use of this area.
[1191.00s -> 1193.00s]  And then just one last point of clarification.
[1193.00s -> 1200.00s]  Your client owns all of that property, but has ceded the easement to another party,
[1200.00s -> 1204.00s]  which is the green part for landscaping.
[1204.00s -> 1210.00s]  And the sign that was ceded before he bought it, so he did inherit the easement agreement.
[1210.00s -> 1212.00s]  Okay, thank you.
[1212.00s -> 1214.00s]  Any further questions from Ms. Glasgow?
[1214.00s -> 1216.00s]  Ms. Glasgow, no.
[1216.00s -> 1217.00s]  Okay.
[1217.00s -> 1219.00s]  We have another speaker.
[1219.00s -> 1224.00s]  John Joseph.
[1224.00s -> 1229.00s]  Is Chris Bradford here?
[1229.00s -> 1231.00s]  You have six minutes.
[1231.00s -> 1233.00s]  Thank you, Mayor, members of the city council.
[1233.00s -> 1234.00s]  My name is John Joseph.
[1234.00s -> 1246.00s]  I represent Kentara joint ventures that owns the property that is currently being,
[1246.00s -> 1248.00s]  trying to pass the zoning.
[1248.00s -> 1259.00s]  Which one do I use to go forward with?
[1259.00s -> 1268.00s]  First of all, Greg Guernsey was incorrect in the statement that the homeowners association owns this easement.
[1268.00s -> 1269.00s]  That's not correct.
[1269.00s -> 1273.00s]  The easement is owned by Kentara ventures limited.
[1273.00s -> 1279.00s]  My client, he was incorrect in that regard.
[1279.00s -> 1284.00s]  Do I push left to go forward?
[1284.00s -> 1285.00s]  Here we go.
[1285.00s -> 1291.00s]  My client bought section one of the Kentara small lot subdivision on April the 13th,
[1291.00s -> 1296.00s]  2006, contemporaneously with that.
[1296.00s -> 1303.00s]  They purchased an easement of landscaping and fencing easement that covers the yellow property,
[1303.00s -> 1306.00s]  which is the entrance of the subdivision.
[1306.00s -> 1312.00s]  It acquired this easement as an integral part of the plans for the development and the sale homes in the subdivision.
[1312.00s -> 1317.00s]  It's integral to the entrance appearance and the branding of the subdivision.
[1317.00s -> 1318.00s]  This is the ownership history.
[1318.00s -> 1329.00s]  On November the 7th, 2013 Compass Bank as custodian for the Johnsons transferred 2.386 acres to an IRA,
[1329.00s -> 1341.00s]  Roth for Dan Renner on April the 25th, 2014, Daniel and Kimberly Renner transferred that same property to a Roth IRA for the benefit of Mr.
[1341.00s -> 1343.00s]  and Mrs. Jeter.
[1343.00s -> 1359.00s]  The deed records demonstrate that the subject of this application is now owned by them in the IRA and this easement has been of record since April the 13th of 2006.
[1359.00s -> 1367.00s]  The language of the restrictive covenant is abundantly clear and Mary won't read it again because you already read that.
[1367.00s -> 1372.00s]  It was of record and the owners of the property, both the renters and the Jeter's.
[1372.00s -> 1379.00s]  Both knew of this landscape easement and the fencing easement from the beginning.
[1379.00s -> 1382.00s]  It took the property subject to that particular easement.
[1382.00s -> 1388.00s]  In fact, that easement provides that the remainder of the property outside of the 50-foot easement,
[1388.00s -> 1396.00s]  my client can use as much of that property as is necessary for ingress and egress for the purpose of fulfilling the objectives of this landscape and fencing easement.
[1396.00s -> 1401.00s]  That's a description of the survey of the easement.
[1401.00s -> 1408.00s]  And this is a depiction of the location of the fence as it exists right now.
[1408.00s -> 1417.00s]  It may be a little hard for you to read, but at the north end of the property, the easement is 46 feet from the.
[1417.00s -> 1428.00s]  From Pintera Parkway all the way down to the intersection is 53 feet from the north carb line of Howard Lane.
[1428.00s -> 1436.00s]  This is a depiction of the folks who have signed the petition that opposed the zoning of this property.
[1436.00s -> 1438.00s]  They are my client as well.
[1438.00s -> 1446.00s]  This is a picture of that particular intersection that you can see north is at the top of the page in east and west, of course, to the left and right.
[1446.00s -> 1464.00s]  The interesting thing about this is that the communication between the applicant and the, is before you now, for the applicant and the case manager on this,
[1464.00s -> 1470.00s]  they made this application after they filed a request for zoning.
[1470.00s -> 1475.00s]  In the request for zoning they never let my client know that they were asking for the zoning.
[1475.00s -> 1484.00s]  In addition, they never asked my client nor notified my client of the request to include this conditional overlay on the property.
[1484.00s -> 1492.00s]  This is a view of the property that looks north and east from the standing in the right of way of Howard Lane.
[1492.00s -> 1499.00s]  And this is a picture looking north, I'm sorry, northeast from the intersection of Howard Lane.
[1499.00s -> 1503.00s]  And that sign that you see, the monument that you see, was canterra on it.
[1503.00s -> 1514.00s]  And the landscaping around it, the landscaping to the east and to the north of it all belongs to my client and was put there in accordance with this landscape and fencing easement.
[1514.00s -> 1522.00s]  I contend that I'm not contending that the city does not have the authority to zone this property.
[1522.00s -> 1535.00s]  I am not contending that the city lacks the authority to either grant the right to build a fence or to limit the right to build a fence or to deny the right to build a fence.
[1535.00s -> 1548.00s]  I am telling you and urging you that the council lacks the authority to treat my client differently than how others would be treated and similarly situated circumstances.
[1548.00s -> 1551.00s]  This conditional overlay is a pretext.
[1551.00s -> 1565.00s]  It is for the exclusive purpose of denying my client the ability to fully use their landscape and fencing easement, which they acquired on April the 13th, 2006.
[1565.00s -> 1574.00s]  And to prevent us our ability to control and use the entrance to this subdivision that they purchased.
[1575.00s -> 1583.00s]  The fence that presently exists meets all applicable requirements of land development code, both under SF and LR zoning.
[1583.00s -> 1591.00s]  There's absolutely no justification from the transportation department that this intersection should be treated differently than any other intersection in the city.
[1591.00s -> 1603.00s]  There has been absolutely no demonstration or justification for the assertion that the size or location of this fence is the health and or safety issue, either by the staff or by the transportation department.
[1604.00s -> 1611.00s]  Putting aside the legality, we submit that it is bad policy for the council to get involved in this private easement dispute.
[1611.00s -> 1613.00s]  We have a legal non-conforming use.
[1613.00s -> 1622.00s]  We have a legal non-conforming use which we are allowed to continue under the land development code of the city of Austin.
[1622.00s -> 1626.00s]  And I'm happy to cite to those.
[1627.00s -> 1636.00s]  And I would urge you to deny the conditional overlay and to deny the zoning as inconsistent and incompatible with the surrounding use.
[1636.00s -> 1638.00s]  If there are any questions, I'm glad to address them.
[1638.00s -> 1639.00s]  Ms. Tovall.
[1642.00s -> 1645.00s]  I have a couple questions.
[1645.00s -> 1650.00s]  First of all, the photo that you show us at the entrance to the site with the Kentera.
[1650.00s -> 1653.00s]  That one is.
[1653.00s -> 1654.00s]  Where's the fence?
[1655.00s -> 1662.00s]  The fence would be at the back of, let me take you to the diagram.
[1662.00s -> 1665.00s]  The fence would be to the back of the monument.
[1665.00s -> 1668.00s]  I guess I really wanted to understand it on that photograph.
[1668.00s -> 1670.00s]  I've seen these other images.
[1670.00s -> 1677.00s]  It would be about where the trees are in the back of the photograph that you see.
[1678.00s -> 1682.00s]  Okay, so I just wanted to verify that this photograph that you're showing us is pre-fence.
[1682.00s -> 1683.00s]  The site no longer looks like this.
[1683.00s -> 1684.00s]  Yes ma'am.
[1684.00s -> 1690.00s]  But I would point out to you that that monument there is in the wall that is an integral part of that monument.
[1690.00s -> 1693.00s]  And the landscaping is within that 50 feet.
[1693.00s -> 1698.00s]  And that is there as well in furtherance of our landscaping fencing use.
[1698.00s -> 1699.00s]  Right.
[1699.00s -> 1704.00s]  All of them are really trying to figure out is whether this photograph was taken before the fence was erected.
[1705.00s -> 1708.00s]  Can you help me understand?
[1708.00s -> 1713.00s]  I'm not fully, there was so much discussion about the fence and the easement and the dispute.
[1713.00s -> 1718.00s]  Help me understand what your, what your reasons are for opposing the zoning request.
[1718.00s -> 1725.00s]  I think L.R. zoning is inappropriately and inappropriate immediately adjacent to a single family development like that.
[1725.00s -> 1726.00s]  That's right.
[1726.00s -> 1727.00s]  I think that's inappropriate.
[1727.00s -> 1732.00s]  And I think this intersection is an inappropriate location for L.R. zoning.
[1732.00s -> 1735.00s]  I'm thinking most normal circumstances you would consider that as such.
[1735.00s -> 1741.00s]  And, and this property is located within a mile and a half of three filling stations and three service stations.
[1741.00s -> 1747.00s]  A CVS pharmacy and a litany of retail uses.
[1747.00s -> 1756.00s]  This is a pretext for denying my client its rights to use the landscape and fencing easement that it acquired when it bought this subdivision.
[1756.00s -> 1757.00s]  Okay.
[1757.00s -> 1766.00s]  And then my last question is you were showing us an email between the applicants representative and our city staff.
[1766.00s -> 1767.00s]  Yes, ma'am.
[1767.00s -> 1773.00s]  That talk about the fence again, but I don't think I understood fully the point you were making with this.
[1773.00s -> 1776.00s]  Because you didn't say you didn't say this city.
[1776.00s -> 1779.00s]  They called the zoning application without notifying us.
[1779.00s -> 1783.00s]  And they filed this request to the conditional overlay without notifying us.
[1784.00s -> 1788.00s]  All of which they knew we had a right to during this entire process.
[1788.00s -> 1794.00s]  I say, okay, but that's not really, I wasn't clear if you were making a point about the city process.
[1794.00s -> 1800.00s]  What you're really saying is the applicant didn't follow a process that you expected them to follow based on the private agreement you have with them.
[1800.00s -> 1805.00s]  I'm saying that they never told us about their application.
[1805.00s -> 1810.00s]  The city sent the notices out that they should have sent under the zoning ordinance.
[1811.00s -> 1816.00s]  I believe that they should have, I believe that they should have re noticed when they sent out the conditional overlay.
[1816.00s -> 1818.00s]  But they didn't do that.
[1818.00s -> 1820.00s]  The city did not.
[1820.00s -> 1821.00s]  They never did.
[1821.00s -> 1822.00s]  I'm sorry.
[1822.00s -> 1823.00s]  The city did not.
[1823.00s -> 1824.00s]  The city should have.
[1824.00s -> 1828.00s]  I think the city should have re noticed when they added the conditional overlay.
[1828.00s -> 1829.00s]  Okay.
[1829.00s -> 1830.00s]  Thank you.
[1830.00s -> 1831.00s]  I just wanted to understand the point you were making there.
[1831.00s -> 1832.00s]  Thank you, Mr. Joseph.
[1832.00s -> 1833.00s]  Thank you.
[1833.00s -> 1834.00s]  Thank you very much, Ms. Houston.
[1835.00s -> 1838.00s]  Sir, help me understand, Mr. Joseph.
[1838.00s -> 1843.00s]  So the issue is that you weren't re noticed when the overlay was added.
[1843.00s -> 1844.00s]  No ma'am.
[1844.00s -> 1845.00s]  That's not the issue.
[1845.00s -> 1846.00s]  That is just a fact.
[1846.00s -> 1847.00s]  Okay.
[1847.00s -> 1857.00s]  The issue is should the city of Austin be asked to deny a property owner its rights to use its property?
[1857.00s -> 1858.00s]  Okay.
[1858.00s -> 1860.00s]  That's the issue.
[1860.00s -> 1861.00s]  Thank you, sir.
[1861.00s -> 1862.00s]  Thank you.
[1863.00s -> 1870.00s]  This is a complex legal issue and we've got some good lawyers off the council.
[1870.00s -> 1873.00s]  But I don't know that we're good enough to figure this out.
[1873.00s -> 1878.00s]  Because if the pink and the green are owned by one person, right?
[1878.00s -> 1880.00s]  Remember the pink and the green?
[1880.00s -> 1881.00s]  Yes.
[1881.00s -> 1891.00s]  And then the pink has some rights based upon something and exercise that right to put up a fence.
[1892.00s -> 1897.00s]  Then I'm concerned how the owners of the property did they give?
[1897.00s -> 1904.00s]  Is the agreement that they could always use that pink zone in perpetuity?
[1904.00s -> 1908.00s]  Does somebody else owns that?
[1908.00s -> 1910.00s]  That owns the property, right?
[1910.00s -> 1914.00s]  Well, when you think of ownership, ownership has lots of elements to it.
[1914.00s -> 1916.00s]  Ownership of any piece of property.
[1917.00s -> 1920.00s]  And when you own a piece of property, you have a right to walk across it.
[1920.00s -> 1922.00s]  You have a right to build on it.
[1922.00s -> 1926.00s]  You have a right to keep other people off of it, the right to exclude.
[1926.00s -> 1928.00s]  There are certain rights that you have.
[1928.00s -> 1931.00s]  People by contract can divide those rights.
[1931.00s -> 1938.00s]  And they could say, within this bundle of rights here, I'll keep these and you keep these.
[1938.00s -> 1944.00s]  And then the person who has those rights is like the property owner as concerns those rights.
[1945.00s -> 1950.00s]  And the rights that I keep, I'm the property owner as concerns those rights.
[1950.00s -> 1956.00s]  In this case, the question I was asking was, the people on the front of this property went
[1956.00s -> 1963.00s]  to, not this property, but their predecessor and said, among your bundle of rights, can
[1963.00s -> 1969.00s]  we buy from you the right to be able to put up a fence and to put up landscaping and to
[1969.00s -> 1971.00s]  put up a monument sign?
[1971.00s -> 1976.00s]  And it happened and it happened in whatever that year was, 2006.
[1976.00s -> 1981.00s]  And now the person who owns the balance of the property, the balance of the property rights,
[1981.00s -> 1989.00s]  their rights are servient, are secondary to the primary rights which were assault.
[1989.00s -> 1996.00s]  So the person now who owns the easement has a right to build a fence, has a right to put
[1996.00s -> 2001.00s]  landscaping, has a right to put up a berm, has a right to do all those things.
[2001.00s -> 2008.00s]  And anybody who buys that property, back behind it, knows that they're buying property, that
[2008.00s -> 2015.00s]  somebody else owns the right in front of them to do different things.
[2015.00s -> 2017.00s]  That was the question I was going to.
[2017.00s -> 2022.00s]  It seems as if the person who bought that should have looked at that said, well, either
[2022.00s -> 2027.00s]  I'm okay with somebody having a right to do that in front of me or I shouldn't buy that property,
[2027.00s -> 2030.00s]  or I can go negotiate with that person.
[2030.00s -> 2036.00s]  Now what the law says, I think, I want to give law legal advice to the council, which I can't do,
[2036.00s -> 2045.00s]  only our attorney can, my personal understanding of this is that when you only underline land,
[2045.00s -> 2051.00s]  underneath an easement, or when you own an easement, you're entitled to do only those things that
