Zoning Case: C14-2019-0007
Meeting Date: 2019-06-20T00:00:00.000
Agenda Item: 146
Source URL: http://austintx.swagit.com/play/45788/0/
================================================================================

[0.00s -> 4.26s]  Last one is case 146 item 146 KC 14 2019
[339.96s -> 343.40s]  So they would like they would like for you to
[345.04s -> 347.04s]  postpone from rezoning and
[347.72s -> 352.36s]  Let the owner work with the tenants on the relocation
[352.50s -> 360.20s]  Being there at comfort mobile home park for I've lived there for more than 24 years
[361.20s -> 366.68s]  I've been management with Artesia for going on four years
[368.20s -> 373.76s]  Being Riverside as it is now all the new development all the new hotels
[375.84s -> 381.76s]  71 being as bad as it is riverside the traffic is bad
[382.36s -> 386.60s]  And it's not going to get any better and there have been I can say
[387.00s -> 393.16s]  some of a lot of our tenants that have been on in accidents there in the entrance of Comfort Mobile
[393.52s -> 398.68s]  Coma Park because they want to cross Riverside Drive. So that is why
[399.32s -> 405.92s]  We would I would like we would like to for you to postpone the rezoning and
[408.60s -> 410.60s]  Thank you work with us
[410.68s -> 413.68s]  What was your name, please? Olga Revas. Thank you, ma'am
[415.08s -> 418.52s]  Does anybody else want to speak on the question of the postponement or not?
[419.72s -> 421.72s]  Anyone else
[422.16s -> 424.16s]  That then brings us to the dyes
[425.92s -> 434.16s]  Mary yes, can I I would like to ask is there anybody else from the Comfort Mobile home in the audience?
[434.84s -> 436.84s]  Can they raise their hands or?
[441.60s -> 443.60s]  Thank
[443.60s -> 445.60s]  Thank you
[448.32s -> 454.60s]  Council member there are a few more that were are still out that have children or were out for capacity reasons
[455.48s -> 457.48s]  It was way of an inch
[457.96s -> 465.12s]  All right, I move to postpone this matter to August 8th. There's a second to that. That's where I'm pulled second set any discussion on the motion to postpone
[465.72s -> 467.72s]  yes council member
[468.72s -> 470.72s]  government
[472.16s -> 477.12s]  You know, I think that this is a difficult situation just like the last one in this case I
[477.72s -> 484.24s]  Again would hope that no matter how this goes that those negotiations continue so that we can get the best outcome for the residents
[484.24s -> 486.88s]  Again, I think you're ought would be on the strongest
[488.32s -> 493.00s]  Ground by having by having the mobile home zoning and then being able to negotiate
[493.88s -> 497.48s]  Whether you want to stay there or go somewhere else and so
[499.16s -> 504.00s]  You know for the conversations my office had with people asking them honestly what options they were presented I
[506.64s -> 511.56s]  What was relayed to my office was that the options presented were not as equal as I would have liked I
[512.84s -> 519.04s]  Understand the chambers are capacity. I don't know if there's someone who would like to speak to this item
[519.12s -> 521.12s]  But is not in the chamber
[521.68s -> 523.52s]  And it's listening to it out there
[523.52s -> 529.80s]  But if anybody outside of the chamber right now couldn't get in for capacity reasons and wants to speak to this issue
[529.80s -> 533.84s]  I would urge them to come now and we'll figure out a way to get them
[534.28s -> 536.20s]  into
[536.20s -> 537.60s]  this room
[537.60s -> 544.88s]  That was gonna be my question there. I think this one unlike some of the others is slightly more nuanced and I would
[545.32s -> 547.32s]  at the risk of
[547.32s -> 551.64s]  Applying any pressure to anyone. I'd really like to hear from a resident
[552.20s -> 558.20s]  I really appreciate the the last speaker but given her capacity, you know as I'm the manager
[558.20s -> 563.96s]  I'd like to hear from somebody who's exclusive capacity is a resident of the mobile home park if that's at all possible
[564.88s -> 566.88s]  Okay
[571.80s -> 573.80s]  And introduce yourself, please
[575.16s -> 577.48s]  I believe in there for 80 years I
[578.92s -> 583.84s]  Want to move because I have four kids the riverside traffic 71
[583.84s -> 588.08s]  It's bad for my kids to go play outside. They cannot play
[589.12s -> 593.40s]  Traffic is crazy when we're trying to turn to a riverside. We can't
[593.96s -> 599.88s]  They block our way or something is always happening. So for us, it's better to move out
[601.32s -> 605.80s]  To a different place that the managers is offering a safer place for our kids
[607.16s -> 609.36s]  Because there's no playground. There's nothing in there
[610.36s -> 613.48s]  Okay, and I have four under the age of 18
[614.40s -> 616.40s]  Thank you
[616.64s -> 620.20s]  Ashley with other people outside that we're trying to get in or no. Thank you. We're okay
[621.12s -> 623.12s]  further discussion
[623.16s -> 629.20s]  Mary and this is a very difficult one because of what they're offering is also a
[630.48s -> 634.92s]  New area where it's a further away from the congested area
[635.32s -> 638.52s]  River site is getting to that point where it's very dangerous
[639.08s -> 643.00s]  road and that's the only access in and out they have there and
[644.00s -> 646.00s]  They also offer in
[646.36s -> 648.86s]  if the mobile home is to
[649.52s -> 651.52s]  That they're willing to pay
[652.24s -> 661.20s]  To go and buy them a new one from 20 to 25,000 depending on their size of mobile home that they have and they're willing to
[662.48s -> 664.48s]  freeze their
[666.52s -> 668.52s]  They're running there
[669.16s -> 671.16s]  for a whole year
[671.24s -> 672.56s]  So
[672.56s -> 677.80s]  This is totally a little different than what we have been dealing with was the other mobile homes
[678.40s -> 679.60s]  because
[679.64s -> 686.64s]  You know, I really my struggle right now is you know, the the bargaining and what they're offering right now
[686.64s -> 692.04s]  It's very great and I'm afraid that you know, we might lose that and if
[692.76s -> 695.92s]  If we don't postpone it, I would like to
[698.52s -> 700.52s]  Have it
[701.12s -> 703.12s]  Pass on just first reading if it's possible
[704.16s -> 707.24s]  I know we're not they could commit a site pan, but
[708.04s -> 713.96s]  We could just the next meeting that we have we can always just pass it immediately was a
[715.28s -> 717.28s]  MH and
[717.28s -> 722.96s]  And what they're what they have to offer, you know, I I would hate to lose that
[725.20s -> 733.32s]  So that's that's my position right now. I I'm very concerned because of what happened on the previous
[733.64s -> 742.48s]  Where they submitted a site plan to I think this just might be a little different than that
[745.80s -> 749.56s]  What are they're entitled to can I Jerry can you come up here?
[751.68s -> 754.16s]  This is a transect area
[754.84s -> 757.12s]  Yes, it's in that use riverside corridor plan and
[758.72s -> 761.60s]  You're entitled to 60 feet right now
[762.08s -> 764.60s]  Yes, I have to go back and look this specific and Thomas for this track
[764.60s -> 767.48s]  But generally speaking they would be entitled to you probably about 60 feet
[767.48s -> 772.44s]  They'd be allowed for a mixture of uses including in the anything else would be like a bonus
[772.72s -> 779.24s]  Where they would have that build affordable housing, right? Yes, and that's a whole thing. That's you know
[781.04s -> 787.08s]  If they would do it, they I don't think they would sit I decide to leave it at 60 feet
[787.08s -> 789.56s]  I think they will do work with our attendance because
[790.52s -> 797.44s]  Just the benefits that they have just being in the riverside corridor and there's a high transect area, so I
[799.60s -> 802.48s]  Would like to if I can get a second. I don't know if I can
[804.60s -> 808.00s]  Pass it on postponing for pass it on first reading
[809.84s -> 815.40s]  Yeah, I have no problem with drawing withdrawing the motion to postpone and changing it instead to a pass
[815.48s -> 821.72s]  On first reading only we can either see whether that one or lost somebody have any objection to substituting out those two
[822.12s -> 826.94s]  Southern pool. I was your second and I'd be happy to move my second to council member reentry
[827.44s -> 828.20s]  That's fine
[828.20s -> 833.96s]  So what's in front of us now without objection is passing on first reading only that doesn't pass them
[833.96s -> 839.28s]  We'll consider then passing on all three readings. It's like voting first on the motion to postpone
[840.28s -> 843.90s]  Okay, I'm sorry mayor. Well, I'm still most comfortable moving with all three
[843.94s -> 850.14s]  I could support on first reading just with a couple of questions for the applicant or for the response. What are you?
[853.50s -> 855.50s]  Miss work
[855.50s -> 857.02s]  Because I
[857.02s -> 861.54s]  Again, I'm not saying this is because of fault of your own or anybody else's but because I had information
[862.18s -> 868.58s]  When talking to folks on that petition with their phone numbers that they felt that they were weren't given all of the options
[868.62s -> 873.66s]  Mobile home zoning not mobile home zoning all of those different options. Would you work with?
[874.82s -> 877.82s]  With the independent folks that were
[878.26s -> 883.34s]  Working with the folks on South Congress to make sure that there are some people with tenant representation
[884.42s -> 890.94s]  Experience to be able to to sort of explain that piece to the tenants as well as you guys negotiate if we only go in first reading
[891.42s -> 891.98s]  Yes, sir
[891.98s -> 898.30s]  One of the options that we have said it in our package is coming up with a representative for the tenants that we would
[898.62s -> 904.30s]  Work with them so that everybody's on the same page before we come back and how upset are we allowed to be with you
[904.30s -> 911.42s]  If we if you don't follow the letter that you sent us about the site very very this is I have to see you all very often
[912.46s -> 917.02s]  Okay, do you zero practical difference if it's postponed or approved on first reading? Yes, sir
[917.42s -> 919.90s]  Jerry do you see a practical difference between those two things?
[921.02s -> 925.02s]  No, I do not we I would just ask you give a stretch of what day you'd like us to bring it back for a second
[925.02s -> 930.58s]  I think August 8th was the date that they were prepared to come back to us on. Yes. There's a property owner here. Yes, sir
[938.58s -> 942.14s]  Sir average is like a confirmation as your agent
[943.06s -> 948.10s]  My understanding is is that if we vote to approve this only on first reading so as to keep it alive
[948.78s -> 956.38s]  For for August 8 that you're not going to do anything to change the status quo position either entitlements on the property
[956.50s -> 960.70s]  Or the relative bargaining position of any of the tenants on the property
[960.70s -> 966.14s]  You'll maintain the status quo until the council has had a chance to act on that. That's correct. Okay. Thank you
[967.10s -> 969.10s]  Thank you
[969.10s -> 973.86s]  Any further discussion the motion in front of us is to approve closed public hearing approve on first reading
[974.86s -> 979.30s]  Let's take a vote those in favor please raise your hand those opposed
[980.34s -> 983.58s]  Unanimously approved first reading only mayor public hearing closed
[984.58s -> 986.58s]  I would like I
[986.58s -> 991.74s]  Did a public hearing to be open for us to ask be able to ask questions of a significant number of people and they come back
[991.74s -> 993.22s]  I'd be fine
[993.22s -> 999.54s]  Let's let you keep the public hearing openings. We don't know what the deal is that okay without objection the public hearing is left open
[999.54s -> 1004.98s]  First reading only okay, I get this through all the zoning cases. Thank you
