Zoning Case: NPA-2012-0025.01
Meeting Date: 2012-06-07T00:00:00.000
Agenda Item: 43
Source URL: http://austintx.swagit.com/play/45519/0/
================================================================================

[0.00s -> 1.00s]  Thank you, Mayor Council.
[335.00s -> 337.56s]  Is there someone here from the applicant?
[337.56s -> 339.28s]  Council Member Toho, I think is the question.
[339.28s -> 340.84s]  Just a quick question.
[340.84s -> 343.60s]  Have you had an opportunity to talk with the developers
[343.60s -> 345.08s]  since the boundaries shifted,
[345.08s -> 349.20s]  or would that be another possibility
[349.20s -> 352.00s]  that could become open if you had more time?
[352.00s -> 353.64s]  I would imagine if there was more time,
[353.64s -> 354.80s]  there would be a chance, yes.
[354.80s -> 357.00s]  We were just given this information yesterday,
[357.00s -> 358.08s]  late in the day.
[358.08s -> 361.12s]  So there hasn't been any discussion whatsoever.
[361.12s -> 362.68s]  We've just been scrambling to try to figure out
[362.68s -> 363.80s]  what this means.
[363.80s -> 366.60s]  So you don't have a sense of how the development
[366.60s -> 370.24s]  would re-shift based on new boundaries and so that would.
[370.24s -> 373.20s]  Right, we do not have any specific information
[373.20s -> 375.80s]  other than the boundaries have been redrawn
[375.80s -> 377.64s]  and that invalidates the petition.
[377.64s -> 381.04s]  And it's a dramatic departure from the plan
[381.04s -> 383.64s]  that has been discussed and proposed
[383.64s -> 384.88s]  for the past few months.
[384.88s -> 386.04s]  Right, thanks.
[387.64s -> 390.04s]  But in reality, the redrawing of the boundaries
[390.04s -> 393.48s]  actually provides more open space adjacent
[393.52s -> 397.12s]  to the neighborhoods and was the case originally.
[397.12s -> 398.36s]  No, we don't know.
[398.36s -> 399.64s]  There are many questions to us.
[399.64s -> 401.24s]  I mean, by spot rezoning,
[401.24s -> 403.12s]  we understand that there would be a perimeter
[403.12s -> 405.04s]  that there would still be public zoning
[405.04s -> 406.44s]  and we don't know what that means.
[406.44s -> 408.08s]  There are so many open-ended questions
[408.08s -> 410.32s]  as to what that means for the neighborhood
[410.32s -> 412.36s]  and what it means for the process.
[412.36s -> 414.64s]  Could that then be rezoned at a later date?
[414.64s -> 415.80s]  Can driveways go through?
[415.80s -> 417.80s]  And there are so many questions.
[417.80s -> 419.96s]  And we have a long list of that,
[419.96s -> 421.72s]  if y'all want to discuss that, we're happy to.
[421.72s -> 422.56s]  Thank you.
[424.48s -> 428.08s]  It's the applicant, someone here representing the applicant.
[428.08s -> 429.00s]  Should I sit down?
[429.00s -> 429.84s]  Yes.
[434.28s -> 437.20s]  Mayor Council, we're aware of the policy
[437.20s -> 440.36s]  for post-pulments and we would be able to honor it
[440.36s -> 441.92s]  if you deem it as necessary.
[441.92s -> 444.04s]  However, we do not see any new information
[444.04s -> 446.40s]  being presented according to this.
[446.40s -> 448.60s]  The neighborhood has not collected anything
[448.60s -> 450.60s]  in the past two years of any value,
[450.60s -> 452.44s]  so we don't believe they would come up with anything
[452.44s -> 454.88s]  in the next two, three weeks for it.
[454.88s -> 458.84s]  Furthermore, they have not even attempted to work with us.
[458.84s -> 461.32s]  We've extended our offers numerous times
[461.32s -> 463.20s]  that we wanted to work with the Travis Country Community
[463.20s -> 466.92s]  Association and there are two groups that emerged from that.
[466.92s -> 469.96s]  One that wanted to discuss options with us
[469.96s -> 472.96s]  and another one that opposed anything and everything.
[472.96s -> 476.20s]  And that's what you hear just presented to you before you.
[476.20s -> 478.84s]  Another group that supports us, they are here as well,
[478.84s -> 479.68s]  obviously.
[479.68s -> 483.48s]  It's not a developer versus the neighborhood as a whole.
[483.48s -> 485.60s]  It's the neighborhood being divided.
[485.60s -> 487.88s]  So that's what you hear.
[487.88s -> 489.44s]  I don't believe there's any new information.
[489.44s -> 491.84s]  I don't believe there's going to be anything new discovered.
[491.84s -> 493.64s]  And furthermore, Planning Commission
[493.64s -> 495.84s]  approved all of 12 acres site.
[495.84s -> 497.84s]  We've gone and drawn it smaller.
[497.84s -> 500.80s]  So now we're only requesting four and a half acres
[500.80s -> 503.60s]  to be rezoned, leaving the rest.
[503.60s -> 505.76s]  P, public as a boundary.
[505.76s -> 508.72s]  And Ms. Dun said she doesn't know what that means.
[508.72s -> 511.08s]  That means precisely this, that almost eight acres
[511.08s -> 513.80s]  will state P public as it has been in the past.
[513.80s -> 516.40s]  That's what it means.
[516.40s -> 517.08s]  Thank you.
[517.08s -> 518.00s]  Any questions?
[518.00s -> 518.76s]  The applicant.
[518.76s -> 520.16s]  Mayor?
[520.16s -> 521.08s]  Councillor Riley.
[521.08s -> 522.80s]  Sorry, I didn't hear your name.
[522.80s -> 524.44s]  Nicholas Dean, I'm the applicant.
[524.44s -> 527.00s]  And a contracted party on this, not a bidder,
[527.00s -> 528.80s]  which has been presented to you.
[528.80s -> 529.68s]  OK, thanks.
[529.68s -> 531.64s]  Thank you.
[531.64s -> 532.52s]  Mayor?
[532.52s -> 534.76s]  Councillor Spelman.
[534.76s -> 537.84s]  The live question is between the 28th of June
[537.84s -> 540.80s]  and the 2nd of August, from your point of view,
[540.80s -> 542.68s]  what's the difference?
[542.68s -> 545.72s]  From my point of view, I would obviously prefer tonight.
[545.72s -> 547.80s]  And as you see, they've brought a lot of people here.
[547.80s -> 548.96s]  So they're clearly prepared.
[548.96s -> 550.80s]  So I'm thinking that it's just a delay tactic.
[550.80s -> 554.96s]  However, I understand, I honor the policy.
[554.96s -> 558.48s]  I would be accepting 28th, not August 2nd,
[558.48s -> 560.72s]  because that's an exorbitant amount of time
[560.72s -> 563.04s]  that we don't see it being necessary.
[563.04s -> 564.84s]  The customary policy is two weeks.
[564.84s -> 571.76s]  At what point did you submit the change in the boundaries
[571.76s -> 573.56s]  of the proposed development?
[573.56s -> 576.64s]  That was after the Planning Commission meeting.
[576.64s -> 577.64s]  So that was?
[577.64s -> 579.04s]  After May 22nd.
[579.04s -> 580.00s]  After May 22nd?
[580.00s -> 580.48s]  Yes.
[580.48s -> 586.72s]  So it, those, those, how soon after May 22nd?
[586.72s -> 589.08s]  Maybe a week after that, it was the end of May.
[589.08s -> 591.76s]  OK, so it's been over a week since you submitted
[591.76s -> 592.88s]  the change in the boundaries?
[592.88s -> 593.44s]  Yes.
[593.44s -> 594.04s]  OK.
[594.04s -> 595.64s]  Did you just submit it with the city staff?
[595.64s -> 597.88s]  You didn't send it to anybody in the neighborhood?
[597.88s -> 598.96s]  That has been submitted.
[598.96s -> 600.92s]  It needed to be validated.
[600.92s -> 603.00s]  And once it was validated at one time,
[603.00s -> 605.04s]  the neighborhood has gone around, collected more signatures
[605.04s -> 606.72s]  to make it again valid.
[606.72s -> 610.24s]  So we've gone and redrew, obviously, the boundaries
[610.24s -> 611.64s]  to where we are right now.
[611.64s -> 612.24s]  I'm sorry.
[612.24s -> 615.76s]  So if you redrawn the boundaries of this twice?
[615.76s -> 620.60s]  We, during the process, we're going through different revisions.
[620.60s -> 620.96s]  Right.
[620.96s -> 622.36s]  So yes.
[622.36s -> 627.20s]  OK, so, pardon me, I'm a little slow right after lunch.
[627.20s -> 630.20s]  So we had the original project, which was the entire,
[630.20s -> 631.08s]  the entire lot.
[631.08s -> 631.52s]  Yes.
[631.52s -> 633.56s]  Then you redrew the boundaries about a week
[633.56s -> 635.16s]  after the Planning Commission meeting?
[635.16s -> 635.68s]  Yes.
[635.68s -> 636.48s]  Correct.
[636.48s -> 639.28s]  And then you redrew the boundaries again?
[639.28s -> 639.96s]  Yes.
[639.96s -> 640.68s]  OK.
[640.68s -> 644.40s]  When was the most recent redrawing of the boundaries?
[644.40s -> 645.88s]  Friday.
[645.88s -> 646.88s]  OK.
[646.88s -> 649.40s]  So Friday is when the city staff?
[649.40s -> 652.24s]  Friday to Monday, yes.
[652.24s -> 653.36s]  Friday to Monday?
[653.36s -> 654.72s]  Well, we submitted on Friday.
[654.72s -> 656.24s]  It was redone on Monday, yes.
[656.24s -> 656.68s]  Oh, I see.
[656.68s -> 659.08s]  So the staff officially accepted it on Monday.
[659.08s -> 659.64s]  Yes.
[659.64s -> 660.24s]  Gotcha.
[660.24s -> 663.00s]  And then they notified the neighborhood in the usual form.
[663.00s -> 663.52s]  Yes.
[663.52s -> 666.24s]  And they found out about yesterday, it turns out.
[666.24s -> 669.24s]  I think they say yesterday, it's not inconsistent
[669.24s -> 670.64s]  with a Monday staff.
[670.64s -> 672.60s]  I believe either Monday, Clark, Mr. Patterson
[672.60s -> 674.64s]  would be able to answer that or Greg Guernsey.
[674.64s -> 678.20s]  But either Monday or Tuesday, this one, they found out, I think.
[678.20s -> 681.68s]  OK, why did you redraw the boundaries a second time, sir?
[681.68s -> 684.40s]  Why did you redraw the boundaries that second time?
[684.40s -> 686.60s]  To give a buffer.
[686.60s -> 691.32s]  So the first redrawing of the boundaries did not give a buffer?
[691.32s -> 694.16s]  Not as much as a buffer as the community requested.
[694.16s -> 696.04s]  OK, so you redrew it a second time
[696.04s -> 697.80s]  to increase the size of the buffer?
[697.80s -> 698.56s]  Yes.
[698.56s -> 702.60s]  So right now our rezoning is for 4.509 acres
[702.60s -> 704.64s]  instead of being larger for the first time.
[704.64s -> 706.28s]  It was almost five.
[706.28s -> 708.72s]  OK, thank you, sir.
[708.72s -> 710.28s]  I bet.
[710.28s -> 711.28s]  Go ahead.
[711.28s -> 712.28s]  That's OK.
[712.28s -> 713.28s]  Oh, you finished?
[713.28s -> 714.60s]  Yeah, that's fine.
[714.60s -> 715.96s]  I'm finished with Mr. Dean.
[715.96s -> 717.40s]  I'd like to ask questions to staff.
[717.40s -> 719.60s]  But if Council Member Tohe would like
[719.60s -> 721.60s]  to speak with the applicant, that's fine.
[721.60s -> 722.36s]  Oh, that's fine.
[722.36s -> 723.08s]  I appreciate that.
[723.08s -> 724.80s]  Thanks.
[724.80s -> 726.20s]  I just want to be clear on the chronology.
[726.20s -> 728.16s]  And maybe this is the question Council Member Spelman
[728.16s -> 729.32s]  who's going to direct to staff.
[729.32s -> 732.96s]  But so you submitted, when did you submit?
[732.96s -> 734.68s]  I know you just went through this chronology.
[734.68s -> 735.88s]  But I want to be clear, when did you
[735.88s -> 739.12s]  submit your first request for redrawing the boundaries?
[739.12s -> 740.80s]  Was it last week?
[740.80s -> 744.20s]  I don't have the exact day that I would say yes last week.
[744.20s -> 748.76s]  And so you said that did you receive some feedback?
[748.76s -> 752.48s]  It sounds like, I mean, you talked about not having much
[752.48s -> 755.68s]  contact with the Homeowners Association.
[755.68s -> 758.04s]  So did you receive feedback from them
[758.04s -> 760.00s]  that they felt that wasn't an adequate buffer?
[760.00s -> 762.08s]  Because you said you redrew the boundaries
[762.08s -> 763.08s]  to provide more buffer.
[763.08s -> 765.12s]  Was there actually any kind of correspondence
[765.12s -> 767.48s]  with the Homeowners Association on that front?
[767.48s -> 769.48s]  No, not with the Opposition Group.
[769.48s -> 770.56s]  No.
[770.56s -> 773.08s]  With the Homeowners Association?
[773.08s -> 777.00s]  Well, there are two parts of the Homeowners Association.
[777.00s -> 778.60s]  So we've been talking to one part of them,
[778.60s -> 780.44s]  but not to the other, because the other party does not
[780.44s -> 783.16s]  want to speak with us.
[783.16s -> 787.88s]  So we've listened to the people that did want to speak to us.
[787.88s -> 788.84s]  OK.
[788.84s -> 793.08s]  But in terms of the point you were making
[793.08s -> 795.36s]  about why you redrew the boundaries,
[795.36s -> 797.76s]  it was to provide more of a buffer.
[797.76s -> 800.04s]  More of open space, yes.
[800.04s -> 802.28s]  And I didn't understand who you said you were.
[802.28s -> 804.16s]  You said you were not the applicant.
[804.16s -> 807.56s]  Yes, any applicants.
[807.56s -> 810.60s]  So you're the developer of the project?
[810.60s -> 811.48s]  Yes.
[811.48s -> 811.92s]  OK.
[811.92s -> 816.28s]  You were in answer to Mr. I think it was Council Member Riley.
[816.28s -> 819.52s]  You had said you were.
[819.52s -> 821.28s]  I didn't understand your perspective.
[821.28s -> 823.88s]  I said when there was a statement being made
[823.88s -> 828.04s]  that this is just the bidder that's asking you for this request.
[828.04s -> 829.76s]  I said no, not a bidder.
[829.76s -> 832.32s]  I'm a contracted party with AISD.
[832.32s -> 833.92s]  This is not during the bidding process.
[833.92s -> 834.64s]  We're beyond that.
[834.64s -> 836.08s]  That was finished in December.
[836.08s -> 837.68s]  Thank you for having that distinction.
[837.68s -> 839.36s]  I heard you say you were not this, you were that,
[839.36s -> 840.20s]  but I missed what the terms were.
[840.20s -> 842.32s]  That's why I said not a bidder, but contracted party.
[842.32s -> 842.84s]  Yes.
[842.84s -> 843.36s]  OK.
[843.36s -> 844.36s]  Thank you.
[844.36s -> 844.80s]  Thank you.
[844.80s -> 846.92s]  That's where we're Spelman.
[846.92s -> 847.76s]  Thank you, Mayor.
[847.76s -> 851.92s]  I'd like to discuss or ask a question of staff.
[851.92s -> 852.44s]  Sit.
[852.44s -> 853.36s]  Thank you, sir.
[853.36s -> 858.08s]  Mr. Chair, you're also going to be planning development review.
[858.08s -> 859.84s]  Mr. Russell, when this was first submitted,
[859.84s -> 862.24s]  it was the entire 12 acre lot.
[862.24s -> 862.76s]  Yes.
[862.76s -> 866.40s]  And there was a petition submitted.
[866.40s -> 870.52s]  What was the status of the petition at the time it was originally drafted?
[870.52s -> 873.56s]  But when the project was originally drafted,
[873.56s -> 875.16s]  the original rezoning case.
[875.16s -> 876.76s]  The petition was determined to be valid.
[876.76s -> 877.12s]  OK.
[877.12s -> 881.52s]  And I remember hearing the percentage 86.
[881.52s -> 883.28s]  I believe that that was the number you asked right around there.
[883.28s -> 886.60s]  OK, so we got an 86% valid petition in the first draft.
[886.60s -> 887.84s]  The first drafting.
[887.84s -> 891.96s]  Then it was drafted a second time, sometime in late May, around May 29th.
[891.96s -> 893.80s]  Do you know the exact date by any chance?
[893.80s -> 894.92s]  I don't know the exact date.
[894.92s -> 896.60s]  I know that after the boundaries were adjusted,
[896.60s -> 900.28s]  it originally came back at 19.75%.
[900.28s -> 905.04s]  So it was slightly under the 20% required to be valid.
[905.04s -> 908.12s]  At that point, it was pointed out by some of the neighbors
[908.12s -> 910.32s]  that some of the couple of the signatures
[910.32s -> 916.16s]  that were not counted because we did not have was called the authority signatures
[916.16s -> 917.44s]  we needed for those.
[917.44s -> 919.72s]  We were able to get those and get that straightened out.
[919.72s -> 923.32s]  So then earlier this week, the petition was valid again.
[923.32s -> 923.92s]  OK.
[923.92s -> 927.76s]  And then the boundaries were changed again.
[927.76s -> 930.44s]  And the petition went back to being not valid.
[930.44s -> 933.44s]  It fell down to 18.5%.
[933.44s -> 936.24s]  And then there was a further tweak yesterday.
[936.24s -> 940.48s]  And the petition was still unvalid at 18.9%.
[940.48s -> 944.92s]  So that's where it's at right now is it's not valid 18.9%.
[944.92s -> 950.32s]  So we would fix everybody against it to 19.75.
[950.32s -> 953.20s]  How do you get from 86 to 19.75?
[953.20s -> 958.32s]  Because both state and city laws say the petition rights are extended to those within 200 feet.
[958.32s -> 958.80s]  OK.
[958.80s -> 961.52s]  So when you have a 12, I mean, sorry, 12 acre site,
[961.52s -> 965.64s]  it's large enough that you can shrink the boundary in 200 feet.
[965.64s -> 968.96s]  You know, for a time out of circle, you're going in 200 feet.
[968.96s -> 974.56s]  So you take away the ability of all the folks around the edge to count towards the petition.
[974.56s -> 975.00s]  OK.
[975.00s -> 980.04s]  So by moving it in 200 feet, you essentially take away all those signatures.
[980.04s -> 982.68s]  And so in this case, it's mostly 200 feet around.
[982.68s -> 986.12s]  And then there's a portion of it where they didn't have to take out that 200 feet
[986.12s -> 988.44s]  because they were already under the 20%.
[988.44s -> 989.28s]  OK.
[989.28s -> 993.12s]  So for example, if there were no need for a driveway,
[993.12s -> 995.04s]  and you could just helicopter into this place,
[995.04s -> 998.48s]  you could bring the whole thing in with a 200 foot buffer all the way around
[998.48s -> 1001.04s]  and there would be no possibility of a valid petition, am I right?
[1001.04s -> 1001.60s]  That's correct.
[1001.60s -> 1001.76s]  Yes.
[1001.76s -> 1004.28s]  And that's more or less what it would.
[1004.28s -> 1005.60s]  It stands helicopters.
[1005.60s -> 1006.96s]  That's kind of what we were trying to do.
[1006.96s -> 1008.52s]  The applicant was trying to do here, right?
[1008.52s -> 1008.76s]  Yes.
[1008.76s -> 1010.60s]  But obviously, there's still a portion that gets to the street.
[1010.60s -> 1011.72s]  So you don't need the helicopter.
[1011.72s -> 1013.68s]  You got to have those darn driveways.
[1013.68s -> 1014.36s]  OK.
[1014.36s -> 1016.88s]  So we're at 18.9% right now.
[1016.88s -> 1022.68s]  Is there is it technically possible for this petition to exceed 20%
[1022.76s -> 1025.08s]  given the current boundaries?
[1025.08s -> 1028.36s]  Given the current boundaries now, and I believe that from looking at it
[1028.36s -> 1033.36s]  that the applicant has created the boundaries in such a way
[1033.36s -> 1036.12s]  that would be impossible for there to be a valid petition.
[1036.12s -> 1036.72s]  OK.
[1036.72s -> 1041.16s]  So if, for example, I remember the Neighborhood Association hoping
[1041.16s -> 1044.00s]  to find a way of making this petition valid,
[1044.00s -> 1045.64s]  more or less what the applicant has done
[1045.64s -> 1048.64s]  through this successive shrinkage of boundaries
[1048.64s -> 1051.28s]  is made it technically impossible, even if everybody
[1051.28s -> 1054.76s]  within the 200 foot zone who is eligible to sign a petition
[1054.76s -> 1058.16s]  has signed it and has declared it eligible to sign it,
[1058.16s -> 1063.20s]  there is just so much of a buffer around the current shrunk area
[1063.20s -> 1065.08s]  that this is not possible for it to be valid.
[1065.08s -> 1066.96s]  I believe we've reached that point, yes.
[1066.96s -> 1067.88s]  OK.
[1067.88s -> 1068.28s]  Thank you.
[1071.60s -> 1071.88s]  OK.
[1071.88s -> 1077.08s]  So as Council Mayor Morrison pointed out,
[1077.08s -> 1080.60s]  we basically have a choice of dates for postponement.
[1080.60s -> 1084.32s]  I would suggest that because we have the recess
[1084.32s -> 1088.28s]  for the entire month of July, after the 28th,
[1088.28s -> 1092.72s]  the next available date is August 2nd.
[1092.72s -> 1095.96s]  That is almost a two-month delay.
[1095.96s -> 1102.80s]  And it makes sense to me that we could reschedule a case
[1102.80s -> 1107.08s]  for the 28th of June at that point and make a determination
[1107.08s -> 1110.16s]  whether to hear it or postpone it again.
[1110.16s -> 1111.80s]  Councillor Morrison.
[1111.80s -> 1113.36s]  I think your logic is sound.
[1113.36s -> 1115.92s]  And I'm particularly interested in knowing
[1115.92s -> 1118.68s]  if there really are some pragmatic alternatives
[1118.68s -> 1120.16s]  that might be considered.
[1120.16s -> 1124.00s]  So hopefully by June 28th, you all
[1124.00s -> 1125.88s]  will be able to come back and let us
[1125.88s -> 1128.44s]  know if there are alternatives on the table.
[1128.44s -> 1130.32s]  If you can have conversations and explore that,
[1130.32s -> 1131.68s]  that would be great.
[1131.68s -> 1132.96s]  Mayor?
[1132.96s -> 1133.92s]  Councillor Spelman.
[1133.92s -> 1137.80s]  By common convention, there's no formal rule on the subject.
[1137.80s -> 1141.16s]  But by convention, we allow each side to have a postponement.
[1141.16s -> 1142.72s]  In this case, given that the neighborhood
[1142.72s -> 1144.28s]  believes that there may be a possibility
[1144.28s -> 1146.44s]  that they need more time than until June 28th,
[1146.44s -> 1148.76s]  if they seek a postponement and have good reasons
[1148.76s -> 1153.12s]  for seeking a postponement on the 28th of June,
[1153.12s -> 1155.76s]  I like put on the table that in my opinion,
[1155.76s -> 1157.96s]  we should take very seriously their request,
[1157.96s -> 1162.56s]  even though they've already had a postponement.
[1162.56s -> 1163.40s]  All right.
[1163.40s -> 1164.92s]  Thanks for the comment.
[1164.92s -> 1165.84s]  Councillor Morrison.
[1165.84s -> 1168.80s]  And of course, we can always make a motion to postpone.
[1168.80s -> 1169.32s]  We can.
[1169.32s -> 1170.64s]  Yes.
[1170.64s -> 1174.32s]  Which I agree we will need to consider seriously.
[1174.32s -> 1174.96s]  Is that a motion?
[1174.96s -> 1178.80s]  Councillor Morrison, postpone until 28th.
[1178.80s -> 1181.76s]  Second by Councillor Spelman.
[1181.76s -> 1184.00s]  For the discussion, all in favor say aye.
[1184.00s -> 1184.36s]  Aye.
[1184.36s -> 1185.76s]  Opposed say no.
[1185.76s -> 1195.80s]  Postponed until both items 43 and 44 are postponed until June 28th.
