Zoning Case: C14-2010-0077
Meeting Date: 2010-08-26T00:00:00.000
Agenda Item: 76
Source URL: http://austintx.swagit.com/play/45423/0/
================================================================================

[0.00s -> 6.00s]  There are 76.
[210.00s -> 223.00s]  As Mr. Grins indicated to you that we're seeking the LOMU CO limiting to the religious assembly use and SF-2 uses concurrently with this zoning change as a site plan
[224.00s -> 229.00s]  that's been filed and in progress as well as a re-subdivision that's going on.
[229.00s -> 238.00s]  So all three things are being done simultaneously for this proposed addition to the church.
[238.00s -> 252.00s]  The architect is here tonight to also present to you the basic proposal that the church is proposing for the additional square footage that we're
[253.00s -> 256.00s]  going to add to the sanctuary.
[256.00s -> 261.00s]  I'll be available should you have any questions, but I think that pretty well summarizes it.
[261.00s -> 266.00s]  The use of the property is not going to change from what it always has been since the 51.
[266.00s -> 269.00s]  Traffic's not going to change.
[269.00s -> 277.00s]  So we would appreciate Council's consideration as well as the recommending for the staff and the planning commission for approval.
[277.00s -> 279.00s]  Thank you.
[279.00s -> 281.00s]  Thank you.
[281.00s -> 282.00s]  Councilor Marcell.
[282.00s -> 284.00s]  Mr. Bennett, I wonder if you could help me.
[284.00s -> 285.00s]  I hope I didn't just miss this.
[285.00s -> 287.00s]  What about L.O.?
[287.00s -> 297.00s]  Is the church going to need to do their addition that you mentioned, like in terms of setback or F.A.R.?
[297.00s -> 302.00s]  Yes, the reason we're requesting the L.O. is for the advantages of the site development regulations.
[303.00s -> 309.00s]  When the church was built in 50s, if you were around then, you didn't have purpose cover limits.
[309.00s -> 313.00s]  You didn't have building coverage limits and those kind of things.
[313.00s -> 315.00s]  So the church is at that point already.
[315.00s -> 319.00s]  This zoning will make those things fall into play.
[319.00s -> 323.00s]  And then in terms of for the record, I was not around in 1950.
[324.00s -> 343.00s]  And so with the addition, I guess that would be helpful for me to understand how much more into the setback or how much more of height or whatever is going to be added that is L.O. ish.
[343.00s -> 344.00s]  You know what I mean?
[344.00s -> 354.00s]  Remember, I think I can refer you that to the architect who has a pictorial, I think, but it's basically about five down square feet of new and previous cover.
[354.00s -> 358.00s]  So are you through Mr. Bennett?
[358.00s -> 359.00s]  Through speaking?
[359.00s -> 360.00s]  Yes, sir.
[360.00s -> 364.00s]  And I believe you are the signed up as the next speaker.
[364.00s -> 366.00s]  You're the architect that we just referenced.
[366.00s -> 367.00s]  Correct?
[367.00s -> 368.00s]  That is correct.
[368.00s -> 376.00s]  Ben Himesett is in favor and has three minutes and hopefully can answer your questions.
[376.00s -> 378.00s]  Thank you, Mayor and Council members.
[378.00s -> 393.00s]  And I can address that question as well as direct you to the plan that shows you the work of a good two years of creativity and a lot of energy from the church, as well as a number of neighborhood members.
[393.00s -> 398.00s]  The church has, as Mr. Bennett said, been here for a long period of time.
[398.00s -> 404.00s]  They currently worship in what would be the block back at the top of the screen.
[404.00s -> 412.00s]  And in the shaded area you see we're actually removing a one-story portion and building a new worship space there.
[412.00s -> 417.00s]  That little gray bar is actually a breezeway, which is going to become an enclosed atrium.
[417.00s -> 427.00s]  In order to make all this happen, many years before the church had bought the residences you see, which are against Lasso Court.
[427.00s -> 433.00s]  And the thought was that that would be the extra impervious cover because they are in an SF-3 zone.
[433.00s -> 437.00s]  They are already way above the 45% impervious cover.
[437.00s -> 444.00s]  When we showed them that the only way that could actually be accomplished would be to tear all the houses down.
[444.00s -> 449.00s]  That would have allowed 45% impervious cover in one consolidated lot.
[449.00s -> 451.00s]  But that was never anyone's intention.
[451.00s -> 454.00s]  That is not something that we would support at all.
[454.00s -> 461.00s]  And in fact, the creative minds got together and said, well, let's do this subdivision where we consolidate the lot.
[461.00s -> 464.00s]  Ask for appropriate amount of impervious cover.
[464.00s -> 473.00s]  Right now with the area you see in the consolidated lot, before this construction, we would be somewhere in the range of right atrium.
[473.00s -> 476.00s]  Somewhere in the range of right at about 58% impervious cover.
[476.00s -> 483.00s]  By the time we're finished, we'll be right about 61% impervious cover between the footprint and some of the walkways that we're fixing.
[483.00s -> 485.00s]  There's no new parking required.
[485.00s -> 490.00s]  The church actually built the parking that the school uses across Simmeron.
[490.00s -> 499.00s]  And the only concern that I know has come up, and I think we've addressed very effectively here, those houses are going to be sold.
[499.00s -> 505.00s]  And there's a private agreement with the neighborhood association just to make sure that even during the rental period,
[505.00s -> 509.00s]  before those sales are complete, that everybody's interest will be met.
[509.00s -> 510.00s]  So it's a great project.
[510.00s -> 511.00s]  We're very proud of it.
[511.00s -> 521.00s]  And since you can indulge me just a second, I'll show you.
[521.00s -> 526.00s]  The new look, because one of the complaints has been from the church members,
[526.00s -> 531.00s]  it's hard to tell the difference between the churches it looks now and the school next door.
[531.00s -> 537.00s]  When we're finished with this project, which is the only reason we need to rezone, and Council Member Morrison to answer your question,
[537.00s -> 539.00s]  it is strictly the impervious cover.
[539.00s -> 541.00s]  All the height issues have been worked out.
[541.00s -> 543.00s]  But you'll know it's a church when we're done.
[543.00s -> 550.00s]  Thank you.
[550.00s -> 558.00s]  One speaker signed up against, Joanne Ray.
[558.00s -> 563.00s]  Welcome, you have three minutes.
[563.00s -> 564.00s]  I'm Joanne Ray.
[564.00s -> 567.00s]  I live at 4602 Cactus Lane.
[567.00s -> 570.00s]  That's across the street from the church parking lot.
[570.00s -> 576.00s]  I do want to let you know that when we went to the planning commission meeting,
[576.00s -> 585.00s]  we presented 31 objection forms, and I guess they had a deaf ear to that because they only,
[585.00s -> 591.00s]  they said that they had an endorsement from the Southwood Association and from WT&A,
[591.00s -> 593.00s]  which is Western Trails Association.
[593.00s -> 597.00s]  They did not have an endorsement from the Association members.
[597.00s -> 601.00s]  We were never, we never had a meeting and we never voted.
[601.00s -> 614.00s]  The only people that agreed to this, whatever they agreed with with the church was in secret meetings with the officers of the association.
[614.00s -> 622.00s]  None of the members like me that have been there for years never even got a chance to vote or to figure out what they were wanting or doing.
[622.00s -> 630.00s]  So we also have a petition that we presented Tuesday, I believe.
[630.00s -> 635.00s]  And I didn't know really how to go about figuring 200 feet.
[635.00s -> 644.00s]  So I was told that I'm short, maybe two or three percent points of the required 20%.
[644.00s -> 648.00s]  There are nine other houses that have agreed to sign.
[648.00s -> 654.00s]  It's just that they were out of town or they were in the hospital or whatever.
[654.00s -> 659.00s]  They had different reasons why they weren't there when I went by for them to sign the petition.
[659.00s -> 669.00s]  So there are so many people in our neighborhood within 200 to 500 feet that have objected to this, but no one has hurt us.
[669.00s -> 673.00s]  No one has paid attention to us, not even the church.
[673.00s -> 675.00s]  We tried to talk with them about it.
[675.00s -> 678.00s]  I don't have any idea what's going on.
[678.00s -> 683.00s]  And I'm one of the main members of the neighborhood, been there for 32 years.
[683.00s -> 689.00s]  There's four houses on our street that are highly affected by the driveway that's out on Cactus Lane.
[689.00s -> 694.00s]  The Simmeron driveway is where highly affected from the Simmeron people.
[694.00s -> 698.00s]  And they're upset about this as well.
[698.00s -> 705.00s]  So if you look at what we've presented and how many people are against it compared to the people that are for it,
[705.00s -> 712.00s]  the Homeowner of the Association President said that there were 13 floors.
[712.00s -> 716.00s]  Well, most of those were the officers and the board members.
[716.00s -> 719.00s]  I don't know who else it would have been.
[719.00s -> 727.00s]  So anyway, I think that what we're asking is that you do not allow an L.O. M.U. zoning
[727.00s -> 735.00s]  because they could have come in with a lot less zoning, even a neighborhood zoning like N.O.
[735.00s -> 739.00s]  Neighborhood office rather than L.O. M.U.
[739.00s -> 748.00s]  And with us having to live across from that, our objections is, oops, okay, I'll stop.
[748.00s -> 750.00s]  All right, thank you.
[750.00s -> 751.00s]  Mayor?
[751.00s -> 752.00s]  Council Member Spelman.
[752.00s -> 755.00s]  I might ask a question since this, ma'am.
[755.00s -> 757.00s]  Ma'am is right.
[757.00s -> 758.00s]  Question.
[758.00s -> 764.00s]  You're the only person who signed up against and you were just getting to what I really wanted to hear when your time ran out.
[764.00s -> 765.00s]  So let me ask you a question.
[765.00s -> 766.00s]  Okay.
[766.00s -> 768.00s]  What's the nature of your objection?
[768.00s -> 779.00s]  The nature of all of the homeowners objections within 200 to 500 feet is that with the L.O. M.U. zoning,
[779.00s -> 787.00s]  we're all mostly old people and we can't get out and do petition like I did this time.
[787.00s -> 788.00s]  I'm 70.
[788.00s -> 791.00s]  In another five or 10 years, I can't do this.
[791.00s -> 797.00s]  And most of the people in my neighborhood are anywhere from 60 to 90 years old.
[797.00s -> 805.00s]  So what our concern is that five years or 10 years down the road, they're going to sell this to a big developer.
[805.00s -> 807.00s]  It'll already be zoned.
[807.00s -> 808.00s]  L.O. M.U.
[808.00s -> 814.00s]  Now I know they say that there's going to be overlays and agreements and this and that, but I haven't seen any of them.
[814.00s -> 817.00s]  And I'm not sure that there are going to be.
[817.00s -> 830.00s]  But anyway, the only agreements that they have with the church, the association president, is that it's for the rental property, that's all, as long as it's rental.
[830.00s -> 840.00s]  And what we're concerned with is the city data transportation study and it was done on a Tuesday with no school.
[840.00s -> 856.00s]  So what the transportation department told me is that if I would postpone until the 23rd or ask for a postponement until the 23rd, they're going to do two more studies on a Wednesday and a Sunday.
[856.00s -> 867.00s]  And I didn't have a chance to postpone because I was out of town because I have several ill relatives that went through cancer treatment, cancer surgery major.
[867.00s -> 874.00s]  So I've been out of town a lot and haven't been able to do as much as I should be able to.
[874.00s -> 882.00s]  But our concern is the future because once it's a zoning change, we have no control over that.
[882.00s -> 888.00s]  It won't ever go back to something else, it'll just go further.
[888.00s -> 891.00s]  And not that they're going to do it anytime soon.
[891.00s -> 901.00s]  But I was told by one of the church members about a year ago that they were looking for property south and they were thinking about purchasing property south.
[901.00s -> 904.00s]  So whether that's on the agenda or not, I don't know.
[904.00s -> 907.00s]  But we are very concerned, we don't want the LOMU.
[907.00s -> 915.00s]  And I know that it being a church, they can surely go with an NO or something else.
[915.00s -> 921.00s]  And we can give them some kind of variances or whatever.
[921.00s -> 927.00s]  I mean, I haven't been involved enough talking to the correct people to know what's going on.
[927.00s -> 931.00s]  I've only got what little information I've gotten from.
[931.00s -> 937.00s]  The only people that helped me was the site department.
[937.00s -> 946.00s]  The zoning commission was absolutely already biased, didn't even listen to us, didn't even consider us, didn't consider we existed.
[946.00s -> 951.00s]  They said, well, the neighborhood association has endorsed this, no.
[951.00s -> 954.00s]  Only eight people.
[954.00s -> 959.00s]  I think I understand what your objection is, Ms. Ray, and we'll make sure it gets taken into account.
[959.00s -> 960.00s]  Thank you very much.
[960.00s -> 964.00s]  I really appreciate that.
[964.00s -> 973.00s]  And just for my own edification, I think what I heard was the only yellow use allowed was religious assembly.
[973.00s -> 976.00s]  And all other uses would be single family.
[976.00s -> 978.00s]  Is that correct?
[978.00s -> 979.00s]  That's correct.
[979.00s -> 985.00s]  And just Ms. Ray, that overlay is the zoning.
[985.00s -> 989.00s]  So it's as much a part of the zoning as anything else.
[989.00s -> 993.00s]  That would go forward for any, if the property was sold.
[993.00s -> 1001.00s]  It would still have that limitation, if it weren't anything besides religious assembly, it would have to be a single family residence development.
[1001.00s -> 1006.00s]  That's where it works.
[1006.00s -> 1007.00s]  Thank you.
[1007.00s -> 1010.00s]  So you all are asking for LOMU.
[1010.00s -> 1013.00s]  Can you tell me why you need MU at this point?
[1013.00s -> 1024.00s]  Because staff had indicated to us that we couldn't only have one single L.O. use, religious assembly, that we had to have more than one use.
[1024.00s -> 1029.00s]  That's where the MU component came in with the SF2 restriction.
[1029.00s -> 1030.00s]  Okay.
[1030.00s -> 1032.00s]  And Mr. Guernsey, could you talk to me about that?
[1032.00s -> 1035.00s]  We couldn't just do L.O. with religious assembly only.
[1035.00s -> 1040.00s]  No, you can't limit it to just one use.
[1040.00s -> 1047.00s]  There's some legal rationale if you actually got down to zimini zoning a property for one specific use.
[1047.00s -> 1051.00s]  I mean, that would almost be spot zoning in that sense.
[1051.00s -> 1059.00s]  Staff thought that the SF2 was appropriate because it would allow for single family development, which would be compatible with the neighboring properties.
[1059.00s -> 1069.00s]  Actually, if they chose not to do a religious assembly use and just decide to build under SF2, SF2 is actually more restrictive than the properties that surround it.
[1069.00s -> 1073.00s]  All the surrounding properties are owned SF3, so they could build duplexes around them.
[1073.00s -> 1080.00s]  But then on this property, if it's a church decide not to go for, they could only build SF2 uses.
[1080.00s -> 1092.00s]  It would not allow duplexes, but it would so allow them to build single family homes on this property if the church would ever decide to move away unless they wanted to continue as a church or go for other uses that allowed SF2.
[1092.00s -> 1095.00s]  Thank you.
[1095.00s -> 1100.00s]  So bottom line Mr. Guernsey is without all of the alphabet soup.
[1100.00s -> 1104.00s]  Early two uses allowed on that property and that's a religious assembly in SF2.
[1104.00s -> 1110.00s]  Well, SF2, those uses a lot in SF2, which are prominently single family and some civic uses.
[1110.00s -> 1113.00s]  That would go on with that.
[1113.00s -> 1114.00s]  Okay.
[1114.00s -> 1117.00s]  Council Member Shade.
[1117.00s -> 1127.00s]  I just wanted to assure, just as the mayor said already, but make sure that you understand that you are being heard and that the zoning category includes those letters.
[1127.00s -> 1132.00s]  It does seem like an alphabet soup, but it does include the letters that come as all part of this.
[1132.00s -> 1138.00s]  So any change that a future owner would seek would require a zoning case.
[1138.00s -> 1141.00s]  And I just wanted to make sure you understood that.
[1141.00s -> 1151.00s]  Well, you can come forward if you don't understand it if you wanted to respond, but I just wanted to make sure you understood that.
[1151.00s -> 1152.00s]  Do you realize that?
[1152.00s -> 1169.00s]  That what concerns my neighbors is the fact that future, even let's say that none of us are able to fight it next time or do anything about it, and a developer comes along and decides they're going to get rid of the covenants or the overlays or whatever.
[1169.00s -> 1174.00s]  And they're going to go since it's already zoned LOMU, they're going to do that.
[1174.00s -> 1178.00s]  Well, again, it may just be a- I know they have to come before.
[1178.00s -> 1185.00s]  The zoning category is not just being LOMU, it actually is CO.
[1185.00s -> 1192.00s]  And so, I mean, all three of those pieces of that zoning category matter.
[1193.00s -> 1201.00s]  And so, I mean, I think that I have a better sense for why the church is doing what they're doing.
[1201.00s -> 1214.00s]  And I'm going to be supporting the applicant, but I wanted you to understand that in the future, it's going to have to be the single family or the religious assembly.
[1214.00s -> 1217.00s]  It isn't like somebody's going to be able to build something else.
[1217.00s -> 1223.00s]  In the future, the LOMU is just going to be disintegrated if they decide to sell the property.
[1223.00s -> 1230.00s]  No, the LOMU-CO is all part of it, and it travels with that property, whoever would own it.
[1230.00s -> 1237.00s]  But the new owner that wants to develop would come in and say, you've already got LOMU.
[1237.00s -> 1239.00s]  CO, they'd say, yeah, all three of those.
[1239.00s -> 1244.00s]  They'd duck the CO and say, okay, that's off the table now.
[1244.00s -> 1245.00s]  And there's nothing we can do.
[1245.00s -> 1247.00s]  Well, they could also get rid of it.
[1247.00s -> 1252.00s]  That's a new zoning case that would have to go all the way through the process.
[1252.00s -> 1258.00s]  It would be just like, I mean, he could also come in and ask for GR or something else, something like that.
[1258.00s -> 1261.00s]  It's a new, it would require a new zoning case.
[1261.00s -> 1267.00s]  I think all the businesses across So Man Check Road are zoned, you know, not LOMU.
[1267.00s -> 1270.00s]  And there again, we're right across the street.
[1270.00s -> 1271.00s]  And there's a guy.
[1271.00s -> 1275.00s]  And now without this kind of conditional overlay isn't going to be what you'd want.
[1275.00s -> 1278.00s]  There's a driveway that comes right into our street.
[1278.00s -> 1283.00s]  And we look at the city, I mean, they're dumpster every day.
[1283.00s -> 1290.00s]  We look at, there have no landscaping and the dirt washes off every rain.
[1290.00s -> 1292.00s]  They should come out and I'll show them.
[1292.00s -> 1293.00s]  It's all over the street.
[1293.00s -> 1300.00s]  I go and I pick it up with shovels, buckets, at least 15, 5 gallon buckets a year.
[1300.00s -> 1306.00s]  And to keep it from washing down two drain holes that are in the front of my house.
[1306.00s -> 1309.00s]  And their leaves come down our street.
[1309.00s -> 1313.00s]  And I pick up at least 100 cans of fattoms a year.
[1313.00s -> 1317.00s]  And I've asked the church to come and help us and they won't do a thing about it.
[1317.00s -> 1319.00s]  So they haven't been good neighbors.
[1319.00s -> 1325.00s]  Excuse me for the interruption, but that really has nothing to do with the zoning.
[1325.00s -> 1334.00s]  And so what I want to happen is the city manager is going to get someone to sit down with you now.
[1334.00s -> 1337.00s]  Or, you know, within the next few minutes.
[1337.00s -> 1341.00s]  And try to explain it further to you how the system works.
[1341.00s -> 1343.00s]  Because I don't, frankly, I don't know how to explain that.
[1343.00s -> 1351.00s]  No, what we're trying to get there also is the driveway issue, the landscaping and that sort of thing.
[1351.00s -> 1356.00s]  Well, you can, we'll have somebody sitting down and talk with you about all of your concerns.
[1356.00s -> 1357.00s]  Well, I appreciate it.
[1357.00s -> 1358.00s]  Thank you.
[1358.00s -> 1363.00s]  No one has so far.
[1363.00s -> 1367.00s]  Okay, I think we're back to rebuttal by applicant.
[1367.00s -> 1370.00s]  If I didn't get lost in there somewhere.
[1370.00s -> 1374.00s]  Mayor, just briefly, the use of the site is not changing.
[1374.00s -> 1377.00s]  It will still be as it has been since 1951.
[1377.00s -> 1379.00s]  The driveways are not changing.
[1379.00s -> 1382.00s]  The parking is not increasing.
[1382.00s -> 1387.00s]  The amount of investment to make the addition that was shown to you in the rendering
[1387.00s -> 1393.00s]  surely warrants that we're not leaving in a very quick time pattern.
[1393.00s -> 1395.00s]  We understand, Mr. Bennett.
[1395.00s -> 1397.00s]  And that's in summary.
[1397.00s -> 1399.00s]  Thank you, sir.
[1400.00s -> 1402.00s]  Okay.
[1402.00s -> 1408.00s]  So item number 76, discussion or emotion?
[1408.00s -> 1411.00s]  First reading, Mr. Guernsey.
[1411.00s -> 1414.00s]  Now, this is actually ready for three readings.
[1414.00s -> 1416.00s]  And you had a reference, there was a petition.
[1416.00s -> 1418.00s]  You do have that on your dias.
[1418.00s -> 1422.00s]  It stands at about 15.17%.
[1423.00s -> 1429.00s]  The petition, as written, was basically saying that they would like to see no more
[1429.00s -> 1432.00s]  than N.O. zoning on the property.
[1432.00s -> 1436.00s]  Probably the big difference between N.O. and L.O. is 170% under L.O.
[1436.00s -> 1437.00s]  Right, we understand.
[1437.00s -> 1441.00s]  But it's not a valid petition, right?
[1441.00s -> 1445.00s]  Okay.
[1446.00s -> 1448.00s]  Council Member Shade.
[1448.00s -> 1454.00s]  I'll move to close the public hearing and support, I guess, the support, the applicant
[1454.00s -> 1456.00s]  or the Zap proposal.
[1456.00s -> 1459.00s]  Zap, recommendations on all three readings?
[1459.00s -> 1460.00s]  Yes, sir.
[1460.00s -> 1463.00s]  Motion by Council Member Shade, seconded by the Mayor Pro Tem.
[1463.00s -> 1466.00s]  Any further discussion?
[1466.00s -> 1470.00s]  Hearing none, all in favor say aye.
[1470.00s -> 1471.00s]  Aye.
[1471.00s -> 1476.00s]  As they know, passes on to vote a six to zero with Council Member Cole off the dais.
[1476.00s -> 1477.00s]  Thank you, Mayor and Council.
[1477.00s -> 1482.00s]  That concludes zoning changes for this evening.
[1482.00s -> 1485.00s]  Okay, thank you, Mr. Guernsey.
