Zoning Case: C14-2018-0102
Meeting Date: 2018-11-29T00:00:00.000
Agenda Item: 54
Source URL: http://austintx.swagit.com/play/45775/0/
================================================================================

[0.00s -> 5.04s]  All right that gets us then to our agenda you want to take us through the
[283.24s -> 287.20s]  Right now, I know the petition has been dropping from its 25% number
[287.20s -> 292.80s]  It was 22 earlier and I was just handed another withdrawal of three additional names
[293.24s -> 294.40s]  so
[294.40s -> 300.64s]  Next time I would anticipate that they're actually a petition would have been would below the 20% threshold
[301.56s -> 304.08s]  Requiring the three quarters majority of the city council
[304.24s -> 309.80s]  But right now names are coming off with the acknowledgement of the owner this week of their amended request
[310.16s -> 317.72s]  So staff would offer consent approval on first reading only an item number 60 of the applicant's amended request
[324.40s -> 326.40s]  So
[330.96s -> 336.56s]  So I guess on on these items the 57 we have three people signed up to speak
[337.12s -> 341.64s]  Given what's been read into the record. Do any of those three people wish to speak here today?
[343.00s -> 345.60s]  Okay with the moving forward great. Thank you
[347.52s -> 351.48s]  Then we have 18 speakers signed up for item number 59
[351.76s -> 354.24s]  That'll be those were all the speakers that we
[355.36s -> 361.16s]  Had 59 is being pulled the consent items are 49 through 60
[362.00s -> 365.20s]  With item 59 being pulled
[365.96s -> 370.32s]  Is there a motion to prove the consent agenda? Miss Houston?
[371.72s -> 375.00s]  Excuse me, man. I was in the backs slow to get out
[379.00s -> 381.00s]  I got a
[381.04s -> 387.84s]  Email from the Berkman folks about postponing. Yes, that read into the record. Yes. Yes
[387.84s -> 393.76s]  If you want to 52 the postponement is part of the consent agenda right to the December 3rd anything else
[393.76s -> 399.88s]  Is there a motion to approve the consent agenda because we're pull makes the motion council member Houston seconds that any discussion and mayor
[399.88s -> 401.88s]  That includes closing the public hearings
[402.28s -> 409.76s]  We're appropriate closing public hearing and noting those changes to noting the changes to 57 58 as you read them
[409.76s -> 411.76s]  As you read them into the record
[412.52s -> 414.52s]  Mayor pro tem
[415.68s -> 421.68s]  I'm sorry to do this mr. Grinsie, but I'm gonna need you to summarize for me again what what you
[422.24s -> 428.04s]  Read into the record as changes for 57 and 58. I know it applied to the word grandfathering, but I just want to be
[428.64s -> 435.00s]  Really? Yes, they're crystal clear on that point. There's a reference in the staff backup that refers to grandfathering
[435.20s -> 438.32s]  These projects were invested by our development service for men
[438.84s -> 447.04s]  There are entitlements that were created for this property through an old restricted covenant that actually would entitle certain
[447.56s -> 450.04s]  Development standards that goes back all the way to 1981
[451.12s -> 457.60s]  The applicants requested as it's being presented would actually make several changes to the covenant
[458.20s -> 463.96s]  So it would actually reduce impervious cover do better water quality standards
[464.64s -> 466.64s]  But those different things
[466.72s -> 470.64s]  I just want to make sure that people understood that it wasn't a besting issue it was
[471.08s -> 473.08s]  Telemeters from Covenant and that
[473.16s -> 479.20s]  These changes that we're talking about in the Covenant as it would move forward would apply to their next project
[479.28s -> 484.14s]  So as they complete that next project they get their site plan building permits approved that those
[484.24s -> 491.76s]  Entitlements wouldn't carry forever on the property that they would end with this next project being completed and build out the one that we are
[492.56s -> 499.48s]  Addressing they would apply as as staff have presented they would those entitlements would though apply to this project
[499.48s -> 500.88s]  They would entitle this project
[500.88s -> 506.72s]  But if the project has been built completed and someone would come back in 50 years from now 100 years now
[507.00s -> 509.96s]  Those same entitlements then would be subject to more current code
[510.44s -> 516.44s]  Okay, I'm gonna have to think of just a little bit. I mean, I'm okay with this passing on first reading today, but that is
[517.00s -> 520.68s]  the substance of the issue that I'm gonna need to think about between this
[521.24s -> 527.48s]  Session and the next one and I also wanted to just point out my staff has been looking at some of the information and the staff report and it
[527.84s -> 530.90s]  The zoning review sheet actually talked about those entitlements
[531.56s -> 536.96s]  Dating to 8 1985 and then the RCA review sheets is 1981 so I hope we can resolve
[536.96s -> 542.72s]  Yeah, it is 1981 and we'll have that cleared up before you see the end. Okay. All right
[542.76s -> 548.38s]  Thank you, and so is it is it the intent that a new RC would be drafted between now and second reading
[549.04s -> 552.80s]  Second third reading the us there would be we're postponing the Richard cabinet today
[552.80s -> 558.52s]  And then we would have to perfect a new restricted cabinet that obtain many of the things that are in the old but
[558.72s -> 561.40s]  With the modifications that are outlined in the staff report
[561.80s -> 562.76s]  So
[562.76s -> 568.60s]  Mayor I think that the motion closed the public hearing I'm not sure that we want to do this that on this item
[569.04s -> 574.72s]  So I think I would make the motion that that that be pulled out of the public hearing closure
[574.72s -> 579.60s]  Okay, leave the public hearing open another objection to that. We'll leave the public hearing that out in 59
[580.32s -> 586.84s]  58 58 rally or 59 or 57 excuse me 57 the public hearing remain open
[587.80s -> 589.96s]  57 and 58 public hearings remain open
[591.00s -> 594.60s]  Okay, it's been moved and seconded ready for a vote. Yes planning
[594.64s -> 601.08s]  So I want to be shown voting no on item number 50 as I had done on first reading on on item 53
[601.40s -> 606.08s]  I'll I'll remain in support, but just to note that I think it's another example of
[606.92s -> 612.84s]  A place where the CEO process for uses is broken. We've got CEOs for use restrictions
[612.84s -> 616.64s]  But weirdly not restricting adult-oriented businesses even though it's a CS
[617.32s -> 621.08s]  Property and I think it's just a good example of where that process is imperfect now
[621.16s -> 627.80s]  We should find a better way to ensure that we're really considering where things are appropriate outside of just whatever thing happens to randomly make
[627.80s -> 629.80s]  It's way through zoning case
[630.48s -> 631.44s]  Okay
[631.44s -> 634.96s]  They moved and seconded the consent agenda those in favor please raise your hand
[635.68s -> 637.68s]  those opposed
[637.68s -> 641.20s]  Genanimous on the diets with the notations made with council members
[642.20s -> 645.64s]  Trox player and alter off the
