Zoning Case: C14-2011-0122
Meeting Date: 2011-12-08T00:00:00.000
Agenda Item: 124
Source URL: http://austintx.swagit.com/play/44938/0/
================================================================================

[0.00s -> 3.00s]  Okay 124
[552.66s -> 555.50s]  Restart from based on that. Thanks very much. That's good. That's me
[555.50s -> 560.34s]  That's more tellable. I appreciate you doing that
[560.94s -> 565.42s]  Work of communicating with the Round Rock school district and and the task of
[566.10s -> 572.10s]  Taking the educational impact statement that the staff has developed with AISD and applying it to this case
[572.54s -> 576.42s]  And this sort of highlights for me again something that we talked about several meetings ago
[576.74s -> 582.86s]  The need to have an EIS that works well with all the districts that fall within our Austin boundaries because there are cases that I think
[583.42s -> 589.74s]  We are considering a rezoning that could impact potentially the schools in a district other than AISD
[590.42s -> 592.42s]  Can you just take us through the?
[592.70s -> 597.06s]  Some basics about the development. I'm having trouble pulling up the staff report and though I've seen it
[597.06s -> 599.06s]  I've forgotten what the number of units
[599.10s -> 601.54s]  What the unit count is what the bedroom count is?
[602.22s -> 604.22s]  If you could talk us through
[604.26s -> 610.50s]  The levels of affordability that the developer is intending to achieve and that'll help I think flesh out
[611.06s -> 615.20s]  Some of the issues that would be part of a educational impact statement surely
[618.70s -> 620.70s]  So this sort of summarizes
[620.94s -> 622.88s]  counts member tovo
[622.88s -> 626.76s]  Sort of the basic facts about the development the proposal is a max of
[627.30s -> 632.22s]  243 units that is MF1 density as Greg Guernsey pointed out
[632.94s -> 638.98s]  And I've stated up there if you take that 243 units how the affordability would break down
[639.14s -> 644.82s]  They're looking at very deep levels of affordability with 80% of the units being at 60%
[645.70s -> 647.70s]  average median income and
[648.22s -> 652.62s]  20% of the units being at 50% so the project will be a hundred percent affordable
[653.42s -> 655.42s]  Broken down in that way
[656.94s -> 663.66s]  Atlantic housing there actually their presidency is here if you have questions they're an experienced developer
[663.90s -> 671.26s]  They currently have about 35 projects that they are they have ownership of about seventy five hundred units total
[672.30s -> 675.70s]  Lots of projects in Texas about 25 of those in Texas
[676.38s -> 682.38s]  And then southeast and so this project will be similar to to some of those
[683.18s -> 690.54s]  As I said we are fine with the conditions that staff recommended and that have been imposed by the commission
[690.70s -> 696.90s]  We're completely fine with those conditions being that we will comply with compatibility. Although it otherwise wouldn't be required
[697.34s -> 700.18s]  That will limit the number of trips to 200
[700.78s -> 705.98s]  2000 max per day and that we will build that MF1 density as a maximum
[707.42s -> 711.42s]  Oh, I'm sorry. No go ahead the levels of affordability are I
[712.10s -> 718.26s]  And I know from some of the conversations we've had that this is a tax credit project is that still the intent to correct
[718.26s -> 720.26s]  Yes as a tax credit
[720.74s -> 724.90s]  Projects of the commitment to affordability would is absolute. That's right
[725.78s -> 731.10s]  And just one question well two more questions with regard to the reboundry process
[731.30s -> 738.42s]  The schools that we've discussed well as branch elementary in the middle school are not impacted by are they they're not involved in the reboundry process?
[738.42s -> 742.62s]  Well, is it but might they potentially be impacted by the reboundry process?
[743.82s -> 745.14s]  At this time
[745.14s -> 750.10s]  I guess you know, there's a focus group similar similar to the one that a ISD put together
[751.06s -> 753.90s]  Made up of citizens in the community parents at the schools
[754.90s -> 756.50s]  that is
[756.50s -> 764.30s]  Currently talking to the community having community meetings to go through the process of defining the the the boundaries at the end of the day
[764.70s -> 772.26s]  Right now as it stands neither this elementary school nor this middle school are in any way in that process because neither is
[772.74s -> 779.18s]  At or close to capacity and so and they're not projected to be in the near future
[779.54s -> 783.02s]  So although I you know, they could become involved
[783.02s -> 790.66s]  I guess if some members of the community want those schools studied the district didn't doesn't at this time feel like they need to be included
[790.74s -> 797.82s]  What is that do you have the capacity numbers for the elementary school? You know, I do not know if I have the max
[798.18s -> 803.10s]  Capacity numbers, I think what I've got councilmember toa and I apologize is the current
[804.06s -> 809.04s]  Enrollment in the two. I don't think I've got the max capacity numbers for those two schools
[809.22s -> 815.66s]  You know one of the one of the intents of the educational impact statement is to make sure that there is kind of that
[815.66s -> 821.18s]  There are early conversations going on between developers and municipalities and the school district
[821.18s -> 826.02s]  So I assume from the information you've brought forward today that you've had conversations with round rock
[826.02s -> 831.26s]  And they understand that if this is approved that that this project on the ground could result in
[831.82s -> 835.86s]  40 new students have you shared this kind of research with them in your conversations?
[835.86s -> 836.58s]  We have yes
[836.58s -> 842.62s]  And we've given them all the specifics that you guys have heard about the project and so they are factoring that into their process
[842.74s -> 848.70s]  Good and then my last question is about transportation. Mm-hmm. Could you address?
[849.34s -> 855.82s]  How easily accessible this development would be from public from a public transportation perspective sure
[856.18s -> 857.62s]  the
[857.62s -> 859.62s]  site
[859.62s -> 865.18s]  At the time we started looking at it. I think about a slide to address that
[865.86s -> 871.30s]  At the time we started looking at the site the site was on a capital Metro route
[872.70s -> 878.74s]  Unfortunately that route has was terminated by Metro earlier this year because of low ridership
[879.50s -> 884.02s]  so we are working with Metro to try to
[885.02s -> 887.02s]  Get that route reinstated
[887.50s -> 889.50s]  they don't feel like our
[889.98s -> 893.46s]  numbers of units will really be high enough to
[894.42s -> 901.38s]  justify reinstating that route because of the cost to Metro to do that, but they're definitely willing to continue that conversation
[902.50s -> 908.46s]  one thing that we have agreed that we will do is if Metro is able to
[909.46s -> 912.14s]  Re-instate that route we will
[912.86s -> 916.98s]  Agree to donate some land for and to build a
[918.22s -> 923.34s]  Duck-in so that the buses have a stop there. We'll build that stop. We'll maintain that stop
[924.06s -> 925.18s]  and
[925.18s -> 931.34s]  We actually think we probably will end up doing that anyway so that the school buses have an option to
[932.34s -> 937.16s]  To access the site without having to stop on 1325 and hold up traffic
[938.54s -> 940.34s]  the
[940.34s -> 945.90s]  Unfortunately, and we really don't know why but Wells branch mud which completely surrounds us
[946.54s -> 949.46s]  Has not required that sidewalks be built
[949.78s -> 956.62s]  So whereas we will build sidewalks. There is a development across the street from us that is built as already built sidewalks
[957.34s -> 961.22s]  There's not a connected grid of sidewalks in the area
[961.78s -> 968.70s]  So one thing that in addition to trying to get the bus service back to the site so that it will
[969.26s -> 974.74s]  The site is at 1.5 miles from the city's probably most major transit center
[974.82s -> 979.22s]  Which is at Howard Lane where you can get essentially a bus or train anywhere in the city
[980.58s -> 987.30s]  But really it's difficult to get to because of the lack of sidewalks since Burnet Road
[987.30s -> 990.38s]  Which is a fairly busy street doesn't have sidewalks
[991.30s -> 993.30s]  Consistently that connect you
[993.38s -> 998.94s]  You'd have a portion of Burnet probably about a half a mile where you'd have to walk
[999.22s -> 1001.42s]  Essentially either on a bar ditcher on the side of the road
[1001.62s -> 1009.22s]  So we really feel like it's important to try to get metro to reinstate some service so that people can get over to the transit center
[1009.22s -> 1011.74s]  We some of our residents of course will have cars
[1011.74s -> 1017.02s]  They will probably opt to drive to that transit center and then take transit into work
[1017.62s -> 1019.14s]  We also
[1019.14s -> 1025.90s]  Acknowledge and part of the reason we're interested in this site is is that a lot of our employers are actually the other way where they don't have to get
[1026.90s -> 1028.90s]  Onto Burnet and head
[1029.38s -> 1031.38s]  South and West
[1032.14s -> 1037.02s]  But one other thing let me sort of get to the answer to your question that we
[1037.02s -> 1042.62s]  Have agreed that we will do is you can barely see that
[1042.62s -> 1045.30s]  But where I've kind of can you see that in green on that?
[1045.30s -> 1047.30s]  It doesn't show in green on your screen
[1047.66s -> 1054.30s]  We are we have agreed that we will try to negotiate with the property owners that are adjacent to us to
[1054.70s -> 1061.78s]  At least have a pedestrian path at the rear of the development what I'm calling the rear because it's not at 1325
[1061.78s -> 1063.54s]  It's on the other side of it
[1063.54s -> 1070.58s]  So that if folks want to access the neighborhood so basically so that we connect to the neighborhood
[1070.90s -> 1074.82s]  There is a complete sidewalk grid once you get into that neighborhood
[1074.82s -> 1079.86s]  It's just not out on Burnet Road, and so we're going to look at the option of maybe
[1080.98s -> 1089.18s]  Having a pedestrian access that we will build back there to then access those sidewalks get into that grid connect to the neighborhood
[1089.18s -> 1092.18s]  And that will make mobility much much better
[1092.18s -> 1096.10s]  I know there's some can be I talked to some of the neighbors tonight
[1096.10s -> 1098.38s]  I think there's going to be some opposition to that
[1098.54s -> 1103.86s]  But we actually think at the end of the day if we can accomplish that with those owners that'll be a really good solution
[1108.18s -> 1110.18s]  Okay, we'll go to those
[1110.90s -> 1114.54s]  Sign up in opposition first is Laura Ledwig
[1116.18s -> 1118.18s]  Laura Ledwig
[1119.02s -> 1122.06s]  Apparently not here Kelly Landry
[1123.78s -> 1126.98s]  And donating time to Kelly is
[1128.38s -> 1131.02s]  Tressy Landry Tressy here, okay
[1131.98s -> 1134.86s]  Laura Ledwig again is not here
[1136.26s -> 1138.26s]  Kristi Allen
[1138.62s -> 1140.62s]  You're Kristi
[1141.30s -> 1143.14s]  Alan Kristi
[1143.14s -> 1144.90s]  Is he here?
[1144.90s -> 1147.30s]  Well, I thought you were Kelly Landry
[1149.02s -> 1153.54s]  Okay, so you have up to nine minutes
[1155.14s -> 1157.14s]  Thank you and good evening
[1158.42s -> 1161.90s]  Thanks for the opportunity to speak here today. My name is Kelly Landry
[1162.22s -> 1165.42s]  My home is adjacent to the subject property in this zoning case
[1165.42s -> 1172.06s]  I represent myself and my neighbors and opposing the zoning change as proposed in the application
[1172.66s -> 1177.70s]  The general consensus among the residents is that we support a combination of commercial
[1178.18s -> 1186.94s]  And single-family zoning with commercial zoning along the frontage of FM 1325 and single-family zoning on the remainder of the property
[1187.90s -> 1195.10s]  Many residents wanted to speak here tonight, but out of respect for the council's time. We've limited those speakers to just three
[1195.98s -> 1203.42s]  We learned at the zoning and planning Commission on November 15 that this project was intended as a smart housing project
[1203.58s -> 1206.58s]  We understand that the mixed use and affordability
[1207.30s -> 1209.06s]  aspects of smart housing
[1209.06s -> 1215.46s]  May be satisfied with this project as proposed however other core concepts safety
[1216.30s -> 1217.66s]  Accessibility
[1217.66s -> 1220.78s]  Transportation cannot be achieved with this property
[1221.42s -> 1227.18s]  The general idea and the thing that you'll hear today this evening is that multi-family housing of any kind is
[1227.42s -> 1232.06s]  Unsuitable for this property because of the presidents of two high-voltage transmission lines
[1232.38s -> 1239.02s]  The lack of safe vehicle access to residents and firefighters and the impact to already overcrowded schools
[1239.58s -> 1241.66s]  our first point is important one and
[1243.06s -> 1245.70s]  Addresses the core concept of safety in smart housing
[1246.30s -> 1252.72s]  This project could present serious hazards to firefighters and general public due to the presence of high-voltage transmission lines
[1253.46s -> 1256.06s]  bisecting the property there are two
[1257.18s -> 1260.76s]  138 kilovolt transmission lines running right down the middle of this property
[1261.60s -> 1266.36s]  We must recognize here not only the danger to firefighters of the immediate threat of electrocution
[1266.88s -> 1269.72s]  But also the threat to the community from a building fire
[1270.56s -> 1275.56s]  Having a three-story buildings on this property means that if firefighters are called out
[1276.16s -> 1281.48s]  They'll be moving ladder trucks around not just one but two parallel high voltage transmission lines
[1281.84s -> 1285.92s]  This property is at the top of a ridge high winds are very common
[1286.48s -> 1289.96s]  If firefighters are delayed or can't access to a third-story building
[1290.76s -> 1295.16s]  Because of the transmission lines that creates a serious danger to the entire community a
[1295.88s -> 1303.28s]  Fire could spread quickly due to high winds and access could be hindered by the presence of the transmission lines at the zoning and planning Commission on
[1303.68s -> 1305.08s]  November 15
[1305.08s -> 1311.12s]  Commission chair Betty Baker respond to respond to our concerns about the transmission lines by saying and I quote
[1311.56s -> 1313.76s]  Let me respond to one concern
[1314.64s -> 1316.64s]  And I understand it
[1316.80s -> 1322.72s]  The utility easement is a public utility easement and there can be no construction within the easement unquote
[1323.12s -> 1330.04s]  At that time we didn't have a plat to show you the full size of the easement. We now have that you can see on on your display here
[1331.24s -> 1332.76s]  Exhibit a
[1332.76s -> 1339.88s]  Those are the transmission lines. Obviously you you'll recognize the plat if we go to exhibit B. That's a color photograph
[1341.12s -> 1345.72s]  Courtesy of Google Earth that that shows a little bit more of the neighborhood
[1346.72s -> 1352.36s]  And then of course in white is the the property we go to exhibit B. That's I'm sorry see
[1354.40s -> 1358.76s]  This is actually a photograph of the transmission lines
[1362.12s -> 1367.48s]  And the this picture was actually taken play or taken looking north
[1368.32s -> 1370.96s]  Right in the middle of the transmission line easement
[1371.12s -> 1377.92s]  So you can see you got lines on the left and lines are right the point of this over photograph is to show you the huge width of this
[1378.44s -> 1379.44s]  easement
[1379.44s -> 1380.32s]  which
[1380.32s -> 1384.32s]  Just we estimate that the easement is between 203 300 feet wide
[1384.32s -> 1388.12s]  It's wide because it accommodates to very large transmission lines
[1388.72s -> 1394.68s]  Based on this platinum overlay of the transmission line easement. It seems it seems to go back to exhibit a
[1395.36s -> 1397.20s]  It seems clear
[1397.24s -> 1401.60s]  That the large portion of this property is not suitable for three-story multi-family buildings
[1402.84s -> 1408.36s]  Single-family housing as is found in the adjacent neighborhood does not pose the same risk
[1408.64s -> 1410.88s]  These buildings are limited in height
[1411.36s -> 1417.40s]  We recognize the importance of property rights and that this property not be rendered useless by zoning
[1417.76s -> 1422.40s]  We therefore request that this property be zoned commercially for commercially
[1423.12s -> 1424.64s]  excuse me
[1424.68s -> 1430.88s]  Commercial zoning along the frontage of FM 1325 and single family for the remainder of the property
[1431.48s -> 1436.12s]  Such a combination of zoning would ensure that the subject property is remains useful to the owner
[1437.04s -> 1443.24s]  Yet does not danger to health self health safety and welfare of the community at this time
[1443.24s -> 1445.24s]  I'd be happy to answer any questions you might have
[1446.80s -> 1448.40s]  Questions colleagues
[1448.40s -> 1450.68s]  Thank you, mr. Landry. Yes ma'am
[1451.44s -> 1456.26s]  Next we have Catherine all mine and is William all mine in the chamber
[1457.76s -> 1460.44s]  Catherine you will have up to six minutes to speak
[1463.80s -> 1465.64s]  Entire time
[1465.64s -> 1470.48s]  Hi, I'm Catherine all mine. I've been a resident of my husband. I've been residents of Wells branch
[1471.28s -> 1474.52s]  for approximately 26 years so
[1475.16s -> 1480.88s]  With all due respect to the speaker who was talking about who she spoke to at round rock school district
[1481.32s -> 1485.64s]  Both our children's attended who are now in their late 20s attended
[1486.04s -> 1491.04s]  Wells branch elementary for their entire education since we moved there 26 years ago
[1491.04s -> 1495.44s]  There has been there were signs up saying where the second elementary school was going to be
[1496.12s -> 1501.32s]  That elementary school has never materialized. There is just Wells branch elementary
[1502.36s -> 1503.72s]  so
[1503.80s -> 1505.80s]  And to speak to the
[1506.00s -> 1512.04s]  If you would you go ahead and put this one up the the grid for Wells branch. Oh
[1514.24s -> 1516.24s]  Hello, sorry
[1517.24s -> 1519.24s]  I also did some
[1520.16s -> 1529.52s]  Investigating around an informal education impact study and that was to meet directly with have conversations with the principal of Rose Branch elementary school she
[1530.52s -> 1536.16s]  This this what you see before you is what I actually obtained off the round rock school dress school
[1536.96s -> 1543.84s]  Website just prior to the previous public hearing. So this isn't my graph. This was this came from round rock school district
[1544.56s -> 1546.56s]  the red obviously
[1546.84s -> 1552.64s]  Indicate the blue indicates current enrollment. So I'm not exactly sure who she was speaking with that said
[1552.64s -> 1558.96s]  There's not an overcrowding problem. There's been overcrowding problem at Wells branch elementary since our daughter was there in 2001
[1559.52s -> 1562.20s]  in 5th grade she had all of her classes in portables
[1562.84s -> 1568.40s]  She was eating lunch at 10 30 in the morning because that's what the cafeteria would accommodate for these kids
[1569.80s -> 1575.40s]  So when I spoke with the principal at Wells branch elementary she shared with me that there is another
[1575.96s -> 1577.22s]  nearby
[1577.22s -> 1583.88s]  240 unit affordable housing apartment complex that is just south of Wells branch Parkway
[1583.96s -> 1588.58s]  Which by the way would give that unit access to capital Metro
[1588.98s -> 1590.78s]  In real time now
[1590.78s -> 1598.50s]  She said that currently they have a hundred and twenty nine students enrolled from that 240 unit complex and would anticipate
[1598.86s -> 1601.34s]  similar numbers from this complex
[1602.54s -> 1610.34s]  She also said that would translate into an additional six classrooms and right now the school is physically out of space
[1610.70s -> 1613.98s]  Every classroom space and portable is filled with classes
[1614.82s -> 1620.86s]  So if you were to equate that to this grid if we added the approximate
[1621.34s -> 1624.32s]  129 students obviously we'd be off the chart
[1624.50s -> 1629.74s]  So I'm not exactly sure where the lack of overcrowding at the elementary school is
[1630.50s -> 1632.50s]  Coming from because it's it's there
[1635.10s -> 1641.06s]  The other thing that I wanted to to to address is the and I was glad that you asked about the transportation
[1641.46s -> 1646.22s]  Because the capital Metro isn't there it doesn't exist and so
[1646.86s -> 1650.74s]  It's it's nice to say we'd be in negotiations with them to try and get it back
[1650.74s -> 1654.78s]  But the fact of the matter is it's not there now and if the ridership
[1655.58s -> 1660.82s]  From this complex wouldn't get it back then I think we're sort of setting these people up for failure a
[1661.50s -> 1665.90s]  Lot of them won't have transportation so the a the in smart housing is
[1666.30s -> 1672.86s]  Obviously speaks to the handicap accessible and and some of those other standards and the building clearly could be built to meet those
[1673.58s -> 1678.54s]  But when you look at access to health care in the area and if you could put up
[1678.86s -> 1681.30s]  Could you put up that other grid the health care grid?
[1681.98s -> 1685.14s]  There you go. We did a very informal
[1686.10s -> 1687.94s]  quick
[1687.94s -> 1692.94s]  Checking of different types of health care services in the area and asked
[1693.90s -> 1696.50s]  About would they take Medicaid would they take chip?
[1696.86s -> 1701.10s]  Do they have sliding fee scale and also you can see the mileage there now?
[1701.10s -> 1710.18s]  Obviously the Flugerville Health Center and the north central community centers would be accessible to these people and would be would provide them services
[1710.98s -> 1712.98s]  But again the the north
[1713.54s -> 1718.90s]  The Flugerville Center has no dental care that would be at the north center. That's eight miles away
[1719.34s -> 1721.34s]  They're not on capital Metro
[1721.62s -> 1723.62s]  How exactly do they get there?
[1723.62s -> 1729.02s]  So I just in closing want to share with you all that it's not that Wells Branch
[1729.58s -> 1733.74s]  Opposes affordable housing we have affordable housing in our network in our neighborhood
[1734.06s -> 1740.26s]  what we want is smart housing that really sets these people up for success not failure and
[1741.26s -> 1746.86s]  When you're talking about living under power lines, you're you're putting them in a somewhat isolated little
[1747.22s -> 1751.86s]  Piece of land with no bus services to get access health care
[1751.86s -> 1755.90s]  And you're gonna overcrowd and already overcrowded elementary school
[1756.62s -> 1761.70s]  Just doesn't seem smart. So with that I would answer any questions that you all have
[1765.38s -> 1766.90s]  So
[1766.90s -> 1772.38s]  We'll pause just a second and have a motion to wave council rules and extend past ten o'clock
[1773.38s -> 1779.46s]  Councilmember Spellman mayor pro tem seconds on favor say aye. I'm supposed to know
[1780.06s -> 1784.78s]  That's on six to zero. Councilor Martinez off the dice. That's when we're early
[1785.26s -> 1788.50s]  Can you tell me what the speed limit is along that section of burnt road? I
[1789.18s -> 1794.66s]  Will look to my neighbors, but I believe it's 50 55 55 miles an hour. Yeah, okay
[1794.66s -> 1798.66s]  Thanks, and it's and just also if I can add it's on a ridge
[1798.86s -> 1803.14s]  So if you are coming out of this complex and looking south
[1803.86s -> 1807.14s]  It's very difficult to see the cars that are coming up over that ridge
[1807.90s -> 1808.98s]  and
[1808.98s -> 1817.02s]  It's I think it's close enough to the stoplight at Shoreline where it wouldn't warrant another stoplight anytime soon
[1817.62s -> 1821.42s]  And yet it's far enough away from that that that stoplight is really
[1822.30s -> 1824.62s]  May or may not I'm not a traffic expert
[1824.62s -> 1828.78s]  So I can only give you my opinion having driven shoreline and in that area for a long time
[1828.94s -> 1835.74s]  It's it's not really gonna make that turning left any safer having that light at Shoreline
[1835.74s -> 1839.58s]  And by the way, we did get that light because we had fatalities there
[1840.94s -> 1842.94s]  Hey next speaker is
[1843.74s -> 1845.74s]  Councilor Spellman, Ms. Oldman
[1846.50s -> 1850.26s]  Where did you get the information on school enrollments in school capacity?
[1850.26s -> 1853.80s]  I got it off the Round Rock School District website about a month ago
[1853.88s -> 1855.88s]  Great. Thank you. Mayor
[1856.16s -> 1861.56s]  Councilor Tovo. I was just going to tell council member Spellman. It is if you go to the
[1863.12s -> 1865.12s]  Let's see Round Rock
[1865.12s -> 1870.16s]  Anyway, if you do a very quick Google search it pops up on the second on about the second hit
[1871.12s -> 1873.76s]  and it and it is in the main the
[1874.72s -> 1876.72s]  chart that we just saw
[1876.72s -> 1879.80s]  And it has enrollments also for the middle schools and the high schools
