Zoning Case: C814-2017-0001
Meeting Date: 2018-03-22T00:00:00.000
Agenda Item: 92
Source URL: http://austintx.swagit.com/play/45759/0/
================================================================================

[0.00s -> 4.96s]  All right, I think it says I think now to item number 92, which is the riverside
[159.26s -> 165.18s]  Allowed in the Ray Lane plan what the requirements in the existing putt ordinance are and what has been proposed by the applicant
[165.78s -> 168.26s]  Generally speaking I can tell you that the well
[168.26s -> 172.86s]  I can tell you very specifically the applicant is compliant with the south central waterfront
[173.34s -> 180.14s]  Plan they are using the putt to get there. However, they are also doing additional things above and beyond the plan
[181.54s -> 188.66s]  That are have been considered to be because they are doing a putt and counting towards the superiority of the putt
[189.42s -> 191.38s]  This is a list and I won't go through it again
[191.38s -> 195.78s]  Because it's late of all the items that they're doing towards superiority. They're doing better than great streets
[195.78s -> 200.18s]  They're doing green infrastructure. They're doing a rainwater capture. They're doing purple pipe
[200.42s -> 204.46s]  They're doing $600,000 of transportation improvements above and beyond
[205.18s -> 207.42s]  What is required by the plan? They're redoing the
[208.50s -> 211.98s]  The overhang on the self-first bridge the pedestrian and bike path
[213.18s -> 216.58s]  There's quite a few things that they were doing to achieve superiority
[216.98s -> 219.42s]  However, as we're going through this and this is the table
[219.42s -> 223.66s]  I think we're going to focus on the most here for a second and it's the final table is that
[224.10s -> 231.18s]  There are items that we consider when the plan for this particular track says to get to the entitlements allowed by the south central waterfront plan
[231.18s -> 233.90s]  You need to do $3.1 million with the public benefits
[234.46s -> 240.62s]  Right off the top given the square footage that they intend to achieve the plan allows them to go up to 195 feet of height
[241.66s -> 245.42s]  Which is just a little bit less than the one Texas tower across the street that I work in
[245.82s -> 250.14s]  In order to get that square footage you have to pay 1.1 million dollars
[250.78s -> 255.26s]  A fee in lieu of affordable housing this project is an office project that does not have any
[255.90s -> 260.78s]  Residential component to it. So 1.1 million dollars is called for the plan for affordable housing money
[261.18s -> 265.26s]  Which leaves another 2.1 million dollars for the public benefits the applicant has proposed
[265.90s -> 270.86s]  Providing the public benefits that are shown on this chart things such as transportation improvements environmental improvements
[271.74s -> 274.14s]  streetscape improvements the purple pipe I spoke of earlier
[274.70s -> 276.70s]  Art in public places rain gardens etc
[277.90s -> 280.94s]  However in reviewing the things that the applicant was proposing that that
[281.58s -> 283.58s]  Upgo above and beyond current code
[283.58s -> 287.10s]  We also had to consider is this something that's mandated and required by the plan
[287.50s -> 292.06s]  So if it was something that was required mandated by the plan then we said it counts towards the 3.1 million dollars
[292.54s -> 294.54s]  If it was something that they were doing
[294.54s -> 297.74s]  That was above current code but not mandated by the plan
[298.22s -> 303.50s]  We said well that's something that they're doing because they're in a putt and that's something they're doing to try to achieve superiority
[304.14s -> 305.90s]  So at the end of the day
[305.90s -> 310.30s]  The number when you come down to that 176 thousand 74 number that's in the lower right corner
[310.86s -> 314.46s]  We determined that although they were providing 3.6 million dollars worth
[315.10s -> 319.42s]  Worth of total public benefit and this includes improvements. It's not cash keep in mind
[319.98s -> 323.90s]  Although they were providing 3.6 billion which is over 3.1 million
[324.54s -> 328.14s]  They were only providing 2.9 million dollars worth of items that are
[328.62s -> 332.14s]  um required by the plan therefore there was 176 thousand dollar
[332.70s -> 334.70s]  76 thousand 74 dollar
[335.02s -> 339.26s]  Difference and so the applicant has agreed that to pay pay that in cash
[340.46s -> 342.30s]  Two things
[342.30s -> 346.78s]  the south center waterfront overlay plan envisions both a tiff and a pin
[347.98s -> 352.62s]  The it's been decided that the tiff does not make sense until after the regulating plan is in effect
[353.02s -> 359.50s]  Because the reason you do a tiff is to pay for the public amenities that are contemplating the plan and to capture additional value
[360.14s -> 364.54s]  Generated by the plan so until you have the right lane plan adopted the tiff doesn't make sense
[364.70s -> 369.82s]  Once the right lane plan is adopted you want to do that tiff as soon as possible so that you can lock in the fern value
[369.82s -> 374.14s]  So as much of that additional entitlement you capture with the tiff
[374.38s -> 378.62s]  Which would be spent within the district and only within the district to pay for the amenities
[379.82s -> 381.82s]  Contemplated in the plan
[381.82s -> 387.18s]  It also calls for an expansion of the PID this property is adjacent to the downtown austin alliance
[387.66s -> 392.30s]  Um downtown PID the PID actually does cross the river includes the statesman properties
[392.30s -> 398.62s]  I believe the embassy suites as well as the hyatt and so to comply with the portion of the plan that states that
[399.10s -> 401.98s]  Um, they should be within a public improvement district
[402.30s -> 405.90s]  This applicant will be requesting annexation into the downtown austin pid
[406.22s -> 410.06s]  Which is allowed under the bids current charter because the property is adjacent to their boundary
[410.70s -> 411.26s]  um
[411.26s -> 414.46s]  However, the tiff has not been created because the regulating plan is not here yet
[414.94s -> 421.26s]  So we need a place to park the 1.1 million dollars in affordable housing money as well as the 176 000
[422.22s -> 422.86s]  um
[422.86s -> 425.82s]  uh difference between the PID and the sorry between the
[426.46s -> 428.30s]  Plan and the pud money
[428.30s -> 430.38s]  um the neighborhood housing conservation
[430.94s -> 436.30s]  Development department or department has agreed to hold the 1.1 million dollars for the affordable housing
[436.70s -> 440.62s]  Um in a separate fund. Um, it would be with the affordable housing trust fund
[440.62s -> 442.54s]  But it would be earmarked
[442.54s -> 446.70s]  To come back to the district once the tiff and its associated funds is created
[447.26s -> 449.18s]  Uh, and they have put a cap on that of five years
[449.82s -> 455.98s]  And the daa has also agreed to hold the 176 000 dollars in what we're calling the amenity fee
[456.54s -> 459.66s]  um for us until such plan as the council approves the tiff
[460.22s -> 464.46s]  In which case the money would be moved back into the tiff and one of its associated funds for
[465.02s -> 466.86s]  Improvements besides affordable housing
[467.42s -> 471.26s]  So I know that that's a lot but um usually in a pud we give a link through your presentation
[471.26s -> 475.42s]  But given the 10 o'clock, I thought I'd keep it as short as possible, but I'm available with any questions
[478.14s -> 479.10s]  Thank you
[479.10s -> 481.10s]  Speaking of uh past 10 o'clock
[481.82s -> 484.46s]  Is there a motion to uh extend our meeting past 10?
[484.54s -> 488.38s]  Mr. Ritteria makes that motion is there a second to that motion? Mr. Flanagan seconds that motion
[489.02s -> 491.18s]  in discussion
[491.18s -> 493.34s]  Doesn't favor going past 10 because raise your hand
[494.62s -> 496.46s]  those opposed
[496.46s -> 499.42s]  unanimous on the diet and trucks clear and pull up
[501.18s -> 503.42s]  Uh, and also uh council member altar
[505.42s -> 507.26s]  That's why we should animus
[507.26s -> 508.46s]  mayor pro tem
[508.46s -> 512.46s]  I have questions for um mr. Resterman, but I can wait until after the applicant's presentation
[512.94s -> 514.54s]  Depending on what you'd prefer
[514.54s -> 516.54s]  Either way
[516.54s -> 518.54s]  Is the applicant want to come up
[527.18s -> 531.26s]  Mayor remembers the council my name is Richard subtle on here on behalf of the applicant i'm gonna i'm gonna
[531.90s -> 533.18s]  Really shimmy this down
[533.18s -> 538.94s]  So this process my client started looking at this about three years ago before the plan was even adopted
[539.42s -> 541.98s]  At the request and advice of the city staff
[542.46s -> 545.34s]  He was advised once you sit tight until the plan comes through
[545.82s -> 549.18s]  Which he did about a year later the plan came through the council adopted it
[549.74s -> 553.10s]  He redid his plans to conform to the south central plan
[553.66s -> 555.66s]  And then we've been going through the
[555.66s -> 560.06s]  Review process and the negotiation process on the pud with the city staff for the last couple years
[560.46s -> 565.10s]  And then we've also been through a an extensive board and commission process
[565.98s -> 569.74s]  We had a 12 12 to 0 vote at the planning commission
[569.74s -> 573.26s]  We had an 8 to 0 vote at the environmental board
[573.90s -> 578.54s]  We had a 3 to 0 vote at the south central waterfront advisory board working group
[579.18s -> 582.38s]  And a 5 to 2 vote at the south central waterfront advisory board
[582.78s -> 587.18s]  All in favor of this case and and the reason is is for that lengthy backup you have
[589.50s -> 593.02s]  The the applicant has gone above and beyond on the community benefits
[593.58s -> 596.38s]  And following the plan and also I think
[597.26s -> 602.14s]  If you wanted to talk about the environmental side, I know Chuck's here tonight, but we were actually able to
[603.10s -> 609.34s]  In working through it, we were able to help fix some problems that we're having we're having in the code next issue
[609.74s -> 611.10s]  and so
[611.10s -> 616.54s]  With that, I'll just say that we we we agree with the staff and all the all your boards and commissions that have
[617.26s -> 623.42s]  voted overwhelmingly to support this and we've got our whole team of engineers and architects and all here to answer any questions that you
[623.42s -> 625.42s]  Might have thank you
[625.82s -> 627.82s]  Is molly Alexander here
[628.38s -> 630.38s]  Do you want testify?
[632.62s -> 634.62s]  Okay
[635.58s -> 637.34s]  Good evening
[637.34s -> 639.98s]  Mayor and city council, thank you so much for your time
[640.62s -> 646.70s]  And the length of the meeting tonight to allow us to be here i'm molly alexander with the downtown austin alliance
[647.58s -> 652.38s]  I really want to thank the city staff particularly allen holt of the remarkable tenacity
[652.78s -> 654.78s]  And leadership he has shown on this issue
[655.34s -> 661.26s]  The downtown austin alliance has been one of many stakeholders in the south central waterfront master plan for many years
[661.74s -> 666.86s]  And we are supportive not only of the plan but also of the pud application tonight
[667.90s -> 672.30s]  I think it's important to pause and recognize how remarkable this effort is
[673.10s -> 677.90s]  And the benefits of creating a vision a plan and an implementation strategy
[678.70s -> 680.70s]  That is beginning to unfold
[681.10s -> 683.74s]  The process in the plan has created new partnerships
[684.62s -> 690.14s]  Dialogue and collaboration between stakeholders that hasn't always existed
[691.74s -> 693.90s]  While it has and will continue to take time
[694.94s -> 696.94s]  I believe we are slowly building trust
[697.66s -> 699.66s]  among our groups
[699.66s -> 701.82s]  recognizing that the benefits of the master plan
[702.62s -> 706.62s]  Outway any one real or perceived negative trade-off
[708.22s -> 712.78s]  With this being said, I think it is an opportunity as you look to approve this pud
[713.74s -> 717.66s]  To move forward on the regulatory plan the tiff financing plan
[718.54s -> 723.98s]  And also think about a new governance model to accomplish the very ambition of the plan
[725.26s -> 728.62s]  the implementation strategy calls for creative financing
[729.74s -> 732.14s]  to build the infrastructure roads parks
[732.94s -> 735.90s]  As well as achieve the affordable housing goals
[737.18s -> 740.46s]  None of us believe the city can or should do this alone
[741.98s -> 743.74s]  And thus the alliance
[743.74s -> 746.62s]  And others including the south austin development corporation
[747.26s -> 752.86s]  Have come to the table to provide assistance in leadership to leverage our collective strengths
[754.38s -> 757.90s]  Going forward. We hope we can create a new model of public public
[758.46s -> 761.34s]  Private partnerships that will build community
[761.90s -> 767.90s]  Achieving our collective aspirations of building a city for all. Thank you. Thank you
[769.26s -> 770.62s]  Mayor proton
[770.62s -> 772.86s]  Miss Alexandra. I have a couple of questions for you
[776.94s -> 785.10s]  Um, you meant you referenced the south austin development corporation is that the new name for the what is that's the cdc that um
[785.58s -> 791.10s]  The building creek and they just changed. I believe that's the actual name of the cdc. Yes. Okay. Thank you
[791.10s -> 794.14s]  So that was just for my colleagues reference. That was the building creek
[794.70s -> 800.06s]  Um community development corporation and they've now expanded their boundaries to include zilker and srcc
[800.46s -> 803.90s]  Barton hills dawson galendo south mr and zilker
[804.78s -> 808.94s]  Um, and I didn't run I knew they had changed their name, but I didn't know what they had changed it too. So thank you
[809.34s -> 811.34s]  um one question I had is I
[811.90s -> 814.78s]  Have read through the letter from the downtown austin alliance about the pin
[815.10s -> 821.34s]  It's my understanding that the applicant is going to commit to apply to be part of that pad the downtown pad
[822.70s -> 825.90s]  Are are they automatically included is there a
[827.74s -> 830.38s]  So will they be automatically included excuse me
[830.78s -> 834.46s]  Um, the process that's happened before green water treatment plan is an example
[834.54s -> 839.98s]  So in the mda of green water has an example of how this has happened before the council
[840.46s -> 844.70s]  um required trammel crow at the time to join the downtown pad
[845.26s -> 850.78s]  Um, you still have to petition for that and you still have to hold the public hearing is council
[851.26s -> 855.02s]  Um, so that you notify all the property owners in the pit that this is happening
[855.58s -> 859.98s]  So there are a few legal it can take 30 days. It doesn't take that long
[860.06s -> 864.38s]  You have to go through the same public hearing process. She would normally go through to adopt the pad
[864.94s -> 868.46s]  Okay. Thank you. I do remember that vaguely and so that that's helpful
[869.02s -> 870.46s]  I think that might well
[870.46s -> 873.58s]  I have a question for the staff, but you might be able to assist me with this
[873.58s -> 880.38s]  Do you have have you done any calculations to determine what the pit amount what the amount would be flowing from this development to the pad?
[880.94s -> 886.62s]  I have not so are um the public improvement district currently has 10 cents on the hundred valuation
[887.34s -> 889.18s]  Minus the first half million
[889.74s -> 892.46s]  So the first half half million in valuation is exempt
[893.02s -> 897.42s]  So over and above that. So once the building is built and then appraised
[897.90s -> 899.90s]  Um, it would then be assessed
[899.98s -> 904.62s]  I just wanted an estimate and I think I asked staff to to think through that so they may have some answers for me
[904.94s -> 906.94s]  so what um
[907.10s -> 913.74s]  Do you have can you help us understand what the PIDS commitment would be to the south central waterfront properties?
[913.74s -> 914.94s]  It's my undo
[914.94s -> 921.34s]  With the money that is generated by this development go into the general PID or do you have a do you have a way of
[922.06s -> 924.06s]  segregating out the piece
[924.78s -> 930.30s]  The monies that are generated in that area to be spent in that area as a as it was envisioned by the by the plan
[930.70s -> 937.42s]  Yes, so today currently 30 percent or 33 percent of the south central waterfront area is already in the downtown PID
[938.30s -> 941.42s]  And those property owners and our teams provide
[942.14s -> 945.74s]  Either direct services or other services the downtown austin alliance
[946.46s -> 952.46s]  I haven't done the numbers currently, but it could be an upside-down scenario where we provide more services than we get
[952.86s -> 955.18s]  We can actually look at those numbers and see but I think
[955.90s -> 957.18s]  a great question
[957.18s -> 963.90s]  Mayor pro tem going forward is downtown evolves and changes and as we have more unique neighborhoods within downtown
[964.70s -> 966.78s]  And we have master plans for those neighborhoods
[967.10s -> 971.50s]  I think that their needs are going to be different than the whole needs of downtown in general
[971.58s -> 977.50s]  So if you can imagine the south central waterfront is going to have very different needs than possibly second street or
[978.30s -> 981.98s]  The innovation district area and I think that as we grow and evolve
[982.46s -> 985.90s]  We will recognize that bring stakeholders together and begin to identify
[986.30s -> 991.90s]  How do we address the needs of this particular part of the downtown area different than we might
[992.62s -> 997.58s]  Another part of the area. We are committed to that. Um, you know, as you know, we um
[998.38s -> 1000.38s]  the PID is only
[1000.70s -> 1008.70s]  It expires essentially in 2022 and so it would be reauthorized again in 2023 if the property owners so choose to reauthorize it
[1009.10s -> 1010.62s]  and I think that
[1010.70s -> 1015.58s]  In five years downtown is going to be even very different than what it is today and the needs are going to be different
[1017.02s -> 1020.38s]  I agree with you and I think that's a I appreciate the response
[1021.02s -> 1027.02s]  Um, and so, you know, I I really appreciate the work that the downtown austin alliance does throughout the entire downtown
[1027.10s -> 1029.90s]  And so I I want to start with that framework
[1029.98s -> 1034.14s]  But just to let you know I have heard or and my colleagues know I have heard some concerns about
[1034.62s -> 1040.62s]  how the how the how this putt is proceeding ahead of the regulating the adoption of the regulating plan and and
[1041.18s -> 1043.50s]  ahead of the tiff and ahead of
[1043.98s -> 1047.74s]  Um, the PID or the community amenity fund that would have been set up
[1047.74s -> 1052.86s]  And so we're using the downtown PID instead and so there are there are concerns about whether that will
[1053.58s -> 1059.82s]  That will do what was envisioned which is to really service use those monies and reinvest them into that area
[1059.90s -> 1066.22s]  And so I wonder if this does pass on first reading. I hope that between between now and the next hearing maybe we can put some
[1067.02s -> 1070.86s]  clarity on how the downtown austin alliance would manage that and what what the
[1071.42s -> 1074.22s]  You know see if we can get towards some kind of discussion about
[1075.18s -> 1079.66s]  What that commitment would look like I think it's a great point. I think we can talk about republic square, you know
[1079.66s -> 1083.82s]  Is being a really great model. We have a um a really great partnership with the city
[1084.38s -> 1091.10s]  We've moved into new areas of creating great community assets and benefits and really thinking about that public space
[1091.34s -> 1093.66s]  I mean we're really here about building a community
[1094.30s -> 1100.62s]  That everyone can enjoy and love and so I think that we've been involved in the master planning process since the beginning
[1101.10s -> 1104.22s]  The connection to parks. Um, the connection of just of streets
[1104.70s -> 1109.34s]  Um, I'm really making it a livable place. It's very important to us. So I we're happy to help
[1109.90s -> 1114.70s]  Clarify or really help I think it's really this idea of horizontal leadership
[1115.18s -> 1118.06s]  And we think about all of the different partners we could put together
[1118.62s -> 1124.30s]  To achieve the master planet. No one thing should rise above the other the master plan is the driving north star
[1124.62s -> 1129.10s]  And how can we all play our part? We're there and we would really like to be a part of that
[1129.82s -> 1132.62s]  Thank you very much. Thanks for your commitment to help make this work
[1132.86s -> 1134.30s]  I'm here for time if I could um
[1134.30s -> 1136.86s]  Answer your question and maybe expound on your last point quickly
[1137.18s -> 1142.94s]  Um, we would estimate given the values have been presumed for the building that the amount of money come into the to the dia
[1142.94s -> 1145.66s]  Would be somewhere in the hundred hundred twenty thousand dollar range
[1146.38s -> 1149.34s]  um, and with regard to um the fact of their
[1150.14s -> 1156.38s]  Um, because the regulating plan is not adopted that the pid is doing something that wouldn't otherwise be done the dia
[1157.02s -> 1158.78s]  Um, I don't really believe that that is the case
[1159.34s -> 1160.46s]  um
[1160.46s -> 1166.70s]  The plan calls for properties within the plan to be brought into the pid which this applicant has a redo
[1167.10s -> 1169.10s]  So they're they be in the dia pit
[1169.10s -> 1172.94s]  And then the um the only other thing that was somewhat different and I have a correction from I said earlier
[1172.94s -> 1178.86s]  I've sent sent a conversation with mr. Canally and instead of the dia offering to hold the hundred seventy six thousand dollars for us
[1178.94s -> 1180.22s]  Which we appreciate
[1180.22s -> 1182.78s]  Mr. Canally has stated that the city can create a fund
[1183.42s -> 1185.18s]  Just a separate bank account if you will
[1185.18s -> 1188.06s]  It'll be just that once they have a six will be deposited into that
[1188.14s -> 1191.50s]  And then once the tiff is created after the right of any plans adaptive presuming all that happens
[1191.90s -> 1196.54s]  We can pull that money dissolve that account and bring it into the tiff and use it within the district as it was
[1197.18s -> 1203.42s]  Thank you. Sure. I know more questions for you, but I'm I'm through. I'm through my questions for you. Thanks. Thanks. Thank you
[1207.18s -> 1208.70s]  Okay
[1208.70s -> 1213.26s]  Um, mr. Westerman. I have a series of questions and some of them some of them all
[1213.98s -> 1215.98s]  given the late hour
[1217.58s -> 1220.38s]  So I think I aired what what I'm hearing as the concerns
[1221.02s -> 1226.62s]  I have both adjacent neighborhoods have have filed with us letters of opposition and their concerns are
[1227.02s -> 1229.10s]  About the height and the traffic that would be generated
[1229.10s -> 1235.18s]  But part of that really is about about this project being out ahead of you know the the height was envisioned
[1236.14s -> 1240.78s]  in the master plan, but it was envisioned as part of the community benefits and so I think they're they're
[1241.42s -> 1246.30s]  I appreciate the mechanisms that you've described that there still are concerns that
[1248.54s -> 1255.50s]  That were because we're out front of the regulating plan that some of those commitments may be less than what we would have gotten afterward and so
[1257.34s -> 1259.74s]  Hopefully, hopefully we can address some of those
[1263.18s -> 1265.18s]  The affordable housing provisions
[1265.98s -> 1270.14s]  Look the regulating plan as I understand it the regulating plan would call for 12
[1270.70s -> 1277.18s]  Affordable housing and it seems as if the calculation for the affordable housing that's here before us is based on 10
[1277.50s -> 1285.74s]  Which is the pod calculation is that you're reading of it and I guess if so, why are we using the pod 10% and not the regulating plan 12?
[1287.26s -> 1293.02s]  You're right the the putt does require 10% affordable housing. I'll have to double check with the island on the uh, the about
[1294.62s -> 1297.18s]  And let me say I think so we'll get a quick answer about this
[1297.18s -> 1302.62s]  But I have similar questions about some of the other items that are on the amenity sheet
[1302.70s -> 1306.46s]  And so between again if it passes on first reading between now and the next reading
[1306.62s -> 1308.62s]  I'm going to really want to go over
[1308.62s -> 1310.62s]  All of those items and make sure that they are
[1311.58s -> 1314.54s]  Are truly um one that they're you know truly
[1315.10s -> 1321.42s]  Valued correctly and so mere pretend the the plan the way it approaches affordable housing is designed a district white basis like a lot of other things
[1321.42s -> 1325.34s]  Within the uh the plan that's the idea is to look at things in a larger scale
[1325.90s -> 1331.02s]  Um, so in order to get to that 20% it basically allocated towards this track to presume a need for 12%
[1331.02s -> 1335.42s]  So that's the difference during the 12 and the 10 but you're correct the calculation is based upon 10
[1335.82s -> 1341.10s]  Okay, so I would put that on my bullet list of things again if this passes on first reading that
[1341.74s -> 1346.62s]  We should be looking at a pad that is using 12 calculation not 10
[1346.70s -> 1349.10s]  So I think roughly there probably about 200 thousand dollars I guess
[1351.10s -> 1353.10s]  Every little bit helps. Okay
[1353.42s -> 1354.70s]  um
[1354.70s -> 1355.98s]  the
[1355.98s -> 1362.70s]  We've just talked about the community development corporation. I understand staff are proposing putting the affordable housing contribution into nhcd
[1363.34s -> 1370.22s]  And I would like to just hear from nhcd about whether you've had discussions with the community development corporation about ways
[1370.22s -> 1373.10s]  They can partner with that, you know, they were set up to
[1374.54s -> 1379.02s]  And just by way of full disclosure. I actually set it up many years ago
[1379.02s -> 1386.54s]  I'm no longer involved with it and haven't been since I got elected but it's it has I think there's a good deal of enthusiasm in that area for
[1387.18s -> 1389.26s]  Having that community development corporation do it
[1389.26s -> 1394.70s]  It was intended to do which is to promote um affordable housing and affordability efforts more generally in that area
[1394.70s -> 1398.30s]  It's not specifically focused on south central and it's my understanding this money
[1398.94s -> 1402.38s]  Would would probably need to be focused more specific more
[1403.02s -> 1406.30s]  In a more geographic specific way geographically specific way
[1406.54s -> 1410.30s]  Mandy de mayo neighborhood housing and community development and we have not had
[1411.10s -> 1413.58s]  Conversations with the community development corporation
[1413.58s -> 1419.34s]  But we look forward to having those conversations and we work we partner with a variety of different non-profits
[1419.90s -> 1427.90s]  Um as you know that create affordable housing in specific geographic areas and so I would anticipate that this would function in a
[1428.38s -> 1430.38s]  Similar way
[1430.86s -> 1432.86s]  And I would I would want to
[1434.38s -> 1437.58s]  And I don't know what that would look like but I do want to I want to think about
[1438.14s -> 1441.98s]  How we address that at council in terms of assigning those dollars?
[1442.78s -> 1445.18s]  It may make sense to assign them to nhcd
[1446.06s -> 1449.02s]  Again assuming everything goes through but I but I do
[1450.30s -> 1452.30s]  I want us to empower
[1452.62s -> 1457.42s]  Neighborhood based geographically based cdc's to do their work and so if there's an opportunity for that to
[1457.90s -> 1459.90s]  For us to facilitate that
[1459.90s -> 1465.42s]  I hope that that we can work with you to think through what is a comfortable arrangement for for all the parties
[1465.66s -> 1472.38s]  We would love to talk through those details further and I look at this as no different than other
[1472.94s -> 1479.42s]  Density bonus program some of which have very specific provisions whether it's geographic or like our downtown density bonus program
[1479.82s -> 1484.06s]  Which is as you know dedicated to low barrier permanent supportive housing
[1484.46s -> 1489.82s]  So it's money that we hold for a very specific purpose whether it's purpose or geography
[1490.46s -> 1497.34s]  Um, so it it would be a very similar situation and this is not outside of our usual business practice
[1497.74s -> 1502.38s]  Would you have concerns about the holding entity being the cdc? I would
[1503.42s -> 1505.42s]  um these are
[1506.14s -> 1511.42s]  Essentially public dollars and we'd want to see public oversight of those dollars
[1511.98s -> 1517.10s]  So then the arrangement that would make more sense to you would be an application for a grant or something of that
[1517.10s -> 1520.38s]  So that is correct cdc. Okay. That would be our standard practice
[1520.78s -> 1525.82s]  Um, and that's what I would I mean that's certainly what I would recommend. Okay. Thank you
[1528.30s -> 1530.30s]  So
[1532.62s -> 1537.74s]  Mr. rest of and I know the ordinance for this isn't ready, but are they do you have any um
[1538.54s -> 1544.62s]  Do you envision that the the p- excuse me the PID application could be completed
[1545.02s -> 1551.98s]  Could be that the applicant could apply for inclusion within the PID and we could get that process rolling and completed before a second reading
[1552.46s -> 1554.86s]  I think I'd have to defer that answer to the applicant Molly
[1555.82s -> 1557.82s]  Does that be between the da and that
[1558.54s -> 1560.54s]  Yeah
[1561.98s -> 1565.18s]  I think that's consistent with the recommendations of the planning commission
[1565.82s -> 1569.26s]  And the various other boards who have weighed in on this I think it would be important to have the
[1570.22s -> 1572.22s]  to have the PID
[1572.22s -> 1574.22s]  Yes, man. We've we've we've actually got the
[1575.58s -> 1576.94s]  applications
[1576.94s -> 1578.78s]  Drafted and ready to go
[1578.78s -> 1584.22s]  You know, we we don't quite own the property, but the owners have said they will follow and the answer to your question is yes
[1584.78s -> 1588.78s]  We will be in the PID process or yes PID process before this is finally done
[1589.26s -> 1593.26s]  I would like to be completed with the PID process before it's finally done
[1594.46s -> 1596.46s]  Then we
[1596.46s -> 1598.46s]  Will work on it. We will make that happen
[1602.38s -> 1606.22s]  So the process is the city has to call a public hearing and notify owners
[1606.22s -> 1609.34s]  So I think that we've seen it done in 30 days
[1609.34s -> 1614.86s]  So the question would be is if you want to keep it on a timeline that you would have to kind of direct that timeline
[1615.42s -> 1617.82s]  It really is up to you all. Okay. Thank you
[1621.66s -> 1625.18s]  Mr. Rust-Oven, is it possible to do something like
[1627.50s -> 1629.50s]  The part of the planning commission
[1630.46s -> 1631.74s]  recommendation
[1631.74s -> 1637.66s]  Possibly also some of the other boards was to to get the TIFF created within a certain period of time
[1638.38s -> 1645.14s]  And so I think in our discussions it sounded like that time period they were envisioning 180 days or something like that was doable
[1645.50s -> 1649.58s]  If I've been informed and this is something that the finance department would deal with but
[1650.22s -> 1652.78s]  By understanding is that once the regulation plan is adopted
[1652.78s -> 1659.66s]  I've been told that they can they anticipate thing it's a TIFF done within six months of the regulation plan after the regulating plan
[1659.66s -> 1665.10s]  Okay, and that and that reminds me of another question, but could could conditions be imposed on this
[1665.66s -> 1667.66s]  Property that they cannot get building
[1668.14s -> 1673.26s]  Their site plan final approval or building permits or something like that without the TIFF being created
[1673.82s -> 1677.82s]  I believe that that's a legal question, but I don't think so I defer to mitzi cotton
[1678.06s -> 1682.46s]  Why don't I just raise it as a question that I would like sorted out as a question. I'm sorry
[1683.02s -> 1688.62s]  Um, whether whether there were some kind of limitations we could put on the property
[1690.70s -> 1692.70s]  So that it couldn't
[1693.50s -> 1696.46s]  To provide for the TIFF to be up and running first
[1696.78s -> 1699.26s]  You know again, this this kind of gets back to that general concern
