Zoning Case: C14-2019-0056
Meeting Date: 2019-06-06T00:00:00.000
Agenda Item: 90
Source URL: http://austintx.swagit.com/play/45787/0/
================================================================================

[0.64s -> 2.56s]  All right, consent zoning.
[437.80s -> 444.44s]  had any comments on the consent agenda. Council member Cesar. As it relates to number I don't
[444.44s -> 451.88s]  remember 85 it is one of the cases where we are creating mobile home zoning in order to try to
[452.60s -> 459.56s]  preserve mobile home in RV parks in the community. My understanding from the the agent and the owner
[459.56s -> 464.68s]  of this particular property is that it is mobile homes they wanted to continue to expand that use
[464.68s -> 471.64s]  in some parts that are unused and my hope is that they're able to do that by zoning it this way.
[472.60s -> 477.40s]  They should be able to do that. I hope that the staff works together with them to make that work
[477.40s -> 481.88s]  and of course if there's any level of variance or change that's required to be able to get the
[481.88s -> 487.88s]  kind of affordable housing expansion we want there then I for one and I think a lot of folks here
[487.88s -> 491.32s]  would be very open to try to see if there's any other council action that needs to be taken
[491.32s -> 497.24s]  because I think the intent here aligns with the intent that has been expressed. Okay, any further
[497.24s -> 504.36s]  comments? Council member Tovo did you have a comment you want to make? Yes, with regard to
[504.36s -> 509.72s]  the item on 91 that we're passing on first reading only thanks to the applicant for your
[509.72s -> 514.04s]  willingness to do that I appreciate it. I would like to direct the staff to do the research to
[514.04s -> 518.04s]  determine if they would recommend review of the structure on this property for the historic
[518.04s -> 522.84s]  landmark commission. I think that would be helpful information to have just I won't
[523.48s -> 530.76s]  be in light of the time go through all of the information related to this but it is this
[530.76s -> 535.64s]  structure falls within the northwest district of the downtown plan one of the goals of which was to
[535.64s -> 540.36s]  preserve and enhance the unique historical and cultural heritage of downtown and so I think it's
[540.36s -> 546.04s]  very important to evaluate this ordinarily the about the our process at the moment and I think it
[546.04s -> 550.44s]  needs some tweaks but the our process at the moment is that it would not be evaluated for its
[550.52s -> 555.24s]  historic merit until a demolition permit is submitted and so I think that before we do the
[555.24s -> 560.44s]  rezoning that would be really helpful information to have to determine whether or not this structure
[560.44s -> 566.84s]  is of historic merit especially because this is a district one of the couple districts areas of
[566.84s -> 570.84s]  downtown that was recommended in the downtown plan for a possible local historic district which
[570.84s -> 577.88s]  is probably a measure I'm going to initiate here in our next meeting or two so again first reading with
[577.88s -> 581.72s]  the direction to staff that they evaluate whether or not this is a property that should
[581.72s -> 587.16s]  go before the historic landmark commission in light of of its importance to the goals of the
[587.16s -> 593.40s]  downtown Austin plan. All right go to any other comments mayor and we close the public hearing
[593.40s -> 597.88s]  where's appropriate closing the public hearing we're appropriate in these items any other comments
[597.88s -> 602.44s]  take a vote those in favor the consent agenda please raise your hand those opposed unanimous
[602.44s -> 608.04s]  on the dice with council member Harper Madison gone the others speaking thank you okay we're going
[608.04s -> 613.24s]  to knock off some of these zoning cases we don't have time to do the largest one here before we take
[613.24s -> 617.72s]  the break I'm going to start the back and move forward
