Zoning Case: C14-2014-0036
Meeting Date: 2014-10-16T00:00:00.000
Agenda Item: 52
Source URL: http://austintx.swagit.com/play/45643/0/
================================================================================

[0.00s -> 5.62s]  So that brings us to items. We'll consider 51 and 52 together
[528.44s -> 530.44s]  Okay
[530.44s -> 532.44s]  Gabriel Sanchez
[534.36s -> 536.36s]  Andrea
[536.36s -> 543.28s]  Looks like you stand up twice Andrea. Yeah, so but you can't do that so you get you get nine minutes
[549.08s -> 551.08s]  Nine minutes if you need it
[552.08s -> 554.08s]  Oh
[555.64s -> 557.64s]  Sorry where we think a
[560.28s -> 562.28s]  Okay
[563.24s -> 565.24s]  Thank you very much for listening to our presentation
[566.60s -> 573.48s]  We are we own as a this property, which is a 58 year old church and we have a
[574.20s -> 578.28s]  difficult situation in the fact that we have three different zonings and
[578.28s -> 583.48s]  What's basically being one piece of land or one user since then since 1958?
[584.64s -> 586.64s]  we have a very old building and
[587.76s -> 592.32s]  We are real estate developers, but we try to do really good work
[592.60s -> 595.50s]  This is I'm going to show you real quick some of the work that we've done
[595.50s -> 601.40s]  That's 42nd in Lamar. We took an old building and we did it. That's where Taco deli and an Uchico are
[601.88s -> 608.12s]  That's an old warehouse. We have on 29 at once at first and that's what it looks like
[609.24s -> 614.60s]  This is a warehouse. We own in San Antonio was built in 1908 and that's what it looks like today
[615.72s -> 620.56s]  These are different projects that I've done in the in Austin. That's six houses on Lewis Lane
[621.32s -> 628.00s]  Four houses on Hank Avenue. This is an office building that was an old building from the hospital on 38th in Lamar
[628.00s -> 632.08s]  And where we did it and now it's a much better looking building
[632.56s -> 635.40s]  We have built a lot of property in the neighborhood
[635.60s -> 641.48s]  We have been neighbors and good neighbors for all these to all these people. These are some of the houses that we've built
[641.48s -> 646.76s]  This is a two unit on Colin, which is a half a block away from our property
[648.48s -> 652.48s]  This is on Justin Lane, which is just two blocks away from our property
[654.24s -> 656.40s]  This is on the legria half a mile
[657.28s -> 662.04s]  One mile away on Paladura one mile away on Woodrow two houses
[663.36s -> 666.76s]  We built four units in Woodrow one and a half miles away
[668.84s -> 672.72s]  We built on one and a half miles away on Woodrow the solid project
[674.36s -> 676.36s]  And two miles away on Woodrow
[677.52s -> 683.96s]  And on my candle so we have a lot of experience building in this neighborhood and I think we built built really nice nice product
[684.28s -> 686.28s]  this is the property and
[687.52s -> 690.52s]  Just you're an idea. That's where it is close to all these car dealerships
[691.00s -> 693.00s]  We have three zoning types
[693.32s -> 699.02s]  one of the advantages that this property has that I'm excited about is sits on the there's two bus lines on
[699.56s -> 705.48s]  Burnet and so it's pretty close to the bus line and on top of that it's pretty close to the Metro Rapid Line
[705.80s -> 707.80s]  Which I think would be a great
[708.24s -> 709.42s]  amenity
[709.42s -> 712.90s]  This is the commercial services and retail
[713.42s -> 719.78s]  The office the multifamily and so as you can see our property has the three different zonings
[720.66s -> 722.66s]  on Hardy and
[723.06s -> 724.98s]  around our property
[724.98s -> 729.34s]  You know the the neighborhood has been saying that there's a lot of residential users
[729.34s -> 736.98s]  but they are basically using for what their zone the office is on this office the multifamily is rentals and
[737.06s -> 739.06s]  you can see the amount of rentals and
[740.06s -> 742.62s]  Property said that they're in that in that street
[743.62s -> 750.22s]  Are you know there was a petition and the petition was based on a lot of rumors and creating a lot of fear which was
[750.46s -> 756.10s]  Unjustified the neighbors got letters saying that we're gonna build a hundred thousand square feet, which is not true
[756.54s -> 760.34s]  They letter said that we were gonna be building 60 feet high
[760.54s -> 767.54s]  Which is not true and the letter said to the neighbor said that we were gonna have three thousand three hundred eighty seven trips
[767.82s -> 772.54s]  Which we have 220 parking spaces. There's no way we would get three thousand three hundred trips
[774.66s -> 781.98s]  With this set of bad precedent if we rezoned this we don't think so because that's the map of Crestview and as you can see
[781.98s -> 790.50s]  It's solidly single family. There's about 50 blocks that are fully single family, and this is not really affecting any of those blocks
[791.22s -> 792.78s]  we are
[792.78s -> 795.86s]  90% surrounded by either multifamily or
[796.86s -> 798.86s]  L.O. Office
[798.86s -> 807.70s]  And out of the adjacent properties and across the street properties only 10% are single family and we're complying with the single family
[809.66s -> 811.66s]  compatibility rules
[814.42s -> 821.74s]  What would be the impact of traffic on Colin the neighbors talked a lot about the traffic in Colin what happens Collins is a two-way street and
[822.14s -> 828.96s]  Burnet is a two-way street, and then there's another street called Bernard Lane. They all meet there. There's parking by the
[830.30s -> 839.14s]  Retirement home there, so there's a very big traffic issue there sometimes, but we hired grandpa traffic consulting and they did a traffic study and
[841.18s -> 846.70s]  There's only one car every 75 seconds on Colin and one car every 83 seconds on on Hardy
[846.70s -> 849.86s]  So on our corner is really not a big traffic problem
[851.96s -> 857.64s]  The traffic problem that you see today is the church people are parking on the grass or parking you see a median
[857.64s -> 859.64s]  They're parking on both sides of the street
[859.80s -> 865.64s]  So I think we are going to improve the traffic situation there from what the church is doing today
[866.06s -> 872.70s]  There's also a lack of sidewalks in the neighborhood. You can see in red the areas that have known no sidewalks, so we're gonna
[873.42s -> 875.42s]  increase the number of sidewalks
[875.94s -> 880.00s]  People were worried about what our project was going to look like from the streets
[880.00s -> 884.06s]  So at the suggestion with one of the council members we added the multifamily
[884.78s -> 889.22s]  Shielding around the garage so you won't be able to see the garage from the street, and these are a lot of projects
[889.22s -> 891.70s]  You can see that we are always very conscious about
[892.80s -> 894.80s]  You know protecting the
[895.72s -> 899.38s]  The pedestrians in the city from looking into a big ugly project
[899.38s -> 902.46s]  I think we we have shielded all our projects with a lot of vegetation
[902.46s -> 904.46s]  and
[905.82s -> 907.90s]  That's my presentation. Thank you
[910.22s -> 912.22s]  Sorry just
[913.18s -> 916.66s]  I just have one quick question. Do you own the tract of land?
[917.50s -> 919.50s]  the the
[919.50s -> 921.50s]  property zone by the Korean
[921.54s -> 928.02s]  Church and they bought a really large property in Flugerville, and they're building a very large
[928.54s -> 931.26s]  Much larger church over there because it'd be very successful
[931.82s -> 933.82s]  so we are
[934.18s -> 940.50s]  We have a contract with them and as soon as they move to the to the new church. We're going to be closing on it
[941.02s -> 943.02s]  Okay, thank you
[945.18s -> 954.02s]  All right now go to the speaker sign up against and I have an hour and a half of testimony against as I said
[954.02s -> 960.10s]  I would appreciate if you could try to work among yourselves to limit that to about 30 minutes, but
[961.26s -> 964.82s]  If you have a preferred order if you want to just come up and you're signed up and
[965.26s -> 969.74s]  You have an order that you want to speak in and that's okay. Otherwise. I'll just go straight down the list
[972.38s -> 975.78s]  Just tell us your name good evening, my name is Joe Harbaugh live it
[975.78s -> 977.06s]  I'm a cressview resident
[977.06s -> 980.66s]  I'm the secretary of the cressview neighborhood planning contact team
[980.74s -> 986.46s]  And I'm here to convey to you the results of our meetings with the developer and our votes that we've taken on this matter
[986.70s -> 990.90s]  The contact team opposes the zoning and land use changes before council this evening
[991.26s -> 1001.94s]  We request that you deny those changes the requested commercial land use and geosoning are not appropriate for an interior neighborhood site and are incompatible with adjacent SF 3 residential
[1003.38s -> 1007.82s]  Substantial traffic increases will occur on the neighborhood streets, which include Hardy and Cullen
[1008.46s -> 1015.94s]  Justin Lane currently has two pending requests one for traffic calming one for a downgrade to collector status those roads will be impacted
[1017.50s -> 1020.86s]  The requested changes conflict with the adopted neighborhood plan
[1021.26s -> 1029.14s]  Which states that any new development should respect and complement the single family nature of the neighborhood and that commercial use use
[1029.38s -> 1034.78s]  Should be discouraged from creeping away from commercial corridors such as burnette Anderson or Lamar
[1035.34s -> 1038.62s]  The contact team has proposed an alternative SF 4b
[1038.86s -> 1042.70s]  Well, I realize this deviates from the request and staff recommendation
[1043.02s -> 1048.78s]  It was mentioned by at least one planning commission member as suitable and appropriate for this site
[1049.74s -> 1056.26s]  It also represents a compromised team that the contact team could get behind and with that I'll turn over the remainder of my time to other neighbors
[1056.26s -> 1059.06s]  Thank you. Is that about three minutes?
[1061.90s -> 1066.54s]  Okay, charge to keep track out two minutes, just let me know who's next
[1068.22s -> 1071.90s]  And how much time do you anticipate?
[1073.50s -> 1078.26s]  Not more than ten minutes ten minutes, okay signing up for ten
[1079.78s -> 1081.78s]  That will bring us to 12 minutes
[1083.26s -> 1085.26s]  Thank you mayor
[1085.74s -> 1088.90s]  Mayor council members, my name is Chip Harris
[1089.74s -> 1095.22s]  the proposed G.O. Emu zoning and alternate staff proposal of L.O. Emu
[1096.02s -> 1104.34s]  allowing the developers planned office complex is not compatible with the surrounding mostly residential uses in scale is
[1105.18s -> 1111.06s]  Contrary to our adopted neighborhood plan and fails to adhere to many of the city's sounding principles
[1111.66s -> 1114.14s]  The developers proposed three-story
[1114.90s -> 1118.34s]  60,000 square foot office building with a multi-level parking garage
[1119.30s -> 1123.22s]  Located in the interior of our neighborhood will not provide a transition
[1123.94s -> 1132.42s]  Between the higher intensity uses on burner road to the west and the residential uses to the east and will result in setting a president
[1132.66s -> 1136.34s]  for additional commercial zoning inside our neighborhood in
[1137.26s -> 1143.74s]  Addition it will result in tripling the volume of traffic on local residential streets that are narrow in nature and
[1144.10s -> 1149.94s]  Designed to function with traffic levels under 1200 cars a day not twice that many
[1150.42s -> 1154.10s]  In City's to ask review of the zoning requests. They write
[1154.66s -> 1158.66s]  Quote the traffic along Cullen Avenue and Hardy Drive
[1159.62s -> 1164.94s]  Currently exceeds the requirements established in section 25-6
[1165.66s -> 1172.84s]  116 end quote and they go on to say that Cullen Avenue will need to be widened with this project in
[1173.58s -> 1184.22s]  addition the city's requiring the developer to dedicate 45 feet of right away from Justin Lane on the other side also for future widening as
[1184.94s -> 1192.30s]  Plan this project will create a large demand for on-street parking because the developer has told us that the size of the parking garage
[1192.30s -> 1195.94s]  May only accommodate 80 percent of the demand by design
[1196.82s -> 1203.82s]  What's important to understand here is that while staff speaks eloquently about the detrimental effects of zoning this track GEO and
[1204.34s -> 1207.34s]  recommends LO instead the reality is that
[1207.74s -> 1211.50s]  Given the developers plan as they've been presented to the neighborhood
[1211.78s -> 1218.86s]  Approving LO zoning on this entire track will not reduce the magnitude of the adverse impact resulting from his plans
[1219.34s -> 1227.38s]  The three-story height of the office complex and parking garage will tower over the adjacent one-story single family and duplex homes
[1227.38s -> 1229.38s]  Directly to the east and west of this property
[1230.54s -> 1239.70s]  Effectively destroying the residential character of the neighborhood and serving as a catalyst and president for additional commercial development within the interior of our neighborhood
[1240.46s -> 1246.14s]  The applicants proposed development violates many of the city's zoning principles such as transitional use
[1246.54s -> 1254.86s]  Spot zoning being located on a major arterial setting an undesirable president being compatible with the Jason uses and
[1255.50s -> 1258.98s]  resulting again in detrimental impacts to the neighborhood character in
[1260.14s -> 1260.82s]  addition
[1260.82s -> 1267.54s]  This development proposal violates the nate the neighborhoods adopted neighborhood plan approved by the city council in
[1268.22s -> 1269.30s]  2004
[1269.30s -> 1276.34s]  Our stated vision in the neighborhood plan is to preserve the residential character of the neighborhood and one of the land use goals is
[1276.34s -> 1282.66s]  That any new development or redevelopment should respect and complement the single family character of the neighborhood
[1283.38s -> 1286.18s]  Something this development clearly fails to do
[1287.30s -> 1295.86s]  Item number eight on the list of top action items in the neighborhood plan is to discourage commercial uses from creeping away from commercial corridors
[1296.14s -> 1298.14s]  It doesn't get any planer than that
[1298.78s -> 1306.94s]  One cannot simultaneously support the Crestview neighborhood plan as it proved and support this zoning change
[1308.46s -> 1315.02s]  And I've passed out a map there since the projectors broken a map that shows the area
[1315.90s -> 1318.74s]  The map reflects the current uses
[1319.62s -> 1325.18s]  You've seen the zoning the map shows the uses around the property and the areas in green
[1325.90s -> 1334.14s]  Reflect the residential uses and you'll see the map has quite a bit of green on it the dark red rectangle is the subject track
[1334.90s -> 1338.58s]  One of the city zoning principal states zoning changes should promote
[1339.22s -> 1344.94s]  compatibility with the Jason and nearby uses and should not result in detrimental impacts to the neighborhood character
[1345.38s -> 1352.66s]  Let's take a moment and review this case in the light of that principle one of the key one of the key words here is uses
[1352.66s -> 1359.94s]  The principal doesn't say adjacent zoning. It says adjacent uses that is critical in this case
[1360.02s -> 1368.34s]  Why because if we examine the adjacent and nearby uses we find the following and I'm quoting from staff's report here
[1368.42s -> 1376.38s]  Quote the property is surrounded by residential uses on several sides in quote not one not two
[1376.86s -> 1385.26s]  But several in reality all but one side to allow an office complex here would be tantamount to spot zoning
[1385.42s -> 1391.26s]  It would be a violation of the zoning principal as you move towards Burner Road from this track
[1391.26s -> 1395.02s]  There is a duplex a fourplex and then a single family home
[1396.06s -> 1402.54s]  Basically all of colon Avenue is currently residential uses an office complex
[1403.26s -> 1408.54s]  Maxed out under LO would not be compatible and the fourth side
[1408.94s -> 1415.06s]  It's a mix of residential and commercial and what about that commercial? It's all one story
[1415.94s -> 1424.42s]  Developing a three-story office complex would be totally out of scale and once again incompatible with the surrounding uses
[1424.42s -> 1431.34s]  I'm asking you to adhere to the established zoning principles is set forth by the city to be a pedestrian in our neighborhood
[1432.06s -> 1436.22s]  Walking up and down the street and asking simply is this compatible?
[1437.58s -> 1442.46s]  Neighborhood does have a vision for this property and we welcome its redevelopment
[1443.18s -> 1449.90s]  While there is no demand for office space in our neighborhood. There is a great demand for family housing
[1450.78s -> 1453.34s]  To provide missing middle housing
[1454.30s -> 1457.74s]  While there is no demand for parking garages in our neighborhood
[1458.22s -> 1463.50s]  There is a great demand for special places where families can raise their children
[1464.54s -> 1469.74s]  Our collective desire is represented in a unanimous vote by neighborhood residents
[1470.22s -> 1475.58s]  Is to have the flum on this property change from civic to higher density single family
[1476.06s -> 1479.18s]  To have the zoning on this track bsf 4b
[1479.82s -> 1481.82s]  This would be a win-win situation
[1482.38s -> 1486.78s]  extremely beneficial for the owner and highly desirous by the neighborhood
[1487.74s -> 1492.06s]  Just want to thank you for your consideration in an attempt to be brief
[1493.02s -> 1495.02s]  This concludes our presentation
[1495.98s -> 1497.98s]  If the council wishes
[1498.38s -> 1503.74s]  We have other speakers ready to make presentations, but given the the lateness of the hour
[1504.78s -> 1506.78s]  And the unity of our group
[1507.66s -> 1509.66s]  We will end here
[1509.66s -> 1511.66s]  Depending on the council's wishes
[1512.14s -> 1514.14s]  Okay, mr. Harris has spoken
[1517.74s -> 1519.74s]  Thank you
[1522.30s -> 1525.58s]  I assume there's no one else out there who's signed up and still wishes to speak
[1526.86s -> 1528.86s]  Okay
[1529.58s -> 1533.98s]  You're taking a discussion a motion on item 51
[1534.70s -> 1536.86s]  We'll take the we'll vote on the two separately
[1539.50s -> 1540.46s]  Uh
[1540.46s -> 1542.46s]  Yeah, we could have
[1542.46s -> 1544.46s]  Do you have yeah three minutes
[1545.34s -> 1548.62s]  We can't have a previous thank you mayor
[1548.62s -> 1549.50s]  I'll be brief
[1549.50s -> 1555.90s]  I just need to correct some of the things that were said that the parking garage that we're proposing for this site is not going to tower over the residential
[1556.46s -> 1561.34s]  This parking garage actually is designed at 27 feet. We're asking for a cap of 30 feet
[1561.90s -> 1566.94s]  SF2 or SF3 in this area and SF3 that's on this property today is allowed 32 feet
[1566.94s -> 1570.46s]  So we're under what's allowed today and under what's allowed across the street
[1571.18s -> 1572.94s]  um
[1572.94s -> 1578.46s]  The right-of-way issue that was stated 45 feet is going to be required to be dedicated. No, that's not that's not accurate
[1578.46s -> 1581.26s]  It's 45 feet from the center line. It's actually two or three feet office
[1581.90s -> 1584.14s]  Uh one side of this property. So it's not that we are
[1584.78s -> 1589.58s]  Creating so much traffic to cause for basically another roadway to be built at 45 feet
[1590.22s -> 1591.34s]  um
[1591.34s -> 1593.66s]  Office is certainly a transitional use
[1594.38s -> 1596.38s]  Especially in this particular area
[1596.62s -> 1598.62s]  Many years have been doing this and many years
[1599.10s -> 1606.62s]  Um at the very beginning there was a lot of desire to have the the transition go from commercial to office to multifamily to single family
[1607.10s -> 1608.86s]  Over the last 10 to 15 years
[1608.86s -> 1614.54s]  There's been a lot of change and people have desired to have office as the transitional use prior to single family
[1614.86s -> 1618.86s]  Because people are gone on the weekend and people are gone at night and it's a quiet use
[1619.42s -> 1622.22s]  And that's exactly what we're proposing in this location
[1622.54s -> 1625.82s]  We don't believe it's an obnoxious use for the area
[1625.82s -> 1628.94s]  Especially given the fact that half of the property is owned elo today
[1629.58s -> 1635.26s]  You have to uh before you an ordinance that is based off of planning commission's recommendation, which is the elo zoning
[1635.90s -> 1639.74s]  Recommendation by the planning commission and also offered up by city staff
[1640.22s -> 1646.38s]  We'll amend that today and right now that we will accept the elo zoning on this property and just disregard the two
[1646.94s -> 1653.66s]  Geo items that we'd originally asked for and just go with straight elo and mu and with that i'm available if you have any questions
[1656.46s -> 1658.46s]  That's where we're Morrison
[1658.46s -> 1663.10s]  mr. Thrower did you consider the sf-4b that the neighbors um
[1663.98s -> 1665.98s]  Had suggested briefly
[1666.06s -> 1667.02s]  Um
[1667.02s -> 1671.10s]  If you look at how many sf-4b's are existing in austin not very many I know
[1671.66s -> 1675.10s]  Not very many and if you look at the regulations associated with it
[1675.74s -> 1677.74s]  I can see why because they're complex
[1678.30s -> 1683.50s]  Um one of them gives you a side area requirement for a building and one gives you a side area requirement for the unit
[1684.06s -> 1686.62s]  And you know jerry can probably speak more to it
[1687.18s -> 1690.30s]  but probably eloquently more better than anybody, but
[1690.86s -> 1694.06s]  Um, we just don't see that sf-4b is an appropriate use
[1695.58s -> 1697.58s]  For this side
[1697.58s -> 1699.58s]  Thank you. Thank you
[1701.10s -> 1703.10s]  Yes, or
[1703.10s -> 1704.14s]  Thrower
[1704.14s -> 1710.06s]  I think mr. Harris suggested that you were under park that you didn't have enough parking spaces to support the number of people who would be
[1710.94s -> 1715.98s]  Reasonably expected to be in the office building or on the multi-family wonder if you could comment on that
[1716.78s -> 1722.22s]  We are providing parking to city code city code allows for a 20 percent reduction in the urban core and
[1722.94s -> 1725.42s]  You know we're banking on that to be
[1725.98s -> 1732.94s]  adequate for this particular use we could park it at 100 percent, but you know is the city going to support the goal of
[1733.98s -> 1738.62s]  Having reduced parking requirements to help the mass transit situation
[1739.10s -> 1741.10s]  Or are we going to try and over park?
[1741.42s -> 1746.94s]  Properties to that provision which is really not in compliance to the commercial design standards
[1748.22s -> 1755.42s]  So you're at 80 percent, but you're also a block off of burn it and I believe I saw a bus stop brt stop
[1756.14s -> 1760.62s]  About a block away from your your property is that accurate that is correct at burn it and joustin
[1761.02s -> 1765.98s]  Do you have a sense for how many vehicle trips per day? They're currently are on hardy and uh culling
[1767.02s -> 1768.54s]  I um
[1768.70s -> 1770.62s]  Off top of my head no, but I can get that for you
[1770.62s -> 1775.90s]  I know you didn't do the tia because you didn't need to but you did have an estimate for how many vehicle trips you're going to be generating
[1776.14s -> 1778.14s]  That's correct if you had a sense for
[1778.46s -> 1783.82s]  Mr. Khan suggested there were one car over 86 seconds, which is not sort of number which I can
[1784.38s -> 1789.50s]  Easily translate I wanted the extent to which you could we could reasonably expect there would be an increase
[1789.82s -> 1796.06s]  What percentage increase we could reasonably expect to see in calling and hardy and for that matter on just an associate with your
[1797.02s -> 1801.26s]  You development and again, I don't have those numbers directly in front of me
[1801.50s -> 1804.22s]  I can probably dig those up or talk to mr. Khan about it
[1804.86s -> 1811.50s]  Um, but I would also like to then point out that under the existing zoning we can generate more trips than what we're proposing
[1812.06s -> 1817.34s]  I understand that yes, okay. If there's a way you could dig those up in real time. I'd very much appreciate it. Thank you
[1822.30s -> 1824.30s]  First of all when I do have those numbers
[1824.86s -> 1827.50s]  There was a neighborhood traffic analysis performed with this case
[1829.58s -> 1834.14s]  The existing traffic on Justin is 5,441 vehicles per day
[1835.26s -> 1837.26s]  this
[1837.26s -> 1841.02s]  At the time the nta was done. I know mr. Throw is proposing right now a cap of 1,100
[1841.02s -> 1843.34s]  But there was a different assumption done when the nta was done
[1843.90s -> 1849.66s]  So I would add in a thousand vehicles per day to just to Justin for a total of 64 41
[1850.30s -> 1852.30s]  On colon avenue the existing traffic
[1853.18s -> 1854.62s]  1,159
[1854.62s -> 1858.22s]  Propose to add 600 for a total of 1,759
[1858.78s -> 1861.18s]  And I'm hardy and existing 1,045
[1861.82s -> 1865.26s]  With 400 to be added for a total of 1,445
[1865.90s -> 1871.98s]  If you could give me a sense for what would be regarded as being capacity for a neighborhood collector like Justin
