Zoning Case: C14H-2018-0014
Meeting Date: 2018-04-12T00:00:00.000
Agenda Item: 50
Source URL: http://austintx.swagit.com/play/45760/0/
================================================================================

[0.00s -> 1.80s]  Zoning consent agenda, please.
[189.12s -> 192.16s]  Again, this is a council postponement to 426.
[193.24s -> 198.24s]  Item number 43, this case C14 84 346,
[198.64s -> 201.00s]  a postponement by council to 426.
[202.00s -> 207.00s]  Again, another related item to that item 40 is case C14 84 346.
[207.80s -> 211.72s]  This is again a council postponement to 426.
[211.72s -> 214.52s]  Another related item to number 40 is item number 45,
[214.52s -> 217.88s]  case C14 76 083.
[217.88s -> 221.28s]  Again, this would be consent postponement to 426 by council.
[222.96s -> 227.96s]  Item number 46 is case MPA 2016 014.01.
[228.96s -> 232.96s]  Staff is requesting a postponement in this case to May 24th,
[232.96s -> 236.96s]  the commission postponed this item to a later date in May.
[236.96s -> 241.96s]  The related zoning case is item number 47, case C14 2017 0010.
[242.96s -> 246.96s]  This is staff postponement of this item to May 24th.
[247.96s -> 252.96s]  Item number 48 is case C14 2017 0130.
[252.96s -> 256.96s]  The applicant is requested a postponement of this case to May 10th,
[256.96s -> 259.96s]  and I'll note at changes in corrections this morning,
[259.96s -> 264.96s]  we noted that this was under the proposed zoning was to
[265.96s -> 269.96s]  community commercial conditional overlay or GRCO.
[272.96s -> 277.96s]  Item number 49 is case C14 2017 0132.
[277.96s -> 280.96s]  The neighborhood planning contact team has submitted a request
[280.96s -> 285.96s]  for postponement to 426 at the council work session,
[285.96s -> 288.96s]  council member Renteria noted there'd be a postponement
[288.96s -> 293.96s]  and we'd have one received from the planning contact team to 426.
[293.96s -> 298.96s]  And then finally, item number 50, this case C14 H dash 2018 0014.
[299.96s -> 302.96s]  This is ready for consent approval on all three readings.
[302.96s -> 305.96s]  And just noting where there's applicable public hearings
[305.96s -> 308.96s]  related to these items, we would also suggest
[308.96s -> 310.96s]  they close the public hearing with the exception
[310.96s -> 313.96s]  of the Broadmoor case, which I noted in particular that was
[313.96s -> 315.96s]  being remained open for second, third readings.
[316.96s -> 317.96s]  Thank you, Mr. Grinti.
[317.96s -> 320.96s]  I want to just clarify on 39 that it was council agreement
[320.96s -> 324.96s]  that any item that was controversial or had discussion
[324.96s -> 325.96s]  would be postponed.
[325.96s -> 327.96s]  So I wouldn't want to count that as the neighbors,
[327.96s -> 330.96s]  one chance to postpone.
[330.96s -> 331.96s]  Is that correct?
[331.96s -> 332.96s]  Council member?
[332.96s -> 333.96s]  Right.
[333.96s -> 334.96s]  Okay.
[334.96s -> 335.96s]  Thank you.
[335.96s -> 337.96s]  Are there any comments on the consent agenda
[337.96s -> 340.96s]  before we move to the council member plan again?
[341.96s -> 343.96s]  I would say just to that last point, it's been my experience
[343.96s -> 346.96s]  that we often allow community folks to ask for postponement
[346.96s -> 348.96s]  frequently, not just limited to one.
[348.96s -> 350.96s]  So I'm not worried about how it's concerned.
[350.96s -> 351.96s]  I think if somebody wanted a postponement,
[351.96s -> 353.96s]  probably grant it to them anyway.
[353.96s -> 357.96s]  But my one comment is on, as I lost my train of thought here,
[357.96s -> 360.96s]  item 36, just to say that this is another one of those cases
[360.96s -> 364.96s]  where there's a hazardous materials nearby and the process
[364.96s -> 367.96s]  of having to do this through zoning and is cumbersome.
[367.96s -> 369.96s]  I'm hoping, just like those cracks,
[369.96s -> 371.96s]  there are cases that we find a way to solve this in a more
[371.96s -> 374.96s]  administrative health and safety process under code next.
[374.96s -> 376.96s]  But I'm willing to support this on consent,
[376.96s -> 378.96s]  but just with that noted.
[378.96s -> 380.96s]  So noted.
[380.96s -> 383.96s]  Do you have a motion on the consent agenda?
[383.96s -> 386.96s]  Council member Poole, second from council member kitchen,
[386.96s -> 390.96s]  all those in favor?
[390.96s -> 392.96s]  So council member kitchen, Houston,
[392.96s -> 396.96s]  Renteria, Altar, Flanagan, and Poole, vote in favor,
[396.96s -> 401.96s]  mayor, abler, mayor pro tem, tovo, council member Garza,
[401.96s -> 405.96s]  trucks, Claire, and council member Kasar are off the dais
[405.96s -> 408.96s]  to the consent agenda passes.
[408.96s -> 412.96s]  We have no other items to take up until four p.m.
[412.96s -> 414.96s]  So we will read.
[414.96s -> 417.96s]  Mr. Guernsey, were any of those items for all three readings
[417.96s -> 418.96s]  on consent?
[418.96s -> 419.96s]  Yes.
[419.96s -> 423.96s]  And so just noting that the public hearings were closed
[423.96s -> 425.96s]  with the exception of the particular item 38,
[425.96s -> 431.96s]  which is the Broadmoor case, that what I read in the record
[431.96s -> 434.96s]  for all of you was that that public hearing would remain open
[434.96s -> 435.96s]  for second and third reading.
[435.96s -> 438.96s]  My concern is there's only six of us up here.
[438.96s -> 440.96s]  And so if we had on consent all three readings,
[440.96s -> 442.96s]  it wouldn't go for all three readings.
[442.96s -> 443.96s]  It would just go for first.
[443.96s -> 445.96s]  That's a good point.
[445.96s -> 446.96s]  Does anyone know if Mr.
[446.96s -> 452.96s]  Kasar is nearby to, because we need seven for that.
[452.96s -> 454.96s]  Maybe what we do is hold that one.
[454.96s -> 455.96s]  And then if he's here at four o'clock,
[455.96s -> 457.96s]  we can bring that back up and revote it.
[457.96s -> 458.96s]  Just table it for now.
[458.96s -> 459.96s]  Sure.
[459.96s -> 460.96s]  Which items would need to be tabled?
[460.96s -> 467.96s]  That would be item number 36 and item number 50.
[467.96s -> 468.96s]  Okay.
[468.96s -> 471.96s]  So let's table item 36 and 50 until four o'clock.
[471.96s -> 475.96s]  And hope that council member Kasar will be here at four o'clock.
[475.96s -> 478.96s]  So we can pass those on all three readings.
[478.96s -> 481.96s]  We will take those two items up very quickly at first and then move
[481.96s -> 488.96s]  on to our public hearing for item number 51.
[488.96s -> 490.96s]  So with that, we will be recessed until four p.m.
[490.96s -> 493.96s]  And I would ask my colleagues to please be here on time so we can
[493.96s -> 496.96s]  get everyone out as quickly as possible.
[496.96s -> 498.96s]  Thank you.
[498.96s -> 499.96s]  Good afternoon.
[499.96s -> 501.96s]  I'm council member altar and I'm chairing today's meeting.
[501.96s -> 505.96s]  We're reconvening the Austin City Council of four o'clock.
[505.96s -> 508.96s]  We have three items left on our agenda.
[508.96s -> 512.96s]  Did you want to start with items 36 and 50 or with item?
[512.96s -> 513.96s]  Yes.
[513.96s -> 514.96s]  Let me do that.
[514.96s -> 515.96s]  I don't.
[515.96s -> 516.96s]  I'm Greg Lindsey planning and zoning apartment.
[516.96s -> 519.96s]  This from your two o'clock because zoning and paper planning
[519.96s -> 520.96s]  amendment related items.
[520.96s -> 523.96s]  First time I can offer for consent is item number 36.
[523.96s -> 524.96s]  Okay.
[524.96s -> 525.96s]  C 14, 2017.
[525.96s -> 526.96s]  0, 141.
[526.96s -> 530.96s]  There's a revised ordinance that reflects MF for CO zoning.
[530.96s -> 533.96s]  This is ready for consent approval and all three readings.
[533.96s -> 538.96s]  The other item, item number 50.
[538.96s -> 541.96s]  In this case, C 14, H, 2018.
[541.96s -> 542.96s]  0, 14.
[542.96s -> 545.96s]  This is also ready for consent approval and all three readings.
[545.96s -> 547.96s]  I'll move approval on all three readings.
[547.96s -> 549.96s]  Thank you, council member pool moves with a second.
[549.96s -> 551.96s]  Council member Houston.
[551.96s -> 554.96s]  And that's also noting that the closing of public hearing where
[554.96s -> 555.96s]  it's applicable.
[555.96s -> 557.96s]  Thank you for that clarification.
[557.96s -> 559.96s]  All those in favor?
[560.96s -> 563.96s]  Unanimous on the dias with mayor.
[563.96s -> 565.96s]  Adler mayor pro tem.
[565.96s -> 569.96s]  Council member Garza and trucks clear off the dice.
[569.96s -> 573.96s]  Four o'clock public hearing possible action item number 51 is
[573.96s -> 576.96s]  conduct a public hearing and consider an ordinance amending the
[576.96s -> 579.96s]  regulating plan for the north burn a gateway zoning district to
[579.96s -> 584.96s]  create a new commercial mixed use ash gateway zone sub district.
[584.96s -> 587.96s]  And this brings in another parcel to be similar to the other
[587.96s -> 590.96s]  parcels on the adjoining properties that are part of the
[590.96s -> 591.96s]  domain.
[591.96s -> 594.96s]  It was recommended unanimously in a 12 old vote by the commission.
[594.96s -> 596.96s]  There are no speakers here.
[596.96s -> 600.96s]  So you could take this out of my consent with a closure of public
[600.96s -> 601.96s]  hearing.
[601.96s -> 606.96s]  Council member pool would you like to move that and close the
[606.96s -> 607.96s]  public hearing.
[607.96s -> 609.96s]  For a second.
[609.96s -> 615.96s]  Council member run to read all those in favor.
[615.96s -> 619.96s]  Unanimous on the dias with usual folks off.
[619.96s -> 621.96s]  I believe that is the last item.
[621.96s -> 624.96s]  That concludes all the zoning related items of four o'clock
[624.96s -> 625.96s]  public hearing.
[625.96s -> 626.96s]  Great.
[626.96s -> 630.96s]  So before we conclude I just wanted to acknowledge that today is
[630.96s -> 635.96s]  city manager cronks two month anniversary and I wanted to
[635.96s -> 640.96s]  congratulate him on reaching that first milestone here and say
[640.96s -> 646.96s]  that we're all very pleased to have you and we look forward to
[646.96s -> 648.96s]  many years ahead.
[648.96s -> 654.96s]  So with that we will reconvene for music and proclamations but the
[654.96s -> 658.96s]  business portion of the Austin City Council meeting for April 12th
[658.96s -> 661.96s]  is adjourned at four o' five p.m.
