Zoning Case: C14-2013-0135
Meeting Date: 2013-12-12T00:00:00.000
Agenda Item: 121
Source URL: http://austintx.swagit.com/play/45604/0/
================================================================================

[0.00s -> 2.00s]  Next
[553.76s -> 559.32s]  Services conditional overlay or li co combined district zoning. This is ready for first reading only
[559.68s -> 561.68s]  mayor I understand the applicant
[562.40s -> 568.72s]  In a neighbor's have agreed to prohibit one additional use and they would allow this also to stay in that your consent agenda
[568.88s -> 576.76s]  That would be to prohibit food sales as the additional use and then we could leave this on for consent approval for first reading an item number 109
[578.48s -> 584.32s]  Excuse me item number 110 this case c14 2013 0106 for the property located
[585.36s -> 587.36s]  50 16 and one half
[587.84s -> 594.56s]  East ben white boulevard on this is to zone the property of general commercial services conditional overlay neighbor plan or cs
[595.12s -> 602.48s]  co mp combined district zoning for tracked one and community commercial conditional overlay neighbor plan or grco
[602.96s -> 605.28s]  combined district zoning for track two with conditions
[606.00s -> 613.52s]  The plan commercial recommendation was to grant the cs co mp combining district zoning for track one and grco mp
[613.84s -> 616.80s]  combined district zoning track for track two with conditions
[618.32s -> 626.00s]  Item number 111 this case c14 2013 1 10 was all three that was all three readings. Sorry mayor. Yes
[627.28s -> 634.64s]  Item number 111 in this case c14 2013 0 109 for the property located at 10 819
[635.20s -> 637.20s]  FM 22 22
[637.52s -> 640.96s]  This is the zone the property to community commercial or gr district zoning
[641.36s -> 647.68s]  Zoning planning commission's recommendation was to grant community commercial conditional overlay our grco combined district zoning
[648.56s -> 651.36s]  Excuse me, and this is ready for consent approval on all three readings
[653.04s -> 658.80s]  Item number 112 this case c14 2013 0 1 1 2
[659.68s -> 663.84s]  For the property located at 95 13 and one half east palmer lane
[664.80s -> 672.48s]  And this is a zoning change request to commercial highway services conditional overlay or chco combined district zoning
[673.04s -> 677.12s]  The zoning plan commission recommendation was to grant the ch co combined district zoning
[677.52s -> 683.12s]  Mayor, I believe we have a single property owner or a single law interested party that would like to speak to this item on
[683.12s -> 686.32s]  Or if you want to consider same thing we'll leave it on a consent and we'll call him up
[686.64s -> 688.64s]  Okay, before we uh take a motion
[689.20s -> 692.72s]  Thank you mayor item number 113 is case c14 2013
[693.44s -> 696.48s]  0114 for the property located at 24 39
[697.12s -> 704.24s]  East say highway 71 westbound. This is zoning change request to general commercial services or cs district zoning
[704.64s -> 712.56s]  The zoning and planning commission's recommendation was to grant general commercial services conditional overlay or cso co combined district zoning
[712.56s -> 714.96s]  This is ready for consent approval on all three readings
[716.40s -> 718.40s]  Item number 114
[718.80s -> 720.80s]  As case c14 2013
[721.44s -> 724.56s]  0115 for the property located at 24 15
[725.20s -> 730.80s]  East state highway 71 westbound to zone the property to general commercial services or cs district zoning
[731.28s -> 738.40s]  The zoning and planning commission's recommendation was to grant general commercial services conditional overlay or csco combined district zoning
[738.80s -> 741.52s]  And this is ready for consent and approval on all three readings
[742.40s -> 744.24s]  item number 115
[744.24s -> 751.28s]  Is the case c14 2013 0122 for the property located at 46 22 south from our boulevard southbound
[751.76s -> 759.44s]  This is to zone the property to limited office conditional overlay or l o co combined district zoning as amended the planning commission's recommendation
[760.40s -> 768.08s]  Was to grant the limited office conditional over that l o co combined district zoning and this is ready for consent approval on all three readings
[768.88s -> 773.60s]  Item number 116 is case c14 2013 0124
[774.64s -> 778.80s]  For the property located at 14 400 the lakes boulevard
[779.20s -> 784.40s]  To zone the property to general commercial services mixed use or cs m u combined district zoning
[784.88s -> 791.20s]  Zoning planning commission's recommendation was to grant the cs m u district zoning. This is ready for consent approval and all three readings
[792.16s -> 799.76s]  And item number 117 case c14 2013 0125 for the property located at 40 10 sawmill drive
[800.16s -> 801.68s]  I understand the applicant
[801.68s -> 809.92s]  Disagrees with the commission's recommendation. There's a citizen here to speak to this item. This might take a little while so we take it off for discussion
[811.12s -> 816.08s]  Item number 118 is case c14 2013 0127
[817.20s -> 820.24s]  For the property located at 31 0 9 south the marble of our
[820.88s -> 826.16s]  This is on the property to commercial liquor sales vertical mixed use building or cs 1 v
[826.72s -> 830.08s]  combined district zoning the planning commission's recommendation was to grant
[831.20s -> 836.32s]  The cs 1 v combined district zoning and this is ready for consent approval on all three readings
[836.64s -> 846.56s]  Item number 119 is case c14 2013 0128 for the property located at 10 730 south it's 35 service road southbound
[847.44s -> 851.84s]  To zone to general commercial services mixed use or cs m u combined district zoning
[852.24s -> 859.92s]  The zoning planning commission's recommendation was to grant general commercial services mixed use conditional overlay or cs m u c o combined district zoning
[860.24s -> 862.80s]  And this is ready for consent approval and all three readings
[864.48s -> 872.08s]  Item number 120 is case c14 2013 0 130 for the property located at 11000 824 bernet road
[872.40s -> 876.96s]  To zone the property to major industrial plan development area our mi pda
[879.84s -> 884.32s]  District zoning to change a condition of zoning this recommendation was to grant the mi pda
[884.88s -> 888.80s]  Zoning with the conditions and this is ready for consent approval on all three readings
[889.04s -> 893.28s]  However, remember we have one individual to speak to that item same thing
[893.76s -> 900.80s]  Okay, item number 121 is case c14 2013 0135 for the property located at 1701
[901.36s -> 902.48s]  Red River Street
[902.48s -> 907.92s]  This is to zone the property to p district zoning the plan commission recommendation was to grant the p district zoning
[907.92s -> 910.48s]  And this is ready for consent approval on all three readings
[911.52s -> 913.52s]  Item number 122
[914.24s -> 920.08s]  Case c14 2013 0137 for the property located at 5513 south but parkway
[920.48s -> 927.04s]  This is on the property to community commercial mixed use conditional overlay neighbor plan or gr m u c o m p
[927.36s -> 933.28s]  Combined district zoning the plan commission recommendation was to grant the gr m u c o m p combined district zoning
[933.68s -> 936.24s]  And this is ready for consent approval on all three readings
[936.88s -> 938.80s]  item number 123
[938.80s -> 943.52s]  Is case c8 14 dash 88 dash 0 0 0 1 0 1
[944.08s -> 947.28s]  For the property located at 800 north capital texas highway
[947.68s -> 952.24s]  We have a neighborhood request for post poment to your january 23rd agenda
[953.20s -> 958.16s]  Item number 124 is case c8 14 dash 88 dash 0 0 0 1
[958.72s -> 962.32s]  RCA for the property located 800 north capital texas highway
[962.64s -> 967.92s]  We have again. We have a neighborhood request for pope's poment of this case to your january 23rd agenda
[969.12s -> 971.68s]  Item number 125 is case c14 0 2
[972.32s -> 976.96s]  That's 0183 RCT for the property located 1120 tillery street
[977.44s -> 981.92s]  Staff is requesting a post poment of this item to your january 23rd agenda
[982.80s -> 985.28s]  Item number 126 is case c14 h
[986.08s -> 990.16s]  2013 0 0 0 4 for the property located at 15 1 woodridge dry
[990.72s -> 997.36s]  This is to zone the property to family residents historic landmark neighbor plan or sf 3 h and p combined district zoning
[997.84s -> 1005.68s]  The plan goes to recommendation was to grant the sf 3 h and p combined district zoning and this is ready for consent approval on all three readings
[1006.40s -> 1008.40s]  item number 127
[1009.20s -> 1011.20s]  This case c14 h
[1011.20s -> 1014.88s]  2013 0 0 0 6 for the property located 805 littier street
[1015.28s -> 1021.76s]  This is the zone the property to family residents historic landmark neighbor plan or sf 3 h and p combined district zoning
[1022.08s -> 1026.32s]  The planning commission's recommendation was to grant the sf 3 h and p combined district zoning
[1026.56s -> 1028.96s]  And this is ready for consent approval on all three readings
[1029.92s -> 1036.24s]  Item number 128 is case c14 h 2013 0 0 0 0 7 for the property located at
[1036.24s -> 1038.08s]  1911 cliff street
[1038.08s -> 1047.84s]  This is to zone the property to multifamily residents low density historic landmark conditional overlay neighbor plan or mf 2 h c o m p combined district zoning
[1048.40s -> 1053.84s]  The planning commission's recommendation was to grant the mf 2 h c o m p combined district zoning
[1054.24s -> 1060.24s]  And this is ready for consent approval on all three readings me. I think you had one speaker that had signed up in favor
[1061.04s -> 1062.80s]  on this item
[1062.80s -> 1064.40s]  on 128
[1064.48s -> 1066.48s]  But not wishing to speak
[1068.72s -> 1071.44s]  We we have wishing to speak I don't believe
[1072.48s -> 1075.68s]  Are you out there? Okay, so she does not wish to speak
[1076.32s -> 1077.20s]  Thank you
[1077.20s -> 1084.72s]  Item number 129 is case c14 h 2013 0 0 0 8 for the property located at 1504 east 11th street
[1085.28s -> 1089.84s]  To family residents historic landmark neighbor plan or sf 3 h and p combined district zoning
[1090.16s -> 1094.96s]  The planning commission's recommendation was to grant the sf 3 h and p combined district zoning
[1095.36s -> 1098.56s]  And this is ready for consent approval on all three readings
[1099.20s -> 1101.20s]  Well, that's a lot of you out of breath yet
[1105.28s -> 1107.76s]  Okay, mayor on item number 109
[1108.16s -> 1112.08s]  Yeah, mr. Rust-Oven indicated me that that actually we have an ordinance
[1113.20s -> 1116.88s]  Uh, I know the private restricted covenant has been executed
[1117.84s -> 1120.64s]  And that's the one where I added the additional condition of food sales
[1121.20s -> 1126.72s]  Which is clear enough and we can still offer that for all three readings today all three all three on one oh no
[1128.56s -> 1133.76s]  With the additional can prohibited use of prohibited use that you named all right
[1134.80s -> 1138.00s]  So I'll read this back to you a lot quicker
[1141.04s -> 1143.04s]  To approve item number 92
[1143.68s -> 1145.68s]  on third reading
[1145.76s -> 1149.68s]  To close the public hearing approve on all three readings items 96
[1150.72s -> 1152.72s]  97 98
[1153.92s -> 1160.16s]  To postpone item 99 until February 13th postpone item 100 till january 23rd
[1161.28s -> 1164.80s]  And also postpone 101 until january 23rd
[1165.76s -> 1167.76s]  Did
[1171.28s -> 1174.88s]  Did I miss reading back 98 post-poned i think i think i skipped 98
[1175.20s -> 1177.92s]  Yeah, okay post-poned till February 13th also
[1178.80s -> 1181.84s]  Uh, and that puts me down on 101
[1183.28s -> 1184.24s]  and
[1184.24s -> 1185.84s]  102
[1185.84s -> 1187.84s]  to postpone
[1188.48s -> 1191.76s]  Excuse me 101 postpone until january 23rd
[1192.56s -> 1194.88s]  And on items 102 and 103
[1195.76s -> 1201.44s]  To approve on first reading only noting that the public hearing will be kept open and we had that one speaker
[1202.16s -> 1208.00s]  And when we would get to that in a minute and to close the public hearing and approve on all three readings
[1208.64s -> 1210.64s]  items 104 105
[1211.76s -> 1216.08s]  106 with the additional conditions that you read into the record 107
[1217.36s -> 1219.36s]  and to postpone item 108
[1219.44s -> 1221.36s]  until
[1221.36s -> 1223.36s]  February 13th
[1224.08s -> 1226.08s]  to
[1230.80s -> 1235.28s]  Excuse me i'm reminded february 108 is post-poned until february 13th
[1236.72s -> 1241.04s]  Is that what you have in your record january 23rd, okay
[1243.12s -> 1245.12s]  to
[1245.92s -> 1250.96s]  Uh, close the public hearing and approve on all three readings item 109
[1251.92s -> 1252.96s]  with the
[1252.96s -> 1257.92s]  Promissions prohibited uses that you read into the record close the public hearing and approve
[1258.56s -> 1260.56s]  item 110
[1260.88s -> 1263.52s]  111 12 113
[1264.56s -> 1268.40s]  114 115 and 116 on all three readings
[1269.44s -> 1273.68s]  To close the public hearing and approve on all three readings item 118
[1274.40s -> 1276.40s]  119 120
[1276.96s -> 1278.96s]  121 122
[1279.84s -> 1281.12s]  to
[1281.12s -> 1283.04s]  Post-poned items
[1283.04s -> 1284.88s]  123
[1284.88s -> 1288.88s]  124 and 125 until january 23rd
[1290.00s -> 1292.00s]  Close the public hearing and approve
[1292.32s -> 1297.68s]  On all three readings items 126 127 128
[1298.32s -> 1300.00s]  129
[1300.00s -> 1302.00s]  And we have some speakers
[1302.00s -> 1307.76s]  on that consent list which i'll call it now first uh on item 102 and 103 allen cole
[1314.24s -> 1317.84s]  Mr. Mayor and council members, thank you. My name is allen cole
[1317.92s -> 1323.04s]  I live in the hankot neighborhood and i'm here on behalf of a group of my neighbors
[1323.60s -> 1329.04s]  This includes petitioners against the proposal to develop the paria state and dozens of others
[1329.44s -> 1332.80s]  Who have significant concerns about the project in its present form
[1333.76s -> 1340.08s]  The good news is that for a couple of weeks now we have been in face-to-face negotiations with the developers attorneys
[1340.72s -> 1344.32s]  Discussions which have been moderated by council member morrison
[1344.88s -> 1348.96s]  We look forward to continuing this work toward an agreement that makes sense
[1349.52s -> 1352.24s]  Not only for the developer but also for the neighborhood
[1352.88s -> 1355.12s]  We are grateful to council members morrison
[1355.60s -> 1360.00s]  Tovo and martinez in particular for encouraging these conversations
[1360.88s -> 1364.64s]  Although we hope to find a solution that protects our residential community
[1364.72s -> 1367.60s]  Let me stress that we are still in discussions
[1368.24s -> 1371.76s]  The neighborhood association as you will recall voted last spring
[1372.32s -> 1378.40s]  Against this proposed zoning change and against the project before you by a large margin over 80
[1379.36s -> 1383.84s]  Rejected it more over most of the adjoining resident signed a petition
[1384.48s -> 1389.36s]  Against the proposed use as a hotel and outdoor music and event venue
[1390.96s -> 1396.56s]  Even so, let me say clearly that my neighbors and I are not against the development of the paria state
[1397.20s -> 1403.04s]  We simply want this to occur in a manner that is compatible with the neighborhood single family homes
[1403.52s -> 1410.88s]  And which has the appropriate scale and limits so that this development does not fundamentally change the hand-cocked neighborhood
[1411.68s -> 1416.72s]  We are hopeful even encourage that conversations with the developer will continue to bear fruit
[1417.28s -> 1420.48s]  Indeed, we are hopeful that we will find a win-win solution
[1421.20s -> 1429.12s]  But more conversation more flexibility and more sensitivity to how this project will impact the neighborhood are needed. Thank you
[1430.08s -> 1432.08s]  Thank you
[1432.08s -> 1436.88s]  To speak on item 112 and 120 is
[1438.24s -> 1440.24s]  Mr. McLeod
[1441.60s -> 1443.60s]  Well, this is the first
[1444.88s -> 1446.88s]  I
[1447.68s -> 1449.68s]  I I'm surprised
[1450.16s -> 1452.48s]  You let me speak, but we're not going to pull it out
[1453.12s -> 1458.32s]  Pull it off of the consent agenda. We haven't voted on it yet. Mr. McLeod. Okay
[1459.20s -> 1464.40s]  Well, I don't know why I'm speaking just on to either your opportunity to persuade us to do otherwise
[1465.28s -> 1468.08s]  Okay, um, well, let me first um
[1469.52s -> 1473.84s]  Talk about or um item number 112 with 290 in parmer
[1474.64s -> 1476.24s]  um
[1476.24s -> 1481.92s]  I don't see you to have a problem with the restrictions on here, but I think we need to go a bit further on the restrictions
[1482.72s -> 1484.56s]  um
[1484.56s -> 1487.20s]  And conditions upon approval
[1487.84s -> 1490.96s]  Now it says right here that budding streets don't have sidewalk
[1491.76s -> 1495.36s]  And I'm assuming 290 in parmer does not have sidewalks
[1496.56s -> 1502.00s]  Um this uh property owner that wants the zoning changed install sidewalks
[1502.56s -> 1506.16s]  That's very important, but of course a bike route is available
[1506.80s -> 1510.32s]  So we're encouraging people to walk in the bike route
[1510.96s -> 1515.36s]  Over on 290 in parmer and that's a very busy intersection
[1515.44s -> 1517.44s]  um
[1517.92s -> 1520.80s]  Like I said, I have no faith and no problem with this
[1523.36s -> 1527.20s]  Um on the condition that y'all make it accessible
[1528.88s -> 1532.56s]  You need to make your infrastructure accessible
[1533.52s -> 1537.44s]  And item, okay, and then I'll go ahead and I'll speak also on 120
[1538.16s -> 1540.16s]  Um, which is the domain
[1540.40s -> 1542.40s]  the domain
[1542.40s -> 1544.40s]  You want to jumble all
[1545.36s -> 1548.08s]  the zoning all into one big glob
[1550.00s -> 1553.28s]  I don't know if whoever whatever towns do that
[1554.16s -> 1556.24s]  Usually it's by
[1556.24s -> 1560.72s]  Platt or by property. I'd rather see it one by one than just
[1561.68s -> 1564.16s]  And I'm first sure the neighborhood would fill the same way
[1565.36s -> 1569.92s]  Didn't see it all. Okay. Well, this is a big glob. It's mixed. Geez. We don't know what's gonna go in
[1570.88s -> 1572.88s]  I don't want an entertainment district
[1573.36s -> 1580.24s]  In my backyard in my area in my neighborhood. I'm pretty sure the neighborhood the residents on uh metric
[1580.80s -> 1582.80s]  Don't want to see it either
[1583.44s -> 1586.08s]  So I am against 120
[1588.24s -> 1593.28s]  Um, I don't think that's the proper way to deal with it. I mean if it's downtown, that's one thing
[1594.16s -> 1596.40s]  But you you're dealing with multifamily
[1597.12s -> 1599.12s]  You're dealing with a residence
[1599.12s -> 1601.60s]  Um, and I just feel like it's a bad idea
[1602.32s -> 1604.32s]  And I don't want any more
[1604.32s -> 1605.76s]  you know
[1605.76s -> 1607.76s]  entertainment districts
[1608.32s -> 1610.32s]  We should be um
[1610.88s -> 1613.04s]  Focusing on better things. Thank you
[1614.48s -> 1615.60s]  Thank you
[1615.60s -> 1618.40s]  So I'll entertain a motion on the consent agenda
[1619.68s -> 1623.60s]  council member spell and moose approval mayor pro tam cole seconds
[1624.48s -> 1625.52s]  councilor tovo
[1625.52s -> 1630.88s]  mayor I'd like the record to reflect my vote against 92 and my recusal on 107
[1632.32s -> 1636.96s]  That was uh recusal on 97 and against on 92
[1637.36s -> 1644.40s]  Not quite um, again my vote against 92 and my recusal on 107 107. Okay. Thank you
[1645.84s -> 1647.84s]  All right, uh
[1647.84s -> 1650.64s]  So all in favor of the cons of the motion say aye
[1651.36s -> 1653.52s]  aye pose say no
[1653.52s -> 1655.52s]  Passes on a vote of seven to zero with the
[1655.52s -> 1660.80s]  customer tovo shooting shown voting no on 92 and recused on 107
