Zoning Case: C14-2009-0071
Meeting Date: 2009-11-05T00:00:00.000
Agenda Item: 64
Source URL: http://austintx.swagit.com/play/45400/0/
================================================================================

[0.00s -> 7.14s]  And I believe Mr. Guernsey that takes us to item 64. That's correct. I don't know 64 is case c14
[313.72s -> 320.40s]  I explained at that time that in order to do WLO we would have to have a minimum of one acre lot and
[321.36s -> 327.76s]  after the the Zapp meeting the owner actually contacted me and asked if these
[328.56s -> 331.80s]  Initially these three additional uses could be added
[332.40s -> 337.44s]  and after further discussion with him we determined that that one of the uses probably wouldn't
[338.20s -> 341.72s]  work because of parking which was a funeral services and
[342.56s -> 348.44s]  So we and that's why that's one of the things that even is recently is now. I'm asking to remove that one
[351.60s -> 357.32s]  And and again, I don't understand why wouldn't you've asked for the other two at then I mean that
[357.96s -> 365.68s]  It seems strange to me because you can do what you you can do what you need to do with what the Zapp recommendation is correct
[365.68s -> 369.20s]  We were initially going to ask for CSGR
[369.64s -> 374.44s]  but staff recommended at that hearing CSCO we were trying to maintain the
[375.08s -> 381.84s]  The similar ordinance to the property that was next door initially and maybe Mr. Rusto and can help me with this. I apologize
[387.32s -> 393.52s]  Well the property next door was the one that zoned CSCO and that's the text our property and
[394.12s -> 397.76s]  You I don't know if you recall or not, but when that case came in
[398.80s -> 403.72s]  They said we only want to make our use so legitimate legal use they needed
[404.08s -> 405.80s]  CS zoning as well
[405.80s -> 412.84s]  It was for construction sales and service similar type of use and council granted that and then along with all other LR
[413.32s -> 419.92s]  type of uses staff made a similar recommendation given councils action on the property next door
[419.92s -> 423.08s]  We thought it was only fair and we're looking at being consistent with that
[423.08s -> 427.20s]  I will note that there is I think one Hertz rent-a-car
[427.88s -> 435.04s]  Business I think further north on 35 along the front-end road, but I'm not aware of an auto sales business. That's right by but
[435.56s -> 438.68s]  There's not too far away. There's an all Hertz auto rental place
[438.80s -> 445.76s]  That was approved by council with several conditions about buffering and setbacks and how that operation was
[447.52s -> 449.52s]  At that some help
[449.68s -> 451.68s]  Okay, thank you
[459.16s -> 464.36s]  Council comments council member Spellman will close public hearing and approve on first reading
[465.36s -> 472.36s]  Those of public hearing and approve on first reading as requested by the applicant with the addition of auto sales and service and
[473.24s -> 475.92s]  I will second that motion
[476.84s -> 478.84s]  Is there any further discussion
[480.48s -> 482.28s]  Council member Alec a couple questions
[482.96s -> 489.54s]  The mr. Guernsey to the I guess trying to figure out what uses would be allowed under this zoning would
[490.02s -> 497.12s]  Would would drive through with food services and sales be allowed food services loud and lr you can actually have
[498.22s -> 499.38s]  restaurant like a
[499.38s -> 505.94s]  limited restaurant in lr those basically restaurants and don't serve alcohol and that drive drive through facilities would be allowed in
[505.94s -> 511.22s]  Connection with them I drive through is not prohibited in lr on type of district
[512.58s -> 519.38s]  There may be limitations for a drive-through with food sales be or as a restaurant because right behind this is our single
[519.38s -> 520.74s]  family homes
[520.74s -> 527.34s]  You would you would be allowed to have like a Walgreens that may have a drive-through
[527.82s -> 534.20s]  Associated with a like a pharmacy that wouldn't certainly be permitted on this property
[538.58s -> 541.18s]  I'd like to offer a friendly amendment that
[544.10s -> 546.70s]  That we prohibit drive-through facilities
[546.70s -> 552.22s]  I guess where I get it. I guess I'm would ask would that need to be part of the CO or could that yes
[552.22s -> 557.22s]  We could we can make that part of the conditional overlay to prohibit a drive-through service with this
[559.54s -> 564.94s]  And the and the reasoning is it is it directly adjacent to single-family uses and and the applicant is
[565.38s -> 567.38s]  Agent is nodding in agreement at me
[569.82s -> 571.82s]  Sure
[572.82s -> 577.94s]  Well, yeah, I will I will accept the friendly amendment also
[580.10s -> 586.26s]  As long as it's okay with the applicant I frankly don't think see any imperative to restrict it in this way
[588.70s -> 594.14s]  Mayor pro tem I'm going to support this on first reading but I do have some concerns about auto sales
[594.78s -> 597.98s]  Going into second and third reading being adjacent to single family
[598.42s -> 601.94s]  We tend to run into issues like lighting overspill
[603.18s -> 608.26s]  You know and it's just not a very accepted use, you know, we have enough
[608.90s -> 614.02s]  auto dealers in this town and you know huge surface parking lots in my opinion
[615.62s -> 621.82s]  So I'll support it on first reading, but I will have you know try to talk about those concerns moving to second and third
[621.90s -> 628.74s]  Eat okay, and and there are options to control lighting that can be offered as a CO I believe
[630.10s -> 637.66s]  Mr. Guernsey if they came in they would be limited by compatibility standards if they added new light standards that would have to be
[638.94s -> 642.38s]  Shaped so that the light source would not shine on the residential
[642.74s -> 646.50s]  Properties next door if they did decide to add additional lighting on the property
[647.10s -> 649.10s]  And that's that's already the case
[649.10s -> 652.02s]  That that's in the case is mr. Makata mentioned
[652.02s -> 656.12s]  I think he's speaking to a change of use and as part of that we would check parking
[656.58s -> 658.58s]  We check screening requirements
[658.94s -> 663.30s]  That lighting would also come in to play at that time. Okay. Yes, ma'am Marcin
[666.26s -> 670.66s]  We do have a letter in our backup from the neighborhood association the walnut Creek
[671.42s -> 677.54s]  Neighborhood Association opposing this zoning change at all even with the limitations not even allowing
[678.42s -> 685.94s]  The auto use and I find this troubling because what I would I see the chronology the sequence that we have is that?
[686.94s -> 689.74s]  first we had one small property
[690.46s -> 696.26s]  Get zoned so that it could come into compliance and that was a bit of a struggle the neighborhood was against that
[696.34s -> 702.54s]  So it was allowed to come into compliance and it was very narrowly crafted to allow that now we see
[702.54s -> 705.98s]  Next another illegal use
[706.62s -> 714.70s]  Getting rezoned so that it can come into compliance, but then broadening it even beyond that and that I have a lot of trouble
[715.22s -> 723.90s]  Especially with broadening the zoning and allowing even additional use potentially additional uses beyond the ones that aren't on complying and
[724.22s -> 731.50s]  The city's trying to help them become complying. So with that I won't be able to to support the motion
[732.94s -> 734.94s]  Yes, remember shade
[735.10s -> 743.10s]  I'm in complete agreement with Councilor Morrison on that on her assessment of the chronology and I will also it is it's so it's so
[743.58s -> 745.58s]  We agree on more than people think
[745.94s -> 747.94s]  but
[748.02s -> 750.66s]  But anyway, I'm really troubled by the chronology as well
[750.66s -> 757.10s]  I feel like there is an end I don't I don't feel satisfied with the answer as to why something was proposed it in
[757.26s -> 762.62s]  The normal due process that's now adding something that's as contentious as automatic, you know automotive
[763.06s -> 769.58s]  Sales and Reynolds. I mean, that's not an easy. Let's add on. That's a pretty big deal
[770.14s -> 773.94s]  And I'm really bothered by that not going through the process in
[774.82s -> 780.34s]  The way that I would have expected it to so I'll be I'll be voting against it as well
[781.34s -> 783.34s]  Okay
[784.10s -> 793.58s]  All in favor of the motion, which is to close the public hearing and approve on first reading only with the one change of adding auto sales and Reynolds
[796.82s -> 804.22s]  And excuse thank you in the no drive through all in favor say aye aye opposed
[805.22s -> 813.26s]  Okay, so I believe that is passes on a vote of five to two with council members shade and Morrison voting no
[816.70s -> 821.26s]  So that concludes the zoning map changes for today, thank you
[834.22s -> 836.22s]  You
