Zoning Case: C14-2013-0048
Meeting Date: 2013-08-22T00:00:00.000
Agenda Item: 111
Source URL: http://austintx.swagit.com/play/45588/0/
================================================================================

[0.00s -> 2.00s]  What's next?
[896.64s -> 901.20s]  That are there and we just can't do anything about them. They're there. We don't know what else to do
[901.60s -> 903.88s]  Okay, I given the lateness of the hour
[903.88s -> 908.32s]  I think I'm gonna leave my questions there except to say that while these yes the recommendations are just you know
[908.32s -> 914.52s]  Came to us rather recently but the concern I think is an ongoing one and certainly those were built into the LA zoning for a reason
[914.52s -> 917.24s]  so I think we still need to pay attention to the the kind of
[917.92s -> 922.44s]  provisions that were included in LA zoning because they were they were done with good reason as one of the
[923.08s -> 924.72s]  one of the people who
[924.72s -> 927.92s]  Who has written a letter that's provided in our backup states?
[928.96s -> 936.76s]  Chief environmental officer Chuck Lesniak stated at a 13 May 2013 like Austin taskforce meeting that the LA zoning district regulations
[936.92s -> 941.72s]  were the single most important factor maintaining the water quality of Lake Austin and so I think you know
[941.72s -> 944.20s]  I think it is a very significant concern
[944.92s -> 947.92s]  so I will not be supporting the motion and and
[948.48s -> 954.20s]  This is first reading only and the environmental officer has not weighed in on this particular case
[954.28s -> 962.88s]  He's he's been working with the Apple County. So I was not a boy in his life. He is about this so I'll be supporting this on first reading
[962.88s -> 964.32s]  Councillor Morrison
[964.32s -> 966.16s]  Thank you
[966.20s -> 969.92s]  He has Mr. Lesniak has provided a couple of
[970.32s -> 974.64s]  very informative memos in response to some questions that I think we all got and
[975.64s -> 977.64s]  Knowing that there might be some
[978.72s -> 986.04s]  Some compromises made one of the questions to him was please describe what LA protection should not be compromised and why?
[986.04s -> 989.92s]  And his answer to that is that the staff feels the most important
[990.32s -> 998.76s]  Protections are the shoreline setback with the associated protection of woody vegetation and the limits on construction on steep slopes
[998.92s -> 1003.84s]  So I think that I'm going to support this motion, but I'm going to be very interested in
[1005.40s -> 1011.84s]  Learning what is the situation out there right now? Are this are there already cuts on the steep slopes?
[1012.76s -> 1018.86s]  That have been made that you know wouldn't be making it worse or is it really going to be
[1019.58s -> 1023.38s]  Significant additional construction and then there's also mitigation
[1023.90s -> 1031.58s]  To be considered during construction. So I will support this now, but I'm very interested to learn what staff can bring back
[1032.42s -> 1035.42s]  Favorite of the motion say aye. I suppose they know
[1035.90s -> 1041.94s]  past on a vote first reading on a vote of six to one Councillor Tovall voting no
[1042.42s -> 1046.54s]  Thank You Mayor and Council that concludes the zoning map changes for this evening
