Zoning Case: C14-2013-0081
Meeting Date: 2014-06-12T00:00:00.000
Agenda Item: 96
Source URL: http://austintx.swagit.com/play/45629/0/
================================================================================

[0.00s -> 3.36s]  And I trust we don't have any more of those
[198.96s -> 200.32s]  Rodney Bennett
[200.32s -> 204.06s]  So you would have up to 11 minutes. Thank you mayor
[205.16s -> 212.16s]  Mary Council if you recall this was heard by council at a previous meeting when that application was for geo
[212.16s -> 220.44s]  The staff supported that position. However, it was deemed after a survey was done that that wouldn't really do any good
[220.44s -> 227.32s]  As far as in previous cover the church has been at this site a church for about and since the mid-50s
[227.88s -> 230.72s]  as far as I know we do not have a parking problem and
[231.28s -> 239.20s]  if you recall from the previous discussions we were trying to figure out how we could get the needed square footage for the
[240.16s -> 241.68s]  Fellowship hall
[241.68s -> 249.36s]  There was questions about discussions about going to the Board of Adjustment for somewhere in the neighborhood of the 200 percent variance
[249.36s -> 257.32s]  And I think it was generally discussed that that probably wasn't a good hardship and quite a large application for variance
[259.00s -> 264.20s]  At that same council meeting there was discussion by some of the council members and myself about
[264.72s -> 266.72s]  Perhaps we could go with a GRCO
[267.52s -> 275.40s]  Which would limit the site development regulations of GR and prohibit all the other commercial uses
[276.36s -> 277.84s]  except
[277.84s -> 284.56s]  prohibit all commercial uses and only allow the uses that are permitted civically in SF 2
[285.16s -> 291.12s]  We currently have SF 2 zoning the Flum map shows that we're to be a civic use
[291.52s -> 297.44s]  So we're proposing with our development to remain as civic use in conformance with the Flum
[297.80s -> 301.60s]  It would just be that we need this for the in-purpose cover
[302.44s -> 308.60s]  And as I said since then I think staff's recommendation based on the fact that it's been changed considerably
[308.96s -> 313.60s]  We're the conditional overlays that that's been presented to you the height of the building
[314.40s -> 320.04s]  Prohibited commercial uses and the site development regs as well as the TIA
[320.76s -> 326.36s]  That I think their their position is to a granted under those conditions with those modifications
[327.60s -> 334.24s]  We have met on several occasions with the organization or some of the representatives of the organization
[337.96s -> 340.72s]  And we just don't seem to be able to get there
[342.68s -> 347.60s]  The churches should be entitled to have a fellowship hall that accommodates the use of their
[350.04s -> 354.52s]  Membership and that's basically what we're asking for is to allow that
[359.00s -> 364.44s]  We've talked about sharing plans neighborhood sharing plans we've talked about
[366.96s -> 370.36s]  Not directly but we've talked about variances we've also talked about
[372.00s -> 373.80s]  financial incentives
[373.80s -> 379.56s]  But still we're just not able to get there and this is about the only way that I think myself and staff
[380.04s -> 382.60s]  Can figure out that they would be allowed to build
[383.72s -> 385.72s]  the fellowship hall
[385.92s -> 388.44s]  Because it's a flum because the flum
[389.04s -> 393.44s]  limits it to civic use which we are and will be with the addition and
[395.08s -> 401.24s]  Anyone else coming behind us want if they should buy the property and want to do anything other than a civic use
[401.24s -> 403.88s]  would be back before you for a flum amendment and
[404.36s -> 407.52s]  For a zoning change to lift whatever conditional overlays
[407.76s -> 410.60s]  So that I think the insurance is there that
[412.36s -> 419.92s]  Would limit the use to a religious assembly use and the other civic uses which could currently be permitted right now
[420.80s -> 422.80s]  Be available. Should you have any questions?
[424.64s -> 426.64s]  Need further discussion
[427.80s -> 432.36s]  That's where we're really mr. Bennett you mentioned that there has been some discussion about sharing plans
[432.36s -> 437.48s]  I know that the neighborhood had some concerns about not knowing exactly what this would look like
[437.52s -> 439.52s]  Have y'all got many progress on that?
[439.80s -> 446.52s]  We've had discussions on it and from what I can think our architect will approach that but I as I understand it
[446.84s -> 453.32s]  Sharing plan is from the neighborhood association and the city of Austin and not for private entities
[454.20s -> 458.32s]  And it has to be in the right of way according to what's on the computer
[459.44s -> 461.44s]  And it's for usually things like
[461.44s -> 468.60s]  Landscaping medians additional sidewalks and those kind of things rather than
[469.96s -> 471.96s]  the proposal to put the
[472.72s -> 476.40s]  detention pond in the right of way which I
[477.12s -> 483.04s]  Supposed could be done, but I think it would probably require a license agreement or some special approval
[483.60s -> 487.92s]  To deviate what the neighborhood plan sharing plan currently
[488.88s -> 490.88s]  Requires our cause for
[490.96s -> 494.80s]  There's there's also some discussion about about rain gardens and
[495.68s -> 499.44s]  Other things that would make that this use more
[500.32s -> 505.96s]  Palatable to the neighborhood has there been any headway on that since they last been yes and once again
[505.96s -> 510.60s]  I think the architects have some pictorial to show you and demonstrate to that okay as you may know
[510.96s -> 515.52s]  Under any project in the city of Austin right now. You only have to capture
[516.48s -> 519.24s]  for the proposed new construction and
[519.80s -> 521.80s]  Not the total site
[522.00s -> 526.64s]  So we are certainly going to have to comply with the code as far as the addition
[527.00s -> 532.32s]  That we're proposing because it's a code requirement. We are not required however under code to
[533.96s -> 536.76s]  Detain and water quality the whole site
[537.64s -> 541.36s]  However with this proposal that we've seen and the architectural approach about it
[542.36s -> 546.92s]  We think we can do some modifications to that and perhaps certainly improve
[547.48s -> 552.24s]  the existing condition without having to fully go and contain and and
[553.72s -> 558.80s]  Clean up the full site that there's just no room to do that site. Okay. Thanks
[562.48s -> 567.64s]  Okay, we'll go to the speakers in favor beginning with Michael Antonora
[570.92s -> 573.68s]  Donating time is Justin Gesh
[574.68s -> 576.68s]  All right, so you have six minutes
[577.72s -> 579.72s]  Thank you
[580.00s -> 582.00s]  Good evening council members
[582.00s -> 585.16s]  My name is Michael Antonora. I'm the principal of Antonora architects
[585.84s -> 590.88s]  We are working with life to have a natural church to assist them with the renovation in addition of their existing fellowship hall
[591.48s -> 595.80s]  Thank you for the opportunity to speak on behalf of our client and I want to also just
[596.56s -> 601.76s]  Extend another thank you having sat here for the last five hours and watched everything you all have to go through
[602.36s -> 605.04s]  Just to say thank you for your service. I mean really
[606.72s -> 608.72s]  Really
[610.76s -> 616.52s]  It's a it's a hard job and I do not envy you at all so I think to address
[617.00s -> 621.64s]  Councilman Riley's question about the sharing I think Jim was confused sharing plan partnering plan
[622.60s -> 624.60s]  We haven't really gone that far
[624.80s -> 631.12s]  The church really has a limited budget and so we've only gone far enough to sort of describe enough to have these discussions
[631.12s -> 635.44s]  So we we define that it's a 2000 square foot addition and that's about the extent of it
[636.64s -> 639.88s]  Jim addressed a number of the issues, so I'll try not to be redundant with that
[641.32s -> 648.16s]  As Jim mentioned the church has been there since the 1950s. They do have an existing fellowship hall. It really is in bad shape
[649.08s -> 654.52s]  The issue here is that they want to expand it slightly by about 2000 square feet and on this graphic
[654.52s -> 659.48s]  You see here the small pink area that says new impervious coverage. That's the extent of what they want to add
[659.96s -> 666.64s]  The site is is I believe 1.8 acres, and this is a 2000 square foot addition on about a 5000 square foot building
[668.48s -> 675.28s]  The the issue is that they're already over the amount of impervious coverage that the zoning will allow
[676.20s -> 678.20s]  45% they're at 79%
[678.56s -> 683.44s]  The church is asked for a zoning change for the site that is more consistent and compatible with the church use and occupancy
[683.56s -> 688.36s]  But that will also increase the allowed impervious coverage to an amount that will allow for the addition to their fellowship hall
[688.92s -> 696.12s]  When we met with the with council last May there was a proposal put forth by council staff for the site to receive the gr zoning
[696.20s -> 701.68s]  But to be encumbered with all of the SF 3 restrictions including height except for the
[702.28s -> 708.96s]  the impervious coverage which would allow this to move forward and seem to be a good compromise in that it addressed the neighborhood concerns for
[709.28s -> 714.92s]  Future development of the site under new zoning so as Jim pointed out the whole idea is there
[714.92s -> 719.72s]  they have a very legitimate concern about this site becoming something that they would not like to be there and
[720.12s -> 722.68s]  This allows the church to move forward their development
[722.68s -> 729.24s]  But anyone that was to purchase the property property later on would have to come back in front of you in front of the zoning and plating commission
[729.80s -> 731.80s]  And thus and so forth and go through that whole process
[733.20s -> 736.40s]  The church was willing to accept this proposal in addition
[736.40s -> 741.56s]  They offer to provide rain gardens and bioswales to mitigate any additional runoff generated by the new addition
[742.28s -> 748.36s]  As Jim pointed out the code requires us to address to run off only for the amount of area we are adding our addition is approximately
[748.44s -> 753.84s]  2,000 square feet thus we would typically only require a treatment area of about 400 square feet of rain garden
[754.76s -> 759.28s]  Now the neighborhood has has gone to great lengths here to try to work with us as well
[760.28s -> 767.44s]  They have two engineers living in the neighborhood that have drafted actually this drawing is something that was put forth by the neighborhood
[768.16s -> 770.16s]  For some rain gardens
[770.16s -> 777.20s]  The difficulty here is that the the rain garden that they're asking for is to capture the runoff of the entire site
[777.52s -> 784.76s]  Rather than just the area that is added and while that is no doubt the best solution for the site and best solution for the neighborhood
[785.36s -> 790.52s]  Unfortunately with a very very modest budget that the church has this would eat up an inordinate amount of their budget
[791.08s -> 793.40s]  And so in discussions about this
[793.88s -> 799.16s]  There was two factors. There was the cost and then there was the concern that with this amount of disturbed area
[799.16s -> 802.48s]  This would also trigger a full site plan, which would also be very costly
[803.08s -> 810.68s]  Both in time and money and so the what we're trying to achieve is a happy medium here that addresses what the church is trying to achieve
[810.68s -> 815.58s]  And address the neighborhood's concerns for future development and runoff the last
[816.68s -> 818.68s]  Discussions that we've had
[818.76s -> 822.76s]  Again with a lot of council input and help is there are some neighborhood
[823.12s -> 826.68s]  Partnering programs that are available through the city that would allow for
[827.80s -> 831.36s]  some of the cost of this additional runoff area to be
[832.28s -> 839.76s]  Offset by the city and and if unless I'm mistaken the way that would work is whatever the cost would be the city could do up to
[840.04s -> 846.32s]  50% the applicant could cover the other 50% and that could either be in cash or that could be in kind donations with
[846.96s -> 849.44s]  Sweat equity or plants or what have you?
[851.28s -> 854.92s]  Again the church trying to to accommodate the neighborhood's concern
[855.00s -> 858.96s]  They have agreed to this and said in addition to what they would pay for
[859.68s -> 865.56s]  The area there that's listed as 500 square feet would be the amount for the addition itself the
[866.64s -> 875.02s]  Church would kick in an additional not to exceed figure of five thousand dollars towards the other half that the city would not cover with the partnering program
[875.22s -> 881.46s]  The unfortunate thing is the partnering program is not something that the church can apply for the neighborhood would have to apply for it
[881.82s -> 886.70s]  There's two parts to it. There is the part that would allow them the license agreement to work in the right-of-way
[886.70s -> 889.98s]  And there's a second part which would be the application for a grant
[890.26s -> 897.18s]  So what we're asking for here is from help from y'all to try to create a win-win that would allow the church to move forward with
[897.18s -> 902.10s]  Their project and they would cover the expense of the runoff from their own building plus
[902.54s -> 906.18s]  The runoff from the existing building and then they would work with
[907.30s -> 912.06s]  City to try to create this other situation where we could use the partnering program to offset the other costs
[912.46s -> 915.46s]  So that's really the the proposal that's at hand
[916.50s -> 920.18s]  And return for that the change in the zoning would be granted
[921.10s -> 923.86s]  So if you have any questions, I'm available for that
[925.78s -> 929.02s]  Okay, we'll go to those speakers stand up against
[929.14s -> 931.14s]  First
[931.14s -> 933.14s]  Is
[933.14s -> 935.14s]  Aloa Matthews
[936.50s -> 938.50s]  Aloa Matthews
[944.50s -> 952.22s]  Are you Aloa yes, donate time is Marty Christman David Carole
[954.62s -> 956.62s]  Charlish Hauser
[960.02s -> 962.02s]  So you have 12 minutes
[970.58s -> 975.14s]  Hi, I'm Aloa Matthews, I'm actually gonna set the clock for 12 minutes
[975.14s -> 977.46s]  Please I'm gonna not take 12 minutes
[977.46s -> 983.22s]  I promise and I'm gonna give Marty Christman back his time because he's our neighborhood pro bono engineer and neighbor
[983.22s -> 987.98s]  Who's done such a great job. Okay, take Marty Christman off and set the clock for nine minutes
[989.46s -> 995.90s]  Thank you. I'm Aloa Matthews, and I'm here representing Sherwood Oaks neighborhood and my neighborhood association
[996.78s -> 1002.62s]  SRCC. I'm not gonna repeat anything that the applicant has said about how we got here
[1002.78s -> 1008.14s]  We were just really hope the neighborhood association voted to support
[1008.90s -> 1011.82s]  going to the Board of Adjustment a year ago
[1012.70s -> 1019.34s]  To ask that they give a variance based on a hardship because the church does not have a fellowship hall
[1019.34s -> 1023.18s]  All the other churches in the neighborhood have a fellowship hall and we
[1023.58s -> 1028.98s]  Were under the assumption that this would be the hardship because they do not have a fellowship hall
[1029.26s -> 1034.18s]  St. Ignatius church has a fellowship hall faith my church faith Presbyterian has a fellowship hall
[1034.18s -> 1036.18s]  So we assume that would be the hardship
[1036.82s -> 1043.86s]  And we offered to work with them on that as you know they went to Planning Commission instead and were voted down seven to zero
[1044.70s -> 1050.30s]  On the GR and they went ahead and Planning Commission voted seven to zero
[1051.54s -> 1058.66s]  Preemptively on the staff recommendation of G. Oh, so I'm showing this map today of the zoning of the area
[1058.66s -> 1062.06s]  And you'll see it's the SF 2 neighborhood plan. It's the real skinny
[1062.62s -> 1068.50s]  Highlighted area all around it. There is only SF 2
[1069.02s -> 1076.06s]  Single-family or multi-family and we have a great concern that if this area is resound as GR that someday
[1076.22s -> 1080.86s]  It will become something that is too much for this residential area to bear
[1081.14s -> 1085.74s]  We've visited with several of the council members. We've been given a lot of proposals
[1085.74s -> 1091.10s]  I would just give another proposal two days ago, but I'm not a unilateral person that can just say yes
[1091.10s -> 1093.10s]  I can agree to this so
[1094.02s -> 1097.62s]  We were hoping to come tonight and ask you to protect our neighborhood
[1097.94s -> 1099.86s]  Marty's gonna talk a little bit more
[1099.86s -> 1103.74s]  He's the one that came up with that design of the the rain gardens and everything
[1103.90s -> 1106.78s]  But what we would like to do is ask for
[1107.34s -> 1109.34s]  the council to
[1109.34s -> 1111.74s]  Realize that this is a single-family neighborhood
[1112.06s -> 1114.94s]  There's a lot of elderly people that live in this neighborhood
[1114.94s -> 1117.14s]  We haven't even touched on the traffic issues
[1117.30s -> 1120.22s]  there are people who can't get out of their driveways now and
[1120.74s -> 1122.74s]  I was going to show a picture
[1123.46s -> 1130.38s]  There's some pictures of the parking lot of the church that we have that we were just really hoping that the church would build on
[1130.70s -> 1137.74s]  The existing impervious cover that they already have I know it will still trigger again that they need to get a permit
[1137.90s -> 1140.98s]  But we can support them again at board of adjustment
[1140.98s -> 1146.58s]  They have a lot of parking that they don't use and it seems like it would be reasonable for them to build
[1147.14s -> 1151.86s]  On the existing impervious cover if you look at this picture. This is the south end of the property
[1151.86s -> 1153.86s]  This is on a Sunday
[1153.86s -> 1156.50s]  So they're not using any of these parking places
[1157.10s -> 1164.10s]  We we are worried that if you know that zoning is changed so that they can build their building at some point
[1164.10s -> 1166.10s]  We will get something that is too much
[1166.94s -> 1172.18s]  Infrastructure wise human wise for this neighborhood to bear. This is on a Sunday
[1172.18s -> 1174.98s]  There's another picture of the rest of the parking lot
[1175.42s -> 1177.82s]  With very few cars in it. So
[1179.10s -> 1182.74s]  You know pictures are worth a million words. I don't have to
[1183.62s -> 1187.26s]  Go on about this. There's a lot of empty parking space there. I
[1188.30s -> 1192.98s]  Know when we met with council member Riley he came up with a lot of suggestions and one of the
[1194.26s -> 1199.54s]  One of the landowners adjacent to this property said in his neighborhood plan
[1199.54s -> 1204.74s]  They had ruled out certain types of zoning and then the council had come back
[1205.38s -> 1207.62s]  Later and had changed that had voted
[1208.06s -> 1212.42s]  Against you know, they had said this this would never happen here
[1212.42s -> 1215.94s]  If if I could walk away from here tonight and know that that
[1216.58s -> 1224.18s]  GR zoning would this would always be a church as they're proposing and that no other uses other than SF2
[1224.18s -> 1228.06s]  I could go back to my neighborhood association and say okay
[1228.38s -> 1233.56s]  We have a promise in writing that nothing else gr or SF2
[1234.52s -> 1240.96s]  No gr uses would be here other than SF2 or civic. I could say ask them to consider that
[1240.96s -> 1245.80s]  I can't unilaterally agree to things that we haven't voted on
[1246.40s -> 1253.36s]  So I'm gonna let Marty talk a little bit Marty is our wonderful engineer and he came up with the
[1254.12s -> 1256.12s]  Getting the survey accurately
[1256.28s -> 1261.32s]  Reported and thank you to the council for asking for that survey. We've been trying to get it for several months
[1261.32s -> 1263.32s]  So thank you very much for your time
[1263.96s -> 1265.96s]  Marty Chrisman
[1268.60s -> 1270.84s]  You have three minutes, thank you
[1271.60s -> 1277.88s]  I'm Marty Chrisman. I'm the chair of the Environment Committee Committee for South River City Citizens Neighborhood Association and
[1279.48s -> 1281.48s]  We've worked hard for the past
[1281.96s -> 1286.32s]  at least 10 years on protecting our watershed Blen Blen Creek and
[1286.84s -> 1288.32s]  And
[1288.32s -> 1295.68s]  We're just uncomfortable with this zoning changing from a maximum allowable impervious cover of 45%
[1296.72s -> 1298.72s]  up to
[1298.84s -> 1302.40s]  An allowable impervious cover of 90% for the gr zoning
[1303.88s -> 1308.68s]  What I just want to clarify that the stormwater control measures that we proposed
[1309.32s -> 1311.32s]  would be in exchange for a
[1311.72s -> 1316.68s]  Variance an impervious cover variance. We haven't our neighborhood association is not
[1317.80s -> 1319.80s]  voted to
[1320.12s -> 1324.24s]  Approve in any form an up zoning. That's that's on the table tonight
[1327.12s -> 1334.56s]  One of one of the concerns that we have for the for the up zoning and it's good that the uses have been restricted with the CEO
[1335.08s -> 1338.28s]  But there does not seem to be any sort of mitigation
[1339.00s -> 1344.40s]  Excuse me mitigation for the permanent increase of impervious cover that we're going to see here
[1345.16s -> 1348.60s]  Blen Creek is heavily heavily developed urban watershed
[1348.88s -> 1355.52s]  There's been a lot of money that's been spent by the city and mitigating the erosion of Blen Creek down in Stacy Park
[1356.28s -> 1364.92s]  And we really appreciate those projects and we just feel this you know this incremental increase of from from 45% to
[1366.00s -> 1366.88s]  90%
[1366.92s -> 1368.92s]  Would be just another
[1368.92s -> 1371.28s]  cut in the depth of a thousand blows if
[1372.48s -> 1378.68s]  We know the impervious cover now is is 79% but you know if this lot does get developed in the future
[1379.20s -> 1384.64s]  We feel comfortable knowing that it would be reduced to a maximum of 45% so
[1386.32s -> 1388.32s]  I'll take any questions if you have any
[1390.80s -> 1392.80s]  No questions mr. Chrisman
[1392.80s -> 1403.44s]  Thank you for your comments, and I understand that you were you authored the plan that we saw that showed rain gardens and a
[1404.88s -> 1410.96s]  speed bump that the direct runoff into into one of the rain gardens and that that was done in
[1411.72s -> 1413.72s]  in anticipation of a variance
[1413.96s -> 1420.36s]  Do you see any value in getting any of those improvements rain garden or anything like that in place?
[1420.36s -> 1425.84s]  In independent of whether there's a variance or not
[1428.88s -> 1436.28s]  And I know there are the idea came up partly because of the rain garden that's that's already that the city placed in Blen Creek
[1436.28s -> 1439.40s]  And that was one of the models that we discussed with mr. Hintanora
[1440.04s -> 1446.20s]  And so the concept was there's currently runoff coming from the adjacent side as well as this site
[1446.28s -> 1453.32s]  And that is going heading straight for the creek and that and that if that this was an opportunity to actually get some rain gardens that would provide
[1454.08s -> 1455.92s]  some water quality
[1455.92s -> 1461.68s]  Advantages. Do you do you place any value on that on on getting?
[1462.40s -> 1467.16s]  Rain gardens like that in place on this site. Yeah, definitely and that was kind of the idea
[1467.16s -> 1473.92s]  I met with another engineer in the neighbor Mike Kelly who works for the city and we kind of brainstormed on what would work
[1474.80s -> 1479.00s]  For this site and that's kind of what generated that figure you saw
[1479.00s -> 1485.52s]  I should also clarify those all those control measures were on their property. They weren't in the right-of-way and
[1486.40s -> 1488.08s]  We didn't think
[1488.08s -> 1493.48s]  Controls in the right-of-way would work mainly because you can't see it from that that overhead shot
[1493.48s -> 1501.28s]  But the right-of-way is very steep. It's it slopes down steeply to the adjacent street and it would be very
[1501.92s -> 1504.00s]  difficult to construct a
[1504.00s -> 1509.16s]  Cost-effective rain garden on that slope in the right in the right-of-way
[1510.16s -> 1511.72s]  Okay
[1511.72s -> 1517.48s]  But you would rather see assuming the the zoning change if the zoning change were just denied and
[1518.00s -> 1520.00s]  the Board of Adjustment
[1520.00s -> 1523.28s]  Denied to variants as they as they likely would then
[1523.84s -> 1529.92s]  Your your preference would be to just to see the existing conditions remain in place then to then to
[1529.92s -> 1533.76s]  Then to get any rain garden there even
[1536.40s -> 1538.40s]  I'm not or any circumstance
[1538.40s -> 1540.40s]  Yeah, I think I know where you're going on
[1540.40s -> 1547.56s]  I'm in favor of of exhausting the Board of Adjustment option or the variance option and and then if that doesn't work then I
[1547.56s -> 1552.20s]  Think we were willing to you know talk again about and you know
[1552.84s -> 1555.92s]  Other alternatives or options. Okay. Thanks
[1555.92s -> 1559.48s]  John David swing
[1562.76s -> 1564.76s]  John David Swan
[1569.28s -> 1571.28s]  Joan Hauser
[1573.52s -> 1575.52s]  Joan Hauser
[1577.52s -> 1581.72s]  Okay, that concludes our speakers wishing to testify
[1581.72s -> 1588.04s]  Do we have a rebuttal from the applicant
[1597.36s -> 1599.36s]  Thank you Mayor pro Tim
[1600.32s -> 1601.80s]  Council the board
[1601.80s -> 1605.00s]  Board of Adjustment option does not sound like a good option
[1605.56s -> 1610.00s]  because of hardships and other uniquenesses that are not there as required by code and
[1610.72s -> 1613.44s]  Just today we were asked earlier in a in a
[1614.36s -> 1617.08s]  meeting with several of the people that spoke
[1617.80s -> 1622.80s]  About okay if we delayed our project and filed an application to the Board of Adjustment
[1623.48s -> 1627.36s]  It would come up in August or September due to their scheduling
[1627.36s -> 1634.80s]  And if we got there and if the Board of Adjustment said no, would you support the variant would you support the zoning change?
[1635.80s -> 1637.80s]  The answer was no
[1638.52s -> 1640.52s]  So if we
[1640.52s -> 1644.72s]  Delayed 30 to three months went there, and if they did say no
[1645.60s -> 1652.20s]  Then we're at the same place with the same arguments with the same people when all we're trying to do is simply add a
[1652.52s -> 1655.00s]  Small fellowship hall addition to the church
[1655.64s -> 1661.16s]  We think that the parking has not been a problem to my knowledge. It is not overloaded
[1661.16s -> 1666.88s]  It doesn't overload the streets such as some of the churches that's come before you we have adequate parking
[1666.88s -> 1669.60s]  We have like a hundred and forty members in the congregation
[1669.60s -> 1677.20s]  Of course it is expected to grow, but we don't think this fellowship hall is going to cause an increase in population of our members
[1678.92s -> 1681.16s]  It will be there for as an excess for use
[1682.72s -> 1684.72s]  additionally I
[1684.72s -> 1686.72s]  Think it was indicated to you that
[1687.80s -> 1689.80s]  They didn't have any assurance
[1690.28s -> 1694.48s]  That it wouldn't be used as commercial all they had was a promise I
[1695.32s -> 1697.32s]  Say if this passes they have a law
[1698.16s -> 1700.12s]  they have a law that
[1700.12s -> 1706.40s]  Assures them that it won't be any more than what we've talked about under the site development regulations and the civic uses of
[1707.28s -> 1712.68s]  That's allowed in the SF 2 which is currently allowed in the current zoning
[1712.76s -> 1716.40s]  It's this impervious cover thing that we're trying to get up over it
[1717.36s -> 1719.36s]  And so I think any
[1720.04s -> 1721.84s]  The law is a better well
[1721.84s -> 1725.28s]  I don't know some promises are broken, but the law is usually the law
[1725.28s -> 1731.96s]  So I think that has more weight in most cases and and that should be the assurance necessary to do it
[1732.84s -> 1736.16s]  As indicated we are adjacent to an MF6
[1737.08s -> 1743.68s]  high density apartments and different forms of commercial in the north side of Old Torque on the
[1743.92s -> 1746.56s]  East side the church has three houses
[1747.20s -> 1753.68s]  One is occupied by the pastor and other is occupied by the associate pastor and the secretary of the church. I believe
[1755.52s -> 1757.52s]  So I don't think it should
[1758.64s -> 1760.64s]  Increase any volume as traffic
[1762.36s -> 1771.28s]  Council I think this is the only way that we can give the church something that is certainly other churches are entitled to or have as a use to their their
[1771.36s -> 1773.36s]  church and
[1773.44s -> 1779.40s]  It seems the reasonable approach to ensure as the discussions we've had earlier
[1781.16s -> 1783.00s]  That this conditional overlays
[1783.76s -> 1789.72s]  Would accomplish all the things that we've talked about the available should you have any other questions? Thank you
[1791.84s -> 1799.00s]  Yes, we're running mr. Bennett. I understand the applicant is willing to commit to putting in the the 5,000s quit
[1799.72s -> 1804.46s]  You know 500 square foot rain garden that would provide treatment for the water coming off of the additional
[1805.16s -> 1812.16s]  Impervious cover is that correct? Yes, do you have any sense of how that could be memorialized as a requirement?
[1812.16s -> 1814.72s]  But I don't believe that could be required by way of a conditional overlay
[1814.72s -> 1821.68s]  I think the code currently requires us to to capture and clean up okay for the new addition
[1821.68s -> 1825.88s]  Okay, we will visit with staff about that the and then any any other
[1826.88s -> 1830.56s]  Improvements that that the applicant would be willing to commit to
[1831.32s -> 1835.64s]  Well on the driveway side of the property. I don't have that up there
[1835.64s -> 1842.40s]  But on the driveway side of the property on Sherwood a lot of the water comes from the adjoining property
[1843.28s -> 1845.40s]  Into our site and into the street
[1846.20s -> 1853.60s]  Directly down our driveway. We have looked at putting a dissipator curb across there that would deflect it from going straight down the
[1854.08s -> 1857.12s]  the rapid concrete into the
[1858.20s -> 1864.68s]  Landscaping that's currently there to the grass to filter and whatever as part of a diversion to help clean it up as well
[1864.68s -> 1869.84s]  And it's something you would be able to commit to even without any city funding without the neighborhood part of the program
[1869.84s -> 1872.24s]  You could commit to doing that we can do that
[1874.08s -> 1878.64s]  And that and what was the term you use for them? That was it would be a speed bump would it be?
[1878.64s -> 1882.80s]  It's similar to a diverter a dissipator to the deflect the water
[1883.20s -> 1888.00s]  So it goes left and it goes right and then goes instead of going down straight the driveway
[1888.24s -> 1890.56s]  Then it would go out over the grass and flow
[1891.76s -> 1893.76s]  to the filter
[1897.68s -> 1903.08s]  Other comments, I think this is ready only for first, okay
[1903.08s -> 1906.08s]  They're taking a motion
[1907.72s -> 1913.52s]  That's where Riley air I'll move to close the public hearing and approve on first reading only
[1915.28s -> 1917.28s]  gr
[1917.28s -> 1919.28s]  co
[1919.28s -> 1924.12s]  Np zoning with the following conditions first
[1925.12s -> 1927.12s]  a
[1929.00s -> 1934.12s]  Prohibition on all uses other than then the civic uses that are allowed NSF to
[1938.12s -> 1940.12s]  And then
