Zoning Case: C14H-2010-0002
Meeting Date: 2010-08-19T00:00:00.000
Agenda Item: 52
Source URL: http://austintx.swagit.com/play/45422/0/
================================================================================

[0.00s -> 3.00s]  This is the
[238.00s -> 240.00s]  I'm just going to say this is
[240.00s -> 242.00s]  a beautiful million dollar plus
[242.00s -> 244.00s]  home, and I appreciate
[244.00s -> 246.00s]  it's the addition that it makes
[246.00s -> 248.00s]  to our community, but
[248.00s -> 250.00s]  I don't, I feel like
[250.00s -> 252.00s]  southern colonial arrival seems
[252.00s -> 254.00s]  common and we have, as you said,
[254.00s -> 256.00s]  it isn't a rare, even if it is
[256.00s -> 258.00s]  a good example, so I'm going to be
[258.00s -> 260.00s]  voting against it.
[260.00s -> 262.00s]  I just wanted to explain that.
[262.00s -> 264.00s]  That's why.
[264.00s -> 266.00s]  I'll just say this is
[266.00s -> 268.00s]  one that I think merits
[268.00s -> 270.00s]  reiteration of Council Member
[270.00s -> 272.00s]  Riley's fairly consistent
[272.00s -> 274.00s]  comments that all of the
[274.00s -> 276.00s]  advantage of monetary advantage
[276.00s -> 278.00s]  of historic designation
[278.00s -> 280.00s]  is subject to change
[280.00s -> 282.00s]  and likely will be changed
[282.00s -> 284.00s]  in the very near future, so I'm
[284.00s -> 286.00s]  going to support the motion.
[286.00s -> 288.00s]  All in favor say aye.
[288.00s -> 290.00s]  Aye. Opposed say no.
[290.00s -> 292.00s]  That's one of a six to one
[292.00s -> 294.00s]  Council Member Shade voting no.
[294.00s -> 296.00s]  Thank you.
[296.00s -> 300.00s]  And that takes care of that.
[300.00s -> 302.00s]  Thank you.
[302.00s -> 304.00s]  All in favor say aye.
[304.00s -> 306.00s]  Aye.
[306.00s -> 308.00s]  Aye.
[308.00s -> 310.00s]  Aye.
[310.00s -> 312.00s]  Aye.
[312.00s -> 314.00s]  Aye.
[314.00s -> 316.00s]  Aye.
[316.00s -> 318.00s]  Aye.
[318.00s -> 320.00s]  Aye.
[320.00s -> 322.00s]  Aye.
[322.00s -> 324.00s]  Aye.
