Zoning Case: C14-2011-0113
Meeting Date: 2011-11-10T00:00:00.000
Agenda Item: 101
Source URL: http://austintx.swagit.com/play/45485/0/
================================================================================

[0.00s -> 11.00s]  So, which currency that takes us to item number 101?
[203.00s -> 213.00s]  That speaks to that the owner has agreed to do great streets on all four frontages around this property.
[213.00s -> 229.00s]  Again, there's a minimum of 1,000 room that this would be triggered and has agreed to meet the US Green Building Council's leadership and energy and environmental design or lead rating system.
[229.00s -> 236.00s]  I think the applicant would like to speak to this covenant in particular because it speaks to a gold rating standard.
[236.00s -> 242.00s]  But I think I'll let the applicant when they come forward and address that.
[243.00s -> 249.00s]  I think I'm going to pause at this time and let the applicant make their presentation.
[249.00s -> 253.00s]  You have several speakers of a leave mayor that would like to address this particular.
[253.00s -> 255.00s]  Any questions for staff?
[255.00s -> 259.00s]  Go to our speakers.
[259.00s -> 260.00s]  Councilor Tobo.
[260.00s -> 261.00s]  Just a quick clarification.
[261.00s -> 271.00s]  You said that the public restricted covenant includes lead standard of gold and that's something we're going to hear about from the applicant.
[271.00s -> 274.00s]  But the restricted covenant as prepared right now has lead gold in it.
[274.00s -> 275.00s]  That's correct.
[275.00s -> 278.00s]  And the 1,000 room requirement.
[278.00s -> 283.00s]  And the minimum 1,000 room requirement exceeds it and FAR of 8 to 1.
[283.00s -> 291.00s]  Then these things that would be provided by the applicant, the Green Building or the lead building standard and the great streets standards would kick in.
[291.00s -> 296.00s]  So it sounds like most of the Planning Commission recommendations ended up in the public restricted covenant.
[297.00s -> 310.00s]  That's correct with regards to those 2 items, the great streets and lead the 1,000 requirement, minimum room requirement was put in by the commission that would address the 16 to 1 that was present by the applicant.
[310.00s -> 314.00s]  I think that they are present by the applicant.
[314.00s -> 319.00s]  So the applicant, Mr. Drenner.
[319.00s -> 323.00s]  So you get 5 minutes and then you have donating time to you.
[323.00s -> 325.00s]  You need additional time.
[325.00s -> 327.00s]  Michelle Hausmann.
[327.00s -> 331.00s]  And Ashley Parsons.
[331.00s -> 333.00s]  Is Ashley here?
[333.00s -> 334.00s]  Okay.
[334.00s -> 338.00s]  So you have 11 minutes if you need it.
[338.00s -> 340.00s]  Thank you, Mayor.
[340.00s -> 343.00s]  Council members, I'm Steve Drenner on behalf of the applicant.
[343.00s -> 351.00s]  I walk you through a PowerPoint presentation to help you get a little better feel for what is proposed.
[351.00s -> 354.00s]  This is a CBD to CBD cure case.
[354.00s -> 364.00s]  Our site's 1.74 acres and we're requesting 16 to 1 F.A.R. in order to build the hotel.
[364.00s -> 376.00s]  This is our site from an aerial perspective at the northeast corner of Caesar Chavez and Red River, currently a parking lot.
[376.00s -> 382.00s]  Zoned today, CBD.
[382.00s -> 390.00s]  Another aerial perspective showing you the relationship between what we're proposing to do.
[390.00s -> 398.00s]  The old Palm school to our on our eastern border and then Palm Park to the north.
[398.00s -> 403.00s]  And then obviously the convention center directly to the west across Red River.
[403.00s -> 407.00s]  The hotel is modeled as in a thousand room hotel.
[407.00s -> 412.00s]  There's actually two hotels, a four star and a five star hotel.
[412.00s -> 416.00s]  You see the breakdown shown.
[416.00s -> 420.00s]  550 plus underground parking spaces.
[420.00s -> 424.00s]  And I would underline that underground parking spaces.
[424.00s -> 432.00s]  A hundred thousand square feet of additional meeting space that would support the convention center activities and then the restaurants.
[433.00s -> 436.00s]  Show you various schematics.
[436.00s -> 439.00s]  Let me mention one thing at the outset.
[439.00s -> 444.00s]  You're not voting today on any Skybridge option.
[444.00s -> 451.00s]  We've had some discussion obviously about that and that in terms of how that would work with city staff.
[451.00s -> 460.00s]  And our understanding and what we certainly would support is that any Skybridge alternative must come back to you.
[460.00s -> 465.00s]  So this zoning case does not involve any approval of the Skybridge.
[465.00s -> 473.00s]  Although I would tell you that we think it's important to the project but we look forward to that conversation in the future.
[473.00s -> 485.00s]  This is a different perspective showing you again relationship to Waller Creek and the convention center and Palm Park.
[485.00s -> 490.00s]  I'm going to talk to you in a minute in more detail about the sustainability issues.
[490.00s -> 498.00s]  But one of the very first things that was done on this site in terms of how to orient the building was to look at the sustainability issues.
[498.00s -> 502.00s]  And making sure that we orient it if you will.
[502.00s -> 512.00s]  The thin side of the building to the west was one of the primary things that happened at the early stage to support the sustainability goals.
[512.00s -> 520.00s]  Again another couple of perspectives just to give you a feel for what is proposed.
[520.00s -> 533.00s]  This would be looking from across to the north from the north on Red River back to the south across Waller Creek.
[533.00s -> 541.00s]  You see the impact I think on some of these pictures of the fact that we don't have above grade parking
[541.00s -> 570.00s]  because it allows that opaque visibility to be there with regard to the lower floors to reflect the activity that's going into those areas rather than what would be if we were doing above grade parking something that would not have near that degree of excitement.
[570.00s -> 582.00s]  And this was looking from across Red River to Palm Park would be to your left if you will.
[582.00s -> 591.00s]  I think from a community benefit standpoint I know that's important as you all look at any project that proposes an increase in FAR.
[591.00s -> 599.00s]  These are the things that I would point you to in terms of analyzing those community benefits from a tourism standpoint.
[599.00s -> 608.00s]  I'm going to walk you through that design of the impact that this proposal makes on particularly the Castleman Bull historic house.
[608.00s -> 615.00s]  The direct financial repercussions and then as a catalyst for what is desired along Waller Creek.
[615.00s -> 628.00s]  I think all of you have seen the studies and heard the comments about Austin's need for additional rooms particularly in rooms that are close to the convention center.
[628.00s -> 642.00s]  The ability to add a thousand high quality rooms at this location I think has a substantial positive impact on our ability to attract conventions that right now may be passing us by.
[642.00s -> 654.00s]  The design this is intended to be a great project and in order to do that again not having above grade parking is important.
[654.00s -> 664.00s]  Let me let me quantify that for you in a per space the below grade parking averages a cost of about twenty thousand dollars.
[664.00s -> 671.00s]  If we were doing structured parking but above grade that cost is probably cut in half.
[671.00s -> 683.00s]  So we're looking at literally about a ten million dollar premium for doing the all of the parking below grade.
[683.00s -> 690.00s]  And again it allows us that look rather than the look you'd have if we were doing above grade parking.
[690.00s -> 709.00s]  One of the two things that we promised at planning commission with regard to the historic Castleman Bullhouse across the street is that we would be supporters of that restoration and we also promised them that we would quantify that by the time we got to city council
[709.00s -> 722.00s]  and we have done that and our commitment is that we would participate in assisting with the renovation of that to the tune of half a million dollars.
[722.00s -> 743.00s]  We also in looking at our relationship to Palm Park agreed that we would be a supporter of Palm Park and we do we would make an additional cash contribution to the Waller Creek Conservancy of a quarter of a million dollars to assist in the renovation of Palm Park.
[743.00s -> 762.00s]  We will not be direct participants in the design of that because we know that's important that that be done in a third party process that the Conservancy has already set up but we will be making that cash contribution in order to assist with the park.
[762.00s -> 772.00s]  Financial as all of you would know we've got property taxes in this TIFF 100% of the cities go to the TIFF and 50% of the counties.
[772.00s -> 783.00s]  I think hotel occupancy taxes are obviously something that's important sales taxes and jobs are the things that I would list in that area.
[783.00s -> 789.00s]  The projected future annual property tax would be four million one.
[789.00s -> 803.00s]  The hotel occupancy tax is a staggering 11 million 325 on an annual basis and you see the breakdown and then the projected sales tax would be three million five.
[803.00s -> 822.00s]  In addition to that I think we would be looking at jobs that would be in this range direct hotel jobs of 850 estimated number of retail or restaurant jobs would be 75 and construction jobs would be approximately 550.
[823.00s -> 836.00s]  As a catalyst for Waller Creek I think it's more difficult to measure that on a direct basis but I think it's important.
[837.00s -> 859.00s]  This is probably the most visible maybe the largest developable site along Waller Creek and doing it in this basis and particularly for this use and with this level of density I think does all the right things for what we hope to see along Waller Creek.
[860.00s -> 866.00s]  So in measuring the community benefits again that's the those are the things that I think I would point you to.
[866.00s -> 882.00s]  I know there's been a lot of discussion among this group about the downtown plan and how that would work and there's been some proposals to alter that under the downtown plan as drafted when it came to you.
[882.00s -> 902.00s]  This project would get to a 12 to 1 F.A.R. by virtue of it meeting the gatekeeper requirements plus it being a hotel and then beyond that we would be looking for a community benefit analysis to support the additional F.A.R. up to 16 to 1.
[903.00s -> 914.00s]  My I had promised earlier that I would cover the green builder issue and let me be clear with regard to that.
[914.00s -> 918.00s]  The goal for this project remains lead gold.
[918.00s -> 928.00s]  We have the same situation here that we've had with other projects in that particularly for a project of this magnitude and in scale.
[928.00s -> 945.00s]  The developers would like to work within a lead rating system rather than an Austin Green builder rating system because that's more recognized in the national and international market than the Austin system.
[945.00s -> 957.00s]  So there's no reduction in the commitment to try to reach lead gold but we prefer not to commission two separate sets of standards and the lead standard is measured in arrears.
[957.00s -> 964.00s]  It's measured after you receive your CO and after you occupy for a bit.
[964.00s -> 979.00s]  So my suggestions for modifications from what the planning commission included in their recommendation would be a lead certified or participation in the Austin Green builder program but without stars or designation.
[979.00s -> 998.00s]  Quantifying the contribution to the historic Castleman Bullhouse at a half million dollars in terms of participating in that renovation supporting the Palm Park improvements to the tune of $250,000.
[998.00s -> 1017.00s]  And then the clarifying the great streets participation with the mayor all wrap up a 12 foot wide sidewalk on Cesar Chavez because of the right away issues at that point.
[1017.00s -> 1023.00s]  And then on the North property line since that will function primarily as a driveway that that be nine feet.
[1023.00s -> 1025.00s]  And I would mention that we have.
[1025.00s -> 1030.00s]  Let me just ask you what are the additional conditions that you're including.
[1030.00s -> 1032.00s]  So your time has expired.
[1032.00s -> 1033.00s]  That would be it.
[1033.00s -> 1034.00s]  That would be it.
[1034.00s -> 1035.00s]  Thank you.
[1035.00s -> 1043.00s]  And we have a meeting set with city staff to resolve all of the great streets issues on Thursday.
[1043.00s -> 1046.00s]  So I think all of that will be done as of Thursday.
[1046.00s -> 1047.00s]  I'll close.
[1047.00s -> 1050.00s]  Thank you for the additional time and happy to answer questions.
[1050.00s -> 1051.00s]  Thank you.
[1052.00s -> 1058.00s]  One other speaker signed up for is August Harris.
[1058.00s -> 1067.00s]  He had to leave, but he asked me to convey that in the name of the heritage society of Austin, he supports the zoning request.
[1067.00s -> 1071.00s]  And I believe those are all the speakers that I have signed up who are for.
[1071.00s -> 1073.00s]  We'll go to those signed up against.
[1073.00s -> 1076.00s]  Mayor, I'm sorry, but I did have a question for Mr. Jenner.
[1076.00s -> 1077.00s]  Sorry.
[1078.00s -> 1080.00s]  Actually two questions for Mr. Jenner.
[1080.00s -> 1086.00s]  I just want to be sure I understood what the suggestions were that you were making for changes in the restrictive covenant.
[1086.00s -> 1095.00s]  I think I heard you say that you would be willing to quantify those financial contributions in the public restrictive covenant.
[1095.00s -> 1096.00s]  Yes, ma'am.
[1096.00s -> 1097.00s]  Okay, great.
[1097.00s -> 1105.00s]  And then secondly, the lead, I didn't understand the point you were making about the restrictive covenant, which as I understood it from Greg Guernsey,
[1106.00s -> 1117.00s]  will not track to the green building program, but will track instead to lead gold, which I think I heard you saying was a more acceptable method for you.
[1117.00s -> 1120.00s]  The problem with equates to international standards.
[1120.00s -> 1125.00s]  Yes, the problem with the, I'm sorry, with putting that in the restrictive covenant.
[1125.00s -> 1126.00s]  First of all, it's a goal.
[1126.00s -> 1132.00s]  It's a difficult goal to reach, but secondly, it gets measured in arrears, if you will.
[1133.00s -> 1137.00s]  And it's an issue that we've had come up before.
[1137.00s -> 1150.00s]  Our suggestion is that we meet the gatekeeper requirements for Green Builder, but know that so that we don't have to commission it in two fashions.
[1150.00s -> 1161.00s]  But in any event, if we have to accept a standard, I don't think the lead standard is the one that should be in a restriction.
[1162.00s -> 1163.00s]  In the covenant, okay.
[1163.00s -> 1167.00s]  Because of the measurement quandary that you reach.
[1167.00s -> 1175.00s]  So then a better, a more preferable one would be then to put the green building goal into the restrictive covenant versus lead.
[1175.00s -> 1188.00s]  I know that's not your absolute preference, but if we were to insist on a standard in that restrictive covenant would be better to track it to the green building, which is done as you build rather than after the fact.
[1188.00s -> 1194.00s]  And I guess I'll verify this with staff too, but a lead goal equates to two-star.
[1194.00s -> 1208.00s]  Well, if we were trying to equate, again, you get to, that's part of the issue, is they don't measure exactly the same way, but I would, a more comfortable standard would be the two versus the three.
[1208.00s -> 1215.00s]  Again, we're trying to get to lead goal, but it's a tough hollow.
[1216.00s -> 1226.00s]  And I see from down on the dais, the mayor holding up four fingers closer to four-star, thanks for that.
[1226.00s -> 1232.00s]  Perhaps four would be more closely associated with leads goal.
[1232.00s -> 1233.00s]  Okay.
[1233.00s -> 1234.00s]  Good.
[1234.00s -> 1235.00s]  Thank you.
[1235.00s -> 1240.00s]  You know, I'd want that to be verified by somebody with the expertise.
[1241.00s -> 1242.00s]  Councilor Spelman.
[1242.00s -> 1244.00s]  I was going to say, well, Mr. Jenner was up at the mic.
[1244.00s -> 1248.00s]  He's not, but I think he needs the exercise.
[1248.00s -> 1251.00s]  A quick question, Steve.
[1251.00s -> 1252.00s]  I needed a lot more.
[1252.00s -> 1254.00s]  I wouldn't disagree with my word for that.
[1254.00s -> 1256.00s]  I have more questions for you later.
[1256.00s -> 1260.00s]  I just wanted to catch one fact before we heard the anti-s.
[1260.00s -> 1264.00s]  How many parking spaces will be underground in your underground garage?
[1264.00s -> 1267.00s]  More than 550 at a minimum.
[1268.00s -> 1273.00s]  And the difference in costs between above-ground and below-ground is about roughly $10,000 of space.
[1273.00s -> 1274.00s]  Gotcha.
[1274.00s -> 1275.00s]  Thank you.
[1275.00s -> 1276.00s]  Mayor?
[1276.00s -> 1278.00s]  That's where we're running.
[1278.00s -> 1280.00s]  Steve, just a couple questions.
[1280.00s -> 1285.00s]  I think you mentioned that there would be great streets treatment on both Cedar Chavez and Red River.
[1285.00s -> 1289.00s]  And then on the north side of the building, it would be, did you say six feet?
[1289.00s -> 1291.00s]  The side mark would be six feet?
[1291.00s -> 1292.00s]  Nine feet.
[1292.00s -> 1293.00s]  Nine feet.
[1293.00s -> 1298.00s]  And how about on the eastern side of the building, which was really the Sabine right away?
[1298.00s -> 1300.00s]  We would meet the full great streets.
[1300.00s -> 1308.00s]  Full great streets treatment on both Red River and the eastern side of the building.
[1308.00s -> 1314.00s]  And the modifications would be 12 feet on Cedar Chavez and nine feet on the north side.
[1314.00s -> 1319.00s]  Would you expect that there would actually be entrances, access to the building on each side?
[1319.00s -> 1320.00s]  Yes.
[1321.00s -> 1325.00s]  And do you have any elevations showing the north side?
[1325.00s -> 1327.00s]  I know you mentioned that's the kind of the garage side.
[1327.00s -> 1334.00s]  But I just have to guess that is the side that is the Waller Creek.
[1334.00s -> 1347.00s]  So I just wanted to see if we know what that's going to look like.
[1347.00s -> 1354.00s]  Take me to 15, if you will.
[1354.00s -> 1363.00s]  This isn't a full answer, Commissioner Riley, but that would be the left side of this picture
[1363.00s -> 1376.00s]  would be the functional portion of that effective driveway that goes around that, that wraps that
[1376.00s -> 1377.00s]  edge.
[1377.00s -> 1387.00s]  And maybe number seven is the next best thing that see shows it in plan view.
[1387.00s -> 1393.00s]  But basically you have that hotel opening and then you have the full service restaurant
[1393.00s -> 1395.00s]  that are on that edge.
[1395.00s -> 1397.00s]  So if you could go back to that last-
[1397.00s -> 1400.00s]  Can I borrow you for a second, Todd Runkle?
[1400.00s -> 1404.00s]  Can I borrow you a minute?
[1405.00s -> 1409.00s]  The street that goes off to the left there, is that headed eastward?
[1409.00s -> 1420.00s]  That would be, as you come off of Red River, it wraps back to the street that separates
[1420.00s -> 1423.00s]  this project from the old pump school.
[1423.00s -> 1427.00s]  So that car we see in the lower right, that car is headed north?
[1427.00s -> 1429.00s]  That car is headed north.
[1429.00s -> 1430.00s]  Great.
[1430.00s -> 1431.00s]  Okay, thanks, Steve.
[1431.00s -> 1435.00s]  And would Todd maybe be able to do a little better job of explaining that?
[1435.00s -> 1437.00s]  This is Todd Runkle with Gensler.
[1437.00s -> 1438.00s]  Hi.
[1438.00s -> 1441.00s]  Would you like me to walk you through the streets and the elevations on each side?
[1441.00s -> 1442.00s]  That would be great.
[1442.00s -> 1445.00s]  So again, as Steve mentioned, the view that we're looking at currently-
[1445.00s -> 1446.00s]  You're currently yourself, please.
[1446.00s -> 1447.00s]  I'm sorry.
[1447.00s -> 1450.00s]  I'm Todd Runkle with Gensler, the architectural firm working on the project with Manchester
[1450.00s -> 1451.00s]  Financial of Texas.
[1451.00s -> 1454.00s]  Do you want to take a picture?
[1454.00s -> 1458.00s]  Let me explain this picture briefly again that we can go through the others.
[1458.00s -> 1463.00s]  The view we're looking at, we're at the intersection of Red River and what is the driveway
[1463.00s -> 1465.00s]  and or what could be considered second street.
[1465.00s -> 1470.00s]  So the corner of the building we're looking at is actually the hotel lounge as well as
[1470.00s -> 1474.00s]  the side that's facing Palm Park will be the three-meal restaurant.
[1474.00s -> 1481.00s]  So again, the idea of to activate at street level with retail and with restaurant functions.
[1481.00s -> 1486.00s]  You want to click to the other rendering, please?
[1486.00s -> 1491.00s]  Sorry.
[1491.00s -> 1499.00s]  You want to click the slide 13, please?
[1499.00s -> 1504.00s]  So again, this is a view looking at the main entry drop-off along Red River.
[1504.00s -> 1506.00s]  Again, it's a very glassy, transparent building.
[1506.00s -> 1510.00s]  So again, you see the activity along along the street facade.
[1510.00s -> 1524.00s]  Again, this is the main drop-off and the main entry for the hotel.
[1524.00s -> 1529.00s]  Do you mind flipping the slide 11, please?
[1529.00s -> 1535.00s]  Then on slide 11, what we're looking at on the image on the right that is actually looking down Caesar Chavez
[1535.00s -> 1538.00s]  and at the side facing Sabine.
[1538.00s -> 1544.00s]  Again, we can implement the great streets along Sabine also, but that is more of the loading
[1544.00s -> 1549.00s]  and some of the support functions for the building.
[1549.00s -> 1567.00s]  Slide 54.
[1567.00s -> 1572.00s]  Again, the image that you're looking at on the left-hand side, again, is facing Palm Park,
[1572.00s -> 1577.00s]  but again, may give a little better review in terms of the podium and how it addresses the park.
[1577.00s -> 1583.00s]  And then just the overall kind of the impression, again, of that front corner at Red River and Palm Park.
[1583.00s -> 1586.00s]  And that's really all four songs.
[1586.00s -> 1587.00s]  Okay, thanks.
[1587.00s -> 1589.00s]  Mayor, I had a couple of questions.
[1589.00s -> 1594.00s]  Mayor Procham and then, Council Member Kavo.
[1594.00s -> 1601.00s]  I appreciate this project and you're taking the time to make us understand the schematics.
[1601.00s -> 1609.00s]  I'm trying to make sure that I have a good understanding of where the creek flows as opposed to the hotel.
[1609.00s -> 1616.00s]  First of all, the Red River side is right across from Iron Works and Convention Hotel.
[1616.00s -> 1617.00s]  Is that correct?
[1617.00s -> 1618.00s]  That is correct.
[1618.00s -> 1625.00s]  If we can flip the slide five, please.
[1625.00s -> 1631.00s]  This may help a little bit, but to your point, the creek is indicated in kind of the regular form in blue.
[1631.00s -> 1635.00s]  And you can see how it's circling down from Lady Bird Lake, then up past the site.
[1635.00s -> 1637.00s]  Does that help a little bit?
[1637.00s -> 1648.00s]  That helps a lot because what I really want to focus on is the below-grade pathways that are there now,
[1648.00s -> 1651.00s]  and I'm sure that Council Member Riley is familiar with them.
[1651.00s -> 1661.00s]  I believe that they only go north and south on the west Red River side,
[1661.00s -> 1670.00s]  and they do not go underground toward the hotel west toward Palm Park.
[1670.00s -> 1671.00s]  Is that correct?
[1671.00s -> 1672.00s]  That is correct.
[1672.00s -> 1686.00s]  Did you say the hotel was actually, I mean, the restaurant was actually going to be located on the northern side facing Palm Park?
[1686.00s -> 1687.00s]  That is correct.
[1687.00s -> 1692.00s]  It's on the northeast corner of the building, again, kind of creating that front porch to Palm Park,
[1692.00s -> 1696.00s]  again, trying to kind of make that connection and try to address the park with some activity,
[1696.00s -> 1700.00s]  and again, bringing some life and vitality towards the park also.
[1700.00s -> 1708.00s]  And so the hotel would be directly adjacent to the Castle Moon Bullhouse and then the Trask House.
[1708.00s -> 1709.00s]  Correct.
[1709.00s -> 1710.00s]  That is correct.
[1710.00s -> 1713.00s]  Do you know I've never known North East, south and west until this moment?
[1713.00s -> 1714.00s]  Pardon me?
[1714.00s -> 1717.00s]  That I've never seen.
[1717.00s -> 1720.00s]  No, the Castle Moon Bullhouse is directly north.
[1720.00s -> 1725.00s]  No, I think I've gotten out of the East West correct for the first time in my life.
[1726.00s -> 1739.00s]  Because so when we think about the surface improvements in connection with this piece of property,
[1739.00s -> 1752.00s]  we need to think about, I guess, the pathways and stay there a second because I'm going to ask Council Member Raleigh a question.
[1752.00s -> 1773.00s]  Is there a bike path on the side that does have the sideways on the west side that does not connect underground to the east side by the creek?
[1773.00s -> 1774.00s]  Do you know?
[1775.00s -> 1778.00s]  There's not a bike.
[1778.00s -> 1784.00s]  I believe it is considered a bike route, but it's not actually, there's no bike lane.
[1784.00s -> 1786.00s]  Okay, okay.
[1786.00s -> 1787.00s]  All right.
[1787.00s -> 1788.00s]  Thank you.
[1788.00s -> 1789.00s]  Just thank you.
[1789.00s -> 1791.00s]  Thank you.
[1791.00s -> 1793.00s]  Council Member Morrison.
[1793.00s -> 1795.00s]  Oh, excuse me.
[1795.00s -> 1797.00s]  Council Member Tovill was there.
[1797.00s -> 1800.00s]  You want to let Council Member Morrison go before you?
[1800.00s -> 1801.00s]  Okay.
[1801.00s -> 1802.00s]  Go ahead.
[1803.00s -> 1805.00s]  I just had a very, very quick question.
[1805.00s -> 1812.00s]  You had showed us a schematic drawing of the view from Palm Park, and I wondered if you might just pull that up again, please.
[1812.00s -> 1814.00s]  I want to be sure I understand it properly.
[1814.00s -> 1821.00s]  Slide 12, please.
[1821.00s -> 1826.00s]  Again, this is looking as the building is facing onto or the long side of the building is facing Palm Park,
[1826.00s -> 1829.00s]  and we're looking south on Red River.
[1829.00s -> 1831.00s]  Does that help you?
[1831.00s -> 1833.00s]  I think there was another drawing that you had.
[1833.00s -> 1839.00s]  It was actually a drawing that we looked at, and I think it was the view from Palm Park.
[1839.00s -> 1845.00s]  It was two images before you took the presentation down.
[1845.00s -> 1848.00s]  Was that a hand line drawing?
[1848.00s -> 1849.00s]  Yeah, let's try it.
[1849.00s -> 1854.00s]  Slide 54, please.
[1854.00s -> 1859.00s]  Okay, and so I am in Palm Park looking south.
[1859.00s -> 1860.00s]  Okay.
[1860.00s -> 1869.00s]  And so if I understand this correctly, I think what you're calling a podium, basically the lower part of the building, is what I would approach.
[1869.00s -> 1876.00s]  If I'm walking from Palm Park, I would approach the lower part of the building, and then the higher part is behind.
[1876.00s -> 1882.00s]  And you said the outside use, that floor, that ground floor use there would be a restaurant with outdoor seating as well.
[1882.00s -> 1883.00s]  That's correct.
[1883.00s -> 1890.00s]  So the outdoor seating, again, is facing Palm Park, and we're trying to create a front porch of the restaurant to the park to kind of soften that edge.
[1890.00s -> 1897.00s]  And then likewise, that corner of Second Street, or what could be Second Street and Red River, then it's the hotel lounge also.
[1897.00s -> 1904.00s]  So again, trying to activate that entire edge along or facing Palm Park into the hotel lobby, then wraps around Red River.
[1904.00s -> 1906.00s]  Thank you for that additional clarification.
[1906.00s -> 1908.00s]  Yes, Mr. Marshall.
[1908.00s -> 1909.00s]  Thank you.
[1909.00s -> 1912.00s]  I think these questions are for Mr. Drenner.
[1912.00s -> 1918.00s]  You mentioned the split of the rooms between five-star and four-star rooms.
[1918.00s -> 1922.00s]  Could you remind me exactly, it's a thousand rooms altogether?
[1922.00s -> 1923.00s]  Yes, ma'am.
[1923.00s -> 1930.00s]  Five-six.
[1930.00s -> 1940.00s]  So, 777, four-star rooms, and 238, quote, five-star rooms.
[1940.00s -> 1944.00s]  I'm sort of curious about putting that in context.
[1944.00s -> 1951.00s]  Do you have any sense at this point in the city how many four- and five-star rooms we have?
[1951.00s -> 1958.00s]  We've had this discussion and everybody's got a little different definition for that.
[1958.00s -> 1967.00s]  The sense was that particularly in the convention market that there was room at the top, if you will,
[1967.00s -> 1978.00s]  that there was, and that that's what might be missing from particularly hotels that are in this kind of proximity to the convention center.
[1978.00s -> 1988.00s]  It's difficult to measure that against a price point, but I think it's fair to say this.
[1988.00s -> 1991.00s]  It's the upper end of the convention market.
[1991.00s -> 2003.00s]  So, you don't really have any numbers to share with us to say that we have a thousand five-star rooms right now, ten thousand or five hundred.
[2003.00s -> 2006.00s]  In terms of built rooms on the ground?
[2006.00s -> 2007.00s]  Right.
[2007.00s -> 2010.00s]  I don't, but I'll do that research.
[2010.00s -> 2023.00s]  I'll probably, if it, I would do it in a radius, obviously a room that's at 183 and 360 isn't going to be viewed as a convention room,
[2023.00s -> 2028.00s]  but I'd be happy to do that research and get back to you with that number.
[2028.00s -> 2034.00s]  I would appreciate that because I think that, you know, it's sort of a fundamental about our hotel industry,
[2034.00s -> 2041.00s]  and it's, it's just really more for my edification than to see where, where these things are going to fit in.
[2041.00s -> 2042.00s]  Thank you.
[2044.00s -> 2045.00s]  Mayor.
[2045.00s -> 2046.00s]  Berpo, Tim.
[2046.00s -> 2057.00s]  Mayor, I actually have a question for you related to this, well, this general site as we contemplate the tax implications and the designs and all of that.
[2057.00s -> 2064.00s]  Do you know our relationship with the county in connection with the Palm School?
[2068.00s -> 2074.00s]  No, the Palm School is obviously not a school anymore.
[2074.00s -> 2075.00s]  I know.
[2075.00s -> 2077.00s]  I don't know where our relationship is.
[2077.00s -> 2085.00s]  But there's no complicating like we had with the other properties on the, as far as you've never been a part of any committee or anything dealing with that. Okay.
[2088.00s -> 2092.00s]  We have one, one speaker signed up against.
[2092.00s -> 2094.00s]  Clay Defoe.
