Zoning Case: C14-2009-0162
Meeting Date: 2010-04-08T00:00:00.000
Agenda Item: 45
Source URL: http://austintx.swagit.com/play/45413/0/
================================================================================

[0.00s -> 3.44s]  And that brings us to item 45. That's correct
[337.84s -> 344.36s]  This area will be naturally vegetated and the trees will be planted in that area to also create an additional buffer
[345.04s -> 348.88s]  95% of this business is generated through phone fax or email
[349.72s -> 352.80s]  Drivers have been directed not to drive through the neighborhood
[352.80s -> 358.04s]  Which was one of the neighborhood groups concerns as recently as yesterday. I received a call
[358.72s -> 365.92s]  From the limousine service stating someone from the neighborhood had come up there and berated them and gotten after them stating someone
[365.92s -> 370.32s]  Was driving through the neighborhood. There is another limo service two blocks away
[370.68s -> 372.84s]  We have no control over what they do
[372.84s -> 378.36s]  But my client specifically stated if any of his drivers drive through the neighborhood they will be terminated
[378.88s -> 384.60s]  It's really a safety issue because the neighborhood has a substandard streets with open bar ditches
[384.60s -> 386.00s]  No curbs and gutters
[386.00s -> 389.48s]  Linked of the limousines make it difficult to maneuver and turn
[390.04s -> 393.90s]  Something similar to what y'all were talking about in the previous case with the fire trucks
[395.32s -> 397.32s]  Currently the site
[397.32s -> 399.32s]  Was probably about 85%
[400.20s -> 406.24s]  Pervious cover and we are reducing that and we don't have any plans on doing any other development
[406.96s -> 411.72s]  To the best of my knowledge and I'm here to answer any questions you might have. Thank you
[413.56s -> 416.06s]  Any questions for the applicant
[417.80s -> 419.80s]  Elsewhere Riley mr. Pranqara
[419.80s -> 424.52s]  I want to thank you for all the work you've done in reaching out to the neighborhood and working destructively with them
[424.52s -> 427.36s]  It sounds like there's been some real improvements on the property
[427.36s -> 430.08s]  I like the idea of taking up the asphalt and protecting the trees
[430.48s -> 434.68s]  Understand you've been working with michael embeasy or our city arborist
[435.00s -> 442.00s]  And and coming up with buffer requirements with respect to those trees and that and I understand there is some language now
[442.00s -> 447.96s]  That y'all have agreed on is that is that right? That is correct sir in addition to that besides removing the asphalt
[447.96s -> 452.28s]  We have placed mulch around those radius areas to create an artificial tree
[452.28s -> 458.84s]  Well that would allow during rain events for the water not only to percolate but actually saturate that mulched area and
[459.24s -> 464.56s]  They've also been directed to trim on the tree that's closest to the interstate service road
[464.84s -> 471.60s]  Trim all of the limbs that burned and I'm under the impression. I was told yesterday. They would be doing that work today
[472.04s -> 479.20s]  In addition to that. I don't believe we've ever had a complaint from anyone in the neighborhood as far as the business being there for over
[479.20s -> 483.44s]  Seven years and the last item I want to state is in 1984
[483.44s -> 486.60s]  I believe it was a city council directed staff to
[487.00s -> 494.20s]  Do a study on zoning up in that area and staff or city council made a determination at that time that
[494.72s -> 497.40s]  properties along the frontage road should be
[498.48s -> 504.44s]  Utilized for commercial services because that was the best location for them to be as long as they weren't
[505.20s -> 513.72s]  Impacting the neighborhood. Thank you. I appreciate all of the applicants work on being a good neighbor and sounds like the vegetative buffer is going to help even more
[517.88s -> 520.08s]  We'll hear from folks signed up
[521.04s -> 525.36s]  To speak on this item signed up against is Wayne Tobias is
[527.44s -> 529.44s]  David Segal in the chamber
[530.64s -> 533.56s]  So mission to buy us you have up to six minutes
[536.16s -> 538.08s]  We are loving well council members
[538.08s -> 540.52s]  I'm waiting to bias representing the Walnut Creek Neighborhood Association
[541.28s -> 547.48s]  At first impression the zoning to allow a limo service should be granted after all it is located in a very large
[547.48s -> 551.88s]  Artillery roadway the frontage of I-35 but the neighborhood considers a lot of other
[552.60s -> 554.60s]  Factors when we object to these issues
[554.92s -> 560.08s]  The Walnut Creek neighborhood is not large. It is bordered on three sides by major arterial roadways only
[560.84s -> 562.84s]  3,500 feet along breaker only
[563.20s -> 567.36s]  3,500 feet along Lamar and only 3,500 feet along I-35
[567.76s -> 572.96s]  This neighborhood was laid out almost 50 years ago many of the properties along I-35 at the time
[572.96s -> 578.32s]  It was still under construction. We're supposed to be homes as evidenced by the size of the lots in the homes that front the road
[578.96s -> 583.76s]  While in the county zoning was virtually non-existent when properties along the freeway were sold
[583.76s -> 590.80s]  There was nothing to stop any kind of business from opening the non-conforming businesses seen on the zoning map have been there since the 70s
[594.48s -> 598.08s]  Ours is the last neighborhood that abuts the west side of the freeway in north Austin
[598.48s -> 606.36s]  Ours is the no only neighborhood in north Austin on I-35 quarter with no zoning buffer between the business properties and the SF-1 homes
[606.88s -> 611.88s]  This is one reason the properties were zoned L O or L R when the area was annexed by the city
[612.60s -> 614.88s]  Over the years there have been city caseworkers
[615.52s -> 617.44s]  change city case
[617.44s -> 623.60s]  Change along government excuse me over the years that have been city caseworkers change along with the government officials
[624.12s -> 627.52s]  Nothing's changed around a neighborhood that should cause a city-approved zoning
[628.08s -> 629.68s]  to change
[629.68s -> 635.48s]  Nonetheless over the years there have been zoning changes each time the neighborhood objected specifically directing
[636.12s -> 643.16s]  Automotive related businesses outdoor service businesses and storage businesses where external appearance of the property is not is not
[643.36s -> 645.36s]  concerned to the proprietor
[645.36s -> 650.80s]  Currently the purchase price of the border lots is within reach of the first time investor business and therein lays our predicament
[651.28s -> 655.92s]  To be profitable an owner will do everything they can to maximize return on investments
[656.56s -> 659.60s]  Sometimes it comes with total disregard to the surrounding environment
[660.96s -> 669.60s]  Our observation with automobile related businesses on small lots was it was they take liberties pushing and sometimes crossing limits on building restrictions and city ornesses
[670.40s -> 672.40s]  We also noticed that necessary practices
[673.12s -> 679.60s]  Maybe incompatible with adjoining businesses possibly one reason you don't find an office environment next to an automotive related businesses
[680.32s -> 683.20s]  The owner of the property requesting zoning tonight is no exception
[683.60s -> 688.28s]  The zoning and construction variations on this property have been reported a number of times over the years
[688.72s -> 691.32s]  The business was reported when the limals first appeared
[691.64s -> 697.68s]  Code enforcement responded that the limals parking at a radio station did not constitute a business. There were only two at the time
[698.28s -> 703.92s]  The business was reported again when the parking lot was extended with crushed granite all the way to the fence line
[704.28s -> 709.12s]  The neighbor behind the property called a board member and it and complained that the AC
[709.20s -> 712.72s]  Their AC was destroyed when the backyard filled due to their runoff from the property
[713.28s -> 722.00s]  The response from the city was they could not go on to the property without permission to inspect the violation and the neighbor should file a civil suit against the
[722.48s -> 724.48s]  proprietor for the AC unit
[725.36s -> 730.08s]  The property was reported again when it started showing up on nearby zoning issues as a business
[730.56s -> 735.28s]  The response from the city was according to their map the property was owned properly for that business
[735.52s -> 739.76s]  The map on the back of material clearly identifies a limo bird limo business on
[740.56s -> 746.92s]  Property Zone CS at that point. It seemed pointless to consider continue reporting the zoning violations
[747.48s -> 751.52s]  In the meantime without a permit or concern to adjacent neighbors or businesses
[751.68s -> 756.92s]  The owner paved as much of the properties he could when the structure burned without a permit
[756.92s -> 762.24s]  He don't he he cut down a damaged tree and paved all but a few hundred square feet of the lot
[762.68s -> 765.04s]  This is all evidenced in your backup material
[765.28s -> 772.80s]  I bring this forward to show the neighborhood did not ignore the illegal operations of businesses related to the zoning also to show why the neighborhood is concerned about
[772.80s -> 774.80s]  outdoor related businesses a
[774.80s -> 781.12s]  Very easy easy it is to implement changes or have appearance detrimental to the health of the neighborhood and surrounding businesses
[781.76s -> 785.64s]  Another limo service has already moved on a lot to the south of the property
[786.32s -> 791.40s]  Located right next door to daycare center it parks limos in the street and after installing a driveway right now
[791.40s -> 793.92s]  It's only dirt limos are parked and stored in the back
[794.56s -> 800.36s]  This business has been reported, but with over 1200 cases pending and only five inspectors to cover
[800.44s -> 809.12s]  They don't expect the case to be viewed anytime soon in the meantime the business is following the same patterns exhibited by the triple-a limo business
[809.12s -> 812.88s]  I expect it will be our next zoning case on I-35
[814.96s -> 821.68s]  If this type of zoning continues we feel the future of the area can be predicted based on evidence on I-35 intersection to our south as
[821.84s -> 828.20s]  You approach the intersection you find several automotive related businesses a hotel and a gas station just like we have
[828.56s -> 835.60s]  There are no offices the next intersection is runburg one of the highest prostitution and drug related primaries in north Austin
[836.04s -> 842.04s]  We fear for less restrictive zoning and associated businesses continue to be forced on our neighborhood roadways
[842.20s -> 849.88s]  The attitudes of neighbors willing to live adjacent to the businesses will have to change as attitudes change so do acceptable living standards
[850.28s -> 853.96s]  It would not take much for breaker and I-35 to become another runburg
[854.08s -> 859.16s]  We already see some degradation as this seems to be a popular area for gaming businesses
[859.40s -> 863.48s]  Three of which were evicted within the last year and a fourth is under an investigation an
[864.16s -> 868.28s]  Increasing number of panhandle panhandlers also find our intersection very popular
[869.00s -> 871.40s]  something current ordinances do not address
[872.56s -> 876.16s]  At a glance it may seem the limo service is not detrimental to the neighborhood
[876.16s -> 879.44s]  However, the zoning allows maintenance repair of the vehicles on the premises
[879.88s -> 886.68s]  Now consider if the limo service moves out and a taxi service moves in they could legally put in a rear repair facility for their vehicles
[886.88s -> 890.92s]  Which would completely change the appearance of the business and force a change in attitudes
[891.76s -> 897.76s]  We respectfully request that you consider more than this property as it relates to the access road
[898.48s -> 904.00s]  Consider the size of the lot the environmental impact of the impervious cover needed to accommodate the limos the environmental
[904.00s -> 906.72s]  If your time is up with your advice, please conclude
[906.72s -> 913.44s]  I would like to commend though the staff and and zap for the work that they did and in thank you putting this together
[915.60s -> 917.60s]  Thank you
[917.72s -> 919.72s]  Three minutes for a battle
[923.56s -> 925.56s]  Mayor and council members I'll
[926.36s -> 928.36s]  I'll be brief again
[928.36s -> 931.60s]  Historically the city allows when a structure burns and you have raw land
[932.16s -> 938.12s]  Directly underneath it with any type of a topography. We have a small slope that drains back towards the neighborhood
[938.56s -> 941.12s]  They do allow you to come in and place asphalt there
[941.76s -> 945.76s]  Without that's just impervious cover for impervious cover. So that's a non-issue
[946.28s -> 948.92s]  The second item he's concerned about setbacks
[949.32s -> 956.32s]  This particular zoning case has agreed to do a 25-foot setback even though the property directly to the north of us
[956.32s -> 960.92s]  Has a parking lot that's within 10 feet of the rear property line about in this neighborhood
[961.24s -> 964.72s]  In addition to that this air conditioning unit is referencing
[964.72s -> 966.72s]  I believe if that situation did occur
[966.72s -> 970.32s]  It's been rectified because we do have a letter of support in the backup
[971.00s -> 973.44s]  directly from the person that lives in that residence
[974.12s -> 981.00s]  The other item is we I believe we had agreed that we would not do any type of mechanical work or maintenance on these vehicles
[981.00s -> 985.04s]  And by the photographs he showed you you can see that these aren't used cars
[985.48s -> 990.88s]  This is a luxury type of business where people rent limousines for special events
[990.92s -> 992.72s]  weddings
[992.72s -> 996.44s]  Graduations, so I don't believe that that photograph of these
[997.28s -> 1002.76s]  Homeless people is appropriate and whatever is going on down at runburg. That's outside of his neighborhood
[1003.48s -> 1005.72s]  Doesn't have anything to do with this zoning case
[1006.84s -> 1008.36s]  Once again
[1008.36s -> 1013.36s]  We don't do any servicing and we will even agree to that those vehicles leave
[1013.36s -> 1016.96s]  They don't even wash them there the only thing they do is park them there
[1016.96s -> 1023.08s]  In addition that area that he was concerned about us parking the vehicles in where the house used to be
[1023.48s -> 1032.12s]  That's actually closer to the highway creating a greater buffer and creating more distance from the neighborhood. Thank you
[1032.96s -> 1034.80s]  Yeah
[1034.80s -> 1037.80s]  Thank you. I got a question for mr. Guernsey
[1037.80s -> 1047.28s]  So this has been a non-conforming use there for a number of years seven years or something like that
[1047.52s -> 1054.08s]  There are many there are many uses probably non-conforming. I believe that this particular use is coming in to become
[1054.96s -> 1056.24s]  Conforming
[1056.24s -> 1061.78s]  I'm not sure exactly what the use was prior to the this use arriving at the site
[1062.04s -> 1067.64s]  This may be business had not operate as a I think it's only been there for like seven years or so
[1067.80s -> 1075.50s]  Okay, but it was at that time non-conforming the past seven years the past some years would be non-conforming
[1075.50s -> 1081.92s]  Okay, so they've been operating and they would still be operating as before had not the structure burned down
[1082.64s -> 1089.68s]  It probably only because we probably would not have had any enforcement and the issue probably not wouldn't have arisen because there
[1089.68s -> 1091.68s]  Would have been no building from their request
[1092.44s -> 1097.56s]  It's not what I'm trying to get at is this I don't believe it was a legal non-conforming use
[1098.20s -> 1106.28s]  When the operation opened don't believe it was legal, but that's right because an auto rental business is not permitted in the yellow zoning district
[1106.28s -> 1112.76s]  And so the reason why they're seeking the zoning change request today is so they can obtain a proper building permit
[1112.76s -> 1120.32s]  I believe and to open a more permanent establishment and they would not have any fear of then not being a permitted use on
[1120.52s -> 1122.26s]  this property
[1122.30s -> 1128.34s]  Thank you. I also would want to offer one other thing and I think the applicant offered that
[1128.82s -> 1132.92s]  The repair of automobiles and the washing of these automobiles
[1134.18s -> 1135.78s]  Would not
[1135.78s -> 1139.12s]  Be part of this operation and offer that to you
[1139.38s -> 1143.38s]  There is a way that we could actually prohibit that as an accessory use
[1143.92s -> 1149.22s]  To auto rental that the auto washing and auto repair would not be done on
[1149.62s -> 1151.62s]  site as an accessory use
[1152.30s -> 1154.30s]  to the principal uses
[1154.30s -> 1156.30s]  auto rental
[1161.98s -> 1168.38s]  So are you telling me the auto washing and repairs of their own limos would be an accessory use yes
[1168.38s -> 1176.06s]  Yes, it would require any additional zoning that wouldn't require any additional zoning when we have like a yellow cab
[1176.22s -> 1177.64s]  Not promoting yellow cab
[1177.64s -> 1183.36s]  But I mean if there was a yellow cab business or a taxi cab business someone sitting they wanted to wash their their
[1183.36s -> 1189.04s]  Cabs and service their cab. It's not uncommon that you would have that as incidental just like a auto dealership
[1189.04s -> 1196.68s]  That would sell newer used cars many times they would have an area where they would repair an automobile or wash the automobile that they display
[1196.88s -> 1199.38s]  So you also have that with auto rental
[1200.04s -> 1206.10s]  If the owner's agent is indicating that they do not wish to do that service
[1206.10s -> 1212.24s]  And I'm agreed to a condition that would prohibit that there is a way that we could prohibit that as an accessory to this particular use
[1212.58s -> 1217.14s]  Okay, got you even though. They're authorized to do it. They're offer offering to
[1217.78s -> 1220.14s]  Agree to a CEO or whatever to it is
[1221.82s -> 1225.02s]  Whether that's a restricted covenant or a conditional
[1227.14s -> 1234.26s]  Okay, Councilor Riley and Greg could you address the there's been some discussion about the the
[1235.10s -> 1237.78s]  Efforts that have been made in the back of the lot to provide it
[1239.54s -> 1245.18s]  To remove the asphalt provide 25 feet back from the fence back from the rear property line rather
[1245.70s -> 1247.70s]  That provide protection from the trees
[1248.10s -> 1254.62s]  Do we have language that there will be part of the conditions on the property that would build that into the into the ordinance?
[1254.62s -> 1255.06s]  Yes
[1255.06s -> 1257.06s]  That was part of the Commission's recommendation
[1257.06s -> 1260.62s]  And I think what I heard and what I even spoke with the neighborhood
[1260.62s -> 1267.74s]  It looks like they've already removed some of the asphalt or our pavement topping that was in that rear area already
[1267.74s -> 1270.14s]  So it's it's already removed today
[1270.14s -> 1277.82s]  So it would be built into the we would build that in as a vegetative buffer as part of the zoning ordinance
[1277.82s -> 1280.06s]  So it would remain so they couldn't add that in the future
[1280.06s -> 1284.74s]  They couldn't have it without coming back into Council and asking to amend that section. That's correct
[1285.06s -> 1287.06s]  Okay
[1288.58s -> 1296.82s]  That's where the problem I move to close the public hearing and adopt on first reading only the zoning and play commission recommendation with the addition of
[1298.10s -> 1305.38s]  Finding some means in second and third reading of adopting Greg's suggestion of prohibiting auto-washing as an accessory use
[1306.34s -> 1312.02s]  Auto-washing repair auto-washing and repair my apologies, and is it also the desire to
[1312.98s -> 1314.34s]  include
[1314.34s -> 1319.98s]  Michael and beesies modifications that had been I believe that was part of the zap recommendations. They're not now
[1319.98s -> 1325.38s]  There's much additional tree protection items that they've agreed to those are the three items
[1326.02s -> 1332.26s]  Modified the zoning and planning commission's recommendation regarding the addition of the the addition of all of those right modifications. Yes
[1333.30s -> 1338.38s]  Okay, so the motion is to close the public hearing and approve on first reading only
[1339.10s -> 1340.66s]  the zap
[1340.66s -> 1342.66s]  recommendation with the addition of the
[1342.94s -> 1352.46s]  Tree enhancements is agreed to by the arborist and the applicant and also to incorporate before second reading a provision to
[1353.02s -> 1356.50s]  Not allow the accessory uses for auto repair and washing
[1356.94s -> 1357.90s]  right
[1357.90s -> 1358.94s]  second
[1358.94s -> 1360.94s]  Sir second I'll second
[1362.18s -> 1364.18s]  any discussion
[1364.18s -> 1366.18s]  That's where Marcia. I
[1366.78s -> 1373.66s]  Think I heard the terms and you've mentioned repair and washing what about maintenance and service because there's more things that you can
[1373.66s -> 1375.64s]  Do in terms of keeping your
[1375.64s -> 1377.64s]  automobiles up
[1377.64s -> 1383.06s]  Up to see it's just typically repair would would be actually repair the vehicle, you know
[1383.06s -> 1385.30s]  so if you were fixing a flat tire or
[1386.58s -> 1391.82s]  Working on that motor for instance those would be considered repair type I'm checking a lot
[1391.90s -> 1396.26s]  What about checking checking the oil what is that is that and changing the oil is that repair?
[1396.26s -> 1400.54s]  I don't know sure if that would be qualified to repair. I mean I do that in my own driveway at home
[1401.94s -> 1406.38s]  But is there an auto maintenance? I'm just want I just want to make sure I make it broad enough
[1406.98s -> 1410.14s]  Because I think that I heard mr. Makata pretty much agree
[1410.14s -> 1412.30s]  I think he said repair and maintenance
[1412.30s -> 1417.94s]  So if there's a way that we can make it as broad as I don't know for it was zoning ordinance gets that precise
[1418.10s -> 1424.46s]  We do have repair that you would normally think of if you take a vehicle to an all repair shop and they do a tune-up or
[1424.98s -> 1426.62s]  brake job or
[1426.62s -> 1430.78s]  You know changing out your coolant your filters or fluids
[1430.94s -> 1437.38s]  Those are the typical things that you might find under auto repair auto washing would be considered detailing washing the vehicle
[1437.38s -> 1443.46s]  Vacuuming it out and those types of things and and those are things that might be actually objectionable to a neighborhood if you had a large vacuum
[1444.18s -> 1450.14s]  That was going that may make noise it that might not be acceptable to a residential property or next door
[1450.34s -> 1458.06s]  But I I probably personally would not think that just checking the oil before you drive off would be considered auto repair
[1460.10s -> 1462.42s]  Makata did you have a comment on that? I see you I
[1467.54s -> 1469.86s]  Guess the reason I made that suggestion
[1470.58s -> 1475.46s]  Is because I I have an old car hobby and so that's what I do. I tinker with cars
[1476.26s -> 1478.26s]  Occasionally and I'm not doing this
[1478.74s -> 1480.10s]  things, but I
[1480.10s -> 1484.18s]  Wanted to clarify something that I actually made that suggestion
[1484.98s -> 1487.38s]  And not mr. Gurdensney for the record
[1487.78s -> 1491.86s]  About prohibiting those things because we do we do and want to be a good neighbor
[1491.86s -> 1497.70s]  And I believe he's been there for over seven years and he does own the property. He doesn't lease it
[1498.42s -> 1503.58s]  And that is his only business there now. I have asked him to take down that sign that was up there
[1505.98s -> 1509.42s]  Yes, and I in fact I did I apologize if I misspoke
[1509.42s -> 1514.62s]  I did recognize at least in my head that you were the one that made the that offer and I appreciate that
[1520.34s -> 1525.14s]  Okay motion on the table for first reading only any further discussion
[1525.86s -> 1527.86s]  All in favor say aye aye
[1528.26s -> 1533.22s]  And you pose they know that's some of those six to zero with council member Cole off the dice
[1534.98s -> 1539.54s]  And I believe that mr. Gurdensy that include concludes our
[1540.14s -> 1544.98s]  Zoning cases for today. Yes, that includes their zoning map amendments for the day. Thank you. Thank you
[1555.14s -> 1557.14s]  You
