Zoning Case: C14-2010-0087
Meeting Date: 2012-06-28T00:00:00.000
Agenda Item: 128
Source URL: http://austintx.swagit.com/play/45523/0/
================================================================================

[0.00s -> 2.00s]  127
[570.88s -> 574.08s]  Well, let's go and check out Victoria's secret. No go
[575.44s -> 581.92s]  That's why i'm here tonight because equality to me is about being able to participate in everything that this city has to offer
[582.96s -> 585.60s]  not just a few things that are deemed
[586.64s -> 590.24s]  Accessible to people with disabilities all things
[591.28s -> 594.40s]  Have to be accessible to us. Thank you for not equal
[595.68s -> 597.68s]  Thank you
[599.04s -> 602.08s]  Those are all the speakers that we have signed up wishing to speak
[602.88s -> 605.84s]  On this item and on item 128
[608.24s -> 612.00s]  Councilmember Riley that's the question of Michelle good
[612.80s -> 618.32s]  You you heard the concerns. I'm sorry. Uh, you do get three minutes for rebuttal, too
[619.04s -> 622.48s]  Okay, and that's all I was gonna ask was for you to provide a rebuttal. Okay, sure
[622.48s -> 627.44s]  I think I can't answer part of miss mcphill's questions if you go to slide 23, please
[628.40s -> 630.64s]  Or 21. Sorry 21 is actually better
[632.96s -> 634.96s]  You
[649.28s -> 651.28s]  That's slide 21
[662.32s -> 664.32s]  So
[665.76s -> 671.20s]  Well the the basic answer to the question since I heard these concerns earlier today is the fact that
[671.84s -> 673.84s]  There are two
[673.84s -> 678.64s]  Processes going on right now the Valencia hotel is going to be constructed on
[679.28s -> 681.52s]  The last parcel on domain drive
[682.24s -> 684.24s]  They received a site plane approval
[684.48s -> 691.76s]  Just a month ago and they're now under construction that'll be the last connection piece to get the sidewalk from breaker lane
[692.40s -> 699.36s]  On domain drive to allow so that entire length of domain drive all the way north will have a solid sidewalk connection
[699.92s -> 703.60s]  the other piece that is actually off the domain property is
[704.32s -> 707.36s]  A piece of the city of austin is going to have a project
[708.00s -> 710.80s]  That will connect the edge of domain
[711.36s -> 716.88s]  To the bus stop. So again, there'll be a city project connection and the around Valencia
[717.20s -> 722.24s]  So miss mcphill will be able to get off the bus and ride up domain drive to access all of the domain
[722.64s -> 728.96s]  And the that particular area is actually on the simon properties developed side of domain
[729.28s -> 732.48s]  But then the piece for Valencia is actually owned by the Valencia hotel
[732.64s -> 735.76s]  So they're the ones that are responsible for the construction of that last segment
[737.44s -> 741.04s]  And so if you can see i'm sorry about the very sketchy
[742.00s -> 744.48s]  Examine what we put together earlier if you see the green
[745.12s -> 749.04s]  It says sp 2011. It's pointing to an area that looks like
[750.08s -> 755.12s]  It's undeveloped. That's that again that last piece of domain drive and where you see the blue star
[755.36s -> 758.08s]  That is where the existing bus stop is on breaker lane
[758.56s -> 763.28s]  And then there's a small segment that's shown in red that is the city project
[766.24s -> 767.20s]  Correct
[767.20s -> 769.20s]  Does that answer the question
[769.20s -> 771.20s]  But i'm sorry the green
[772.56s -> 774.56s]  Track is the is Valencia
[774.64s -> 780.00s]  Yes, the green outline track is Valencia and what do we think is the timing on the on the side box there?
[780.16s -> 784.48s]  Well, they just received their approval of their site plan uh april 30th of 2012
[784.88s -> 788.08s]  So it depends on their construction schedule. I mean that could be nine months
[788.56s -> 790.48s]  I'm not quite sure since we don't represent them
[791.12s -> 793.28s]  But it is under construction and will be completed
[793.84s -> 799.04s]  It is under construction current it is and and they cannot receive a certificate of occupancy unless they have
[799.20s -> 801.84s]  The sidewalk built the city has to accept the project
[804.80s -> 811.44s]  With it with the area that miss me felt was describing that had had the shrubs blocking the blocking the view of oncoming traffic
[811.76s -> 818.88s]  I believe she's describing the part that gets from the bus stop to the edge of domain and into the project
[819.20s -> 822.16s]  I think that's must be the city piece that I'm yes
[822.24s -> 827.36s]  That's the entry point from which you leave the bus stop onto the property. No one can see you
[829.84s -> 833.44s]  That that's that's one of that that's one of that scratches in green
[833.92s -> 839.28s]  That's actually in red. I'm sorry. This is so light from the blue star to the
[840.24s -> 842.56s]  The little red line from the blue star to the green
[843.28s -> 846.96s]  That's the city project. That's actually in the in the right of way of breaker lane
[850.32s -> 852.32s]  What's the status on that?
[852.32s -> 856.00s]  Um, we were trying to get ahold of gordon bear in the city staff to see what the status was
[856.08s -> 858.96s]  But the city's been working on it for quite some time in order to get that
[859.52s -> 863.68s]  Under construction they have from what I understand as of this week they have all the easements they needed
[864.08s -> 870.56s]  Um, and deverell estate group for example dedicated an easement to cross a very small corner of the project to get into the domain
[870.96s -> 874.24s]  And simon properties. I'm assuming dedicated some easements as well
[876.32s -> 877.84s]  So
[877.84s -> 879.84s]  Are you saying that there there are?
[880.56s -> 886.48s]  Current projects that there are projects in progress that would address all of the the the sidewalk issues that would provide
[887.12s -> 893.52s]  Access to through this area to the to the sites in question from from the from the bus stop. Yes
[894.48s -> 896.48s]  Okay, and
[896.48s -> 901.76s]  And it you would guess that those projects this sidewalks really ought to be complete
[902.48s -> 903.92s]  within
[903.92s -> 907.04s]  Some within a year within some months. I would say within
[907.44s -> 911.44s]  However long it would take to construct the Valencia hotel, whether that's nine months or 12 months
[911.92s -> 913.92s]  Construction time frame. Okay. Thanks
[916.48s -> 918.48s]  I
[919.92s -> 923.04s]  Tear to your motion. I believe this is ready for all three readings
[924.16s -> 926.16s]  councilmember tovo
[926.16s -> 931.68s]  Miss McPail. I just wanted to make sure you didn't have any other questions about the sidewalk configuration that we can ask
[933.12s -> 935.12s]  I don't think so it's kind of hard to
[935.68s -> 937.84s]  See the map and it's three o'clock in the morning
[937.84s -> 942.80s]  So I don't know right now, but I don't have any questions off the top of my head
[943.20s -> 950.16s]  I just have some reservations about not staying on top of the domain and making sure this gets done
[950.48s -> 954.48s]  Because they've made promises to the council before they made promises to us and they broke them
[954.96s -> 963.04s]  So I think it's really important to send a clear message that we're not going to tolerate that and maybe a postponement of what they're asking for until
[964.08s -> 970.56s]  Some construction begins. I just don't want to see a situation where we we let them build the cocktail lounge
[970.88s -> 975.12s]  And then they kill someone and then oh, yeah, we should have waited until we had that sidewalk in
[976.08s -> 979.20s]  It would be on my conscience and I wouldn't want that
[981.28s -> 983.28s]  Thanks
[983.28s -> 985.28s]  mr. Usherman
[985.92s -> 987.92s]  Or or mr. Grunzy
[993.12s -> 997.52s]  Can you help me understand the cocktail the connection between the cocktail
[998.48s -> 1002.40s]  Lounge and the sidewalk issue. Is there any way in which we can
[1003.76s -> 1005.76s]  better
[1005.84s -> 1007.84s]  Better codify
[1008.08s -> 1012.28s]  The build the construction of a sidewalk with relationship to it what's
[1017.12s -> 1022.96s]  Because I I mean I remember the initial discussion about this two years ago because I was on Planning Commission at the time and
[1023.92s -> 1026.56s]  The access the discussions about access really are
[1027.04s -> 1033.52s]  Important as far as the sidewalks concerned with with the construction is associated with the cocktail lounge. There's probably a way that we can
[1034.64s -> 1037.60s]  Ensure that the sidewalk would be constructed as part of that project
[1038.48s -> 1040.48s]  the city portion that
[1040.80s -> 1044.32s]  Michelle had mentioned. I'm not sure we just have to check on the status of that
[1044.96s -> 1049.68s]  Because that would be something separate from and apart from what was proposed with this project
[1050.96s -> 1053.52s]  the other portion though that spoke to the
[1054.40s -> 1056.40s]  Hotel I think that was under construction
[1056.96s -> 1060.48s]  Usually the sidewalks would go in as part of the construction at a hotel
[1061.12s -> 1066.48s]  And so you you actually probably have three separate projects that we're probably talking about one is the city part
[1067.44s -> 1069.52s]  One being in conjunction with the hotel
[1070.08s -> 1072.08s]  but for the portion that
[1072.24s -> 1078.72s]  The cocktail lounge is proposed we could probably do something with that to ensure that the sidewalk is constructed with that piece
[1079.12s -> 1082.64s]  The hotel piece actually if it's under construction right now, it sounds like that would be
[1083.20s -> 1085.20s]  Completed with the hotel
[1095.12s -> 1100.16s]  Where the cocktail lounge is located on the aloft hotel that's actually on endeavors property
[1100.72s -> 1109.12s]  The hotel Valencia that is on domain drive, which is where the concern is where there's no sidewalk is on the simon development side of domain
[1109.92s -> 1111.20s]  so
[1111.20s -> 1116.48s]  The the piece that's going to be constructed to connect on domain drive is actually not
[1117.04s -> 1122.16s]  Property that's in this zoning case. I think that's what they were talking of but in front of the cocktail lounge itself
[1122.40s -> 1125.04s]  It's already a constructed building and there is a sidewalk
[1125.76s -> 1131.60s]  So as long as Valencia is connected then that entire sidewalk will be up to the cocktail lounge
[1133.84s -> 1135.84s]  And so with the construction at hotel
[1136.56s -> 1140.96s]  The corresponding sidewalk would be completed with with the occupancy of that bill money
[1141.44s -> 1144.24s]  Because that would be a separate project from the cocktail lounge
[1144.64s -> 1146.40s]  Okay, thanks
[1146.40s -> 1152.80s]  And we can provide Jennifer something like we've got a map that it's a little bit larger in scale and in color that
[1153.52s -> 1160.56s]  She can take with her too and we can get back with her on the city project because it's the one part I really can't address at the moment
[1166.48s -> 1168.16s]  Councillor riley
[1168.16s -> 1170.72s]  I'll go ahead and move that we close public hearing and
[1172.16s -> 1177.60s]  Approved that the the requested rezoning on all three readings motion by
[1179.04s -> 1184.32s]  Councillor riley close public hearing approved on all three readings second by mayor per team
[1184.96s -> 1186.96s]  Any discussion? Just one question
[1188.80s -> 1194.88s]  Greg, I wonder if you might be able to just provide information to us once you find out about the status of the city project
[1195.20s -> 1197.20s]  Certainly great
[1198.00s -> 1201.76s]  Well, Councillor riley, I'll just add I this is that I'm very glad that
[1202.48s -> 1204.80s]  Jennifer miss pakfel was here to our minus about this concern
[1204.80s -> 1211.36s]  This is a serious issue both for the city and cat metro and it is one that we will absolutely stay after and make sure those sidewalks get into place
[1213.44s -> 1219.28s]  But I'm about it based on what we've heard from staff tonight. I've ever reason to expect that they they will be in place timely so so
[1220.08s -> 1222.08s]  optimistic about that so
[1222.88s -> 1226.32s]  All in favor of the motion say aye. Aye. Aye. Opposed say no
[1227.28s -> 1230.80s]  Pass some vote of seven to zero takes us to item 127
[1231.92s -> 1232.64s]  eight
[1232.64s -> 1236.48s]  Uh, which is related eight eight. Excuse me 128
[1239.04s -> 1241.04s]  And uh, we
[1241.36s -> 1246.24s]  There are no speakers. We heard the speakers be the same speakers that we've already heard
[1247.28s -> 1248.32s]  So
[1248.32s -> 1250.32s]  I believe this is ready
[1250.32s -> 1252.32s]  The only requires approval. It's uh
[1253.12s -> 1260.08s]  It's just approval of the of the amendment to the firm street covenant change over a restrictive covenant amendment
[1261.36s -> 1263.36s]  Irritated motion on that item
[1265.04s -> 1269.52s]  Councilor riley moved them. We closed public hearing and approved the district's covenant amendment
[1269.92s -> 1271.92s]  Second closed public hearing and
[1272.72s -> 1277.52s]  And removed the restrictive covenant motion by a council member riley second by the mayor pro tem
[1278.48s -> 1281.52s]  Discussion all in favor say aye. Aye. Aye
[1282.32s -> 1284.00s]  Opposed say no
[1284.00s -> 1287.28s]  Pass us on a vote of six to zero with council member Spelman off the dice
[1290.40s -> 1292.40s]  Okay seven to zero
[1293.52s -> 1295.52s]  Couldn't see around that corner
