Zoning Case: C14-2019-0014
Meeting Date: 2019-06-06T00:00:00.000
Agenda Item: 86
Source URL: http://austintx.swagit.com/play/45787/0/
================================================================================

[0.64s -> 2.56s]  All right, consent zoning.
[351.58s -> 356.58s]  I did not have missed those, so 75, 76, 77, and 78.
[356.94s -> 360.22s]  So the items I have pulled are 75, 76, 77,
[360.22s -> 365.22s]  78, also 84, 96, and 97 are the pulled items.
[369.54s -> 374.54s]  Okay, so anyone here to speak on any of those consent items
[375.26s -> 376.66s]  that wishes to speak?
[383.42s -> 384.98s]  Okay, yes.
[388.14s -> 389.70s]  97 has been pulled.
[390.34s -> 391.62s]  So you don't need to speak yet,
[391.62s -> 393.06s]  we're gonna do that in a moment.
[396.82s -> 401.82s]  Okay, so 77, 78, 84 has been pulled, 85,
[408.38s -> 410.86s]  96, 97.
[410.86s -> 414.46s]  So is there anyone that signed up
[414.46s -> 419.02s]  for any of the non-pulled items that wishes to speak?
[420.78s -> 423.18s]  Mary said 75, 76 were pulled.
[423.18s -> 425.86s]  75 and 76 were pulled, correct.
[428.18s -> 431.22s]  All right, comments, is there a first
[431.22s -> 432.54s]  I'll take a motion, then we'll take comments.
[432.54s -> 435.14s]  Is there a motion to approve the consent agenda?
[435.14s -> 436.62s]  Councilor Flanagan makes the motion,
[436.62s -> 437.86s]  Councilor Rents, to read to read a second.
[437.86s -> 440.94s]  Is there any comments on the consent agenda?
[440.94s -> 442.10s]  Councilor Dessar?
[442.10s -> 445.42s]  As it relates to item number 85,
[445.42s -> 449.46s]  it is one of the cases where we are creating
[449.46s -> 453.34s]  mobile home zoning in order to try to preserve
[453.34s -> 456.06s]  mobile home in RV parks in the community.
[456.06s -> 458.86s]  My understanding from the agent
[458.86s -> 461.18s]  and the owner of this particular property
[461.18s -> 462.98s]  is that it is mobile homes.
[462.98s -> 464.78s]  They wanted to continue to expand that use
[464.78s -> 467.58s]  in some parts that are unused.
[467.58s -> 470.70s]  And my hope is that they're able to do that
[470.70s -> 472.82s]  by zoning it this way.
[472.82s -> 473.90s]  They should be able to do that.
[473.90s -> 476.34s]  I hope that the staff works together with them
[476.34s -> 477.54s]  to make that work.
[477.58s -> 480.18s]  And of course, if there's any level of variance
[480.18s -> 481.66s]  or change that's required to be able
[481.66s -> 483.66s]  to get the kind of affordable housing expansion
[483.66s -> 486.30s]  we want there, then I for one.
[486.30s -> 488.82s]  And I think a lot of folks here would be very open
[488.82s -> 490.78s]  to try to see if there's any other council action
[490.78s -> 491.62s]  that needs to be taken.
[491.62s -> 493.66s]  Because I think the intent here
[493.66s -> 496.66s]  aligns with the intent that has been expressed.
[496.66s -> 497.86s]  Okay, any further comments?
[497.86s -> 499.70s]  Council member Tovo, did you have a comment?
[499.70s -> 500.54s]  You want to make?
[501.86s -> 506.22s]  Yes, with regard to the item on 91
[506.22s -> 508.70s]  that we're passing on first reading only.
[508.70s -> 510.26s]  Thanks to the applicant for your willingness
[510.26s -> 511.50s]  to do that, I appreciate it.
[511.50s -> 514.06s]  I would like to direct the staff to do the research
[514.06s -> 515.78s]  to determine if they would recommend review
[515.78s -> 517.30s]  of the structure on this property
[517.30s -> 519.22s]  for the historic landmark commission.
[520.42s -> 522.34s]  I think that would be helpful information to have.
[522.34s -> 525.46s]  Just I won't in light of the time
[525.46s -> 529.26s]  go through all of the information related to this,
[529.26s -> 531.78s]  but it is this structure falls
[531.78s -> 534.14s]  within the Northwest District of the downtown plan.
[534.18s -> 536.18s]  One of the goals of which was to preserve
[536.18s -> 537.58s]  and enhance the unique historical
[537.58s -> 539.14s]  and cultural heritage of downtown.
[539.14s -> 541.86s]  And so I think it's very important to evaluate this
[541.86s -> 545.62s]  ordinarily the, our process at the moment,
[545.62s -> 547.34s]  and I think it needs some tweaks,
[547.34s -> 548.66s]  but the our process at the moment
[548.66s -> 550.30s]  is that it would not be evaluated
[550.30s -> 553.54s]  for its historic merit until a demolition permit is submitted.
[553.54s -> 555.94s]  And so I think that before we do the rezoning
[555.94s -> 558.10s]  that would be really helpful information to have
[558.10s -> 560.62s]  to determine whether or not this structure
[560.62s -> 562.46s]  is of historic merit.
[562.50s -> 564.34s]  Especially because this is a district,
[564.34s -> 567.54s]  one of the couple districts, areas of downtown
[567.54s -> 569.14s]  that was recommended in the downtown plan
[569.14s -> 570.82s]  for a possible local historic district,
[570.82s -> 574.82s]  which is probably a measure I'm going to initiate
[574.82s -> 576.30s]  here in our next meeting or two.
[576.30s -> 578.58s]  So again, first reading with the direction
[578.58s -> 580.78s]  to staff that they evaluate whether or not
[580.78s -> 581.98s]  this is a property that should go
[581.98s -> 583.98s]  before the historic landmark commission
[583.98s -> 587.18s]  in light of its importance to the goals
[587.18s -> 588.46s]  of the downtown Austin plan.
[589.46s -> 591.74s]  All right, any other comments?
[591.74s -> 593.62s]  Mayor, and we close the public hearing
[593.62s -> 594.46s]  where's appropriate.
[594.46s -> 595.38s]  Closing the public hearing,
[595.38s -> 596.82s]  we're appropriate in these items.
[596.82s -> 598.06s]  Any other comments?
[598.06s -> 599.22s]  Let's take both of those in favor
[599.22s -> 601.50s]  of the consent agenda, please raise your hand.
[601.50s -> 603.22s]  Those opposed, unanimous on the dice
[603.22s -> 605.42s]  with council member Harper Madison gone,
[605.42s -> 606.46s]  the others speaking.
[606.46s -> 607.30s]  Thank you.
[607.30s -> 610.74s]  Okay, we're gonna knock off some of these zoning cases.
[610.74s -> 612.66s]  We don't have time to do the largest one here
[612.66s -> 614.30s]  before we take the break.
[614.30s -> 616.10s]  I'm gonna start the back and move forward.
