Zoning Case: C14-2009-0151
Meeting Date: 2010-04-22T00:00:00.000
Agenda Item: 53
Source URL: http://austintx.swagit.com/play/45414/0/
================================================================================

[0.00s -> 9.12s]  And now we'll take up item number 53 for discussion, which has been pulled from the consent agenda.
[322.76s -> 330.04s]  Is what you're saying is there isn't any density bonus triggered with this configuration?
[330.04s -> 336.84s]  I don't believe in order to really trigger the interim ordinance, you really have to start increasing the FAR.
[336.84s -> 342.64s]  And in this case, the only thing they're asking is for an increase of height than not FAR.
[342.64s -> 350.44s]  So how can we even get into this discussion of negotiating affordability or other community benefits?
[350.44s -> 354.20s]  I think the applicant has some proposals that they're offering.
[354.20s -> 360.52s]  Granted, if they wanted to offer something private restrictive covenant or track zoning.
[360.52s -> 362.04s]  That's correct.
[362.04s -> 366.88s]  So I think that's something we need to be aware of in this discussion.
[366.88s -> 369.96s]  Councillor.
[369.96s -> 381.76s]  Okay, so speaking for the applicant is Alice Glasgow, who's entitled to five minutes on her own as the applicant.
[381.76s -> 383.96s]  But she has other folks donating time.
[383.96s -> 398.76s]  Brad Sloscher, Brad here, David Vitanza, David, Lisa Rose, Joe Longaro.
[398.76s -> 400.32s]  Joe how to leave.
[400.32s -> 409.16s]  So let's say you have 14 minutes instead of 15.
[409.16s -> 412.56s]  Thank you Mayor, Alice Glasgow representing Sloscher Development.
[412.56s -> 417.24s]  And I'll be brief since Mr. Guernsey gave you an overview.
[417.24s -> 423.84s]  What's being passed out is an update to sheets 13 and 14 of our pop one presentation.
[423.84s -> 430.76s]  And it has to do with page 13 has the community benefits, rather sheet 12 and 13.
[430.76s -> 437.80s]  And then 13 has the affordable housing with some tweaking language we've added after we had meetings with some of you.
[437.80s -> 439.24s]  So hopefully that will help.
[439.24s -> 450.20s]  But outside of the site is located east of Whole Foods and it is bounded by Bowie Street, West 5th, West 6th, and of course to the east is Show Creek.
[451.84s -> 457.80s]  This is just an overview of two pictures that show the existing to the left.
[457.80s -> 459.24s]  The site is paved.
[459.24s -> 465.16s]  It's used as an existing parking lot, surface parking lot, and Show Creek, this is what it looks like today.
[465.16s -> 472.28s]  And I'll show you this so that you can compare it to the improvements that will be contemplated as I proceed with the presentation.
[472.28s -> 479.04s]  The site comprises of 2.713 acres, it's on DMU, and that allows for
[479.04s -> 481.04s]  a float area ratio of 5 to 1.
[481.04s -> 486.20s]  The maximum height under DMU zoning is 120 feet, so
[486.20s -> 492.52s]  the total square footage allowed on this side is 598,891 square feet.
[492.52s -> 497.80s]  That's the maximum that we can build under the 5 to 1 FAR.
[497.80s -> 502.64s]  We have an approved site plan that has two uses, retail and office, and
[502.64s -> 508.44s]  that comprises of 397,585 square feet, just for those two uses.
[508.44s -> 513.56s]  And obviously the two buildings, one is beneath,
[513.56s -> 519.04s]  within the capital view corridor as limited by those heights, and the other one is outside the view corridor.
[520.04s -> 525.20s]  The height we're seeking is 350 feet from 120, and
[525.20s -> 529.28s]  as Mr. Guernsey indicated that we're not seeking additional float area ratio,
[529.28s -> 537.88s]  we just simply be absorbing the square footage allowed under 5 to 1 FAR within a taller building.
[537.88s -> 542.00s]  So it will be a vertical building which will give us additional space for
[542.00s -> 545.04s]  green space that will be accessible to the public.
[545.04s -> 552.68s]  The uses proposed here are office for a total of 438,850 square feet.
[552.68s -> 559.72s]  Currently retail, 50,300 square feet, and 90 condos at approximately 100,000 square feet.
[559.72s -> 566.20s]  And of course those numbers could change once the ultimate tenants are in place.
[566.20s -> 568.68s]  So that may change somewhat.
[568.68s -> 574.60s]  We may end up with more condos than contemplated right now, but this is what we're contemplating right now.
[574.60s -> 579.28s]  This slide shows you how the capital view corridor divides the site into two.
[579.28s -> 584.00s]  So the building that is up to five stories, I'm sorry, that kind of moved forward,
[584.00s -> 589.96s]  is right under the orange line, which is about one level of retail,
[589.96s -> 593.12s]  and four levels of office space.
[593.12s -> 598.76s]  And then the tall building which the 350 foot building has the mix of residential above.
[598.76s -> 606.68s]  The blue in is office space, some levels, three levels of a parking garage.
[606.68s -> 613.48s]  Then brown is retail, and then below there's some levels of underground parking, also contemplated.
[613.48s -> 619.48s]  This next slide shows you the existing approved site plan.
[619.48s -> 624.76s]  Well, we show this so you can see, compared to the proposed site plan, we pick up some open space.
[624.76s -> 629.48s]  You can see the green areas as shown on the proposed site plan.
[629.48s -> 637.64s]  The current site plan has a building limitation line that shows the area that
[637.64s -> 643.92s]  has a limitation on development per the flood plan study that was conducted by the city in 2006,
[643.92s -> 647.56s]  after the property was purchased.
[647.56s -> 652.36s]  This slide shows areas that are going to be dedicated to green space.
[652.36s -> 659.92s]  And as we met with the design commission on two occasions, they wanted us to commit to having some publicly accessible open space.
[659.92s -> 665.96s]  And we agreed that we would have approximately 30,000 to 35,000 square feet of open space,
[665.96s -> 669.36s]  5,000 adjacent to the creek and the others at grade.
[670.56s -> 675.96s]  We plan on having a green roof on this site, and that's exciting.
[675.96s -> 682.40s]  So hopefully that will help address some of those benefits that are attributed to having a green roof.
[682.40s -> 687.52s]  We agreed to have great streets, and this is an example of what the great streets would look like.
[687.52s -> 689.68s]  It's a cross section on Bowie Street.
[689.68s -> 695.48s]  So again, on all three streets, we'll work with staff to comply with the great streets program.
[695.48s -> 696.72s]  Show Creek Improvement.
[696.72s -> 703.96s]  This is a slide that shows how show Creek will be improved, and this is a design from the creek improvement
[703.96s -> 714.96s]  that has been coordinated with the parks department, and we worked with them several years ago to come up to commit to a design that they were comfortable with.
[714.96s -> 718.84s]  This is a cross section of the site and the trail itself.
[720.12s -> 725.32s]  This is a slide that shows the city approved Lance Armstrong and
[725.32s -> 729.56s]  the Sugar Bridge extension bikeway, city staff, Aneek Bodei.
[729.56s -> 739.32s]  I'd ask that we agree to construct and dedicate right of way on our subject property to extend the bikeway
[739.32s -> 749.64s]  from the Sugar Bridge and downtown across to Bowie Street onto 9th Street, and we've committed to do that.
[750.48s -> 757.64s]  Here on slide number 12, it shows the community benefits, and I handed you a copy of the changes that have been made.
[757.64s -> 763.96s]  We've added item, you know, you have this green building, the Lance Armstrong bikeway, the city aspect.
[763.96s -> 765.40s]  We coordinate on the west side.
[765.40s -> 774.24s]  That's the whole food side that when we construct our, the Lance Armstrong bikeway that we also help them construct the one on whole food side.
[774.24s -> 782.24s]  So you're only opening the street or having the street constructed just at once and not multiple times.
[782.24s -> 789.24s]  We've talked about a approximately 20,000 square feet of green roof, improvement to show creek, hike and bike trail,
[789.24s -> 796.24s]  generalization of the creek to reduce flooding, which benefits the development, mostly and obviously the public also,
[796.24s -> 799.24s]  reduces flooding upstream and downstream.
[799.24s -> 803.24s]  With the residential development we'll comply with the parkland education ordinance,
[803.24s -> 808.24s]  publicly accessible green and open space of 30 to 50, 35,000 square feet.
[808.24s -> 811.24s]  We will participate in the great streets program.
[811.24s -> 820.24s]  Commission asks that we provide science directing pedestrian and bike traffic as to alternate routes during maintenance and construction of show creek trail.
[820.24s -> 821.24s]  That makes sense.
[821.24s -> 828.24s]  The commission also asks that we visit with the parks department to determine, or for us to look at the possibility
[828.24s -> 833.24s]  of having public showers or restrooms on the site,
[833.24s -> 839.24s]  obviously due to safety and liability issues, the developers cannot accommodate such facilities on site,
[839.24s -> 844.24s]  but we, the applicant is committing to donate to the parks department.
[844.24s -> 851.24s]  They informed us when we met with them that they have a bond election item that they would like to put on the November ballot
[851.24s -> 859.24s]  to improve the restrooms and maybe possibly add rain showers at the trailhead of show creek and Ladybird Lake.
[859.24s -> 866.24s]  So we would like to donate, if the project exceeds 482,687 square feet,
[866.24s -> 872.24s]  that the developer will donate $10,000 to the parks department towards that improvement.
[872.24s -> 876.24s]  I mentioned the 482,687 square feet.
[876.24s -> 886.24s]  That is the benchmark that we agreed to with the planning commission that we were to have mixed use development, retail office development today without cure zoning.
[886.24s -> 889.24s]  This is the maximum square for you we can achieve today.
[889.24s -> 897.24s]  So that being the benchmark that if we exceed that, then your affordability triggers and all these things trigger too, as stated.
[897.24s -> 900.24s]  This is the page that addresses affordability and we are offering this.
[900.24s -> 901.24s]  It's voluntary.
[901.24s -> 909.24s]  We understand that the current affordable housing density bonus ordinance does not apply to us because we're not seeking a density bonus,
[909.24s -> 920.24s]  but my clients would like to volunteer the items listed here and this is a deal that we negotiated with our planning commission members.
[921.24s -> 928.24s]  And we agree that number one preference is that if the project exceeds 482,687 square feet,
[928.24s -> 935.24s]  that a 5% of the total units on the site would be dedicated to 80% MFI.
[935.24s -> 945.24s]  And you know that, but not less than one unit for every 20,000 square feet in excess of the benchmark would be units on site.
[945.24s -> 953.24s]  And this is to provide some equity that at least you do have a minimum number of units in the event that that square footage is exceeded.
[953.24s -> 959.24s]  The other option would be that if for whatever reason it's not feasible to have the units on site,
[959.24s -> 968.24s]  that we would work with the neighborhood housing department to pay a fee in lieu of when we exceed that benchmark square footage,
[968.24s -> 972.24s]  we would donate $3 a square foot above the benchmark square footage.
[972.24s -> 983.24s]  And as you saw that beyond a benchmark square footage, we could go up to an additional 100,000 square feet of development.
[983.24s -> 990.24s]  The other option would be that regardless of density, mix of uses,
[990.24s -> 998.24s]  and or the square footage, the benchmark, the developer at a minimum would still pay $100,000 towards affordable housing.
[998.24s -> 1008.24s]  So, this is the list of affordable housing options that we have, we're offering.
[1008.24s -> 1013.24s]  That concludes my presentation.
[1013.24s -> 1021.24s]  I'll be glad to answer any questions at this point.
[1022.24s -> 1024.24s]  May I have concluded?
[1024.24s -> 1025.24s]  You're done?
[1025.24s -> 1026.24s]  Okay.
[1026.24s -> 1027.24s]  Yes, thank you.
[1027.24s -> 1028.24s]  Thank you.
[1028.24s -> 1029.24s]  Questions for the applicant?
[1029.24s -> 1030.24s]  Councilor Moore?
[1030.24s -> 1031.24s]  No.
[1031.24s -> 1034.24s]  I just have some comments that I don't have any questions.
[1034.24s -> 1035.24s]  Okay.
[1035.24s -> 1036.24s]  Go ahead.
[1036.24s -> 1038.24s]  First, I want to thank you, Allison.
[1038.24s -> 1050.24s]  Also, Brad and David, for working on this project and for the conversation that you had at the planning commission regarding affordable housing and the offer that you made.
[1051.24s -> 1070.24s]  I think that, you know, this is, I understand that the interim, the interim affordable housing density bonus doesn't kick in here so that it's not clear to me if that was really the intent of that bonus density program that got into place.
[1070.24s -> 1071.24s]  It might have been an oversight.
[1071.24s -> 1079.24s]  But in any case, from my perspective, I think it's very important to keep in mind that this is an increase in entitlement,
[1079.24s -> 1083.24s]  even though the FAR is not being exceeded.
[1083.24s -> 1090.24s]  The height is going from 120 to 350, which is a pretty substantial difference.
[1090.24s -> 1093.24s]  So I appreciate that you all are acknowledging that.
[1093.24s -> 1108.24s]  And I'm having a really tough time with this one because I, you know, just a couple of months ago, we all sat here and had hour after hour of hearings talking about the need for affordable housing in our community.
[1108.24s -> 1131.24s]  And the limited resources that we have for affordable housing, we were down to our last $13 million in bonds and how we need to do everything that we can to make sure that we're leveraging everything that we have in this community to be able to provide for the amazing affordable housing needs that we have.
[1132.24s -> 1150.24s]  I think it's important to keep in mind that all zoning is discretionary, that in fact, cure itself is specifically cited to be used to accommodate high priority projects that enhance the stability of urban neighborhoods, including the development of affordable housing.
[1150.24s -> 1164.24s]  So one of the other ways that I look at this also is that we did recently do some affordable housing with regard to a project in South Austin, the grape co-pud.
[1164.24s -> 1173.24s]  And in that case, there was an offer that was worked out that came to, I think, almost $5 per square foot.
[1174.24s -> 1196.24s]  And so that's why I'm having a really tough time with this because I feel like, in a way, if our expectations for the kind of benefit that a project will bring to our community is moving backwards, then I think we're headed in the wrong direction, we're going to be in danger there.
[1197.24s -> 1202.24s]  So I guess I'm just sort of really at sea about this, but I'm not sure what to do with it.
[1202.24s -> 1209.24s]  I think it's going to pass on first reading, and I hope maybe that we can roll up our sleeves and talk a little bit more.
[1209.24s -> 1215.24s]  And I do appreciate the time that I've taken talking with me and the effort that you've put into this.
[1216.24s -> 1224.24s]  Let me say first of all, in the case of a putt negotiation for community benefits, including affordable housing is specifically authorized.
[1224.24s -> 1227.24s]  That was in the rewrite of the putt that we did.
[1227.24s -> 1230.24s]  That was one of the reasons that we did it.
[1230.24s -> 1237.24s]  But in a straight zoning case, I don't know whether the cureport park enters into it, but I'm very concerned about it.
[1238.24s -> 1250.24s]  I'm going to find out on second reading in the meantime, I'm working on the assumption that your offer for community benefits, including the affordable housing is strictly an offer on your park.
[1250.24s -> 1259.24s]  And not something that is negotiated or even talked about is whether or not we, this council approves your zoning.
[1259.24s -> 1263.24s]  So we'll get an answer to that before we come back on second third.
[1263.24s -> 1264.24s]  Mayor.
[1264.24s -> 1266.24s]  That's where we're called.
[1266.24s -> 1273.24s]  I want to thank Ms. Glasgow and Mr. Sloscher for bringing us a project that might keep us here until four o'clock.
[1273.24s -> 1279.24s]  And we're just glad for the development, but we do recognize that we have to make a decision about the zoning.
[1279.24s -> 1289.24s]  But I emphasize that because we've had so little development in the CPD or the downtown area for at least the past year.
[1289.24s -> 1295.24s]  So we thank you guys for putting up the investment money and congratulate you on being able to get your financing and move forward.
[1296.24s -> 1306.24s]  And as far as the community benefits go, I hear Council Member Morrison loud and clear in terms of our deep need for affordable housing,
[1306.24s -> 1318.24s]  but recognize that this is within the interim density category and that you are, that is normally not required in any zoning cases.
[1318.24s -> 1324.24s]  And appreciate the fact that you have come forward to make community benefits for affordable housing.
[1325.24s -> 1333.24s]  And I've visited with you in my office and seen the project and a lot of the other benefits that you are offering.
[1333.24s -> 1337.24s]  And so with that, I will move approval on first reading.
[1337.24s -> 1341.24s]  Council Member Cole moves to close the public hearing.
[1341.24s -> 1348.24s]  Prove on first reading only item number 53 second by the Mayor Pro Tem.
[1348.24s -> 1353.24s]  I want to ask one question of you since you're standing there.
[1353.24s -> 1359.24s]  You talk about all the things you're going to do as far as great streets,
[1359.24s -> 1365.24s]  underground parking, creekside improvements, et cetera.
[1365.24s -> 1372.24s]  Is that one of the conditions of the zoning or is that just something you've talked about?
[1373.24s -> 1380.24s]  The law department staff will incorporate those conditions either in an ordinance or a restrictive covenant,
[1380.24s -> 1386.24s]  and they'll decide which items go into a public covenant and which items go into a private one.
[1386.24s -> 1393.24s]  I'd just like to indicate that the community benefits by themselves total $2.3 million.
[1393.24s -> 1396.24s]  That's not including the affordable housing proposal.
[1397.24s -> 1398.24s]  I didn't mention that.
[1398.24s -> 1402.24s]  I just want to put a dollar figure to just the community benefits and alone.
[1402.24s -> 1403.24s]  Thank you.
[1403.24s -> 1404.24s]  Thank you.
[1404.24s -> 1405.24s]  That's where we're going.
[1405.24s -> 1407.24s]  Following up on that same question.
[1407.24s -> 1412.24s]  So the parking provisions will be recorded in what form?
[1412.24s -> 1418.24s]  No, I thought he asked about the community benefits that we're offering.
[1418.24s -> 1420.24s]  And those will be in the form of?
[1420.24s -> 1425.24s]  Some of them will go into an ordinance and then some of them in a public restrictive covenant.
[1426.24s -> 1427.24s]  Okay.
[1427.24s -> 1428.24s]  So we'll see that on second reading.
[1428.24s -> 1429.24s]  Correct.
[1429.24s -> 1430.24s]  Second and third readings.
[1430.24s -> 1438.24s]  That's when staff will take the items that we've offered under the community benefits and the affordable housing to the extent that that can be a public covenant.
[1438.24s -> 1446.24s]  I'm not sure because we're donating the funds would be donated in the future towards a city department, including the parks department.
[1446.24s -> 1452.24s]  We'll just work with the law department to find out whether that which what kind of instrument the ought to be captured in.
[1452.24s -> 1453.24s]  Okay.
[1454.24s -> 1457.24s]  And along those same lines with respect to the parking.
[1457.24s -> 1468.24s]  I understand that you do expect to have, assuming if you get the density that you hope, then you expect that a significant part of the parking will be underground?
[1468.24s -> 1471.24s]  Yes, there will be some parking underground.
[1471.24s -> 1477.24s]  And there'll be some in the taller building.
[1477.24s -> 1482.24s]  There'll be three levels contemplated of a parking garage.
[1483.24s -> 1486.24s]  And does that answer your question?
[1486.24s -> 1490.24s]  And would that parking would that be screened?
[1490.24s -> 1493.24s]  In the parking garage, it's going to be skinned.
[1493.24s -> 1494.24s]  Yes, it will be screened.
[1494.24s -> 1498.24s]  The building will be just like the I want to say skinned.
[1498.24s -> 1504.24s]  It'll look like the CSE building so you have a parking garage and it's yes, it'll be screened.
[1504.24s -> 1508.24s]  And so how much parking would be underground?
[1508.24s -> 1518.24s]  Well, we can't either, the final numbers have been defined or be either one, two, or three levels of underground parking.
[1518.24s -> 1530.24s]  Is it possible that you would be able to commit to any provisions to be recorded within in the form of a covenant?
[1531.24s -> 1542.24s]  I mean, based on the level of density that you achieve, you could say with the certain x level of density, then x amount would be underground.
[1542.24s -> 1547.24s]  Would you be, is it possible that those could be committed to covenants?
[1547.24s -> 1559.24s]  Well, you could probably say that if we exceed the benchmark square footage that I called at the 482, 687 square feet, then we'll commit to at least two levels of underground parking.
[1560.24s -> 1561.24s]  Okay.
[1561.24s -> 1563.24s]  That would give, I think they'll be acceptable.
[1563.24s -> 1565.24s]  And do you expect to have parking at the ground level?
[1565.24s -> 1567.24s]  That's underground.
[1567.24s -> 1569.24s]  Are you at the ground level?
[1569.24s -> 1570.24s]  At level.
[1570.24s -> 1582.24s]  We're thinking, we don't know who the final tenants are going to be, so we'd like to have the flexibility in case there's a need for teaser parking or limited or short term parking for at grade.
[1582.24s -> 1584.24s]  Is that what you're asking?
[1584.24s -> 1588.24s]  Would you be able to say no more than, so a teaser parking you're talking about?
[1588.24s -> 1590.24s]  You can say probably no more than 30 spaces.
[1590.24s -> 1593.24s]  So you'd be able to commit to no more than 30 spaces?
[1593.24s -> 1594.24s]  At grade.
[1594.24s -> 1595.24s]  Correct.
[1595.24s -> 1596.24s]  And that could be.
[1596.24s -> 1597.24s]  It would be short term parking.
[1597.24s -> 1598.24s]  Okay.
[1598.24s -> 1599.24s]  Okay.
[1599.24s -> 1606.24s]  And so all those agreements with respect to parking could be included in the covenant.
[1606.24s -> 1610.24s]  And the reason I've done this on parking is it has been a sensitive issue downtown.
[1610.24s -> 1612.24s]  Yes, we can certainly do that.
[1612.24s -> 1613.24s]  Okay.
[1613.24s -> 1614.24s]  Second reading.
[1614.24s -> 1615.24s]  Correct.
[1615.24s -> 1621.24s]  So you just to clarify that there will be no more than 30 at grade parking spaces for short term needs.
[1621.24s -> 1624.24s]  Should there be a need for that in the future?
[1624.24s -> 1627.24s]  Once a tenant or tenants are finalized.
[1627.24s -> 1638.24s]  And secondly that if we exceed the baseline square footage of 480, 2,687 square feet, then we should have at least two levels of underground parking.
[1638.24s -> 1642.24s]  The above grade and a garage parking would be great.
[1642.24s -> 1647.24s]  So all those provisions could be included in a covenant that we could see on second reading.
[1647.24s -> 1648.24s]  Okay.
[1648.24s -> 1664.24s]  Well, I just want to add my voice to council member Coles in acknowledging the significance of this project coming forward and expressing my appreciation for the levels of design that we're saying here.
[1664.24s -> 1671.24s]  We haven't seen much activity, especially in the central city in the past year or two.
[1671.24s -> 1673.24s]  And so it is appreciated.
[1673.24s -> 1675.24s]  So, Councilman, I think.
[1675.24s -> 1676.24s]  No.
[1676.24s -> 1678.24s]  Just the 30 spaces.
[1687.24s -> 1691.24s]  Mr. Vittans, I just wanted to clarify that the 30 spaces would not include the
[1691.24s -> 1696.24s]  Polish parking that would be needed if you had a hotel or for condos.
[1696.24s -> 1698.24s]  Does that mean?
[1698.24s -> 1702.24s]  Would there be an upper limit that you could commit to with respect to that?
[1702.24s -> 1703.24s]  David, why don't you come speak to it?
[1703.24s -> 1704.24s]  It's probably the best.
[1704.24s -> 1708.24s]  Mayor and council members, I'm sorry to interrupt, but I always wanted to make sure that it was clear.
[1708.24s -> 1717.24s]  All I'm saying is that the concrete area for a portico shear would not have to be construed as parking.
[1717.24s -> 1722.24s]  I'm not talking about more parking, but if we have a portico shear that has drop-off spaces,
[1722.24s -> 1727.24s]  we're really squeezing down the number of spaces now on a surface level.
[1727.24s -> 1733.24s]  As you know, the code already requires a DMU for us to have it screened, as I heard mentioned earlier.
[1733.24s -> 1738.24s]  So, there won't be anything visible from the streets other than what you can see through the drive.
[1738.24s -> 1746.24s]  I just want to make sure that a portico shear that might be necessary for a hotel would not be construed or have anybody feel disappointed
[1746.24s -> 1749.24s]  that we didn't make that clear at this point.
[1749.24s -> 1751.24s]  There's still 30 spaces, but the drive area.
[1751.24s -> 1752.24s]  Okay.
[1752.24s -> 1754.24s]  And that linkage could be worked out for second reading.
[1754.24s -> 1755.24s]  Okay.
[1755.24s -> 1756.24s]  Okay.
[1756.24s -> 1757.24s]  Thanks.
[1757.24s -> 1758.24s]  Mayor?
[1758.24s -> 1759.24s]  Councillor Morrison.
[1759.24s -> 1766.24s]  I have a question for Mr. Guernsey.
[1766.24s -> 1770.24s]  I wonder if you could explain a little bit about the situation with the floodplain and the floodplain
[1770.24s -> 1777.24s]  experiences, because I understand that this is, this property is in the floodplain and they have a floodplain variance right now.
[1777.24s -> 1778.24s]  Yes.
[1778.24s -> 1785.24s]  And I think I'm going to actually ask Mopee Vigil from Watership Protection to come up because we anticipate there may be a question
[1785.24s -> 1788.24s]  about the floodplain variance that has already been granted.
[1788.24s -> 1791.24s]  And can I just ask her clarification?
[1791.24s -> 1798.24s]  Was there an amendment to the motion that was on the table to address the 30 spaces, the two levels?
[1798.24s -> 1805.24s]  I think we had Mr. Guernsey was a motion on the table with additional direction for second, third readings on the covenants.
[1805.24s -> 1809.24s]  I'd be happy to bank it in the form of a friendly amendment if that would be agreeable.
[1809.24s -> 1817.24s]  To address the parking provisions that we just discussed in the, in the, in, um, cabinets or other provisions for second reading.
[1817.24s -> 1820.24s]  Well, I think we're covered unless you just want to do it.
[1820.24s -> 1821.24s]  Well, we're covered.
[1821.24s -> 1822.24s]  That's fine.
[1822.24s -> 1823.24s]  Okay.
[1824.24s -> 1825.24s]  I wonder if you could explain.
[1825.24s -> 1832.24s]  I'm wondering if a different floodplain variance is going to be needed or a floodplain variance just carries over.
[1832.24s -> 1833.24s]  My name is Mopee Vigil.
[1833.24s -> 1835.24s]  I'm the manager for Watership Engineering.
[1835.24s -> 1840.24s]  The variance that it was approved in 2007 was after several years to be dealing with the applicants.
[1840.24s -> 1844.24s]  So we got to a site that was able to coexist with the floodplain.
[1844.24s -> 1850.24s]  We, I talked to the applicant today and with the engineer and they assured me that the footprint is not changing.
[1850.24s -> 1854.24s]  So it won't be, you know, adverse impact caused by these changes that they are doing.
[1854.24s -> 1862.24s]  We still wanted to look at it just to make sure that there is not any changes, some grading or anything that is still we have, you know, the access to the parking above the floodplain.
[1862.24s -> 1869.24s]  We still have the pedestrian access together of the buildings safely and to have our first responders able to go to the building.
[1869.24s -> 1871.24s]  So I told them to come to the office and just look at it.
[1871.24s -> 1874.24s]  But for what I, what we are hearing today, it doesn't look like the variance.
[1874.24s -> 1875.24s]  We need to come over again.
[1875.24s -> 1877.24s]  Now the variance will expire.
[1877.24s -> 1882.24s]  I think when we came last year, it's going to expire in October 2011.
[1882.24s -> 1889.24s]  So if building partners have no view on time before that day, definitely the variance will need to be extended again.
[1889.24s -> 1898.24s]  Okay. So, so floodplain variances don't take, have to take into account the square footage, the actual square footage or the uses.
[1898.24s -> 1900.24s]  Is that what I'm hearing?
[1900.24s -> 1905.24s]  Yeah, we are looking at more what it is, the recent area where they are feeling.
