Zoning Case: C14-2012-0097
Meeting Date: 2012-12-13T00:00:00.000
Agenda Item: 90
Source URL: http://austintx.swagit.com/play/45553/0/
================================================================================

[0.00s -> 5.02s]  The next item we have is item number 90 little Woodroads bar and
[536.66s -> 540.86s]  Will pause here, and that's my time. I I appreciate your
[542.06s -> 545.42s]  You're hearing us this evening, and I I hope that you can
[546.74s -> 550.42s]  Consider the Planning Commission recommendation. Thank you other speakers in favor
[552.78s -> 554.78s]  I have a question for you
[555.78s -> 561.94s]  Thanks, Ms. Klasko and I may have some more questions after we hear from the speakers, but I have a couple quick ones
[562.86s -> 569.58s]  Mr. Grinsie talked about the owner and you talked about the applicant and I just want to be clear on whether or not
[570.06s -> 576.14s]  You are representing the owner of the track or somebody who is interested in purchasing it or renting it
[576.14s -> 578.14s]  I am representing the
[578.58s -> 586.34s]  The owner of the business little Woodrose the who's who has a contract with a property order to
[587.14s -> 591.86s]  Lease the space so he's going to be the tenant. I'm not representing that the property on
[592.18s -> 593.10s]  Thanks for that clarification
[593.10s -> 596.70s]  I thought that was a situation, but I wanted to clarify I think it's relevant because
[597.18s -> 603.58s]  You talked about a two-step process and that it would go back to Planning Commission, but I think it's I think it's a consideration for us
[604.22s -> 608.02s]  as we can as we contemplate the zoning because you know
[608.14s -> 609.58s]  clearly
[609.58s -> 611.10s]  the
[611.10s -> 613.10s]  business owner you're representing
[613.42s -> 618.58s]  Would be far down the line if for example they went to the Planning Commission and then were denied a CUP
[619.50s -> 620.50s]  so
[620.50s -> 622.50s]  My other question for you is
[622.62s -> 627.74s]  Is it was that a question or oh it was a comment really I mean I had a question then you answered and
[628.34s -> 631.18s]  Now we're that was just a comment about the CUP process
[631.70s -> 637.50s]  Ms. Klasko I wanted to talk for a minute about the parking do you have we had gotten some correspondence from the neighborhood
[638.14s -> 639.10s]  with a
[639.10s -> 642.66s]  Some code language that talked about needing a variance to locate
[643.14s -> 648.34s]  Parking spaces so close to single-family residences, and I know that question's been directed to you
[648.34s -> 652.82s]  And I just want to clarify whether you have the ability to do that or would need to seek a variance
[653.02s -> 659.06s]  Well in your in your folder in the left-hand side the second handout say CUP info
[659.34s -> 667.90s]  I've highlighted the language and it reads that as a condition of approval for condition use side plan a parking area for cocktail lounge or a restaurant
[668.10s -> 671.62s]  With a late hours permit must be separate from the property zoned
[672.22s -> 681.58s]  Townhome or condominium SF6 or more restrictive by not less than 200 feet unless the lounge or restaurant is located within the enclosed
[682.10s -> 683.90s]  shopping center or
[683.90s -> 689.30s]  The land use commission grants a variance from this requirement when the land use commission
[689.90s -> 697.78s]  Approves the site plan so our intent is that our we would you know should we get the zoning when we submit the site plan to the Planning Commission?
[697.90s -> 703.94s]  Which is required for cocktail lounge, then we would ask for the this aspect
[704.54s -> 706.54s]  So the parking
[706.54s -> 710.86s]  The calculation that you detailed for us here the 46.5
[711.54s -> 712.46s]  spaces
[712.46s -> 717.26s]  That would be required and then after the 20% urban core discount of 37 spaces
[717.62s -> 721.18s]  That would depend on a variance from the Planning Commission
[721.74s -> 727.86s]  A variance of that distance requirement from SF6 or less restrictive. I mean more restrictive
[729.14s -> 734.74s]  Correct the total site current we have 52 spaces. So it would be the less of the obviously
[735.70s -> 740.70s]  Then goes all the way that covers the entire site. So correct that in order to have
[742.26s -> 744.74s]  The number of spaces we would need that variance
[745.46s -> 749.26s]  Additionally, we have talked to the property next door next to new to
[749.26s -> 754.98s]  Get a shared parking agreement. They have 45 parking spaces and we're in
[756.22s -> 759.46s]  In discussions with them. We've begun the dialogue about
[760.38s -> 764.52s]  Leasing some extra parking space above and beyond whether we need it or not
[765.14s -> 769.10s]  I should that need arise and they have 45 spaces next door
[769.10s -> 774.22s]  They close their open Monday through Friday. They close at 4 p.m. And then they're
[775.14s -> 777.14s]  Open at 7 close at 7 on
[777.78s -> 778.62s]  Thursdays
[778.62s -> 782.54s]  Okay, but just to just to summarize the 37 spaces
[783.22s -> 785.62s]  That you think you could accommodate on that on this site
[786.02s -> 790.02s]  Dependent on a variance that would have to be granted by the Planning Commission down the road
[790.38s -> 791.54s]  Well, some of the yes
[791.54s -> 796.38s]  Well, some of the parking spaces and I would like to add that up the number of spaces we have here the
[797.46s -> 802.54s]  square footage of shown includes a patio we have a building that is approximately 4,000 square feet
[803.10s -> 811.18s]  So we control the number that we can shrink the size of the pad of the patio if we want to to reduce the required number of spaces
[811.42s -> 813.42s]  So that is something that can be
[814.94s -> 818.42s]  Can be adjusted and the building is the building the 4,000 square feet
[818.42s -> 825.82s]  You can split that into two parts the restaurant and the the bar and then the corporate offices
[826.10s -> 830.02s]  The deck is approximately a thousand square feet and that is not there
[830.02s -> 835.34s]  So the size of the deck which also attributes to your parking requirement can be
[835.90s -> 840.10s]  Reduced as needed if need be as we go along
[840.46s -> 847.08s]  So the 2064 square feet noted as restaurant and patio square footage could shrink to
[847.82s -> 852.74s]  1064 could the total deck basically you take the total square for agent and and adjust the part of the deck
[852.74s -> 859.70s]  So it's that there's a thousand square foot here. It's just deck that is not there. Okay, so the restaurant itself will could be
[860.02s -> 863.46s]  Or will be 1,064. Oh, I could be exactly and
[864.98s -> 866.98s]  All right, thank you. You're welcome
[868.34s -> 870.34s]  Rick angle
[880.26s -> 882.26s]  Hello again, and thank you again
[882.98s -> 884.98s]  For allowing me to speak all of you
[885.50s -> 891.94s]  My name is Rick angle and I am a local restaurant business owner here in Austin. I own
[892.86s -> 896.26s]  In addition to little woodrose. I also own Austin Java
[896.78s -> 900.18s]  Uncle Billy's and ski she'llers all locally owned and operated
[900.98s -> 906.38s]  Restaurants and businesses here in Austin and has spent since 1998 here in Austin
[907.58s -> 911.86s]  developing growing working with neighborhoods to expand and
[912.86s -> 914.58s]  contribute
[914.58s -> 917.58s]  these types of restaurants all across the city and
[918.42s -> 924.90s]  What I wanted to communicate tonight was we haven't opened a little woodrose in over five years
[925.38s -> 928.98s]  We've been looking very hard for a location that would meet
[929.82s -> 934.18s]  The compatibility the demographic and everything else that we look for
[934.90s -> 939.54s]  When we are looking for a location like this and this location on Burnet Road
[940.02s -> 947.50s]  Fits all of those things in our opinion and I've talked to multiple business owners and other residents residents in the neighborhood
[947.82s -> 950.30s]  Many of whom are in support of this project
[951.54s -> 954.70s]  Most importantly what I wanted to communicate tonight to all of you
[955.54s -> 957.54s]  And I've been up here before
[957.66s -> 962.66s]  Talking about certain things of this nature. It's most important. I think that
[963.66s -> 967.74s]  Businesses like this are able to communicate to their neighborhoods
[968.46s -> 973.58s]  And listen to the concerns that the neighbors have in this case. We did meet multiple times
[974.54s -> 980.82s]  with Brentwood we met with allendale and we did listen to a lot of their concerns and I
[981.38s -> 984.38s]  think very important to say tonight is that
[985.66s -> 990.26s]  Not only with respect to city codes not only with respect to
[991.74s -> 997.06s]  Ordinances and things of that nature. I've been very successful in neighborhoods like Zilker
[997.42s -> 998.82s]  Terry town
[998.82s -> 1000.82s]  Clark'sville
[1000.82s -> 1002.82s]  And Spanish Oaks
[1002.82s -> 1008.70s]  With locations that I have working directly with the neighborhoods to make sure that we are able to be
[1009.42s -> 1011.86s]  compatible good neighbors community leaders and
[1012.66s -> 1019.86s]  Just like those other locations where I already have restaurants and bars like little woodros. There's four locations here in Austin already
[1020.46s -> 1024.98s]  We've been able to work out all the concerns and the things that they have had
[1025.46s -> 1028.18s]  Not unlike the ones that you're probably going to hear tonight
[1029.54s -> 1036.26s]  But what I also wanted to say as I think the part of the process tonight is to determine if this is an appropriate use
[1036.58s -> 1043.30s]  For this neighborhood and I firmly believe that it is because of everything that's happening on this street and in this area
[1043.30s -> 1047.10s]  With all of the apartments and all of the businesses and everything else that's being developed
[1048.18s -> 1053.78s]  So not only do I think it's inappropriate use for this neighborhood, but all of the concerns
[1054.14s -> 1058.86s]  Can and will be addressed in the conditional use permit process
[1058.86s -> 1064.82s]  Which is what this whole process is about so if we can determine tonight if the zoning is appropriate
[1064.82s -> 1069.42s]  I know we can get in front of the Planning Commission to address all these things. Thank you. Thank you
[1071.02s -> 1073.02s]  Councilmember Morrison
[1073.02s -> 1079.50s]  Mr. Angle, can you tell me have you like why put a wood little woodros here instead of an Austin Java?
[1080.34s -> 1082.34s]  I'm that's a great question
[1082.38s -> 1088.34s]  Because we wouldn't be here if you wanted to put an Austin Java that's sure it wouldn't have to be I could just move right in exactly
[1088.98s -> 1096.22s]  You know for little woodros that concept. I've been involved with it since it began in 1993 actually
[1096.46s -> 1099.06s]  There's five locations in Houston, Texas also
[1099.70s -> 1103.22s]  But it's locally owned here in Austin and again
[1103.22s -> 1106.46s]  I think for the different areas that we do consider and look for
[1107.30s -> 1110.94s]  This particular location for a little woodros
[1112.14s -> 1115.42s]  To us as restaurant owners and operators makes the most sense
[1116.58s -> 1120.34s]  We have a great food operator that's gonna be working with us and I think that
[1121.66s -> 1127.78s]  Just the demographic studies that we've done. There's a pint house brewery that just opened down the street all of the things
[1127.78s -> 1134.62s]  They're up and down that street for us and the competition this location for a little woodros made the most sense
[1135.58s -> 1141.54s]  As I see a lot of family restaurants that seem to be doing really really well there along that area cuz
[1142.30s -> 1148.44s]  Cress Brentwood and Allendale are really turning over with lots and lots of young kids. So it's just
[1149.50s -> 1153.78s]  It you're you're gonna be drawing from a different demographic that I don't think tradition
[1153.78s -> 1160.18s]  I don't think of as traditionally as the demographic of say Allendale and Brentwood of folks wanted to go out to war it
[1160.50s -> 1165.66s]  If I might just add to that I appreciate your comment at our BK v location
[1165.66s -> 1170.54s]  We actually do allow families and we have plenty of them that come in there from Lakeway and all over
[1170.90s -> 1172.90s]  We will be serving lunch at this location
[1173.34s -> 1177.66s]  We will be attracting that same demographic there
[1177.66s -> 1185.86s]  It's just the evening and later hours and the weekends where we believe that that demographic also exists in this location too, okay
[1185.86s -> 1187.86s]  and so
[1187.94s -> 1191.78s]  Our people under 21 not allowed because it's a bar
[1192.62s -> 1200.30s]  That's not true in in in fact we actually changed that out at the BK v location because of the demand and the families that were
[1200.94s -> 1206.66s]  Really wanting to come there. So we actually do allow families and and younger children to come
[1206.66s -> 1214.30s]  So presumably that would be for lunch. Correct. Okay, and probably probably up through dinner during the week as well till about seven
[1214.30s -> 1219.34s]  Right o'clock depending on again the demand, okay, and you won't be serving dinner is that correct?
[1219.66s -> 1226.82s]  You will be serving dinner. Yeah breakfast lunch and dinner. Um, you know, never say never. Maybe maybe little little girls will serve breakfast one day
[1226.82s -> 1230.94s]  We know how to do it. Okay. Good. Thank you. I appreciate your thank coming down here
[1231.58s -> 1233.58s]  the port noise
[1245.30s -> 1248.62s]  Thank you, mayor and council members
[1249.34s -> 1255.34s]  I'm here on behalf of the property owners. My name is Jimmy Nesoor. I'm gonna read a statement on behalf of mr
[1255.34s -> 1256.06s]  Nesoor
[1256.06s -> 1261.90s]  mayor and council members as you well know from the parade of zoning cases that regularly appear on your agenda our
[1262.22s -> 1270.82s]  City is in transition as leaders of our community you're asked to see over the horizon to navigate a creative path forward for our urban core
[1271.78s -> 1280.02s]  Several elements of the city's land development code appear to work at cross-purposes with a stated vision for a pedestrian and transit friendly city
[1280.42s -> 1286.82s]  That appropriately places accessible commercial commercial uses in proximity to neighborhoods
[1287.26s -> 1289.26s]  The case before you is a good example
[1290.14s -> 1294.06s]  Sometimes anachronistic and overcompensated surface parking requirements
[1294.50s -> 1299.78s]  fail to speak to pedestrian and bicycle aspects access and mass transit options
[1300.74s -> 1309.42s]  compatibility setbacks and agreed to third rail of local planning inhibits creative repurposing along core transit corridors and
[1309.74s -> 1313.26s]  major arterials and robs the city of tax base
[1314.86s -> 1322.42s]  Decisions made in this decade will affect the look feel and functionality of our city for more than a generation our elected leadership
[1322.42s -> 1326.18s]  Look we look to our elected leadership
[1327.22s -> 1332.10s]  To make right decisions that work to promote a vibrant integrated urban core a
[1332.74s -> 1336.94s]  walkable city of neighborhoods served by adjacent commercial development a
[1337.78s -> 1340.26s]  Respectfully request your approval of this item before
[1341.22s -> 1347.38s]  Before you in service of that goal and I thank you for your consideration as a personal side note
[1348.02s -> 1352.58s]  I'd like to highlight the fact that this property has a burn-it-road address
[1353.14s -> 1356.74s]  It's located midway between 45th Street and Kenan Lane
[1357.50s -> 1359.26s]  There's a new
[1359.26s -> 1362.22s]  multifamily project under development one block to the north
[1363.10s -> 1367.50s]  There's a fully developed mixed-use multifamily project one block to the south
[1368.42s -> 1373.38s]  You've heard up you may hear opposition from the neighborhood association, but please know there are many neighbors
[1373.78s -> 1376.82s]  There are in favor of this proposed use at this location
[1377.50s -> 1380.86s]  The end-user little Woodrose is a well-run neighborhood pub
[1381.66s -> 1388.10s]  Operated by local ownership with a successful track record a responsible business operations
[1388.54s -> 1393.62s]  This business is just the type of neighborhood gathering spot. That should be welcomed at this location
[1393.98s -> 1397.34s]  It's an appropriate use that deserves your support
[1397.98s -> 1402.14s]  Approval of this agenda item is both reasonable and warranted
[1402.14s -> 1406.14s]  I hope you agree and vote to approve the zoning request. Thank you
[1408.26s -> 1409.50s]  Mark
[1409.50s -> 1411.50s]  Vomberg
[1411.50s -> 1420.10s]  Mark Vomberg we're hearing from those who are in favor of the request and donating time to you as James Hendricks
[1421.06s -> 1422.66s]  James
[1422.66s -> 1425.30s]  James is signed up against it anyway
[1426.14s -> 1429.70s]  He's not here. So I guess that's a good question. You have three minutes
[1430.66s -> 1434.90s]  Hi, my name is Mark Vomberg. I'm an architect with Dick Clark architecture
[1435.94s -> 1437.94s]  I'll be very brief
[1439.50s -> 1447.06s]  From the architectural perspective this is a cool building it ought to be saved. It's a straight out of 1950s
[1448.38s -> 1454.78s]  The light fixtures have been changed anything of that nature inside. It's a great potential place for a little neighborhood pub
[1455.34s -> 1460.98s]  It does have this great tree out front that will make a great gathering area to sit out there and have a drink
[1461.34s -> 1465.54s]  It is buffered from the neighborhood. Although the property goes all the way to the street behind
[1465.94s -> 1469.82s]  It does have these two small office buildings that helps buffer it from the neighborhood
[1470.14s -> 1471.74s]  so I
[1471.74s -> 1473.74s]  Think it has a lot of opportunity
[1473.74s -> 1476.54s]  To be that neighborhood pub that we all kind of like
[1478.06s -> 1482.46s]  So if you have any questions about the architecture I'm happy to answer those questions as well, but thank you
[1483.10s -> 1485.10s]  Thank you
[1485.10s -> 1488.26s]  Next speakers are against Gail McDonald
[1493.50s -> 1498.02s]  After Gail will be Barbara McArthur over here on this side
[1501.18s -> 1502.70s]  And I live on clay Avenue
[1502.70s -> 1506.14s]  I'm also a member of the Brentwood neighborhood steering committee and member of the Brentwood neighborhood
[1506.14s -> 1511.34s]  Brentwood Highland neighbor planning contact team and I participated in the formation of that plan
[1511.62s -> 1515.34s]  The Brentwood neighborhood association steering committee opposes this zoning change request
[1515.62s -> 1521.30s]  Clay Avenue as well as Adams and Jeff Davis all come off burn it road at a 45 degree angle
[1522.10s -> 1528.62s]  I'm sorry. I've had I surgery so I have to squint like a pirate that angle means that even though a lot may have a burn
[1528.62s -> 1533.02s]  It wrote address it is much shallower than a 90 degree grid pattern would produce
[1533.02s -> 1538.90s]  It creates a situation that is unique and if academic planning standards are used it allows too much encouragement
[1538.90s -> 1545.02s]  Encouraging incursion into residential uses that is one of the reasons the Brentwood steering committee opposes this
[1545.38s -> 1549.30s]  Change and why the planning team left those corners is CS alone
[1549.86s -> 1554.62s]  Also, this will not be a neighborhood bar like law laws on Justin or even the poodle dog lounge
[1554.86s -> 1563.74s]  Little Woodrow's business plan serves 100% alcohol with little or no food attracts customers with midget wrestling matches and stays open till 2 a.m.
[1564.26s -> 1570.30s]  Also because of the 45 degree angle and the Burnit Road shallow lot everyone who knows this area looks upon
[1570.70s -> 1576.54s]  5500 clay Avenue as part of this project and to nitpick about distances for valid petitions and
[1577.02s -> 1581.74s]  compatibility is to do a disservice to the directly adjacent businesses and residents
[1582.26s -> 1588.62s]  The effects of this bar will in reality be directly across the street from residences and residential businesses
[1588.86s -> 1593.58s]  Four businesses have signed the petition in opposition thundercloud and clayways
[1593.90s -> 1601.92s]  Mr. Clay Fuller has four properties with nine residential units on it David Owen and Robert Buchanan are developing residential units at
[1602.38s -> 1608.18s]  5503 clay Avenue, which is directly across the street. They think their businesses will be damaged
[1608.70s -> 1614.06s]  The longest short of it is this is not the place for a hundred percent alcohol because there is
[1614.06s -> 1619.34s]  This is not the difference between forty nine and fifty one percent. It's the difference between 50 percent and one hundred percent
[1620.18s -> 1628.30s]  Please deny this request. Thank you Barbara MacArthur donating time Paul Bernhult are you here?
[1629.22s -> 1631.22s]  Anna Young
[1631.90s -> 1633.90s]  Cynthia Keohane
[1634.50s -> 1642.70s]  So you have up to 12 minutes. Hey, I have a PowerPoint and I gave everyone everyone should have my hand out
[1645.06s -> 1655.06s]  Okay, I want to address the neighborhood concerns, which are mostly that's it parking proximity traffic noise light safety crime and the density of alcohol
[1655.06s -> 1659.82s]  Establishments we already have if you look at that kind of blurry picture on the front
[1661.26s -> 1666.74s]  A is where the bars were supposed to be and all the trees you see on clay Avenue. That's where we live
[1666.90s -> 1668.90s]  We live there. We're not buffered
[1669.34s -> 1678.58s]  We are right there and you can also see that there's alleys coming by the side of the proposed bar that empty right into the street in front of our
[1678.58s -> 1680.10s]  Houses
[1680.10s -> 1682.10s]  now the next slide I
[1683.42s -> 1691.46s]  Will tell you that I'm an academic and I kind of I calculated the parking based on the square footage of the building and
[1692.10s -> 1695.02s]  When I calculated that on the square footage of the building
[1695.54s -> 1701.74s]  Because the ordinance you have before you is asking for 8,000 square feet of CS one zoning
[1702.38s -> 1707.14s]  So I thought it was reasonable to calculate the parking as if the whole building was a bar
[1707.86s -> 1709.86s]  When I calculated that I
[1711.02s -> 1713.74s]  Determined that you probably would need 50 spaces for that bar
[1714.14s -> 1721.50s]  These two properties are two legal lots. They're not one lot. You can see the front building does not really have that much parking
[1721.50s -> 1723.50s]  Let's go to the next slide
[1723.78s -> 1729.58s]  Okay, 14 of those spaces in front of the proposed little woodros they back on to burn at road
[1729.58s -> 1734.26s]  I don't know any of you go on burn at road, but it's not an easy street to back on to
[1734.70s -> 1740.94s]  Also, I would point out we're trying to redevelop burn it with the core transit cord or guidelines
[1740.94s -> 1748.22s]  And those include design standards and those design standards say that any parking along the core should be buffered by
[1749.22s -> 1754.30s]  Plantings so you can clearly see the cars backing up onto burn at road
[1754.30s -> 1760.78s]  Which is a large part of the parking on the actual lot are not going to be buffered by plantings. Let's go to the next slide
[1764.70s -> 1767.58s]  The other thing I want to point out is that there are
[1771.46s -> 1772.62s]  There are
[1772.62s -> 1776.22s]  Ordinances in the city that say you have to do certain things
[1776.54s -> 1783.70s]  So one of the things you have to do is set back from SF six or more restrictive by 200 feet for cocktail lounge parking
[1783.98s -> 1788.54s]  The red line is approximately 200 feet from the houses
[1789.02s -> 1792.14s]  Now the second thing I want to show you is I just
[1792.94s -> 1801.06s]  Calculated by the square footage of the buildings how much parking they would need those two rear buildings or offices and as offices
[1801.06s -> 1802.94s]  They would take 14
[1803.02s -> 1805.62s]  Spaces each they are on a separate lot
[1806.02s -> 1811.66s]  If you use the whole building in the front with the core transit cord or reduction you have 54 spaces
[1811.94s -> 1813.94s]  Let's go on to the next plan
[1814.54s -> 1818.54s]  This is the parking map that Alice presented at the planning Commission
[1819.38s -> 1822.26s]  Now for this parking map
[1822.94s -> 1825.94s]  To support parking you can see you would have to waive
[1826.42s -> 1831.54s]  Three ordinances the first ordinances the core transit cord or ordinance
[1831.54s -> 1839.46s]  Which wouldn't let you park backing out under Burnett the second thing you'd have to wait was the 200 foot rule for distance from homes to cocktail
[1839.46s -> 1847.98s]  Langes and the third thing you would have to waive is the screening ordinance that would not permit those parking spots on clay Avenue
[1848.90s -> 1855.42s]  To be unscreened. So our feeling is very strong that this property doesn't have adequate problem
[1855.94s -> 1860.30s]  Parking and it doesn't have a clear way to get it. Let's go on to the next slide
[1861.86s -> 1863.70s]  Now I
[1863.70s -> 1870.74s]  Talk to the next to new manager yesterday, and I've also been in contact with the Episcopal Diocese in Houston
[1870.86s -> 1873.82s]  They told me they have no agreement to provide parking
[1875.46s -> 1881.54s]  One thing I'd like to say is that the next to new is regarded as an outreach ministry of St
[1881.58s -> 1889.14s]  David's parish there is a city ordinance that says that you cannot have a bar within 300 feet of a church
[1890.50s -> 1892.50s]  Let's go to the next slide
[1893.10s -> 1894.62s]  now
[1894.62s -> 1897.78s]  You may think this is a resale shop. This is not a church
[1898.38s -> 1906.74s]  Section 501 of the IRS code includes ancillary businesses that are not related to the missions of the church and they are taxed
