Zoning Case: C14H-2015-0007
Meeting Date: 2015-12-10T00:00:00.000
Agenda Item: 73
Source URL: http://austintx.swagit.com/play/45696/0/
================================================================================

[0.00s -> 4.96s]  Okay, so next we're going to take up the zoning consent items
[291.78s -> 297.82s]  Item number 45 is KC 14 2014 0 1 93
[298.46s -> 302.10s]  This is for the property located 1601 cedar bend drive
[303.38s -> 306.62s]  We have a request from the applicant
[307.22s -> 312.46s]  And the neighborhood would agree to postpone this to your December 17th meeting
[312.46s -> 315.98s]  This is the property known as MMK ventures in 1601
[316.66s -> 319.14s]  Cedar Park Drive so other than being a
[319.58s -> 322.54s]  Discussion item we would suggest that this be a one-week postponement
[324.90s -> 326.50s]  Item number
[326.50s -> 328.50s]  46 KC 14 2015
[328.90s -> 333.62s]  0 1 18 for the property located at 67 0 7 emerald forest
[333.62s -> 336.86s]  I understand a council member would like to discuss this case
[342.90s -> 347.66s]  So I will I won't offer this as consent sure we'll come back to item 46 later
[349.14s -> 354.30s]  Item number 47 case and these are zoning and neighbor plan amendments
[354.90s -> 361.86s]  Public hearings are open possible action item number 47 case MPA 2015 0 0 0 2 point 0 2
[362.50s -> 365.78s]  This were property located in the east Caesar's office neighbor planning area
[366.38s -> 373.06s]  For the property located at 901 Spence Street staff is requesting a postponement of this case
[373.86s -> 377.90s]  To your meeting of March 24th 2016
[377.90s -> 386.22s]  So that's an item number 47 related zoning case KC 14 2015 0 1 0 9
[386.62s -> 395.42s]  Property located 901 Spence Street staff is requesting this related zoning case be also postponed to March 24th of 2016
[396.62s -> 401.30s]  Item number 49 case MPA 2015 0 0 0 3 point 0 1
[401.74s -> 406.70s]  This is for property located in Chestnut neighbor planning area for property located at 24 0 3
[406.78s -> 412.70s]  Also known as 2405 East 16th Street to designate the property as office land use
[412.70s -> 419.14s]  This is ready for consent approval on all three readings of the Plankman's recommendation for the office land use item number 50
[419.58s -> 421.58s]  KC 14 2015
[423.46s -> 427.58s]  0 1 0 7 for the property located 2405 East 16th Street
[427.82s -> 436.50s]  Does only property limited office conditional overlay neighbor plan or LOCO and P combined district zoning the planning commission's recommendation was to grant the LOCO and P
[436.70s -> 440.50s]  combined district zoning and this is ready for consent approval on all three readings
[441.02s -> 449.26s]  Item number 51 is case MPA 2015 0 0 0 5 point 0 3 for the property located in the Metapulis neighbor planning area
[449.74s -> 454.46s]  For the property address at 2407 and 2409 Metapulis Drive
[455.22s -> 463.38s]  To change it to a mixed land use the Plankman's recommendation was to grant the mixed land use and this is ready for consent approval on all three readings
[464.10s -> 467.14s]  Item number 52 is case 14 2015
[467.70s -> 473.70s]  0099 for the property located 2407 to 2409 Metapulis Drive
[474.26s -> 481.62s]  To zone the property to general commercial services mixed use conditional overlay neighbor plan or CS MU CO and P combined district zoning
[482.18s -> 489.54s]  Planning commission recommendation was to grant the CS MU CO and P combined district zoning. This is ready for consent approval on all three readings
[490.54s -> 493.66s]  Item number 53 is case MPA 2015
[493.98s -> 495.42s]  0008
[495.42s -> 496.50s]  001
[496.50s -> 502.24s]  This is for a property located in the Rosewood and neighbor planning area for the property look at 2612
[502.24s -> 510.82s]  So it wasn't Wilson to designate to mixed land use the planning commission's recommendation this past Tuesday on the 8th was to recommend
[512.22s -> 516.74s]  The staff recommendation on this ready for consent approval on first reading only
[517.38s -> 519.38s]  Really the zoning case case c14
[520.42s -> 521.62s]  2014
[521.62s -> 531.54s]  Or assuming 2015 0102 for the same property at 2612 so Wilson Avenue the applicant has requested an indefinite post-ponement of this item
[532.82s -> 534.82s]  And so there's no action
[536.06s -> 542.42s]  Until we do additional notice in the future posting and that item won't come back until that time. That's item number 54
[543.42s -> 548.42s]  I'd end number 55 in case MPA 2015 0 0 23.01
[549.26s -> 555.02s]  This is for the an area located in the University Hills Windsor Park neighborhood area for property located
[555.74s -> 559.78s]  4717 Turner Lane staff is requesting a post-ponement of this item
[560.22s -> 562.22s]  to February 11th
[562.50s -> 568.34s]  And I'll just note there's no zoning meeting scheduled for January. So if you hear me
[569.34s -> 576.10s]  Announcing post-ponements to February. It's because there are no council meeting designated for zoning in month of January
[579.46s -> 585.22s]  It would be helpful when we're talking about staff requesting the post-ponement if you could also let us know if the applicant and
[585.54s -> 588.54s]  Any other stakeholders or neighborhoods agree with that?
[589.46s -> 594.38s]  So on that one could you could on each one where it's a staff recommendation for post-ponement sure
[594.38s -> 598.46s]  And you've also addressed that and some of those where the Commission is not acted
[599.82s -> 601.82s]  The council cannot take action
[602.50s -> 609.70s]  Whether the neighborhood consents or the applicant consents or not because we need the recommendation of the planning commissioner of the zoning planning commission
[609.70s -> 611.70s]  I don't number 56
[612.46s -> 617.18s]  Case C14 2015 0 0 86
[618.14s -> 625.30s]  And this is for the property located 47 17 Turner Avenue against the one where the Commission is postponed and staff is
[625.30s -> 628.30s]  We're coming in post-ponement of this item to your February 11th
[629.10s -> 633.34s]  Item number 57 case e14 2014 0 1 98
[633.98s -> 640.62s]  This is for the property located at 11 0 9 11 0 5 11 0 7 north of H3 5 service road
[641.30s -> 643.66s]  Staff is requesting post-ponement of this item to your
[644.42s -> 648.22s]  February 11th the Commission has not yet acted on on this case
[649.34s -> 658.02s]  Item number 58 case c14 2015 0 47 for the property located at 23 0 3 and 23 0 9
[659.50s -> 665.42s]  Thornton Road staff is requesting a post-ponement of this item to your
[665.42s -> 681.26s]  To February 11th item number 59 I have a post-ponement request from the applicant
[682.54s -> 688.30s]  To December 17th item 59 is case c14 2015
[689.02s -> 694.98s]  0 0 61 for the property located at 75 13 and 76 0 3
[695.66s -> 697.26s]  Cooper Drive
[697.26s -> 698.82s]  I'll note
[698.82s -> 703.50s]  There is one person signed up, but I'm not sure if they're in agreement
[706.06s -> 712.46s]  They're in agreement I understand that the citizen is in agreement with that post-ponement on item number 59
[712.46s -> 714.38s]  So I've got the applicant
[714.38s -> 720.98s]  The speaker that signed up to speak to item 59 are both in agreement for post-ponement of one week to December
[722.50s -> 724.50s]  17
[725.34s -> 732.70s]  Item number 60 case c14 2015 0 0 91 for the property located in 1900 Burton and
[733.58s -> 740.78s]  1901 Meroposa Drive zone the property to multifamily residents moderate high density or MF4 CO combined district zoning
[741.34s -> 745.26s]  The Plank Mission recommendation was to grant the MF4
[745.94s -> 752.38s]  Zoning or with a conditional overlay or so it'd be MF4 CO combined district zoning. This is ready for consent approval on
[753.30s -> 761.14s]  Second or on the first reading the applicant has made a request to staff that and understand we can make the accommodation
[762.26s -> 765.46s]  to have second and third reading on next week
[766.74s -> 769.10s]  Because there's no meeting in January so
[770.10s -> 775.78s]  Staff is offering this first reading and then bringing this back for second third reading for next week
[776.78s -> 778.34s]  60
[778.34s -> 785.94s]  Item number 61 and 62 are cross-street from each other. This is case c14 2015 0 0 93 at
[787.18s -> 789.18s]  1507 Nueces Street
[789.54s -> 794.26s]  Understand that council would like to pull this item on item number 61
[795.26s -> 801.38s]  And item also 62 case c14 2015 0 0 94 for the property located
[802.14s -> 805.78s]  507 West 16th Street great grinsie mr. Grinsie
[807.18s -> 810.22s]  Were you talking? I have a comment to make about that, but I
[811.10s -> 819.66s]  Were there other questions that council had about do other council members have questions or want to pull 61 and 62 from the consent agenda?
[820.02s -> 825.98s]  If it's being offered for first reading today, I'm happy to just make a few comments and leave it on the consent agenda
[837.70s -> 839.70s]  The agents representative
[839.70s -> 843.82s]  Has indicated there's a private restricted covenant that has not yet been executed
[844.66s -> 849.10s]  So if it if council's desire to let it go for first reading today
[850.34s -> 852.34s]  It would only be
[854.22s -> 857.86s]  Well the applicants asking only for first-reading date to execute this private
[858.34s -> 862.66s]  Covenant between the parties and have a comeback for second and third reading next week
[862.82s -> 868.30s]  Sure, I think the question at the moment is whether to leave it on the consent agenda and just make those comments or to pull it
[868.78s -> 872.08s]  It does anyone want to pull it from the consent agenda
[873.82s -> 880.46s]  Okay, we do have speakers. Let's let's go ahead and pull it since we do have speakers
[880.46s -> 883.18s]  And there's a little bit of discussion to happen. Hopefully we can
[884.06s -> 886.06s]  Move through it quickly though
[886.62s -> 894.98s]  The main move on item 63. This is case c14 2015 0 1 1 1 for the property located at 6 0 3 West 8th Street
[895.42s -> 899.02s]  The applicant has requested an indefinite post-ponement. No action
[899.58s -> 906.38s]  Is required in your part this would require a reunification prior to being placed back on the council agenda for consideration
[907.14s -> 909.14s]  I don't number 64
[909.14s -> 915.58s]  Is case c14 2015 0 1 1 2 for the property located at 45 17 triangle?
[915.98s -> 918.98s]  Avenue this is on the property to multifamily residents
[919.10s -> 921.66s]  Highest density or MF6 district zoning
[922.30s -> 926.94s]  Zoning and planning commission's recommendation was to grant multifamily residents highest density
[927.50s -> 930.02s]  District zoning conditional overlay or MS6 co
[930.74s -> 935.42s]  This is ready for consent approval only on first reading its item number 64
[936.06s -> 938.06s]  item number 65
[938.46s -> 945.22s]  And this is case c14 2015 0 1 14 for the property located at 50 10 and 50
[945.94s -> 947.94s]  12 hepton Lane
[948.42s -> 953.62s]  Staff is requesting indefinite post-ponement of this item. We'll bring this item back again to you once
[954.46s -> 963.38s]  Notification is is redone for this property item number 66 case c14 2015 0 1 21 for the property located at 10 25
[964.10s -> 971.26s]  Springdale Road. This is on the property of general commercial services conditional overlay neighbor plan or CSCO and P combined district zoning
[971.38s -> 975.70s]  the plan commission's recommendation was to grant the
[976.14s -> 983.34s]  General commercial services conditional overlay neighbor plan or CS CEO and P combined district zoning and this is ready for consent approval
[983.34s -> 985.34s]  And all three readings
[985.34s -> 986.94s]  item number
[986.94s -> 992.38s]  67's case c14 2015 0 1 22 for the property located 10 8 19
[992.82s -> 998.86s]  FM 22 22 Road staff is requesting a post-ponement of this item to your February 12th agenda
[998.98s -> 1003.22s]  The Zoning Planning Commission has yet to consider this case
[1003.98s -> 1007.26s]  So we are asking for a post-ponement to February 11
[1008.26s -> 1014.90s]  Excuse me item number 68 case c14 2015 0 1 27. This is the Lexington Park property
[1014.90s -> 1020.98s]  I understand this has been set for time certain at 6 o'clock by an earlier motion of council
[1021.42s -> 1030.62s]  So that'll come back later today item number 69's case c14 2015 0 1 32 for the property located 88 20 Burnett Road
[1030.94s -> 1034.42s]  This is on the property to commercial liquor sales or CS 1 district zoning
[1034.58s -> 1040.26s]  The zoning planning committee's recommendation was to grant commercial liquor sales conditional overlay or CSC 1
[1041.10s -> 1047.84s]  CS 1 co combined zoning and this is ready for consent approval in all three readings item number 70
[1048.58s -> 1055.42s]  This is case c14 2015 0 1 36 for the property located at 69 14 McNeil Drive
[1056.18s -> 1062.98s]  staffers requesting a post-ponement of this item to your February 11th agenda the zoning and
[1063.54s -> 1066.38s]  Plating Commission has yet to take action on this case
[1066.86s -> 1074.42s]  Item number 71 is case c14 2015 0 1 40 for the property located 75 0 5
[1074.90s -> 1075.94s]  winning lane
[1075.94s -> 1080.58s]  This is on the property to single family residents SF 2 district zoning zoning planning commission
[1081.10s -> 1086.30s]  Recommendation was to grant the SF 2 district zoning and this is ready for consent approval on all three readings
[1087.02s -> 1094.46s]  Item number 72 is case c14 2015 0 1 43 for the property located 12 3 20 and 12 400
[1094.46s -> 1096.62s]  Castle Road and 1600 East Palmer Lane
[1096.90s -> 1101.78s]  This is on the property to multi-family residents medium density conditional overlay or MF 3
[1102.02s -> 1109.06s]  C O combined district zoning zoning planning commission recommendation was to grant the MF 3 CO combined district zoning and this is ready for
[1109.30s -> 1111.30s]  consent approval on first reading only
[1112.06s -> 1114.06s]  Then item number
[1114.06s -> 1116.90s]  73 case c14 h 2015
[1117.78s -> 1119.78s]  007 for the property located
[1120.42s -> 1123.74s]  At 903 Shulcliffe Clifft Court
[1124.18s -> 1130.42s]  This is historic zoning case staff is requesting a post-ponement of this item to February 11
[1134.22s -> 1139.86s]  So the Plating Commission did not take a recommendation on this as it forwarded to council
[1140.66s -> 1146.22s]  And I think that's all the zoning items that that are there, so
[1150.50s -> 1152.58s]  Mr. Rust opened in my office has one
[1153.78s -> 1155.78s]  Change on item number
[1156.50s -> 1158.50s]  Muffill enter these
[1158.66s -> 1160.10s]  They're pretty
[1160.10s -> 1165.70s]  I believe we can also offer item 61 which is 1507 to West East Street and item 62
[1166.10s -> 1172.94s]  Which is 507 West 16th Street? We can offer those for consent first reading. I'd like to read into the record
[1173.46s -> 1175.46s]  the applicant and the
[1175.62s -> 1181.30s]  Neighborhood have a retouced some additional prohibited uses those are group residential alternative financial services
[1181.78s -> 1187.86s]  bail bond services outdoor entertainment pawn shop service station transitional housing residential treatment drive-thurs
[1188.42s -> 1194.30s]  liquor sales and consumer convenience and they also are still working on a restricted covenant, which is what we're doing first reading only so
[1194.70s -> 1197.38s]  With that I believe we can offer both of those for consent first
[1198.18s -> 1202.42s]  Thanks, mr. Austin and I'll just mention also. This is a case where
[1204.38s -> 1211.02s]  As a council member and this is within district 9 I wondered about whether in rezoning it we're actually
[1212.90s -> 1217.30s]  Providing an incentive for the demolition of what are now multi-family
[1218.22s -> 1224.28s]  Apartments and so I've had I expressed those concerns earlier this week to the applicant and I believe they are
[1224.98s -> 1227.08s]  Thinking through those and may be amenable to
[1227.94s -> 1232.74s]  To offering some of those units in any future development as affordable units
[1232.74s -> 1240.06s]  And so I just wanted to convey to my colleagues that those are some of the considerations that that as I contemplate our discretionary zoning
[1240.82s -> 1247.22s]  Ability that I'm that I'm thinking through with regard to that case, but I appreciate the developer and his or the owners
[1247.86s -> 1249.86s]  interest in and maybe
[1249.86s -> 1254.34s]  Pursuing that option so that'll bring those two on and then on consent. Thank you. I
[1256.34s -> 1258.98s]  Have I have a question for staff right quick before
[1259.58s -> 1262.14s]  Okay, council member Houston. Mr. Guernsey on
[1263.10s -> 1265.10s]  item number 53 and 54
[1265.70s -> 1272.42s]  One was you offered on first reading only 54 you say there was an indefinite postponement. That's that's correct
[1272.42s -> 1277.30s]  Tell us why you weren't telling us at that point what the the right now the
[1277.78s -> 1283.34s]  Recommendation of the Commission was recommended for denial this happened last Tuesday the applicant would like more timed
[1283.34s -> 1285.34s]  I guess to consider this case
[1286.26s -> 1293.22s]  They could have would I guess would draw it they could have asked for postponement to a a proposed date and time
[1294.02s -> 1300.78s]  They've asked for indefinite postponement rather than I think having neighborhoods come back and having this item keep coming back to you
[1301.26s -> 1305.34s]  They agreed to do reunification and we would bring this back at a later date
[1305.34s -> 1311.74s]  And there would be full notice for those that may be affected within 500 feet of when that hearing would be
[1315.26s -> 1317.10s]  Council member pool
[1317.10s -> 1320.00s]  Thank you mayor pro tem on item 44
[1320.82s -> 1322.50s]  I'd like to
[1322.50s -> 1328.46s]  Have that one be postponed indefinitely. We've had conversations with Travis County
[1328.50s -> 1336.18s]  This is a property that's out on the border between at the edge of the city of Austin and it fronts into Travis County
[1338.14s -> 1340.74s]  Currently there is no developer to build this
[1342.22s -> 1346.82s]  The neighborhood is concerned about the connections on substandard county roads
[1346.82s -> 1353.02s]  We met with Travis County officials and we have a letter from Steve Manila who heads the well
[1353.10s -> 1357.70s]  He's the county's Rob's filler. I think and he also recommends against
[1359.50s -> 1363.18s]  Connecting up with those substandard county roads. We have
[1364.66s -> 1369.74s]  Essentially we have a petition from the neighbors who live in the area
[1370.30s -> 1377.62s]  Because they were notified about this change this proposed development. Although as I said previously there is no actually no one to build it
[1379.18s -> 1382.38s]  But when they came to the city to bring their
[1383.14s -> 1387.46s]  Hundreds signature petition. They were repeat was refused acceptance
[1388.10s -> 1393.62s]  So I'm thinking this is going to require a little bit more conversation about when to post is that what's in?
[1394.94s -> 1401.82s]  Discussion at this point you've postponed you've recommended post moment to a particular date and council member pool
[1401.82s -> 1404.98s]  You would like to change that to an indefinite post moment. Yes
[1404.98s -> 1409.82s]  Why don't we pull that for the moment from actually know it's on consent agenda right 44
[1409.82s -> 1415.86s]  We I left it as a discussion item, right because some of the information is and basically I will be moving to
[1416.50s -> 1421.18s]  Okay, but that is not on the consent agenda. That's for us at the moment. Okay, super. Thanks for that clarification
[1422.30s -> 1425.02s]  Any other clarifications council member gala?
[1427.98s -> 1432.94s]  I still have a question on 55 56 57 and 58 those were
[1433.78s -> 1440.66s]  February, but I thought I heard you say because the Planning Commission hadn't heard it and I'm just a little confused because our notes
[1441.06s -> 1444.18s]  Talk about the Planning Commission to review it on December 8th
[1445.02s -> 1446.46s]  so
[1446.46s -> 1450.14s]  Were they reviewed or were they postponed from review about the Planning Commission?
[1450.14s -> 1454.50s]  Just help me understand it's why I'm saying they were some postponements that were made at Commission
[1455.02s -> 1458.34s]  Usually if there's a post-nominated Commission then the Council isn't able to act
[1459.14s -> 1464.02s]  Usually we don't have the zoning case is scheduled for Commission and Council the same week in fact
[1464.02s -> 1469.28s]  We're prepared by ordinance from doing that unless they would have been previously scheduled and these are somewhat
[1469.82s -> 1472.06s]  controversial cases. I know for the
[1473.38s -> 1475.66s]  One that's in the the Boys Club
[1475.66s -> 1478.90s]  I think there was actually post-ponement request that was made by the neighborhood
[1479.46s -> 1482.38s]  In that particular case and so that was postponed to a later date
[1482.38s -> 1485.90s]  So you would not be able to hear an item number 57. I believe that was also
[1486.90s -> 1492.14s]  postponed but at the Commission I don't know if that was to what particular day that was
[1493.90s -> 1498.22s]  I think it was the Council can't act without the Commission's recommendation
[1498.22s -> 1503.38s]  I understand it would just I think it would be helpful for us as we review the agenda to have an update on
[1503.74s -> 1507.50s]  This just says to be reviewed by the Planning Commission on December 8th
[1507.50s -> 1512.46s]  So an update on whether it was postponed out of the Planning Commission meeting
[1512.46s -> 1518.12s]  I think it's helpful to us to as we go through the 55 and 56 they were postponed
[1518.90s -> 1524.78s]  to the Commission to January 26th on item 57 they were postponed to
[1526.14s -> 1530.58s]  January 12th item number 58 was postponed to
[1531.46s -> 1536.62s]  January 12th, and I would just I believe all of that information is captured in
[1537.86s -> 1539.86s]  Jerry's guesses
[1539.86s -> 1541.66s]  so
[1541.66s -> 1545.22s]  Those dates are there. Thank you if you need to refer back. Thank you. Council member Garza
[1546.94s -> 1553.06s]  And those dates I mentioned were the Planning Commission post-ponement dates not the council post-pulments idea ready to record earlier
[1554.66s -> 1558.92s]  I think we can add 46 back to consent just after I read a couple of
[1559.18s -> 1562.06s]  Prohibitive uses into the record which I believe to be agreements
[1562.62s -> 1570.42s]  By all parties that is a prohibit alternative financial services limit the height to two stories and to 35 feet
[1571.14s -> 1573.10s]  Require a 10-foot wide
[1573.10s -> 1579.82s]  Undisturbed vegetative buffer with maintenance provisions along the North property line and limit noise level to 70 decibels
[1579.90s -> 1581.90s]  along the North property line and
[1582.90s -> 1585.90s]  And half third reading on December 17th
[1590.58s -> 1593.10s]  Staff would be understanding of that if
[1593.66s -> 1598.62s]  Third reading is next week that would give us time to make sure all the appropriate paper workers on the dyes
[1599.02s -> 1601.54s]  Before you act on that. So if that is
[1602.22s -> 1603.42s]  for
[1603.42s -> 1608.22s]  Second reading only in item 46 with direction bring it back next week for third reading
[1611.90s -> 1613.90s]  Okay, anything else I
[1615.18s -> 1618.38s]  Just wanted to make one comment about one additional comment about
[1618.82s -> 1620.42s]  Item 64
[1620.42s -> 1625.30s]  This is on consent. I want to verify that it's on consent first reading only is that correct mr. Grinsie
[1626.30s -> 1628.62s]  That's correct. This is a
[1629.74s -> 1631.74s]  rezoning at the triangle and I believe
[1632.34s -> 1636.78s]  That in general people are supportive of the rezoning there are concerns because
[1637.54s -> 1642.34s]  Some of the detention pond well there have been concerns in the neighborhood because there's been flooding in that area
[1642.78s -> 1648.54s]  including flooding associated potentially with it with the retention pond at the triangle and so
[1649.14s -> 1653.54s]  the discussion at this point is is about the impervious cover and whether
[1654.30s -> 1658.34s]  Whether we have the appropriate controls in place as this rezoning goes forward
[1658.34s -> 1665.10s]  So I'm the neighborhood and and the developer are working quite closely together and I think we'll arrive hopefully at a good solution
[1665.74s -> 1668.06s]  Okay, any other questions on the consent agenda?
[1669.42s -> 1671.42s]  Is there a motion?
[1674.18s -> 1676.58s]  Council Mayor pro tem like a move
[1677.10s -> 1680.10s]  Passage of the consent items as read into the record with the notes
[1680.10s -> 1683.96s]  Thank you, and now I guess I would include the closing of the public hearings for the consent items. Thanks
[1684.54s -> 1685.82s]  good
[1685.82s -> 1689.42s]  Councilmember members Zimmerman moves approval of the zoning consent
[1690.42s -> 1691.74s]  agenda are there any
[1691.74s -> 1693.74s]  There's a second councilmember karsa
[1694.14s -> 1696.14s]  all in favor
[1697.02s -> 1699.98s]  Mayor pro tem show me voting no on 69
[1700.70s -> 1706.70s]  And councilmember Houston votes no on 69 and I neglected to ask I believe they were okay with this
[1706.70s -> 1710.26s]  But on item 61 and 62 we did have two speakers
[1710.86s -> 1715.82s]  And that was mr. Notson. Were you comfortable with not speaking today?
[1716.82s -> 1718.82s]  And miss my Zimbabwe
[1719.98s -> 1722.94s]  Okay, thanks. I apologize for not asking before we call for that vote
