Zoning Case: C14-2018-0140
Meeting Date: 2019-06-06T00:00:00.000
Agenda Item: 70
Source URL: http://austintx.swagit.com/play/45787/0/
================================================================================

[0.64s -> 2.56s]  All right, consent zoning.
[461.02s -> 466.02s]  property is that it is mobile homes, they want to continue to expand that use in some parts that are
[467.02s -> 473.02s]  unused, and my hope is that they're able to do that by zoning it this way. They should be able to do that,
[473.02s -> 479.02s]  I hope that the staff works together with them to make that work, and of course, if there's any
[479.02s -> 483.02s]  level of variance or change that's required to be able to get the kind of affordable housing
[483.02s -> 489.02s]  expansion we want there, then I for one, and I think a lot of folks here would be very open to try to
[489.02s -> 493.02s]  see if there's any other council action that needs to be taken because I think the intent here
[493.02s -> 498.02s]  aligns with the intent that has been expressed. Okay, any further comments? Council Member
[498.02s -> 506.02s]  Tovo, did you have a comment, you want to make? Yes, with regard to the item on 91 that we're
[506.02s -> 511.02s]  passing on first reading only, thanks to the applicant for your willingness to do that, I appreciate
[511.02s -> 515.02s]  it. I would like to direct the staff to do the research to determine if they would recommend review
[515.02s -> 521.02s]  of the structure on this property for the historic landmark commission. I think that would be helpful
[521.02s -> 528.02s]  information to have, just I won't, in light of the time go through all of the information related to
[528.02s -> 534.02s]  this, but it is, this structure falls within the northwest district of the downtown plan, one of
[534.02s -> 538.02s]  the goals of which was to preserve and enhance the unique historical and cultural heritage of
[538.02s -> 545.02s]  downtown, and so I think it's very important to evaluate this ordinarily. Our process at the moment,
[545.02s -> 550.02s]  and I think it needs some tweaks, but our process at the moment is that it would not be evaluated for
[550.02s -> 555.02s]  its historic merit until a demolition permit is submitted, and so I think that before we do the
[555.02s -> 560.02s]  rezoning, that would be really helpful information to have to determine whether or not this structure
[560.02s -> 566.02s]  is of historic merit, especially because this is a district, one of the couple districts,
[566.02s -> 570.02s]  areas of downtown that was recommended in the downtown plan for a possible local historic district,
[570.02s -> 577.02s]  which is probably a measure I'm going to initiate here in our next meeting or two. So again, first
[577.02s -> 581.02s]  reading with the direction to staff that they evaluate whether or not this is a property that
[581.02s -> 587.02s]  should go before the historic landmark commission, in light of its importance to the goals of the
[587.02s -> 593.02s]  downtown Austin plan. All right, any other comments? Mayor and we close the public hearing where
[593.02s -> 597.02s]  is appropriate. Closing the public hearing, we're appropriate in these items. Any other comments?
[597.02s -> 601.02s]  Let's take both of those in favor of the consent agenda, please raise your hand. Those opposed,
[601.02s -> 606.02s]  unanimous on the dice with Council Member Harper Madison gone, the others speaking.
[606.02s -> 612.02s]  Okay, we're going to knock off some of these zoning cases. We don't have time to do the largest
[612.02s -> 616.02s]  one here before we take the break. I'm going to start the back and move forward.
