Zoning Case: C14-2016-0125
Meeting Date: 2017-06-15T00:00:00.000
Agenda Item: 87
Source URL: http://austintx.swagit.com/play/45739/0/
================================================================================

[0.00s -> 2.40s]  Number 87, Ms. Eustin.
[429.72s -> 433.48s]  And that's where our safety is at risk.
[433.48s -> 435.84s]  So there's a couple of different issues here
[435.84s -> 438.80s]  because the traffic light and the lighting
[438.80s -> 441.16s]  are separate and apart from the construction
[441.16s -> 444.24s]  that we've already agreed to with this developer.
[444.24s -> 446.08s]  And I've already put in a request
[446.08s -> 448.68s]  for lighting at Kentera and Howard Lane.
[448.68s -> 450.84s]  They told me it's not my property,
[450.84s -> 454.68s]  so can't do anything about that.
[454.68s -> 458.60s]  And we need to talk about the trip count
[458.60s -> 461.44s]  and all these other things with that traffic lighting
[461.44s -> 464.56s]  and where that happens with the director of transportation.
[464.56s -> 465.76s]  I'm here to appeal to you
[465.76s -> 469.48s]  because everyone deserves to have the opportunity
[469.48s -> 473.64s]  for safety and security in their environment.
[473.64s -> 478.00s]  And we have willingly agreed to make concessions
[478.00s -> 479.64s]  even though most of our residents
[479.64s -> 482.32s]  did not want this construction for the convenience store.
[482.32s -> 486.24s]  We were not notified because we were more than 500 feet
[486.24s -> 489.24s]  within our subdivision of this construction.
[489.24s -> 492.40s]  So we're willing to make amendments
[492.40s -> 494.84s]  and work with this developer,
[494.84s -> 497.40s]  but we'd also like our safety and security
[497.40s -> 500.52s]  because we deserve that.
[500.52s -> 502.32s]  And we're already annexed
[502.32s -> 505.44s]  and I don't understand why we're making things
[505.44s -> 508.44s]  more difficult for the safety and security
[508.44s -> 510.36s]  of people who pay taxes
[510.36s -> 513.44s]  and do their due diligence to be good citizens.
[514.72s -> 518.84s]  So I think Ms. Rodriguez,
[518.84s -> 523.52s]  she put in her request to speak with the clerk's office.
[523.52s -> 524.96s]  So it was not-
[524.96s -> 526.44s]  That's fine. She can come down and speak.
[526.44s -> 527.28s]  If she wants to speak.
[527.28s -> 529.00s]  So I apologize.
[529.00s -> 529.84s]  That's okay.
[530.84s -> 535.12s]  Hi, Mayor.
[535.12s -> 537.92s]  How councilwoman Houston, how are you doing this afternoon?
[537.92s -> 539.00s]  Thank you for allowing me to speak.
[539.00s -> 541.44s]  I just put my request to the email.
[541.44s -> 542.28s]  I don't know what happened.
[542.28s -> 543.28s]  That's okay. What's your name?
[543.28s -> 544.64s]  My name's Stacy Rodriguez.
[544.64s -> 545.76s]  Okay, when you're done, test fine.
[545.76s -> 547.32s]  If you go talk to the clerk, that'd be great.
[547.32s -> 548.16s]  When you're done.
[548.16s -> 549.52s]  Sure, not a problem.
[549.52s -> 553.24s]  So I lived in the Cantara Subdivision since 2009.
[554.16s -> 556.72s]  The area that the ladies were talking about
[556.72s -> 559.72s]  where beside where the convenient store
[559.72s -> 562.52s]  and the gas pumps are going to be built, it is pitch black.
[562.52s -> 564.96s]  If you go drive down there right now,
[564.96s -> 567.84s]  you will not see the entrance to Cantara Drive.
[567.84s -> 571.76s]  It's very dangerous, especially early in the morning.
[571.76s -> 573.36s]  During school time when our children
[573.36s -> 575.84s]  are getting on the buses to go to school,
[575.84s -> 577.84s]  the school buses have a hard time
[577.84s -> 581.24s]  even getting out of that area at nighttime,
[581.24s -> 583.12s]  especially in the winter time when the kids
[583.12s -> 585.00s]  are coming back home from school,
[585.00s -> 586.92s]  the buses even have a hard time
[586.92s -> 589.60s]  making sure they go into the right subdivision,
[589.60s -> 591.40s]  the entranceway.
[591.40s -> 593.28s]  We did come to agreement with the building
[593.28s -> 596.32s]  of the gas station convenience store.
[596.32s -> 599.36s]  I really didn't want it, but it was already approved.
[599.36s -> 601.16s]  I wasn't notified about this
[601.16s -> 604.64s]  because I don't live within that 500 feet radius.
[604.64s -> 607.40s]  I just wanna let y'all know and just have y'all
[607.40s -> 610.80s]  think about other times when a gas station
[610.80s -> 612.68s]  is gonna be built by a neighborhood.
[612.68s -> 616.44s]  There is a lot of health risk involved in that.
[616.44s -> 620.84s]  It is proven through science, through studies
[620.84s -> 623.36s]  that gas station fumes the loading
[623.36s -> 626.44s]  and unloading of the fuel, people pumping their gas
[626.44s -> 628.36s]  and droplets going on to the floor
[628.36s -> 631.20s]  causes a lot of health risk in children
[631.20s -> 633.44s]  and women who wanna get pregnant.
[635.00s -> 637.68s]  We kind of are surrounded by gas stations.
[637.68s -> 639.12s]  I'm not sure how this got approved,
[639.12s -> 642.96s]  but my main concern is my kids.
[642.96s -> 645.56s]  I have 11 to eight year old and a two year old.
[645.56s -> 649.68s]  My son has asthma, so us living near this gas station
[649.68s -> 652.16s]  is gonna maybe cause flare ups.
[652.16s -> 653.28s]  It's gonna cause other things,
[653.28s -> 655.80s]  but I would like for y'all to just have that in mind
[655.80s -> 657.52s]  if other things come up.
[657.52s -> 659.08s]  If you see another gas station
[659.08s -> 661.24s]  trying to get zoned right next to a neighborhood,
[661.24s -> 663.04s]  I would really like for y'all to just kind of
[663.04s -> 666.80s]  step back and think about if you live there,
[666.80s -> 668.12s]  if your children live there,
[668.12s -> 669.84s]  would you want them breathing these fumes?
[669.84s -> 672.84s]  Would you want things like this happening
[672.84s -> 673.80s]  right where y'all live?
[673.80s -> 675.56s]  And I would hope not.
[676.92s -> 681.92s]  But once again, we got approved and we all agreed on that.
[682.80s -> 685.04s]  I just wanna actually ask for help
[685.04s -> 687.44s]  with getting lighting to art and trends
[687.44s -> 690.04s]  or a stoplight around that area.
[690.04s -> 691.56s]  It's very dangerous.
[691.56s -> 694.92s]  If any one of y'all would like to drive in our neighborhood,
[694.92s -> 697.36s]  it'd be great that way y'all can see it first hand.
[697.36s -> 698.84s]  Thank you so much for your time.
[698.84s -> 700.00s]  Thank you.
[700.00s -> 701.84s]  Ms.
[701.84s -> 702.68s]  Did you wanna say something?
[702.68s -> 703.52s]  Yes, I did.
[703.52s -> 705.48s]  First of all, I wanna thank you all for coming out.
[705.48s -> 707.44s]  I wanna thank Ms. Galasko
[707.44s -> 710.32s]  and who represents the owner
[711.24s -> 716.24s]  for hosting us having a good conversation.
[718.12s -> 719.36s]  Please thank the developer
[719.36s -> 721.48s]  for letting us use the model home.
[722.44s -> 725.36s]  We had maybe, what, what do you think about?
[725.40s -> 729.24s]  35, 40 people, 35 people there that were concerned.
[729.24s -> 731.84s]  Maybe 25, 30 folks there.
[731.84s -> 734.04s]  But I think that started the conversation
[734.04s -> 736.64s]  so that when you all arrived here tonight,
[736.64s -> 740.00s]  you could sit down and have some additional conversations
[740.00s -> 742.24s]  and come up with a compromise.
[742.24s -> 744.00s]  Based upon what I heard that night,
[744.00s -> 747.68s]  I've already put in a request to have a traffic count done
[747.68s -> 749.94s]  with the transportation department.
[750.80s -> 754.52s]  That's in region two of the Austin Police Department.
[754.52s -> 757.84s]  I've asked them to see if they could do more patrols.
[757.84s -> 761.40s]  Part of that is County Road and some of it is City Road
[761.40s -> 765.12s]  to see if the County could do some additional patrolling.
[765.12s -> 767.32s]  So that's kind of already in the work
[767.32s -> 770.80s]  and we'll keep you updated on where we are with the light
[770.80s -> 774.24s]  and the developer should be putting some lights up
[774.24s -> 776.92s]  at the entrance to Kentera because that's,
[776.92s -> 778.28s]  they're still working there.
[778.28s -> 780.84s]  They're still in the yellow stripes,
[780.84s -> 781.72s]  as you all mentioned,
[781.72s -> 783.80s]  that's the developer's responsibility.
[784.32s -> 787.16s]  But we'll stay in touch and I want to thank staff,
[787.16s -> 789.40s]  Chris Hutchins, for working diligently
[789.40s -> 792.44s]  to make sure that you all came to some compromise
[792.44s -> 793.28s]  this afternoon.
[793.28s -> 794.72s]  So I appreciate all your work.
[796.84s -> 797.68s]  Okay.
[799.28s -> 802.72s]  It's been moved and seconded to adopt this.
[802.72s -> 803.92s]  Is there any discussion?
[805.08s -> 805.92s]  Let's take a vote.
[805.92s -> 808.48s]  Those in favor item number 87, please raise your hand.
[809.64s -> 811.52s]  Those opposed.
[811.56s -> 812.40s]  Flanagan votes no.
[812.40s -> 813.64s]  Others voting aye.
[813.64s -> 814.48s]  Passes.
[815.68s -> 817.88s]  Is there some, I see Ms. Card said there.
[818.92s -> 819.76s]  All right.
[819.76s -> 822.80s]  Let's go to the next item that we have.
[826.08s -> 826.92s]  I'm sorry.
[828.68s -> 830.08s]  I couldn't see her.
[830.08s -> 831.64s]  She was back behind when,
[831.64s -> 833.12s]  make sure she was on the dice.
[836.04s -> 836.88s]  Okay.
[836.88s -> 839.72s]  That gets us then to item number,
