Zoning Case: C14-2010-0111
Meeting Date: 2010-11-04T00:00:00.000
Agenda Item: 41
Source URL: http://austintx.swagit.com/play/45428/0/
================================================================================

[0.00s -> 14.00s]  So now folks we stand for our 2 p.m. zoning matters is mr. Guernsey in the house
[301.00s -> 304.00s]  Are you going to go back to 31 32?
[304.00s -> 313.00s]  And as I said before, I think we have a council member that would like to speak to the historic zoning cases 43 44 and 45.
[313.00s -> 317.00s]  I heard that, but I said you're going to go back to 31 and 32.
[317.00s -> 320.00s]  Yes, 31 and 32.
[320.00s -> 327.00s]  This afternoon, the applicant has asked for a slight change to items 31 and 32.
[327.00s -> 330.00s]  And we contacted the neighborhood.
[330.00s -> 340.00s]  They don't necessarily object to the change, but if the change is still requested at today's meeting, they would ask for a postponement of items 31 and 32.
[340.00s -> 354.00s]  Item 31, I'll just read in the record, is MPA 2010 0 0 0 2.1 for the property located at 207 chambers and 1701 East 3rd Street to change the neighborhood plan for the E.
[354.00s -> 361.00s]  Cesar Chavez neighborhood to designate this tract as mixed use as a land use designation.
[361.00s -> 372.00s]  Planning Commission agrees with that item 32 is case C14 2010 0 137 for the same property at 207 chambers and 1701 East 3rd Street.
[372.00s -> 380.00s]  This is a zoning change to community commercial mixed use conditional overlay neighbor plan or GR, MUCO, MP combined district zoning.
[380.00s -> 385.00s]  Planning Commission recommended the zoning change to GR, MUCO, MP.
[385.00s -> 392.00s]  The neighborhood would agree to allowing this to remain on a consent agenda as recommended by the Planning Commission.
[392.00s -> 407.00s]  If the applicant, I don't know if he is here, would like to make a change which we understand he would like to add back in and remove from the prohibited use list limited restaurant.
[407.00s -> 414.00s]  If that is still desired by the applicant today, then they would like a postponement to 1118.
[414.00s -> 419.00s]  I don't believe there's anyone from the neighborhood here because we got to hold of them just before the meeting.
[419.00s -> 427.00s]  So it's their desire to postpone this to the 18th only if the applicant changes their request this evening.
[427.00s -> 437.00s]  And since nobody's here, I guess we have to assume that this is a request to postpone until November 18th.
[437.00s -> 441.00s]  Or you could possibly consider just first reading today.
[441.00s -> 445.00s]  They could discuss it and we could bring second thirding back another day.
[445.00s -> 451.00s]  The advantage to that, of course, would be closing the public hearing.
[451.00s -> 457.00s]  But Council, you could still ask for questions and it may have come to agreement.
[457.00s -> 460.00s]  I could provide a written agreement before.
[460.00s -> 464.00s]  We were proposing consent on first reading only for 31 and 32.
[464.00s -> 468.00s]  Okay, the consent agenda is as follows.
[468.00s -> 476.00s]  To close the public hearing and approve on first reading only, items 31 and 32.
[476.00s -> 486.00s]  To close the public hearing and approve on all three readings, 33, 34, 33 and 34.
[486.00s -> 491.00s]  To postpone item 37 until November 18th.
[491.00s -> 496.00s]  I was public hearing and approve on all three readings, item 40.
[496.00s -> 503.00s]  To postpone items 41 and 42 until November 18th.
[503.00s -> 511.00s]  And I'm assuming we're saying that the rest of the items are discussion items.
[511.00s -> 515.00s]  I believe so, yes.
[515.00s -> 516.00s]  Council Member Shade.
[516.00s -> 518.00s]  I'm sorry for the confusion of here.
[518.00s -> 522.00s]  I didn't know if they were going to be on the consent agenda or I know they are prepared for all three readings.
[522.00s -> 530.00s]  But I would like to pull them off consent agenda to allow for Mr. Sudaski to present the historic cases.
[530.00s -> 533.00s]  I think it's important to hear them voting on them.
[533.00s -> 534.00s]  That's fine.
[534.00s -> 538.00s]  So that is the consent agenda ending with, ending with item 42.
[538.00s -> 542.00s]  Is there a motion to approve the consent agenda?
[542.00s -> 545.00s]  Council Member Spelman moves to approve the consent agenda.
[545.00s -> 547.00s]  Second by Council Member Shade.
[547.00s -> 548.00s]  Discussion?
[548.00s -> 550.00s]  All in favor say aye.
[550.00s -> 551.00s]  Aye.
[551.00s -> 552.00s]  Opposed say no.
[552.00s -> 554.00s]  Passes on to vote of 7-0.
