Zoning Case: C14-2013-0149
Meeting Date: 2014-02-27T00:00:00.000
Agenda Item: 64
Source URL: http://austintx.swagit.com/play/45610/0/
================================================================================

[0.00s -> 4.94s]  Mr. Guernsey will take us through the consent agenda of our two o'clock at it's
[287.98s -> 293.66s]  7,900 Old Mainer Road to zone the property to the limited industrial service or L.I. District Zoning
[293.82s -> 299.90s]  The Zoning and Planning Commission's recommendation was to grant limited industrial service conditional overlay or L. I C O
[299.90s -> 308.34s]  combined district zoning and this is ready for consent approval on all three readings item number 65 is case C 14 2013 0 1 52
[308.50s -> 315.38s]  For the property located 40 20 Airport Boulevard. This is on the property to neighborhood commercial vertical mixed use building mixed use
[315.82s -> 322.78s]  conditional overlay neighbor plan or L.R. V. M. U. C O M P combined Mr. Zoning to change the conditional zoning the
[323.54s -> 330.14s]  L R V M U C O M P combined Mr. Zoning the change conditional zoning was recommended to you by the Planning Commission
[330.14s -> 335.78s]  And this is ready for consent approval on all three readings item number 66 case
[336.50s -> 340.30s]  C 14 2013 0 1 55 for the property located at
[340.50s -> 342.90s]  13,000 and 15 Palm Springs Road
[342.90s -> 348.84s]  This is a zone the property to community commercial conditional overlay or GR C O combined district zoning
[348.98s -> 356.10s]  The zoning and Planning Commission's recommendation was to grant the GR C O combined district zoning and this is ready for consent approval on all three readings
[356.38s -> 363.78s]  And finally item number 67. This is case C 14 2013 0 1 57 for the property located at 7200
[363.78s -> 371.26s]  7202 and 7204 South Congress Avenue to zone the property limited office mixed use or L.O. M. U.
[371.26s -> 373.70s]  Combined is zoning the zoning Planning Commission's
[374.22s -> 379.62s]  recommendation was to grant L.O. M. U. combined district zoning and this is ready for consent approval on all three readings
[380.90s -> 387.02s]  So the consent agenda for zoning cases is to postpone item 60 until March 6
[387.78s -> 389.34s]  To postpone
[389.42s -> 392.18s]  Item 63 until March 20th
[392.74s -> 396.74s]  To close the public hearing and approve on all three readings item 64
[397.50s -> 399.50s]  65 66 and 67
[401.34s -> 407.62s]  So that's consent agenda council member Spelman moves approval second by the mayor pro tem all in favor say aye
[407.62s -> 408.62s]  aye
[408.62s -> 410.34s]  Opposed say no
[410.34s -> 418.10s]  Passes on a vote of seven to zero. So I think we can quickly deal with item 61 and 62 and we've already discussed
[418.10s -> 420.10s]  a
[420.10s -> 427.22s]  postponement of both these items to mark six is a proposal with direction from council member Morrison and now council member
[427.22s -> 431.14s]  Tovo Mayor I have a question well council member Tovo has a floor now
[434.18s -> 438.70s]  I would like to invite either the developer or the developers representative up to
[439.62s -> 441.62s]  Explain the proposal that they have
[443.50s -> 445.50s]  Been discussing
[445.98s -> 449.06s]  They have an interest in providing affordable housing on this site and
[449.98s -> 451.18s]  intend to
[451.18s -> 456.86s]  It's my understanding intend to wrap it into the pub yes, ma'am zoning as an element of superiority
[456.86s -> 464.22s]  And you've considered various options, and I we did my name is Jim guy egos. I'm the developer on on this track
[465.62s -> 467.62s]  Yes, we've discussed
[467.62s -> 469.46s]  some affordable housing
[469.46s -> 471.38s]  components to this and
[471.46s -> 480.10s]  Looking at everything from what we discussed a few weeks ago of the 10% of the 80% of MFI or the medium family income and have come to
[481.02s -> 486.82s]  What we've looked at as far as being able to has really helped this project serve a need by
[487.54s -> 489.74s]  By I guess um, you know
[490.58s -> 499.34s]  Offering 5% of the units at 60% of the MFI for the terms that you just stated earlier during the consent agenda
[499.46s -> 504.18s]  Thank you very much, and we have and so the terms I read were those
[505.14s -> 507.14s]  Developed by the developers
[507.30s -> 512.90s]  Attorney and I'd be happy to read them in again, but I think the staff probably have a good sense of that and I just want to
[513.78s -> 515.26s]  thank
[515.26s -> 522.82s]  The developer for his consideration of that is making that a component of the pud zoning as an element of superiority
[523.82s -> 529.00s]  Mr. Guernsey do you need me to read that in again, or you have the sense you have a sense of the terms?
[529.66s -> 536.26s]  Yes, staff understands what what has been presented by Council Member Morrison and you Council Member Tilvall. Thank you
[536.50s -> 538.50s]  There have additional direction
[538.50s -> 540.94s]  Council member Martinez. Thank you mayor
[541.90s -> 543.90s]  Greg did you know
[543.90s -> 547.14s]  the debate between the neighbors and the developers between
[548.10s -> 549.74s]  multifamily and what's
[549.78s -> 552.46s]  Currently on on-site as an entitlement
[553.50s -> 558.46s]  of L.O. And so what I want to do is add direction to come back on third reading
[559.62s -> 567.02s]  Census is a pud to add some form of either MU or MF to into this so that they can continue their conversation
[567.74s -> 574.94s]  It can be you know if council approves on third reading it can be developed as multifamily or it can convert back to L.O
[575.02s -> 578.02s]  If that's something that comes to fruition between
[579.06s -> 585.66s]  Yeah, I understand what you're saying. We are certainly posted to allow something like that to occur
[585.86s -> 592.46s]  So we would add the multifamily uses of under MF to so whether it's a kind of apartment or something like that
[592.66s -> 596.26s]  That's still part of the discussion. Is that so I understand?
[597.82s -> 599.82s]  Okay
[599.82s -> 601.82s]  Mayor Pro Tem I have a question
[602.66s -> 608.82s]  With respect to council member Morrison's direction, I believe she said to bring back on third reading
[609.38s -> 614.98s]  The ordinance with compliance with the watershed protection ordinance and accept impervious cover
[614.98s -> 619.70s]  And I just didn't understand what direction we were actually giving in connection with that state
[620.74s -> 622.18s]  Mayor Famae
[622.18s -> 623.70s]  customer Morrison
[623.70s -> 630.08s]  At the idea would be to leave the impervious cover allowance as it is currently stated in the pad
[630.44s -> 632.56s]  Apologize for not making it there. Thank you
[633.32s -> 639.00s]  And I said in accordance with the watershed protection ordinance, which we have
[640.24s -> 644.84s]  As a name of something, but really I met with the current watershed protection
[646.16s -> 648.16s]  Ordinances
[648.16s -> 652.32s]  Whether they have that name with current code. Yeah, okay, so
[652.32s -> 661.44s]  We're taking a motion to postpone item 61 and 62 until March 6th with additional
[662.40s -> 664.40s]  direction
[664.40s -> 670.40s]  Second council member Spelman so moves second by the mayor pro tem all the fair say aye. Aye. Opposed say no
[671.04s -> 673.04s]  Passes on about a 70-0
[673.04s -> 678.32s]  Mayor and council like conclusion zoning map changes for today. That's the total. That's all of it in there
[678.32s -> 682.48s]  That's all your zoning map changes for today, yes
