Zoning Case: C14-2012-0023
Meeting Date: 2012-06-28T00:00:00.000
Agenda Item: 119
Source URL: http://austintx.swagit.com/play/45523/0/
================================================================================

[0.00s -> 6.84s]  Let's go to item 118.
[528.24s -> 531.24s]  First of all, those 82 signatures.
[531.24s -> 536.24s]  I don't know if there's any verification process that goes on with that, but I would strongly recommend one.
[537.24s -> 546.24s]  There's only 12 houses within the immediate area of this, and it's the residential neighborhood, but I don't know where all those signatures came from.
[546.24s -> 548.24s]  We hadn't been made aware of them earlier.
[548.24s -> 561.24s]  We also have to talk to neighbors who do live on the street, either paying rent or on property, and they have signatures and addresses, and these can be verified if that's of any value.
[561.24s -> 566.24s]  So our contact team had a meeting in April and invited Mr. Landerman.
[566.24s -> 573.24s]  It was facilitated by city staff, Maureen Meredith, in which we considered his desire to rezone his property.
[573.24s -> 576.24s]  We visited the site.
[576.24s -> 590.24s]  Everybody had a chance to think it over, talk it over, ask questions, and the consensus actually it was unanimous to reject to not change the zoning from what is in our neighborhood plan to this more intensive use.
[591.24s -> 593.24s]  So that's our position.
[593.24s -> 597.24s]  We want to retain our retain what's in our flume.
[597.24s -> 601.24s]  Our neighborhood plan was adopted very recently, just in 2010.
[601.24s -> 605.24s]  Nothing significant has changed about that street.
[605.24s -> 609.24s]  It's a residential street.
[609.24s -> 612.24s]  Everything around is SF2, SF3, and SF3.
[612.24s -> 619.24s]  We were extremely generous on the flume with high intense use in all the places that made sense.
[619.24s -> 624.24s]  All along Lamar, all along Anderson, the top boarders, all along I-35.
[624.24s -> 634.24s]  And then we were trying to step down into the residential areas with the less intensive uses without just cutting it off heavy intensive and SF.
[634.24s -> 638.24s]  And so we went for a step down approach to this meeting.
[638.24s -> 641.24s]  They went on, the meetings went on for two years.
[641.24s -> 648.24s]  Mr. Landerman could have attended just like many other property owners attended, and he wasn't present.
[649.24s -> 659.24s]  But the whole goal was to provide a transition from his car lot, which is a heavy intense use down to the SF2 and SF3 and MF around it.
[659.24s -> 668.24s]  Our neighborhood plan, Objective L3, is to establish North Lamar Boulevard as a mixed use pedestrian friendly corridor.
[668.24s -> 677.24s]  It's supported by our recommendation 125 to incorporate small scale neighborhood serving commercial or retail establishments.
[677.24s -> 684.24s]  Neighborhood plan recommendation 70, a top priority action item in the plan calls for sidewalks along Applegate.
[684.24s -> 701.24s]  The idea being the heavy more vehicular traffic on North Lamar steps down with the addition of sidewalks and a lighter use but still potentially commercial or neighborhood serving type of use.
[702.24s -> 711.24s]  This property is located about 500 feet from North Lamar within the commercial corridor.
[711.24s -> 723.24s]  A small scale neighborhood serving LO business at this location would be supported by some upcoming improvements in the area, which we've also been working very hard on as a result of getting our neighborhood plan passed.
[723.24s -> 731.24s]  The city received a Campo grant to improve pedestrian access in this segment of Lamar with construction plan to start this summer.
[731.24s -> 738.24s]  Cap Metro is in the process of improving the bus stops along Lamar with construction of bus rapid facilities plan to start later this year.
[738.24s -> 750.24s]  The 2010 mobility bonds funded a design study for North Lamar corridor transportation improvements, which was completed earlier this year,
[750.24s -> 757.24s]  funding to begin constructing these improvements as proposed for the November 2012 bond election.
[757.24s -> 760.24s]  And Mr. Landham is a member of our neighborhood.
[760.24s -> 761.24s]  He's a business owner.
[761.24s -> 764.24s]  He's a savvy, smart, successful businessman.
[764.24s -> 766.24s]  He's got the car lot there on North Lamar.
[766.24s -> 768.24s]  It's a totally appropriate use.
[768.24s -> 772.24s]  He wants to lease this property behind it to somebody.
[773.24s -> 785.24s]  The easy button is to continue the nonconforming use for the past 15 years with every kind of zoning it has had and lease it to an auto repair and storage facility.
[785.24s -> 790.24s]  That would lead to the people who've been complaining for the last 15 years decoding everybody else.
[790.24s -> 795.24s]  Why is there an auto repair facility in a storage lot right in the middle of our residential neighborhood?
[795.24s -> 797.24s]  So yeah, we can keep doing that.
[797.24s -> 802.24s]  We would like to stop it once and for all.
[802.24s -> 806.24s]  People shouldn't have to follow up and follow up and follow up and follow up that kind of thing.
[806.24s -> 814.24s]  We totally support Mr. Landham leasing his property to somebody for inappropriate use under the neighborhood plan.
[814.24s -> 822.24s]  In fact, we put him in touch with another business person in the neighborhood who had a discussion with him and was interested in pursuing an urban farm.
[822.24s -> 829.24s]  And this person has experience and knowledge and runs a business doing greenhouse and farm stuff.
[829.24s -> 830.24s]  I don't know the status of that.
[830.24s -> 835.24s]  I know that it's no longer viable or for some reason it's not going to happen.
[835.24s -> 843.24s]  The point being there's many acceptable uses under the current zoning under the flum that this property could be leased for.
[843.24s -> 847.24s]  Yeah, the easy button is go sign another nonconforming agreement.
[847.24s -> 854.24s]  Probably an illegal business because nobody can find the occupancy certificates or the permits.
[854.24s -> 865.24s]  Or get a little creative and start looking for an opportunity to lease the land to someone who's going to use it for inappropriate use.
[865.24s -> 871.24s]  In 2005, it finally came.
[871.24s -> 880.24s]  There was finally enough problems where with neighborhood unhappiness with the auto repair and the storage and the towing and all of that.
[880.24s -> 888.24s]  Where Mr. Landham chose to seek some alternate zoning.
[888.24s -> 901.24s]  The neighborhood and council worked with him and took it from single family, which is what it was, to a commercial recreational CR.
[901.24s -> 916.24s]  Which basically the commitment on Mr. Landham's part was that he was going to build some storage units and only store recreational vehicles and do those kinds of repairs there with conditional overlays.
[916.24s -> 922.24s]  Could you come to the first picture and this is our neighborhood, our contact team website.
[922.24s -> 926.24s]  So this ordinance was passed in early 2006.
[926.24s -> 933.24s]  Mr. Landham made promises and these are current pictures or pictures taken this year.
[933.24s -> 942.24s]  This first one is an overhead of the lot this year and it's auto repair, auto and truck storage.
[942.24s -> 951.24s]  There's no recreational vehicles, there's no bays to keep recreational vehicles in and he just continued the same uses.
[951.24s -> 960.24s]  If you could go down to the next couple of pictures, this is just more pictures of how it currently looks and I'd like to draw your attention to the picture that shows the street and the fence.
[960.24s -> 970.24s]  Some of the conditional overlays were, well, recreational equipment maintenance and storage was the only permitted use, a CR use.
[970.24s -> 980.24s]  Limit access to the driveway previously considered mother all drive and the neighbors have had to consistently complain that that has not been observed.
[980.24s -> 987.24s]  And then this photo shows that the conditional overlay of a vegetative buffer was completely not observed.
[987.24s -> 993.24s]  No effort has been made in the last, well, since 2006.
[993.24s -> 1003.24s]  And as I said, nobody can find applications for a site plan building permit certificate of occupancy even following the 2006 zoning change.
[1008.24s -> 1014.24s]  This is kind of what it comes down to for us as the contact team and the neighborhood.
[1014.24s -> 1016.24s]  Are we serious about our neighborhood plans or not?
[1016.24s -> 1019.24s]  I personally put two years into this thing.
[1019.24s -> 1027.24s]  And since then I've been working heavily with the other people who are in significant improvements to the North Lamar Runburg area.
[1027.24s -> 1029.24s]  You know, the place everybody's afraid to go.
[1029.24s -> 1032.24s]  Well, it turns out it's a pretty awesome neighborhood.
[1032.24s -> 1035.24s]  Tremendous diversity.
[1035.24s -> 1038.24s]  So much opportunity there.
[1038.24s -> 1041.24s]  Sorry, I digress.
[1041.24s -> 1044.24s]  Are we serious about our plan?
[1044.24s -> 1054.24s]  The time we put into all the consensus to come up with the flum and the plan and the priorities and objectives which are totally consistent with the current zoning.
[1054.24s -> 1063.24s]  Do we hold the lines somewhere or not when a property owner shows up and says, well, yeah, but I've been doing this a long time.
[1063.24s -> 1066.24s]  Thank you, I appreciate your help.
[1067.24s -> 1070.24s]  Solana, you have three minutes for rebuttal.
[1070.24s -> 1071.24s]  No questions.
[1082.24s -> 1090.24s]  First of all, I think I probably wasn't violation on the use of the property.
[1091.24s -> 1093.24s]  As I stated, I live in Goldwaite.
[1093.24s -> 1096.24s]  We don't have these problems up that you have here in Austin.
[1096.24s -> 1099.24s]  We don't have any zoning.
[1099.24s -> 1102.24s]  But the thing.
[1102.24s -> 1107.24s]  Yeah, I invite you all to go, but it's a nice place.
[1107.24s -> 1113.24s]  But, you know, the sense of property was being used for the one where I purchased the property.
[1113.24s -> 1116.24s]  I didn't think I was doing anything wrong.
[1117.24s -> 1131.24s]  When the came out on the problem I ran into is when I ran the very back end of it to some people and they were supposed to store cars back there.
[1131.24s -> 1144.24s]  Well, they got in Mona's way when she was trying to get in her driveway and she called and coded for some people came out and he said, you got rid of all this stuff, you can't have all this here.
[1145.24s -> 1149.24s]  So I got all that off and then he came back.
[1149.24s -> 1151.24s]  I said, okay, I got it cleared.
[1151.24s -> 1153.24s]  He gave me 10 days thanks to it.
[1153.24s -> 1157.24s]  And then I called him and he said, well, wait a minute.
[1157.24s -> 1164.24s]  I hadn't ran into these seven Hispanic people and they had parts that they had taken off of cars and was planning to reuse them.
[1164.24s -> 1167.24s]  And he said, oh, this is worse than, oh, and you got to give it all that.
[1167.24s -> 1171.24s]  So he went down here from there.
[1171.24s -> 1172.24s]  Of course.
[1172.24s -> 1182.24s]  And I said, this has become a personal vendetta for Mona who lived right across the street there.
[1182.24s -> 1187.24s]  This, let me get this straight.
[1187.24s -> 1191.24s]  This is my used car lot here on North Lamar.
[1191.24s -> 1195.24s]  And this was Mother All Street right here.
[1196.24s -> 1201.24s]  And I tried about this, this all is probably about this street here.
[1201.24s -> 1206.24s]  So it's all one continuous piece of property goes back here.
[1206.24s -> 1211.24s]  And this is what we're, I'm wanting to get rezoned from here back here.
[1211.24s -> 1219.24s]  Since it's part of this same property, if I'm stood mad at the egg, it's good code.
[1219.24s -> 1221.24s]  He's the microphone there.
[1221.24s -> 1223.24s]  He's the microphone boy.
[1223.24s -> 1224.24s]  Oh, I'm sorry.
[1224.24s -> 1227.24s]  That's good.
[1227.24s -> 1235.24s]  He told me that, if I was sitting right there, I could use this property, but I couldn't rent it out.
[1235.24s -> 1237.24s]  So I don't know what the difference is.
[1237.24s -> 1246.24s]  There's not any really good reason why this property shouldn't be used.
[1246.24s -> 1252.24s]  It has been used on over 31 years as this back here.
[1252.24s -> 1262.24s]  And if you can't go along with what I'm asking for here, at least put me back to what the council did in 2006.
[1262.24s -> 1268.24s]  This group just came along and changed the thing in 2010 where I couldn't use it anymore.
[1268.24s -> 1273.24s]  And I could at least do something with it and get some income out of it because I do it.
[1273.24s -> 1276.24s]  I bought a bunch of money last year.
[1276.24s -> 1281.24s]  I need this income.
[1281.24s -> 1282.24s]  Thank you your time.
[1282.24s -> 1285.24s]  Thank you.
[1285.24s -> 1288.24s]  Council Member Spelman.
[1288.24s -> 1294.24s]  Council Member Morrison and I were drawing lots for this one.
[1294.24s -> 1299.24s]  Mayor of the staff recommendation, actually, I think summarizes the case in my mind.
[1299.24s -> 1305.24s]  Requested change in future land use map does not meet the goals, objectives, and recommendations of the neighborhood plan.
[1305.24s -> 1311.24s]  And furthermore, in this case, there's no compelling reason to change the neighborhood plan with respect to this property.
[1311.24s -> 1320.24s]  The current zone of LOMU does provide Mr. Leonard with a reasonable use of his property, and I think he ought to put it to that use.
[1320.24s -> 1322.24s]  I move to deny.
[1322.24s -> 1327.24s]  Council Member Spelman moves closed public hearing and deny the land use change request.
[1327.24s -> 1330.24s]  Second by Council Member Morrison.
[1330.24s -> 1332.24s]  Council Member Riley.
[1332.24s -> 1334.24s]  Yeah, I'm going to support the motion.
[1334.24s -> 1342.24s]  I respect and appreciate the land owners commitment to the property, but I also respect and appreciate all the work that the neighborhood invested in that neighborhood plan.
[1342.24s -> 1351.24s]  I visited the neighborhood and the site this past weekend, and it really is a very wonderful place and one, but one that really could use.
[1351.24s -> 1357.24s]  It seems to be on an upward trend, and I really hope to see continued improvements in alignment with the neighborhood plan.
[1357.24s -> 1363.24s]  And so consistent with that hope, I'm going to support the motion.
[1363.24s -> 1364.24s]  Councillor Morrison.
[1364.24s -> 1378.24s]  I just want to briefly acknowledge the work that the neighbors have done that have really taken us, put the neighborhood on a path where some real improvements and some real changes in community can be developed.
[1378.24s -> 1387.24s]  That it's very important that we respect that and that the neighborhood plan that they came up with was a really good neighborhood plan, and we need to stick with it.
[1387.24s -> 1391.24s]  All those in favor of the motion say aye.
[1391.24s -> 1392.24s]  Aye.
[1392.24s -> 1393.24s]  Opposed say no.
[1393.24s -> 1395.24s]  Passes on to vote a 7-0.
[1395.24s -> 1399.24s]  We'll now take up item 119 related zoning case.
[1399.24s -> 1402.24s]  It moves closed public hearing and deny.
[1402.24s -> 1407.24s]  Council Member Spelman moves to close the public hearing and deny.
[1407.24s -> 1410.24s]  Seconded by Councillor Morrison.
[1410.24s -> 1413.24s]  Any further discussion?
[1413.24s -> 1415.24s]  All in favor say aye.
[1415.24s -> 1416.24s]  Aye.
[1416.24s -> 1417.24s]  Opposed say no.
[1417.24s -> 1419.24s]  Passes on to vote a 7-0.
