Zoning Case: C14-2013-0122
Meeting Date: 2013-12-12T00:00:00.000
Agenda Item: 115
Source URL: http://austintx.swagit.com/play/45604/0/
================================================================================

[0.00s -> 2.00s]  Next
[557.68s -> 561.70s]  This is ready for first reading only mayor. I understand the applicant
[562.34s -> 568.74s]  In a neighbor's have agreed to prohibit one additional use and they would allow this also to stay in that your consent agenda
[568.82s -> 576.78s]  That would be to prohibit food sales as the additional use and then we could leave this on for consent approval for first reading an item number 109
[578.50s -> 584.30s]  Excuse me item number 110 this case c14 2013 0 1 0 6 for the property located
[585.38s -> 587.38s]  50 16 and one half
[591.70s -> 594.56s]  commercial services conditional overlay neighbor plan or CS
[595.38s -> 602.42s]  co MP combined district zoning for tracked one and community commercial conditional overlay neighbor plan or grco
[602.98s -> 609.96s]  combined district Zoning for tracked to with conditions the plan commercial recommendation was to grant the csco mp
[609.96s -> 616.82s]  Combining district zoning for tracked one and grc o mp combined district zoning track for track two with conditions
[616.82s -> 622.08s]  The
[622.08s -> 624.80s]  number one eleven is casei fourteen
[624.80s -> 624.90s]  2013.
[624.90s -> 626.94s]  That was all three readings
[626.94s -> 627.96s]  sorry.
[627.96s -> 628.90s]  Yes.
[628.90s -> 632.34s]  I number one eleven is casei
[632.34s -> 633.78s]  fourteen twenty thirteen zero
[633.78s -> 637.78s]  one oh nine for the property
[637.78s -> 639.68s]  of a low kid ten thousand eight
[639.68s -> 641.18s]  hundred nineteen.
[641.18s -> 642.98s]  If I'm twenty two twenty two.
[642.98s -> 643.54s]  This is the zone the property
[643.54s -> 645.68s]  to community commercial or G.
[645.68s -> 649.12s]  our GRCO combined district zoning, excuse me,
[649.12s -> 650.64s]  and this is ready for consent approval
[650.64s -> 651.76s]  on all three readings.
[653.28s -> 657.08s]  Item number 112, this is KC 14, 2013,
[657.08s -> 661.12s]  zero, one, one, two for the property located
[661.12s -> 664.20s]  at 95, 13 and one half East Palmer Lane.
[665.28s -> 667.20s]  This is a zoning change request
[667.20s -> 670.60s]  to commercial highway services, conditional overlay,
[670.60s -> 673.24s]  or CHCO combined district zoning.
[673.24s -> 674.84s]  The zoning plan commission recommendation
[675.00s -> 677.68s]  is to grant the CHCO combined district zoning.
[677.68s -> 679.96s]  Mayor, I believe we have a single property owner,
[679.96s -> 681.44s]  or a single law interested party
[681.44s -> 683.12s]  that would like to speak to this item
[683.12s -> 684.44s]  on or if you want to consider.
[684.44s -> 685.80s]  Same thing, we'll leave it on consent
[685.80s -> 689.32s]  and we'll call them up before we take a motion.
[689.32s -> 690.16s]  Thank you, Mayor.
[690.16s -> 694.64s]  Item number 113 is case C 14, 2013, zero, one, one, four
[694.64s -> 697.64s]  for the property located at 2439 East,
[697.64s -> 699.88s]  say highway 71 westbound.
[699.88s -> 701.60s]  This is a zoning change request
[701.60s -> 704.80s]  to general commercial services or CS district zoning.
[704.80s -> 706.60s]  The zoning and planning commission's recommendation
[706.60s -> 709.04s]  was to grant general commercial services,
[709.04s -> 712.68s]  conditional overlay, or CHCO combined district zoning.
[712.68s -> 715.40s]  This is ready for consent approval on all three readings.
[716.60s -> 718.08s]  Item number 114,
[719.00s -> 722.72s]  in this case, C 14, 2013, zero, one, one, five
[722.72s -> 725.76s]  for the property located at 2415 East,
[725.76s -> 727.88s]  say highway 71 westbound,
[727.88s -> 729.84s]  to zone the property to general commercial services
[729.84s -> 731.48s]  or CS district zoning.
[731.48s -> 733.60s]  The zoning and planning commission's recommendation
[733.60s -> 735.88s]  was to grant general commercial services,
[735.88s -> 738.96s]  conditional overlay, or CSCO combined district zoning.
[738.96s -> 740.64s]  And this is ready for consent and approval
[740.64s -> 742.60s]  on all three readings.
[742.60s -> 747.32s]  Item number 115 is case C 14, 2013, zero, one, 22
[747.32s -> 749.52s]  for the property located at 4622,
[749.52s -> 751.96s]  south Lamar Boulevard, southbound.
[751.96s -> 753.88s]  This is to zone the property to limited office,
[753.88s -> 757.04s]  conditional overlay, or LOCO combined district zoning.
[757.04s -> 760.52s]  As amended, the planning commission's recommendation
[760.52s -> 762.76s]  was to grant the limited office conditional
[762.84s -> 765.08s]  over the LOCO combined district zoning.
[765.08s -> 769.04s]  And this is ready for consent approval on all three readings.
[769.04s -> 774.04s]  Item number 116 is case C 14, 2013, zero, one, 24
[774.80s -> 779.36s]  for the property located at 14,400, the lakes Boulevard,
[779.36s -> 781.52s]  to zone the property to general commercial services,
[781.52s -> 785.04s]  mixed use, or CS, MU combined district zoning.
[785.04s -> 786.48s]  Zoning planning commission's recommendation
[786.48s -> 788.52s]  was to grant the CS, MU district zoning.
[788.52s -> 791.60s]  This is ready for consent approval on all three readings.
[792.84s -> 797.24s]  And item number 117, case C 14, 2013, zero, one, 25
[797.24s -> 800.32s]  for the property located at 40, 10, saw, meal, drive.
[800.32s -> 802.28s]  I understand the applicant disagrees
[802.28s -> 804.24s]  with the commission's recommendation.
[804.24s -> 806.80s]  There's a citizen here to speak to this item.
[806.80s -> 809.28s]  This might take a little while, so we'll take it off
[809.28s -> 810.20s]  for discussion.
[811.20s -> 816.20s]  Item number 118 is case C 14, 2013, zero, one, 27
[817.40s -> 821.20s]  for the property located at 3109, south Lamar Boulevard.
[821.24s -> 824.08s]  This is on the property to commercial liquor sales,
[824.08s -> 826.88s]  vertical mixed use building, or CS 1V,
[826.88s -> 828.96s]  combined district zoning, the planning commission's
[828.96s -> 833.80s]  recommendation was to grant the CS 1V combined district zoning.
[833.80s -> 836.80s]  And this is ready for consent approval on all three readings.
[836.80s -> 841.32s]  Item number 119 is case C 14, 2013, zero, one, 28
[841.32s -> 844.24s]  for the property located at 10,730, south heights,
[844.24s -> 847.76s]  three, five, service road southbound,
[847.76s -> 851.00s]  to zone to general commercial services, mixed use, or CS, MU
[851.00s -> 852.44s]  CO combined district zoning.
[852.44s -> 854.16s]  The zoning planning commission's recommendation was
[854.16s -> 856.16s]  to grant general commercial services, mixed use
[856.16s -> 860.44s]  conditional overlay, or CS, MU, CO combined district zoning.
[860.44s -> 863.32s]  And this is ready for consent approval on all three readings.
[864.68s -> 868.48s]  Item number 120 is case C 14, 2013, zero, 130
[868.48s -> 872.60s]  for the property located at 11,824 Burnett Road,
[872.60s -> 874.88s]  which is on the property to major industrial
[874.88s -> 877.44s]  plan development area, or MI, PDA,
[878.08s -> 881.92s]  district zoning to change the condition of zoning.
[881.92s -> 886.64s]  This recommendation was to grant the MI, PDA zoning with the conditions.
[886.64s -> 889.24s]  And this is ready for consent approval on all three readings.
[889.24s -> 892.92s]  However, we have one individual to speak to that item.
[892.92s -> 894.56s]  Same thing, okay.
[894.56s -> 902.68s]  Item number 121 is case C 14, 2013, zero, 135 for the property located at 1701 Red River Street.
[902.68s -> 905.08s]  This is to zone the property to P district zoning.
[905.08s -> 907.16s]  The planning commission recommendation was to grant the
[907.16s -> 910.84s]  P district zoning, and this is ready for consent approval on all three readings.
[911.84s -> 919.12s]  Item number 122, case C 14, 2013, zero, 137 for the property located at 5513.
[919.12s -> 924.76s]  Southwood Parkway, this is on the property to community, commercial, mixed use, conditional overlay,
[924.76s -> 928.72s]  neighbor plan, or GR, MU, CO, MP, combined district zoning.
[928.72s -> 934.00s]  The planning commission recommendation was to grant the GR, MU, CO, MP, combined district zoning.
[934.00s -> 937.12s]  And this is ready for consent approval on all three readings.
[937.12s -> 944.28s]  Item number 123 is case C814-88-0001.01.
[944.28s -> 949.00s]  For the property located at 800 North Capitol, Texas, Highway, we have a neighborhood request for
[949.00s -> 952.36s]  post-ponement to your January 23rd agenda.
[953.44s -> 959.48s]  Item number 124 is case C814-88-0001 RCA.
[959.48s -> 962.88s]  For the property located at 800 North Capitol, Texas, Highway.
[963.04s -> 968.04s]  Again, we have a neighborhood request for post-ponement of this case to your January 23rd agenda.
[969.44s -> 977.60s]  Item number 125 is case C14-02-0183 RCT for the property located at 1120 Tillerie Street.
[977.60s -> 982.96s]  Staff is requesting a post-ponement of this item to your January 23rd agenda.
[982.96s -> 990.96s]  Item number 126 is case C14H, 2013-0004 for the property located at 1501 Woodridge Dry.
[990.96s -> 998.08s]  This is to zone the property to family residents, historic landmark, neighbor plan or SF3H and P combined district zoning.
[998.08s -> 1003.40s]  The planning commission recommendation was to grant the SF3H and P combined district zoning.
[1003.40s -> 1006.68s]  And this is ready for consent approval on all three readings.
[1006.68s -> 1015.60s]  Item number 127 is case C14H, 2013-0006 for the property located at 805 Lydia Street.
[1015.60s -> 1022.40s]  This is the zone the property to family residents, historic landmark, neighbor plan or SF3H and P combined district zoning.
[1022.40s -> 1026.96s]  The planning commission's recommendation was to grant the SF3H and P combined district zoning.
[1026.96s -> 1030.20s]  And this is ready for consent approval on all three readings.
[1030.20s -> 1038.40s]  Item number 128 is case C14H, 2013-0007 for the property located at 1911 Cliff Street.
[1038.40s -> 1044.08s]  This is to zone the property to multi-family residents, low density, historic landmark, conditional overlay,
[1044.08s -> 1048.72s]  neighbor plan or MF2HCO MP combined district zoning.
[1048.72s -> 1054.60s]  The planning commission's recommendation was to grant the MF2HCO MP combined district zoning.
[1054.60s -> 1057.52s]  And this is ready for consent approval on all three readings.
[1057.52s -> 1061.92s]  Meir, I think you had one speaker that had signed up in favor on this item.
[1063.12s -> 1064.72s]  On 128.
[1064.72s -> 1065.68s]  But not wishing to speak.
[1068.96s -> 1071.16s]  We have wishing to speak.
[1071.16s -> 1073.72s]  Just, are you out there?
[1073.72s -> 1076.56s]  Okay, so she does not wish to speak.
[1076.56s -> 1077.48s]  Thank you.
[1077.48s -> 1085.56s]  Item number 129 is case C14H, 2013-0008 for the property located at 1504 East 11th Street.
[1085.56s -> 1090.48s]  To family residents, historic landmark, neighbor plan or SF3H and P combined district zoning.
[1090.48s -> 1095.64s]  The planning commission's recommendation was to grant the SF3H and P combined district zoning.
[1095.64s -> 1099.48s]  And this is ready for consent approval on all three readings.
[1099.48s -> 1100.48s]  That's a lot.
[1100.48s -> 1101.48s]  Are you out of breath yet?
[1101.48s -> 1102.48s]  Okay.
[1102.48s -> 1103.48s]  Sorry.
[1103.48s -> 1104.48s]  Item number 109.
[1104.48s -> 1105.48s]  Yeah.
[1105.48s -> 1113.48s]  Mr. Rust-Oven indicated me that that actually we have an ordinance.
[1113.48s -> 1117.48s]  I know the private restricted covenant has been executed.
[1117.48s -> 1124.48s]  And that's the one where I added the additional condition of food sales, which is clear enough and we can still offer that for all three readings today.
[1124.48s -> 1125.48s]  All three.
[1125.48s -> 1128.48s]  All three on 109.
[1128.48s -> 1133.48s]  With the additional, prohibited use that you named.
[1133.48s -> 1134.48s]  All right.
[1134.48s -> 1139.48s]  So, I'll read this back to you a lot quicker.
[1139.48s -> 1145.48s]  To approve item number 92 on third reading.
[1145.48s -> 1153.48s]  To close the public hearing, approve on all three readings, items 96, 97, 98.
[1154.48s -> 1161.48s]  To postpone item 99 until February 13th, postpone item 100 until January 23rd.
[1161.48s -> 1171.48s]  And also postpone 101 until January 23rd.
[1171.48s -> 1173.48s]  Did I miss reading back 98?
[1173.48s -> 1175.48s]  I think I skipped 98.
[1175.48s -> 1176.48s]  Yeah.
[1176.48s -> 1179.48s]  Okay, postpone until February 13th also.
[1179.48s -> 1183.48s]  And that puts me down on 101.
[1183.48s -> 1192.48s]  And 102 to postpone, excuse me, 101 postpone until January 23rd.
[1192.48s -> 1200.48s]  And on items 102 and 103 to approve on first reading only, noting that the public hearing will be kept open.
[1200.48s -> 1202.48s]  And we had that one speaker.
[1202.48s -> 1204.48s]  And we'll get to that in a minute.
[1204.48s -> 1212.48s]  To close the public hearing and approve on all three readings, items 104, 105, 106.
[1212.48s -> 1217.48s]  With the additional conditions that you read into the record, 107.
[1217.48s -> 1223.48s]  And to postpone item 108 until February 13th.
[1224.48s -> 1235.48s]  Excuse me, I'm reminded, February 108 is postponed until February 13th.
[1235.48s -> 1238.48s]  Is that what you have in your record?
[1238.48s -> 1240.48s]  January 23rd.
[1240.48s -> 1241.48s]  Okay.
[1241.48s -> 1251.48s]  To close the public hearing and approve on all three readings, item 109.
[1251.48s -> 1256.48s]  With the prohibitions, prohibited uses that you read into the record.
[1256.48s -> 1269.48s]  Close the public hearing and approve item 110, 111, 112, 113, 114, 115, and 116 on all three readings.
[1269.48s -> 1279.48s]  To close the public hearing and approve on all three readings, item 118, 119, 120, 121, 122.
[1279.48s -> 1289.48s]  To postpone items 123, 124, and 125 until January 23rd.
[1289.48s -> 1299.48s]  Close the public hearing and approve on all three readings, items 126, 127, 128, 129.
[1299.48s -> 1308.48s]  And we have some speakers on that consent list, which I'll call it now first on item 102 and 103, Alan Cole.
[1308.48s -> 1316.48s]  Mr. Mayor and council members, thank you.
[1316.48s -> 1320.48s]  My name is Alan Cole, I live in the Hancock neighborhood.
[1320.48s -> 1323.48s]  And I'm here on behalf of a group of my neighbors.
[1323.48s -> 1333.48s]  This includes petitioners against the proposal to develop the Paris state and dozens of others who have significant concerns about the project in its present form.
[1333.48s -> 1340.48s]  The good news is that for a couple of weeks now we have been in face to face negotiations with the developers' attorneys,
[1340.48s -> 1344.48s]  discussions which have been moderated by council member Morrison.
[1344.48s -> 1352.48s]  We look forward to continuing this work toward an agreement that makes sense, not only for the developer but also for the neighborhood.
[1352.48s -> 1360.48s]  We are grateful to council members Morrison, Tovo, and Martinez in particular for encouraging these conversations.
[1360.48s -> 1368.48s]  Although we hope to find a solution that protects our residential community, let me stress that we are still in discussions.
[1368.48s -> 1376.48s]  The neighborhood association, as you will recall, voted last spring against this proposed zoning change and against the project before you
[1376.48s -> 1380.48s]  by a large margin, over 80% rejected it.
[1380.48s -> 1389.48s]  Moreover, most of the adjoining residents signed a petition against the proposed use as a hotel and outdoor music and event venue.
[1390.48s -> 1397.48s]  Even so, let me say clearly that my neighbors and I are not against the development of the Paris state.
[1397.48s -> 1406.48s]  We simply want this to occur in a manner that is compatible with the neighborhood's single family homes and which has the appropriate scale and limits
[1406.48s -> 1411.48s]  so that this development does not fundamentally change the Hancock neighborhood.
[1411.48s -> 1417.48s]  We are hopeful, even encouraged that conversations with the developer will continue to bear fruit.
[1417.48s -> 1421.48s]  Indeed, we are hopeful that we will find a win-win solution.
[1421.48s -> 1428.48s]  But more conversation, more flexibility, and more sensitivity to how this project will impact the neighborhood are needed.
[1428.48s -> 1430.48s]  Thank you.
[1430.48s -> 1431.48s]  Thank you.
[1431.48s -> 1439.48s]  To speak on item 112 and 120 is Mr. McLeod.
[1440.48s -> 1443.48s]  Well, this is the first.
[1443.48s -> 1455.48s]  I'm surprised you let me speak, but we're not going to pull it off of the consent agenda.
[1455.48s -> 1457.48s]  We haven't voted on it yet, Mr. McLeod.
[1457.48s -> 1458.48s]  Okay.
[1458.48s -> 1461.48s]  Well, I don't know why I'm speaking just on two items.
[1461.48s -> 1464.48s]  Your opportunity to persuade us to do otherwise.
[1464.48s -> 1465.48s]  Okay.
[1466.48s -> 1474.48s]  Well, let me first talk about item number 112 with 290 in Palmer.
[1474.48s -> 1487.48s]  I don't see it have a problem with the restrictions on here, but I think we need to go further on the restrictions and conditions upon approval.
[1488.48s -> 1491.48s]  Now, it says right here that budding streets don't have sidewalk.
[1491.48s -> 1496.48s]  And I'm assuming 290 in Palmer does not have sidewalks.
[1496.48s -> 1502.48s]  This property owner that wants the zoning changed, install sidewalks.
[1502.48s -> 1503.48s]  That's very important.
[1503.48s -> 1506.48s]  But of course, a bike route is available.
[1506.48s -> 1512.48s]  So we're encouraging people to walk in the bike route over on 290 in Palmer.
[1512.48s -> 1515.48s]  And that's a very busy intersection.
[1515.48s -> 1527.48s]  Like I said, I have no problem with this on the condition that y'all make it accessible.
[1527.48s -> 1532.48s]  You need to make your infrastructure accessible.
[1532.48s -> 1534.48s]  And item, okay.
[1534.48s -> 1539.48s]  And then I'll go ahead and I'll speak also on 120, which is the domain.
[1540.48s -> 1548.48s]  The domain, you want to jumble all the zoning all into one big glob.
[1548.48s -> 1553.48s]  I don't know if whatever towns do that.
[1553.48s -> 1557.48s]  Usually it's by plat or by property.
[1557.48s -> 1564.48s]  I'd rather see it one by one than just, and I'm for sure the neighborhood would fill the same way.
[1565.48s -> 1570.48s]  Then to see it all, okay, well this is a big glob, it's mixed, geez, we don't know what's going to go in.
[1570.48s -> 1576.48s]  I don't want an entertainment district in my backyard, in my area, in my neighborhood.
[1576.48s -> 1583.48s]  I'm pretty sure the neighborhood residents on metric don't want to see it either.
[1583.48s -> 1588.48s]  So I am against 120.
[1588.48s -> 1591.48s]  I don't think that's the proper way to deal with it.
[1591.48s -> 1593.48s]  I mean, if it's downtown, that's one thing.
[1594.48s -> 1602.48s]  But you're dealing with multifamily, you're dealing with residents, and I just feel like it's a bad idea.
[1602.48s -> 1608.48s]  And I don't want any more, you know, entertainment districts.
[1608.48s -> 1612.48s]  We should be focusing on better things.
[1612.48s -> 1614.48s]  Thank you.
[1614.48s -> 1615.48s]  Thank you.
[1615.48s -> 1619.48s]  So I'll entertain a motion on the consent agenda.
[1619.48s -> 1621.48s]  Council member Spelman moves approval.
[1621.48s -> 1624.48s]  Mayor Pro Tem Cole seconds.
[1624.48s -> 1625.48s]  Councilor Tovall?
[1625.48s -> 1632.48s]  Mayor, I'd like the record to reflect my vote against 92 and my recusal on 107.
[1632.48s -> 1637.48s]  That was recusal on 97 and against on 92.
[1637.48s -> 1638.48s]  Not quite.
[1638.48s -> 1643.48s]  Again, my vote against 92 and my recusal on 107.
[1643.48s -> 1644.48s]  107, okay.
[1644.48s -> 1645.48s]  Thank you.
[1645.48s -> 1646.48s]  All right.
[1647.48s -> 1650.48s]  So all in favor of the motion say aye.
[1650.48s -> 1651.48s]  Aye.
[1651.48s -> 1652.48s]  Opposed say no.
[1652.48s -> 1661.48s]  Passes on a vote of seven to zero with the customer Tovall shown voting no on 92 and recused on 107.
