Zoning Case: C14-2013-0130
Meeting Date: 2013-12-12T00:00:00.000
Agenda Item: 120
Source URL: http://austintx.swagit.com/play/45604/0/
================================================================================

[0.00s -> 2.00s]  Next
[557.68s -> 561.70s]  This is ready for first reading only mayor. I understand the applicant
[562.34s -> 568.74s]  In a neighbor's have agreed to prohibit one additional use and they would allow this also to stay in that your consent agenda
[568.82s -> 576.78s]  That would be to prohibit food sales as the additional use and then we could leave this on for consent approval for first reading an item number 109
[578.50s -> 584.30s]  Excuse me item number 110 this case c14 2013 0 1 0 6 for the property located
[585.38s -> 587.38s]  50 16 and one half
[591.72s -> 598.62s]  commercial services conditional overlay neighbor plan or cs co MP combined district zoning for tracked one and
[598.96s -> 600.22s]  community commercial
[600.22s -> 605.32s]  Conditional overlay neighbor plan or gry co combined district zoning for track 2 with conditions
[605.74s -> 612.56s]  The plan committed recommendation was to grant the cs co MP combining district zoning for track 1 and gr
[612.56s -> 616.86s]  C O MP combined necessary zoning track for track 2 with conditions
[616.86s -> 626.26s]  I don't number one eleven is Casey fourteen twenty thirteen one ten was all three. That was all three readings. Sorry mayor. Yes. I
[626.26s -> 634.72s]  number one eleven is Casey fourteen twenty thirteen zero one oh nine for the property located ten thousand eight hundred and nineteen
[634.72s -> 642.32s]  FM twenty two twenty two. This is the zone the property to community commercial or G.R. District zoning. Zoning planning commission
[642.32s -> 651.56s]  recommendation was to grant community commercial conditional overlay or G.R. C.O. combined district zoning. Excuse me. And this is ready for consent approval on all three readings.
[651.56s -> 664.00s]  Item number one twelve. This is Casey fourteen twenty thirteen zero one one two for the property located at ninety five thirteen and one half East Palmer Lane.
[664.00s -> 677.12s]  This is a zoning change request to commercial highway services conditional overlay or C.H.C.O. combined district zoning. The zoning plan commission recommendation was to grant the C.H.C.O. combined district zoning.
[677.12s -> 683.96s]  Mayor I believe we have a single property owner or a single law interested party that would like to speak to this item on or if you want to consider.
[683.96s -> 699.40s]  Same thing we'll leave it on consent and we'll call him up before we take a motion. Thank you mayor. Item number one thirteen is case C fourteen twenty thirteen zero one one four for the property located at twenty four thirty nine East say highway seventy one westbound.
[699.40s -> 712.64s]  This is a zoning change request to general commercial services or C.S. district zoning. The zoning and planning commission's recommendation was to grant general commercial services conditional overlay or C.S.O. C.O. combined district zoning.
[712.64s -> 728.84s]  This is ready for consent approval on all three readings. Item number one fourteen is case C fourteen twenty thirteen zero one one five for the property located at twenty four fifteen East state highway seventy one westbound to zone the property to general
[728.84s -> 741.64s]  commercial services or C.S. district zoning the zoning and planning commission's recommendation was to grant general commercial services conditional overlay or C.S.C.O. combined district zoning and this is ready for consent and approval on all three readings.
[742.48s -> 751.40s]  Item number one fifteen is a case C.S. fourteen twenty thirteen zero one twenty two for the property located forty six twenty two South Lamar Boulevard Southbound.
[751.40s -> 768.20s]  This is to zone the property to limited office conditional overlay or L.O. C.O. combined district zoning as amended the planning commission's recommendation was to grant the limited office conditional over the L.O.O. C.O. combined district zoning and this is ready for consent approval on all three readings.
[768.20s -> 791.20s]  Item number one sixteen is case C. fourteen twenty thirteen zero one twenty four for the property located at fourteen thousand four hundred the Lakes Boulevard to zone the property to general commercial services mixed use or C.S. M.U. combined district zoning zoning planning commission's recommendation was to grant the C.S. M.U. district zoning and this is ready for consent approval on all three readings.
[791.20s -> 810.20s]  Item number one seventeen K.C. fourteen twenty thirteen zero one twenty five for the property located at forty ten sawmill drive. I understand the applicant disagrees with the commission's recommendation. There's a citizen here to speak to this item. This might take a little while so we'll take it off for discussion.
[810.20s -> 816.20s]  Item number one eighteen is K.C. fourteen twenty thirteen zero one twenty seven.
[817.20s -> 830.20s]  For the property located at thirty one oh nine south Lamar Boulevard. This is on the property to commercial liquor sales vertical mixed use building or C.S. one V. combined district zoning the planning commission's recommendation was to grant.
[831.20s -> 844.20s]  The C.S. one V. combined district zoning and this is ready for consent approval on all three readings. Item number one nineteen is K.C. fourteen twenty thirteen zero one twenty eight for the property located at ten thousand seven hundred thirty south I.H.
[844.20s -> 863.20s]  thirty five service road southbound to zone two general commercial services mixed use or C.S. M.U. combined district zoning the zoning planning commission's recommendation was to grant general commercial services mixed use conditional overlay or C.S. M.U. C. O. combined district zoning and this is ready for consent approval on all three readings.
[864.20s -> 877.20s]  Item number one twenty is K.C. fourteen twenty thirteen zero one thirty for the property located at eleven thousand eight twenty four burn at road to zone the property to major industrial plan development area or M.I. P.D.A.
[878.20s -> 888.20s]  district zoning to change a condition of zoning recommendation was to grant the M.I. P.D.A. zoning with the conditions and this is ready for consent approval on all three readings.
[889.20s -> 901.20s]  I remember we have one individual to speak to that item. Same thing. Okay. Item number one twenty one is K.C. fourteen twenty thirteen zero one thirty five for the property located at seventeen oh one red river street.
[902.20s -> 911.20s]  This is a zone the property to P. District zoning the plan commission recommendation was to grant the P.D.A. district zoning and this is ready for consent approval on all three readings.
[911.20s -> 920.20s]  Item number one twenty two K.C. fourteen twenty thirteen zero one thirty seven for the property located at fifty five thirteen southbound parkway.
[920.20s -> 928.20s]  This is on the property to community commercial mixed use conditional overlay neighbor plan or G.R. M.U. C.O. M.P. combined district zoning.
[928.20s -> 936.20s]  The plan commission recommendation was to grant the G.R. M.U. C.O. M.P. combined district zoning and this is ready for consent approval on all three readings.
[936.20s -> 947.20s]  Item number one twenty three is K.C. eight fourteen dash eighty eight dash zero zero zero one point oh one for the property located at eight hundred north capital Texas highway.
[947.20s -> 962.20s]  We have a neighborhood request for postponement to your January twenty third agenda. Item number one twenty four is K.C. eight fourteen dash eighty eight dash zero zero zero one RCA for the property located eight hundred north capital Texas highway.
[962.20s -> 968.20s]  We have again we have a neighborhood request for postponement of this case to your January twenty third agenda.
[968.20s -> 977.20s]  Item number one twenty five is K.C. fourteen oh two dash zero one eighty three R.C.T. for the property located eleven twenty Tilbury street.
[977.20s -> 982.20s]  Staff is requesting a postponement of this item to your January twenty third agenda.
[982.20s -> 990.20s]  Item number one twenty six is K.C. fourteen H. twenty thirteen zero zero zero zero four for the property located at fifteen one Woodridge dry.
[990.20s -> 997.20s]  This is to zone the property to family residents historic landmark they plan our SF three H. M.P. combined district zoning.
[997.20s -> 1006.20s]  The plan commission recommendation was to grant the SF three H.M.P. combined district zoning and this is ready for consent approval on all three readings.
[1006.20s -> 1015.20s]  Item number one twenty seven is K.C. fourteen H. twenty thirteen zero zero zero six for the property located at five Lydia street.
[1015.20s -> 1022.20s]  This is the zone the property to family residents historic landmark neighbor plan or SF three H.M.P. combined district zoning.
[1022.20s -> 1029.20s]  The planning commission's recommendation was to grant the SF three H.M.P. combined district zoning and this is ready for consent approval on all three readings.
[1029.20s -> 1038.20s]  Item number one twenty eight is K.C. fourteen H. twenty thirteen zero zero zero seven for the property located at nineteen eleven Cliff street.
[1038.20s -> 1048.20s]  This is to zone the property to multi family residents low density historic landmark conditional overlay neighbor plan or M.F.T. H.C.O. M.P. combined district zoning.
[1048.20s -> 1057.20s]  The plan commission's recommendation was to grant the M.F.T. H.C.O. M.P. combined district zoning and this is ready for consent approval on all three readings.
[1057.20s -> 1062.20s]  Mayor I think you had one speaker that had signed up in favor on this item.
[1062.20s -> 1068.20s]  On one twenty eight. But not wishing to speak.
[1068.20s -> 1072.20s]  We have wishing to speak. I don't believe.
[1072.20s -> 1077.20s]  Are you out there? Okay so she does not wish to speak. Thank you.
[1077.20s -> 1085.20s]  Item number one twenty nine is K.C. fourteen H. twenty thirteen zero zero zero eight for the property located at fifteen oh four east eleven street.
[1085.20s -> 1090.20s]  To family residents historic landmark neighbor plan or S.F.T.H.M.P. combined district zoning.
[1090.20s -> 1099.20s]  The plan commission's recommendation was to grant the S.F.T.H.M.P. combined district zoning and this is ready for consent approval on all three readings.
[1099.20s -> 1105.20s]  Well that's a lot. Are you out of breath yet?
[1105.20s -> 1108.20s]  Okay. Mayor on item number one oh nine.
[1108.20s -> 1113.20s]  Mr. Russell and indicated me that that actually we have an ordinance.
[1113.20s -> 1121.20s]  I know the private restricted covenant has been executed and that's the one where I added the additional condition of food sales.
[1121.20s -> 1128.20s]  Which is clear enough and we can still offer that for all three readings today. All three. All three on one oh nine.
[1128.20s -> 1134.20s]  With the additional prohibited use of prohibited use that you named. All right.
[1134.20s -> 1139.20s]  So I'll read this back to you a lot quicker.
[1139.20s -> 1145.20s]  To approve item number ninety two on third reading.
[1145.20s -> 1153.20s]  To close the public hearing and approve on all three readings items ninety six ninety seven ninety eight.
[1154.20s -> 1161.20s]  Post phone item ninety nine until February thirteen post phone item one hundred till January twenty third.
[1161.20s -> 1165.20s]  And also post phone one oh one until January twenty third.
[1171.20s -> 1174.20s]  Did I miss reading back ninety eight post phone.
[1174.20s -> 1175.20s]  I think I think I skipped ninety eight.
[1175.20s -> 1179.20s]  Yeah okay post phone till February thirteen also.
[1179.20s -> 1183.20s]  And that puts me down on one oh one.
[1183.20s -> 1188.20s]  And one oh two to post phone.
[1188.20s -> 1192.20s]  Excuse me one oh one post phone until January twenty third.
[1192.20s -> 1195.20s]  And on items one oh two and one oh three.
[1195.20s -> 1200.20s]  To approve on first reading only noting that the public hearing will be kept open.
[1200.20s -> 1202.20s]  And we had that one speaker.
[1202.20s -> 1204.20s]  And we'll get to that in a minute.
[1204.20s -> 1211.20s]  And to close the public hearing and approve on all three readings items one oh four one oh five.
[1211.20s -> 1217.20s]  One oh six with the additional conditions that you read into the record one oh seven.
[1217.20s -> 1220.20s]  And to post phone item one oh eight.
[1220.20s -> 1225.20s]  Until February thirteen to.
[1225.20s -> 1236.20s]  Excuse me I'm reminded February one oh eight is post phone until February thirteen.
[1236.20s -> 1242.20s]  Is that what you have in your record January twenty third okay.
[1242.20s -> 1251.20s]  To close the public hearing and approve on all three readings item one oh nine.
[1251.20s -> 1256.20s]  With the prohibitions prohibited uses that you read into the record.
[1256.20s -> 1269.20s]  Close public hearing and approve item one ten one eleven one twelve one thirteen one fourteen one fifteen and one sixteen on all three readings.
[1269.20s -> 1279.20s]  To close the public hearing and approve on all three readings item one eighteen one nineteen one twenty one twenty one twenty one one twenty two.
[1279.20s -> 1289.20s]  To postpone items one twenty three one twenty four and one twenty five until January twenty third.
[1289.20s -> 1299.20s]  Close the public hearing and approve on all three reading readings items one twenty six one twenty seven one twenty eight one twenty nine.
[1300.20s -> 1314.20s]  And we have some speakers on that consent list which I'll call it now first on item one oh two and one oh three Alan Cole.
[1314.20s -> 1323.20s]  Mr. Mayor and council members thank you my name is Alan Cole I live in the Hancock neighborhood and I'm here on behalf of a group of my neighbors.
[1323.20s -> 1333.20s]  This includes petitioners against the proposal to develop the period state and dozens of others who have significant concerns about the project in its present form.
[1333.20s -> 1344.20s]  The good news is that for a couple of weeks now we have been in face to face negotiations with the developers attorneys discussions which have been moderated by council member Morrison.
[1344.20s -> 1352.20s]  We look forward to continuing this work toward an agreement that makes sense not only for the developer but also for the neighborhood.
[1352.20s -> 1360.20s]  We are grateful to council members Morrison, Tovo and Martinez in particular for encouraging these conversations.
[1360.20s -> 1368.20s]  Although we hope to find a solution that protects our residential community let me stress that we are still in discussions.
[1368.20s -> 1380.20s]  The neighborhood association as you will recall voted last spring against this proposed zoning change and against the project before you by a large margin over eighty percent rejected it.
[1380.20s -> 1390.20s]  Moreover most of the adjoining residents signed a petition against the proposed use as a hotel and outdoor music and event venue.
[1390.20s -> 1397.20s]  Even so let me say clearly that my neighbors and I are not against the development of the period state.
[1397.20s -> 1406.20s]  We simply want this to occur in a manner that is compatible with the neighborhood single family homes and which has the appropriate scale and limits.
[1406.20s -> 1411.20s]  So that this development does not fundamentally change the Hancock neighborhood.
[1411.20s -> 1417.20s]  We are hopeful even encouraged that conversations with the developer will continue to bear fruit.
[1417.20s -> 1421.20s]  Indeed we are hopeful that we will find a win-win solution.
[1421.20s -> 1428.20s]  But more conversation, more flexibility and more sensitivity to how this project will impact the neighborhood are needed.
[1429.20s -> 1430.20s]  Thank you.
[1430.20s -> 1431.20s]  Thank you.
[1431.20s -> 1439.20s]  To speak on item 112 and 120 is Mr. McLeod.
[1439.20s -> 1443.20s]  Well this is the first.
[1443.20s -> 1455.20s]  I am surprised you let me speak but we are not going to pull it off of the consent agenda.
[1456.20s -> 1458.20s]  We haven't voted on it yet Mr. McLeod.
[1458.20s -> 1459.20s]  Okay.
[1459.20s -> 1462.20s]  Well I don't know why I am speaking just on two items.
[1462.20s -> 1465.20s]  Your opportunity to persuade us to do otherwise.
[1465.20s -> 1466.20s]  Okay.
[1466.20s -> 1474.20s]  Well let me first talk about item number 112 with 290 and Palmer.
[1474.20s -> 1482.20s]  I don't see it have a problem with the restrictions on here but I think we need to go a bit further on the restrictions.
[1483.20s -> 1487.20s]  And conditions upon approval.
[1487.20s -> 1491.20s]  It says right here that budding streets don't have sidewalk.
[1491.20s -> 1496.20s]  And I am assuming 290 and Palmer does not have sidewalks.
[1496.20s -> 1502.20s]  This property owner that wants the zoning changed install sidewalks.
[1502.20s -> 1503.20s]  That is very important.
[1503.20s -> 1506.20s]  But of course a bike route is available.
[1507.20s -> 1513.20s]  So we are encouraging people to walk in the bike route over on 290 and Palmer.
[1513.20s -> 1518.20s]  And that is a very busy intersection.
[1518.20s -> 1529.20s]  Like I said I have no problem with this on the condition that y'all make it accessible.
[1529.20s -> 1534.20s]  You need to make your infrastructure accessible.
[1535.20s -> 1540.20s]  Okay and then I will go ahead and I will speak also on 120 which is the domain.
[1540.20s -> 1549.20s]  The domain you want to jumble all the zoning all into one big glob.
[1549.20s -> 1554.20s]  I don't know if whatever towns do that.
[1554.20s -> 1558.20s]  Usually it is by plat or by property.
[1558.20s -> 1562.20s]  If you want to see it one by one then just.
[1562.20s -> 1565.20s]  And I am first sure the neighborhood would fill the same way.
[1565.20s -> 1571.20s]  Then to see it all okay well this is a big glob it is mixed geese we don't know what is going to go in.
[1571.20s -> 1577.20s]  I don't want an entertainment district in my backyard in my area in my neighborhood.
[1577.20s -> 1583.20s]  I am pretty sure the neighborhood residents on metric don't want to see it either.
[1584.20s -> 1589.20s]  So I am against 120.
[1589.20s -> 1592.20s]  I don't think that is the proper way to deal with it.
[1592.20s -> 1594.20s]  I mean if it is downtown that is one thing.
[1594.20s -> 1597.20s]  But you are dealing with multifamily.
[1597.20s -> 1602.20s]  You are dealing with residents and I just feel like it is a bad idea.
[1602.20s -> 1608.20s]  I don't want any more entertainment districts.
[1609.20s -> 1613.20s]  We should be focusing on better things.
[1613.20s -> 1614.20s]  Thank you.
[1614.20s -> 1615.20s]  Thank you.
[1615.20s -> 1619.20s]  So I will entertain a motion on the consent agenda.
[1619.20s -> 1622.20s]  Council member Spelman moves approval.
[1622.20s -> 1624.20s]  Mayor Pro Tem Cole seconds.
[1624.20s -> 1625.20s]  Councillor Tovall.
[1625.20s -> 1631.20s]  Mayor I would like the record to reflect my vote against 92 and my recusal on 107.
[1631.20s -> 1637.20s]  That was recusal on 97 and against on 92.
[1638.20s -> 1639.20s]  Not quite.
[1639.20s -> 1642.20s]  My vote against 92 and my recusal on 107.
[1642.20s -> 1643.20s]  107.
[1643.20s -> 1644.20s]  Okay.
[1644.20s -> 1645.20s]  Thank you.
[1645.20s -> 1646.20s]  All right.
[1646.20s -> 1651.20s]  So all in favor of the motion say aye.
[1651.20s -> 1652.20s]  Aye.
[1652.20s -> 1653.20s]  Opposed say no.
[1653.20s -> 1662.20s]  Passes on a vote of 7 to 0 with the Council member Tovall showing voting no on 92 and recused on 107.
