Zoning Case: C14-2017-0067
Meeting Date: 2018-03-22T00:00:00.000
Agenda Item: 91
Source URL: http://austintx.swagit.com/play/45759/0/
================================================================================

[0.00s -> 5.00s]  I'm sorry, 91.
[97.00s -> 101.00s]  However, it is only available for a commercial use and not a residential use.
[101.00s -> 104.00s]  As I said, the proposed use is self-storage.
[104.00s -> 108.00s]  We do have letters of support, I believe, from four neighbor associations
[108.00s -> 109.00s]  who support the use.
[109.00s -> 112.00s]  And they're supporting the use because it's such a low traffic generator.
[112.00s -> 117.00s]  It is subject to a private restricted comment with the staff to see it.
[117.00s -> 120.00s]  And with that, I'm available for any questions.
[120.00s -> 127.00s]  All right.
[127.00s -> 130.00s]  Let's ask the applicant to come up.
[130.00s -> 132.00s]  We have five minutes.
[139.00s -> 148.00s]  Look at that.
[148.00s -> 152.00s]  Pictures teed up.
[152.00s -> 158.00s]  Well, I'll tell you what, since it's late.
[158.00s -> 166.00s]  It's not late yet.
[167.00s -> 169.00s]  My name is Richard Settle.
[169.00s -> 172.00s]  I'm here on behalf of the applicant and I'll try to make this quick.
[172.00s -> 175.00s]  My client started meeting with the neighbors a while back.
[175.00s -> 181.00s]  And this is kind of a, it's another champion case and I apologize in advance.
[181.00s -> 187.00s]  But it's a 13 acre track, but it's not really 13 acres.
[187.00s -> 190.00s]  What you see up there is the entire track.
[190.00s -> 195.00s]  But when you start looking at it, you've got basically 3.7 of it is usable
[195.00s -> 203.00s]  and it's kind of down in a hole and it's anywhere from 167 feet to 265 feet off the curve.
[203.00s -> 207.00s]  The conversations with the neighbors as I understand it went something like,
[207.00s -> 210.00s]  what would be the lowest traffic generator in this area?
[210.00s -> 213.00s]  Because as we know, traffic has always been an issue here.
[213.00s -> 217.00s]  And self-storage is a very low traffic generator.
[217.00s -> 224.00s]  The unfortunate part about self-storage is the lowest zoning category that you can ask for as a permitted use is CS.
[224.00s -> 232.00s]  So the zoning case was filed for CS zoning with the very narrow limitation of just self-storage is the only CS use.
[232.00s -> 242.00s]  If you were to do a permitted use, CS, self-storage use, it would kind of look like that.
[242.00s -> 248.00s]  Buildings would tuck in, be way off the curb and generate very little traffic.
[248.00s -> 252.00s]  That is a picture of what you'll see and you can't even see the building.
[252.00s -> 259.00s]  But off on the right hand side, you see barely a little bitty building behind the pole there because this site sits in a hole.
[259.00s -> 266.00s]  That is a building built to 40 feet of height under the hill country with the density bonus and that's what it would look like.
[266.00s -> 272.00s]  That's another shot from 2222 and another shot as you come around.
[272.00s -> 281.00s]  So while other uses may be appropriate for the site under its current zoning, I think a lot of folks,
[281.00s -> 286.00s]  including the neighbors that have signed letters of support, think that self-storage on this site,
[286.00s -> 294.00s]  it doesn't take a great piece of property out of commerce because it's 13 acres, but it's only 3 point something usable.
[294.00s -> 300.00s]  It's down in a hole, it's in a floodplain, and that seemed to be a good use.
[300.00s -> 309.00s]  These are just some elevation differences to show that surrounding neighborhoods really won't be impacted by these buildings because they'll be down below the tree line.
[309.00s -> 315.00s]  These are some other zoning categories up and down. There's not really any CS around.
[315.00s -> 322.00s]  That is the biggest issue is that if we had any other zoning category to ask for that would allow this is a permitted use we'd ask for it.
[322.00s -> 326.00s]  You can drop down to WLO zoning, but it becomes two things.
[326.00s -> 333.00s]  A conditional use permit to get your site planned and it's limited to 25 feet or one and one story.
[333.00s -> 340.00s]  And even if you got a planning commission bump to go to 35 feet, you're tied to one story and that won't work.
[340.00s -> 350.00s]  And so office warehouse or WLO is not an option for my client and it won't accept or agree to that.
[350.00s -> 355.00s]  That's essentially a site plan layout and those are the pictures.
[355.00s -> 367.00s]  You will hear I think tonight from some of the neighborhoods, we have a private restrictive covenant with Kona that limits it to one use and specifies their support of the zoning and the site plan.
[367.00s -> 377.00s]  So with that, I'll stop answering questions you might have and hope we have a good debate.
[377.00s -> 384.00s]  Thank you. Thank you.
[384.00s -> 389.00s]  Is Carol Lee here?
[389.00s -> 392.00s]  What about.
[392.00s -> 394.00s]  I'm sorry.
[394.00s -> 403.00s]  And Marissa Lipscher is on deck.
[403.00s -> 405.00s]  Good evening, mayor and council members.
[405.00s -> 414.00s]  My name is Carol Lee and I'm the very recently elected president of 2222 coalition of neighborhood associations.
[414.00s -> 424.00s]  I want to start off publicly thanking Andy Pastor and Brenda Callahan from Endeavour real estate.
[424.00s -> 430.00s]  I think they've done a tremendous job of outreaching to the neighborhoods.
[430.00s -> 443.00s]  She actually used the community registry, I think, and tried to hunt down everybody that they could find and meet with whoever was interested in both small and large groups.
[443.00s -> 450.00s]  We had some open, honest conversation and I think that's how developers and neighbors all work together.
[450.00s -> 455.00s]  So I do commend their efforts on that.
[455.00s -> 468.00s]  The 2222 Kona board does support the rezoning to CS with the incorporation of the staff conditions that have been recommended.
[468.00s -> 474.00s]  That's a very important part of it.
[474.00s -> 489.00s]  So I do want to let you know I sent in a letter and we have their six official member neighborhoods and Kona at this point.
[489.00s -> 496.00s]  And we vary in size from 200 households to almost 1200.
[496.00s -> 499.00s]  And so I wanted to give you some context on that.
[499.00s -> 510.00s]  It was not a unanimous vote and I know you have some information in your backup and they hear from some others tonight that our member neighborhoods.
[510.00s -> 528.00s]  And so I wanted to be honest about where we were on that, but it was supported by a majority of the board and we do support the requested CS with the conditions that staff is recommending in your backup.
[528.00s -> 529.00s]  Thank you.
[529.00s -> 530.00s]  Thank you.
[530.00s -> 531.00s]  I wanted to ask.
[531.00s -> 536.00s]  Miss Lee, I wanted to, Carol, I wanted to ask.
[536.00s -> 541.00s]  First of all, congratulations, I guess.
[541.00s -> 544.00s]  Our condolences.
[544.00s -> 551.00s]  I wanted to just ask you, which were the neighborhoods that did not support it?
[552.00s -> 554.00s]  Well, let me tell you.
[554.00s -> 555.00s]  Within.
[555.00s -> 557.00s]  Because not all the neighborhoods over there.
[557.00s -> 558.00s]  Right.
[558.00s -> 559.00s]  Right.
[559.00s -> 560.00s]  The six member neighborhoods.
[560.00s -> 565.00s]  We have two phases of Long Canyon that both have a director on the board.
[565.00s -> 576.00s]  And River Place, the River Place, Westminster Glen, those were the four that were supporting it.
[577.00s -> 582.00s]  And Glen Lake and Jester States were the two member neighborhoods that were not.
[582.00s -> 583.00s]  Okay.
[583.00s -> 585.00s]  And Jester States is right next to it.
[585.00s -> 588.00s]  And then Shepherd Mountain is not part of your group.
[588.00s -> 589.00s]  They are not a member.
[589.00s -> 590.00s]  Right.
[590.00s -> 591.00s]  Okay.
[591.00s -> 597.00s]  And Shepherd Mountain, just for the record, Shepherd Mountain and Jester States are the two neighborhoods that are closest to this property.
[597.00s -> 604.00s]  Thank you.
[605.00s -> 612.00s]  Good evening.
[612.00s -> 626.00s]  I am, I am Maddy Silipshire and I'm president of the Shepherd Mountain Neighborhood Association, which Council Member Alter just did in fact recognize yes is not in fact a member of Kona.
[627.00s -> 637.00s]  So tonight I am going to just briefly ask you to respect the ZAP recommendation and to not support this zoning request change.
[637.00s -> 640.00s]  And Shepherd Mountain thought long and hard about this.
[640.00s -> 643.00s]  And I do want to repeat what Carol Lee just said.
[643.00s -> 653.00s]  And that is that I do commend Endeavor for working with Shepherd Mountain for being transparent and for engaging us in the conversation.
[654.00s -> 659.00s]  And when realizing that we were not part of the conversation, getting us involved as quickly as possible.
[659.00s -> 663.00s]  And I do want to say that Shepherd Mountain does appreciate that.
[663.00s -> 671.00s]  But after looking at this project, we are still not comfortable with this rezoning request.
[671.00s -> 677.00s]  We do recognize that there are neighborhoods who have agreed to sign a private restrictive covenant.
[677.00s -> 681.00s]  But that leaves us too vulnerable.
[681.00s -> 684.00s]  Our neighborhood is very close to this location.
[684.00s -> 690.00s]  And we have learned that the best protections are, if at all, with city zoning.
[690.00s -> 695.00s]  Not with private restrictive covenants that will never be recognized by the city of Austin.
[695.00s -> 700.00s]  So we ask that you do please support the ZAP recommendation and keep the zoning intact.
[700.00s -> 704.00s]  Thank you.
[704.00s -> 713.00s]  Mr. Lifter, what is the element that's in the restrictive covenant that is not guaranteed to you?
[713.00s -> 728.00s]  The biggest element is that if the property is sold sometime within the next five years, ten years, fifteen years, our neighborhood is just too small.
[728.00s -> 749.00s]  And we do not have the budget to, I'm going to put it very frankly, storage is a great place to park real estate until the owner decides it might be a great opportunity to build something that would fall under commercial zoning CSCO.
[750.00s -> 752.00s]  And we are a small neighborhood.
[752.00s -> 769.00s]  And we would not, a feature owner might not, might find it more cost effective to fight a small neighborhood like us in the courts while they continue to build something that does comply with CSCO zoning.
[770.00s -> 785.00s]  So it's not one particular element, it's this concern that we would be obligated to defend a restrictive covenant that would be completely irrelevant to this council.
[786.00s -> 787.00s]  Tell me if I understand.
[787.00s -> 801.00s]  So your concern is that if we do the CS zoning, even if there's a CO that limits it just to storage facilities, that at some point in the future, someone's going to try to take off the CO and do a different CSUs.
[801.00s -> 802.00s]  Yes.
[802.00s -> 807.00s]  And the CO zoning also, I believe, I'm not prepared to talk about that tonight.
[807.00s -> 813.00s]  I think the people who are coming after me are going to talk about the risk in CO zoning.
[813.00s -> 821.00s]  So I know it's a little premature, but CO zoning, I think, is also very much at risk with CodeNext.
[821.00s -> 825.00s]  And CodeNext is right around the corner.
[825.00s -> 830.00s]  And there are just too many unknown factors.
[830.00s -> 838.00s]  Do you have an objection to that use on the property, the storage use?
[838.00s -> 841.00s]  No, not necessarily, the storage use.
[842.00s -> 844.00s]  But what it might turn into in the future.
[844.00s -> 845.00s]  What it might turn into in the future.
[845.00s -> 846.00s]  Got it.
[846.00s -> 847.00s]  Thank you.
[847.00s -> 848.00s]  Okay.
[848.00s -> 861.00s]  Mayor, if I might just clarify, it's not the CO that restricts it to one use, it's the restrictive covenant that restricts it to one use so they can do other uses under the CO side storage if they wanted.
[861.00s -> 866.00s]  Well put, that's exactly right.
[867.00s -> 881.00s]  But just the LO uses, because my understanding is that it's a CS base, but then they COed it back to LO plus cell storage is a use.
[881.00s -> 886.00s]  I think that's correct, but they still have other uses under it besides storage.
[886.00s -> 893.00s]  So it is not, it's not that the property can only be used for storage, but they're not CS uses, they're the uses that exist today.
[893.00s -> 894.00s]  Right.
[895.00s -> 896.00s]  Okay.
[896.00s -> 898.00s]  They have, they have zoning today that entitles them to do things.
[898.00s -> 899.00s]  Yeah.
[899.00s -> 900.00s]  Let's put it this way.
[900.00s -> 903.00s]  We would feel a lot better with storage if it complied with current zoning.
[903.00s -> 908.00s]  Now I know there are some hype differences and difficulties.
[908.00s -> 916.00s]  All we want is developers around our area to respect current zoning because that's all we can rely on to protect us.
[916.00s -> 922.00s]  So this is what I'm confused on in Jerry, I think, ultimately, I need help understanding.
[922.00s -> 925.00s]  The property is currently zoned for LR uses.
[925.00s -> 926.00s]  Correct.
[926.00s -> 928.00s]  They can build LR uses.
[928.00s -> 929.00s]  Correct.
[929.00s -> 934.00s]  This case, as proposed, would give one additional use.
[934.00s -> 941.00s]  It would allow for the uses allowed in LO and a singular CS use of self-storage.
[941.00s -> 943.00s]  It's currently zoned LO.
[943.00s -> 944.00s]  It's currently zoned LR.
[944.00s -> 945.00s]  LR.
[945.00s -> 951.00s]  So it would be essentially going up to CS, but the only CS use allowed would be self-storage.
[951.00s -> 955.00s]  Otherwise it would be LO uses, which is actually less than LR.
[955.00s -> 956.00s]  Okay.
[956.00s -> 961.00s]  So it's not the storage unit that you object to.
[961.00s -> 965.00s]  You object to the LR uses.
[965.00s -> 970.00s]  I object to the Zoe object.
[970.00s -> 971.00s]  That's not just me.
[971.00s -> 973.00s]  It's an entire neighborhood.
[974.00s -> 982.00s]  We object to any zoning that does not comply with that would allow for storage units today.
[982.00s -> 986.00s]  It sounds like they could build storage units, but they want more height.
[986.00s -> 988.00s]  So we would just like them.
[988.00s -> 999.00s]  We do not want them, again, to be able to turn this property around to park storage units and then to turn it around for some other grandiose uses in five years, ten years, because once they have CS,
[1000.00s -> 1004.00s]  CS, CO zoning, any number of things could happen.
[1004.00s -> 1006.00s]  And we're not part of this restrictive covenant.
[1006.00s -> 1007.00s]  And then we chose not to be.
[1007.00s -> 1008.00s]  They did invite us.
[1008.00s -> 1014.00s]  We chose not to be because we chose to defend ourselves with zoning, not with the restrictive covenant.
[1014.00s -> 1020.00s]  But what is the, and Jerry, I'm sorry.
[1020.00s -> 1028.00s]  I'm confused here and I'm trying to figure out, and maybe it's listening to more questions, but more.
[1029.00s -> 1050.00s]  The concern is, is that if it goes to CSLO, I mean CSCO, or A concern, is that if it goes to CSCO to allow for storage unit use, is the concern that at some point it could be put to a different CS use other than storage?
[1050.00s -> 1051.00s]  Yes.
[1051.00s -> 1057.00s]  Okay, is there any concern other than it could go to a CS use other than storage?
[1057.00s -> 1060.00s]  Are you concerned that something else would happen?
[1060.00s -> 1063.00s]  And by you, I mean the group.
[1063.00s -> 1065.00s]  Right now that is our primary concern.
[1065.00s -> 1068.00s]  We do have other concerns, but that is our primary.
[1068.00s -> 1073.00s]  What is it that limits this property to just the storage unit?
[1073.00s -> 1076.00s]  It would be the conditional overlay.
[1076.00s -> 1079.00s]  The conditional overlay would not limit it to just storage units.
[1079.00s -> 1084.00s]  The conditional overlay would say the only CS use permitted is the self-storage.
[1084.00s -> 1088.00s]  So only one possible self-storage, only one possible CS use.
[1088.00s -> 1089.00s]  Self-storage.
[1089.00s -> 1094.00s]  Otherwise it would be LO uses, which is basically an office.
[1094.00s -> 1100.00s]  But the concern is that it would be a different CS use, and it can't because of the CO.
[1100.00s -> 1101.00s]  Correct.
[1101.00s -> 1103.00s]  That's not because of the restrictive covenant.
[1103.00s -> 1106.00s]  No, but the restricted covenant does the same thing.
[1106.00s -> 1109.00s]  The private restricted covenant does the same thing, but we're not a party to that.
[1109.00s -> 1112.00s]  The city CO also restricts it to that single CS use.
[1112.00s -> 1115.00s]  So they're both the zoning and a restrictive covenant?
[1115.00s -> 1116.00s]  Yes, and they both do the same thing.
[1116.00s -> 1120.00s]  The restricted covenant is actually a little bit stricter than the cities.
[1120.00s -> 1127.00s]  And you're concerned that a future council might remove the CO.
[1127.00s -> 1131.00s]  The future council will not be able to amend.
[1131.00s -> 1135.00s]  It will not be obligated to even consider a restrictive covenant.
[1135.00s -> 1136.00s]  You are not.
[1136.00s -> 1139.00s]  This is a private restrictive covenant.
[1139.00s -> 1144.00s]  So the CO zoning, yes, I'm worried about the CO.
[1144.00s -> 1148.00s]  The conditional overuse disappearing, frankly speaking, especially with Code Next.
[1148.00s -> 1152.00s]  You're concerned about a council in the future keeping the CS, but we're moving the
[1152.00s -> 1154.00s]  CO, which limits it to storage.
[1154.00s -> 1156.00s]  That's another possibility, yes.
[1156.00s -> 1162.00s]  Is there another scenario that you're worried about other than a future council
[1162.00s -> 1166.00s]  removing the CO limitation?
[1166.00s -> 1167.00s]  Code Next.
[1167.00s -> 1168.00s]  Got it.
[1168.00s -> 1169.00s]  Okay.
[1169.00s -> 1170.00s]  Thank you.
[1170.00s -> 1171.00s]  If I could address that real quick.
[1171.00s -> 1175.00s]  If this case were approved as recommended by the staff, they have a CO done under
[1175.00s -> 1176.00s]  Code Next.
[1176.00s -> 1178.00s]  We'll give them a call on F-25 zoning.
[1178.00s -> 1181.00s]  And the CO would remain even after Code Next is adopted.
[1181.00s -> 1182.00s]  Okay.
[1182.00s -> 1186.00s]  Well, your concern is that that's just what they're proposing.
[1186.00s -> 1189.00s]  We don't know what's going to happen ultimately.
[1189.00s -> 1190.00s]  Exactly.
[1190.00s -> 1195.00s]  If pie in the sky, I wish that this zoning case would not occur until we knew
[1195.00s -> 1197.00s]  what was going to happen with Code Next.
[1197.00s -> 1198.00s]  Gotcha.
[1198.00s -> 1199.00s]  Thank you.
[1199.00s -> 1202.00s]  And I will also add that Chef Mountain shares the views of the other two speakers
[1202.00s -> 1206.00s]  that are coming after me, but the ones I just addressed are our primary ones.
[1206.00s -> 1207.00s]  Thank you.
[1207.00s -> 1208.00s]  Okay.
[1208.00s -> 1210.00s]  Next speaker is Linda Bailey.
[1210.00s -> 1213.00s]  And then is Tony Iglesias here?
[1213.00s -> 1219.00s]  You'll be on deck at the next podium.
[1219.00s -> 1220.00s]  Thank you, Ms. Bailey.
[1220.00s -> 1228.00s]  You have three minutes.
[1228.00s -> 1229.00s]  Hi.
[1229.00s -> 1230.00s]  My name is Linda Bailey.
[1230.00s -> 1231.00s]  Hang on a second.
[1231.00s -> 1232.00s]  What do you like from?
[1232.00s -> 1233.00s]  Hi.
[1233.00s -> 1234.00s]  I'm Linda Bailey.
[1234.00s -> 1238.00s]  I am the newly elected president of Lake Austin Collective.
[1238.00s -> 1243.60s]  And I'd like to follow up on what Marissa said.
[1243.60s -> 1248.44s]  We had a vote at Lake Austin Collective and we voted to deny the CS zoning because it's
[1248.44s -> 1250.00s]  too intense.
[1250.00s -> 1256.68s]  If you look for CS zoning around us for miles, there is none because it's considered too intense
[1256.68s -> 1259.16s]  in our particular area.
[1259.16s -> 1266.16s]  If you look at Miami, Louisiana, New York, Los Angeles, New York, San Francisco, Charleston,
[1266.16s -> 1270.88s]  Louisville, they're putting restrictions on self-storage.
[1270.88s -> 1271.88s]  Why?
[1271.88s -> 1283.40s]  Because self-storage does not have high economic value and it has low property tax income compared
[1283.40s -> 1288.80s]  to other uses.
[1288.80s -> 1294.20s]  So in this particular case, they're going from L-O-C-O to proposed C-S-C-O.
[1294.20s -> 1300.60s]  Under the current code, you're trying to fit and why this is confusing a round peg in
[1300.60s -> 1302.40s]  a square hole.
[1302.40s -> 1307.68s]  They only have one choice for storage unit under permitted.
[1307.68s -> 1316.36s]  Hence they have to go, all of these cases go for rezoning and they have conditional overlays.
[1316.44s -> 1324.20s]  I went into the Amanda system, I looked at the site plans for anything that was self-storage
[1324.20s -> 1328.56s]  and every single one has a C-O. Why?
[1328.56s -> 1331.36s]  Because we don't have a good zoning code.
[1331.36s -> 1335.20s]  It's not because of the developer, it's because the code is lacking.
[1335.20s -> 1341.88s]  When we look at version three and code next for some direction, the CS Z-O maps generally
[1341.88s -> 1346.04s]  to F-25 perpetuating the old code.
[1346.04s -> 1350.12s]  There were two cases where it went to MU.
[1350.12s -> 1353.40s]  C-O's are planned to go away.
[1353.40s -> 1356.60s]  CS is too intense for our area.
[1356.60s -> 1361.00s]  That's why they're all these negotiated C-Os, you with me?
[1361.00s -> 1363.00s]  I can show you the data.
[1363.00s -> 1371.24s]  Also when I look for the text during version three, CW is the permitted case and it's
[1371.24s -> 1377.08s]  only got a height of 25 feet, perpetuating rezoning requests.
[1377.08s -> 1386.80s]  It's not a solution when we look at storage units because the 25 feet is only two stories.
[1386.80s -> 1397.76s]  Please help find a better code for convenience storage than CS because it begets a big mess.
[1397.76s -> 1403.08s]  Here's a data that I looked at and if you'll look down, you'll see that it's either F-25
[1403.08s -> 1408.72s]  or some very strange MU applications that I don't really understand.
[1408.72s -> 1411.72s]  They all have C-Os.
[1411.72s -> 1418.20s]  This just is an inappropriate zoning code.
[1418.20s -> 1420.00s]  Help us find a better one.
[1420.00s -> 1421.00s]  Thank you.
[1421.00s -> 1422.00s]  Thank you.
[1422.00s -> 1423.00s]  Mayor?
[1423.00s -> 1424.00s]  Ms. Bailey?
[1424.00s -> 1425.00s]  Ms. Bailey?
[1426.00s -> 1431.84s]  I just want to understand, if I'm going to try to understand what you're saying, you're
[1431.84s -> 1436.56s]  not in favor of it because you don't think it will create enough tax revenues?
[1436.56s -> 1442.52s]  I'm saying the reason why other places are putting restrictions on zoning codes, other
[1442.52s -> 1447.60s]  cities, is because it has low economic value, it does not create a lot of jobs.
[1447.60s -> 1451.24s]  So you'd like to see something here that did create a lot of economic value?
[1451.24s -> 1456.44s]  Well, the office next door creates a lot of economic value.
[1456.44s -> 1457.44s]  Okay.
[1457.44s -> 1461.00s]  And then your other point was that you don't think we should do F-25 zoning?
[1461.00s -> 1465.12s]  We should be doing zoning that will survive the transition to code next?
[1465.12s -> 1466.12s]  Yes.
[1466.12s -> 1467.12s]  Okay.
[1467.12s -> 1468.12s]  Thank you.
[1468.12s -> 1469.12s]  Okay.
[1469.12s -> 1474.04s]  Stay in a mirror here.
[1474.04s -> 1478.20s]  You'll be at the next podium, sir.
[1478.20s -> 1479.20s]  Okay.
[1479.20s -> 1480.20s]  Thank you, Mayor.
[1480.20s -> 1482.20s]  Mayor Potem, Council members.
[1482.20s -> 1488.64s]  My name is Tony Iglesias, and I am here representing the Westminster Glen Neighborhood Association.
[1488.64s -> 1493.68s]  We have 200 households in District 10.
[1493.68s -> 1502.68s]  And the Westminster Glen HOA is in support of the rezoning from LRCO to CSCO, as recommended
[1502.68s -> 1504.84s]  by staff.
[1504.84s -> 1509.80s]  And there are three primary reasons that we are in support of it.
[1509.80s -> 1513.48s]  The first is traffic and traffic safety.
[1513.48s -> 1521.00s]  The intersection at 2222 and City Park Road is a common choke point for a lot of neighborhoods,
[1521.00s -> 1530.68s]  including Westminster Glen, of course, but Austin City Park, Green Shores, as well as the bottom
[1530.68s -> 1536.80s]  half of River Place often uses that way to get to and from the city.
[1536.80s -> 1545.60s]  And so we have this one choke point, and there's, the proposed development is, well,
[1545.60s -> 1551.24s]  I think there's something like 470 trips allocated in reality.
[1551.24s -> 1556.28s]  We were expecting, and this is speaking for myself, there to be way fewer on the order
[1556.28s -> 1562.40s]  of 100 or less trips per day at that intersection.
[1562.40s -> 1568.36s]  And most of those trips will be at non-peak times, because when people use self-storage
[1568.36s -> 1573.24s]  is not at rush hour typically, or at least they'll be spread out throughout the day.
[1573.24s -> 1578.72s]  The alternative proposal, which is an office building, we are expecting to bring 1,000 trips
[1578.72s -> 1586.24s]  a day roughly at those worst times for us when we're trying to get to and from work.
[1587.24s -> 1594.24s]  The second reason we're in support is because self-storage is a fairly quiet use.
[1594.24s -> 1598.24s]  It has limited hours in general.
[1598.24s -> 1604.24s]  And the third reason is because the applicant, I think, as people have mentioned,
[1604.24s -> 1608.24s]  did due diligence in trying to work with the neighborhoods.
[1608.24s -> 1615.24s]  They entered into a restrictive covenant with 2222 Kona, which Westminster Glen is a part.
[1615.24s -> 1623.24s]  And the restrictive covenant is even more restrictive as brought up earlier than the staff recommendation.
[1623.24s -> 1628.24s]  The applicant engaged in educated neighbors throughout the process,
[1628.24s -> 1633.24s]  and they not only educated and engaged, but they also made concessions,
[1633.24s -> 1639.24s]  some expensive concessions, including a pitched roof, which is much nicer to look at from above,
[1639.24s -> 1643.24s]  for example, than a flat roof with air-conditioning condensed units,
[1644.24s -> 1649.24s]  is what we're afraid we might see if they go with the alternative plan of an office building.
[1649.24s -> 1653.24s]  So in summary, on behalf of the Westminster Glen Home Under Association,
[1653.24s -> 1658.24s]  we urge you to vote in favor of this proposed zoning change.
[1658.24s -> 1666.24s]  Mr. Iglesias, mask if you'd be in support of another zoning category that allowed for storage if it was less intensive than CS zoning.
[1666.24s -> 1669.24s]  I would.
[1669.24s -> 1670.24s]  Thank you.
[1670.24s -> 1673.24s]  But to my knowledge, one doesn't exist.
[1673.24s -> 1678.24s]  That also means the developer's criteria.
[1678.24s -> 1680.24s]  Yeah, thank you.
[1680.24s -> 1682.24s]  Is Brenda Langford here?
[1682.24s -> 1684.24s]  You'll be at this podium.
[1684.24s -> 1687.24s]  Go ahead, Ms. Miller.
[1687.24s -> 1688.24s]  Good evening.
[1688.24s -> 1690.24s]  Thank you for your service on the City Council.
[1690.24s -> 1695.24s]  I used to be a council light a long time ago, and I know how much effort is involved,
[1695.24s -> 1697.24s]  and I appreciate your service.
[1697.24s -> 1698.24s]  I'm Diana Miller.
[1698.24s -> 1704.24s]  I'm the president of the Jester Home Owners Association, which represents 900 homes.
[1704.24s -> 1709.24s]  Jester is one of the most impacted neighborhoods of Champion Track 1C zoning request.
[1709.24s -> 1712.24s]  Jester also is a longtime member of Kona.
[1712.24s -> 1716.24s]  Jester opposes the CS zoning for the following reasons.
[1716.24s -> 1719.24s]  The current zoning will be a much smaller footprint.
[1719.24s -> 1723.24s]  That's a small footprint.
[1724.24s -> 1731.24s]  The existing L.R. would build about 60 to 80,000 square feet, and they say if they don't get commercial storage,
[1731.24s -> 1736.24s]  they would probably go with light office, which I think Jester would definitely favor.
[1736.24s -> 1741.24s]  If they do get the CS zoning, that will allow them to build up to 108,000 square feet,
[1741.24s -> 1745.24s]  and that would be a much bigger footprint.
[1745.24s -> 1749.24s]  So we're very concerned about it.
[1749.24s -> 1754.24s]  Endeavor touts that CS will have lower traffic counts than L.R.,
[1754.24s -> 1759.24s]  but this is meaningless because if you consider traffic counts as maybe M&Ms,
[1759.24s -> 1764.24s]  Champion Track 1, 2, and 3 are restricted to 6,800 M&Ms.
[1764.24s -> 1769.24s]  So even if they only use 400 on this track, they can eat all the other M&Ms
[1769.24s -> 1771.24s]  on the other tracks that are close by.
[1771.24s -> 1776.24s]  So to us, you're still going to have that traffic count there.
[1776.24s -> 1779.24s]  So that just doesn't make sense to us.
[1779.24s -> 1784.24s]  CS zoning is a very bad precedent for the 2020 corridor.
[1784.24s -> 1793.24s]  Even though it would allow other future developments to use that as a precedent because future,
[1793.24s -> 1796.24s]  nobody's going to really think back why they got CS zoning.
[1796.24s -> 1801.24s]  They're just going to say there is CS zoning there, so now you can use it.
[1802.24s -> 1805.24s]  CS zoning is too intense.
[1805.24s -> 1810.24s]  And Jester does object to the storage use because we believe it decreases property values.
[1810.24s -> 1812.24s]  They say they're not going to put banners.
[1812.24s -> 1816.24s]  They say they're not going to use trucks, but I've not seen a pretty,
[1816.24s -> 1819.24s]  even though they say they've got Michael shoe designing it,
[1819.24s -> 1821.24s]  you put a big banner, you put something in front of it.
[1821.24s -> 1824.24s]  It's not a pretty building. It's a big shoe box.
[1824.24s -> 1829.24s]  So I think there's a lot of other many neighborhoods that are opposed to this
[1829.24s -> 1833.24s]  development or to the zoning change and like Bull Creek,
[1833.24s -> 1836.24s]  Lakewood, Shepherd's Mountain.
