Zoning Case: C14-2013-0114
Meeting Date: 2013-12-12T00:00:00.000
Agenda Item: 113
Source URL: http://austintx.swagit.com/play/45604/0/
================================================================================

[0.00s -> 2.00s]  Next
[557.68s -> 561.70s]  This is ready for first reading only mayor. I understand the applicant
[562.34s -> 568.74s]  In a neighbor's have agreed to prohibit one additional use and they would allow this also to stay in that your consent agenda
[568.82s -> 576.78s]  That would be to prohibit food sales as the additional use and then we could leave this on for consent approval for first reading an item number 109
[578.50s -> 584.30s]  Excuse me item number 110 this case c14 2013 0 1 0 6 for the property located
[585.38s -> 587.38s]  50 16 and one half
[591.70s -> 594.56s]  commercial services conditional overlay neighbor plan or CS
[595.38s -> 602.42s]  co MP combined district zoning for tracked one and community commercial conditional overlay neighbor plan or grco
[602.94s -> 605.32s]  Combined district zoning for track two with conditions
[605.74s -> 613.54s]  The plan commission's recommendation was to grant the csc omp combining district zoning for track one and grco MP
[613.78s -> 617.10s]  combined district zoning track for track two with conditions I
[618.10s -> 626.00s]  Don't number 111 this case c14 2013 1 10 was all three that was all three readings. Sorry mayor. Yes
[627.02s -> 634.64s]  I don't number 1 11 this case c14 2013 0 1 0 9 for the property located at 10 819
[635.10s -> 637.10s]  FM 22 22
[637.30s -> 645.06s]  This is the zone the property to community commercial or gr district zoning zoning planning commission's recommendation was to grant community commercial conditional overlay
[645.18s -> 647.74s]  Our grco combined district zoning
[648.42s -> 651.38s]  Excuse me, and this is ready for consent approval on all three readings
[652.74s -> 658.82s]  I don't number 112 this case c14 2013 0 1 1 2
[659.42s -> 661.42s]  For the property located at
[661.62s -> 663.78s]  95 13 and one half east plumber lane
[664.78s -> 672.50s]  This is a zoning change request to commercial highway services conditional overlay or chco combined district zoning
[672.78s -> 677.78s]  The zoning plan commission recommendation was to grant the chco combined district zoning mayor
[677.78s -> 683.08s]  I believe we have a single property owner or a single law interested party that would like to speak to this item
[683.08s -> 688.56s]  I don't know if you want to consider same thing. We'll leave it on a consent and we'll call them up. Okay, before we take a motion
[688.90s -> 696.44s]  Thank you mayor item number 113 is case c14 2013 0 1 1 4 for the property located at 24 39
[696.80s -> 704.24s]  East say highway 71 westbound. This is zoning change request to general commercial services or CS district zoning
[704.36s -> 712.60s]  The zoning and planning commission's recommendation was to grant general commercial services conditional overlay or cso co combined district zoning
[712.60s -> 714.92s]  This is ready for consent approval on all three readings
[716.24s -> 718.24s]  item number 114
[718.48s -> 724.52s]  As case c14 2013 0 1 1 5 for the property located at 24 15
[724.88s -> 730.84s]  East stay highway 71 westbound to zone the property to general commercial services or CS district zoning
[731.00s -> 738.44s]  The zoning and planning commission's recommendation was to grant general commercial services conditional overlay or cso combined district zoning
[738.44s -> 741.48s]  And this is ready for consent and approval on all three readings
[742.04s -> 749.04s]  I don't number 115 is the case c14 2013 0 1 22 for the property located at 46 22
[749.36s -> 751.36s]  South Lamar Boulevard southbound
[751.52s -> 759.52s]  This is to zone the property to limited office conditional overlay or l o co combined district zoning as amended the planning commission's recommendation
[760.16s -> 768.08s]  Was to grant the limited office conditional over that l o co combined district zoning and this is ready for consent approval on all three readings
[768.72s -> 769.96s]  item number
[769.96s -> 773.60s]  116 is case c14 2013 0 1 24
[774.32s -> 778.76s]  For the property located at 14 400 the lakes boulevard
[778.88s -> 782.56s]  To zone the property to general commercial services mixed use or CS
[782.96s -> 788.40s]  Am you combine district zoning zoning planning commission's recommendation was to grant the CS Am you district zoning?
[788.40s -> 791.12s]  This is ready for consent approval and all three readings
[792.32s -> 799.72s]  An item number 117 case c14 2013 0 1 25 for the property located at 40 10 saw mill drive
[799.72s -> 801.72s]  I understand the applicant
[801.72s -> 809.64s]  Disagrees with the commission's recommendation. There's a citizen here to speak to this item. This might take a little while. So we take it off for discussion
[810.72s -> 816.08s]  The item number 118 is case c14 2013 0 1 27
[816.96s -> 820.20s]  For the property located at 31 0 9 south Lamar Boulevard
[820.76s -> 826.20s]  This is on the property to commercial liquor sales vertical mixed use building or CS 1 v
[826.64s -> 830.08s]  combined district zoning the planning commission's recommendation was to grant
[830.92s -> 837.92s]  The CES 1 v combined district zoning and this is ready for consent approval on all three readings item number 119
[837.92s -> 846.52s]  It's case c14 2013 0 1 28 for the property located at 10 730 south I H 3 5 service road southbound
[847.40s -> 856.04s]  To zone to general commercial services mixed use or CS Am you combine district zoning the zoning planning commission's recommendation was to grant general commercial services mixed use
[856.04s -> 862.80s]  Conditional overlay or CS Am you co combine district zoning and this is ready for consent approval and all three readings?
[864.24s -> 871.50s]  I don't number 120 is case c14 2013 0 1 30 for the property located at 11,000 824
[871.50s -> 876.96s]  Burnet Road to zone the property to major industrial plan development area our MI PDA
[879.80s -> 886.00s]  District zoning to change a condition of zoning some recommendation was to grant the MI PDA zoning with the
[886.08s -> 893.32s]  Conditions and this is ready for consent approval on all three readings. I remember we have one individual to speak to that item same thing
[893.60s -> 900.76s]  Okay, I don't number 121 is case c14 2013 0 1 35 for the property located at 17 0 1
[901.08s -> 907.28s]  Red River Street. This is a zone the property to P district zoning the plan commission recommendation was to grant the P
[907.28s -> 910.46s]  District zoning and this is ready for consent approval on all three readings
[911.24s -> 913.24s]  item number 122
[914.04s -> 920.08s]  Case c14 2013 0 1 37 for the property located 55 13 southwood parkway
[920.08s -> 925.62s]  This is on the property to community commercial mixed use conditional overlay neighbor plan or gr
[925.64s -> 933.28s]  Mu co MP combine district zoning the plan commission recommendation was to grant the gr Mu co MP combine district zoning
[933.28s -> 936.20s]  And this is ready for consent approval on all three readings
[936.56s -> 943.48s]  I don't number 123 is case c8 14 dash 88 dash 0 0 0 1 0 1
[943.88s -> 947.24s]  For the property located 800 north capital, Texas highway
[947.44s -> 952.24s]  We have a neighborhood request for post-ponement to your January 23rd agenda
[952.84s -> 958.12s]  I don't number 124 is case c8 14 dash 88 dash 0 0 0 1
[958.64s -> 962.32s]  RCA for the property located 800 north capital, Texas highway
[962.40s -> 967.92s]  We have again, we have a neighborhood request for post-ponement of this case to your January 23rd agenda
[968.88s -> 971.68s]  I don't number 125 is case c14 0 2
[972.08s -> 977.00s]  That's 0 1 83 RCT for the property located 11 20 Tillerie Street
[977.24s -> 981.96s]  Staff is requesting a post-ponement of this item to your January 23rd agenda
[982.40s -> 985.20s]  The item number 126 is case c14 H
[986.32s -> 990.16s]  2013 0 0 0 4 for the property located at 15 1 Woodridge Dry
[990.44s -> 997.40s]  This is to zone the property to family residents historic landmark neighbor plan or SF 3 H and P combined district zoning
[997.52s -> 1005.64s]  The plan goes to recommendation was to grant the SF 3 H and P combined district zoning and this is ready for consent approval on all three readings
[1006.16s -> 1008.16s]  I had a number 127
[1008.96s -> 1014.92s]  It's case c14 H 2013 0 0 0 0 6 for the property located at a 5 Lydia Street
[1015.00s -> 1021.76s]  This is the zone the property to family residents historic landmark neighbor plan or SF 3 H and P combined district zoning
[1021.80s -> 1028.92s]  The planning commission's recommendation was to grant the SF 3 H and P combined district zoning and this is ready for consent approval on all three readings
[1029.60s -> 1036.20s]  I don't number 128 is case c14 H 2013 0 0 0 0 7 for the property located at
[1036.68s -> 1037.80s]  1911 Cliff Street
[1037.80s -> 1043.44s]  This is to zone the property to multi-family residents low density historic landmark conditional overlay
[1043.44s -> 1053.96s]  neighbor plan or MF 2 H Co MP combined district zoning the planning commission's recommendation was to grant the MF 2 H Co MP combined district zoning
[1053.96s -> 1057.44s]  And this is ready for consent approval on all three readings me
[1057.44s -> 1061.80s]  I think you had one speaker that had signed up in favor on this item
[1062.44s -> 1065.52s]  On 128 but not wishing to speak
[1066.52s -> 1068.52s]  We
[1068.52s -> 1071.44s]  We have wishing to speak I don't believe
[1072.16s -> 1079.24s]  Are you out there? Okay, so she does not wish to speak. Thank you. I don't number 129's case c14 H
[1079.68s -> 1088.48s]  2013 0 0 0 8 for the property located at 1504 East 11th Street to family residents historic landmark neighbor plan or SF 3 H
[1088.48s -> 1095.12s]  MP combined district zoning the planning commission's recommendation was to grant the SF 3 H and P combined district zoning and
[1095.68s -> 1100.88s]  This is ready for consent approval on all three readings. Well, that's a lot. Are you out of breath yet?
[1105.12s -> 1112.00s]  Okay, ma'am item number 109. Yeah, mr. Rust-Oven indicated me that that actually we have an ordinance
[1113.20s -> 1117.12s]  I know the private restricted covenant has been executed and
[1117.76s -> 1120.56s]  That's the one where I added the additional condition of food sales
[1120.96s -> 1124.96s]  Which is clear enough and we can still offer that for all three readings today all three
[1125.52s -> 1127.52s]  on one oh no
[1128.28s -> 1133.72s]  With the additional can prohibited use of prohibited use that you named all right
[1134.48s -> 1137.88s]  So I'll read this back to you a lot quicker
[1140.68s -> 1144.64s]  To approve item number 92 on third reading
[1145.44s -> 1149.64s]  To close the public hearing approval in all three readings items 96
[1150.92s -> 1152.92s]  97 98
[1153.80s -> 1160.44s]  To postpone item 99 until February 13th postpone item 100 till January 23rd and
[1161.60s -> 1164.76s]  Also postponed 101 until January 23rd
[1171.04s -> 1177.96s]  Did I miss reading back 98 post I think I think I think I'm 98. Yeah, okay post until February 13th also
[1178.96s -> 1181.80s]  And that puts me down on 101
[1182.92s -> 1184.92s]  and
[1184.92s -> 1186.76s]  102 to postpone
[1188.36s -> 1194.88s]  Excuse me 101 postponed until January 23rd and on items 102 and 103
[1195.44s -> 1201.38s]  To approve on first reading only noting that the public hearing will be kept open and we had that one speaker
[1201.76s -> 1204.36s]  and when we would get to that in a minute and to
[1204.80s -> 1210.48s]  Close the public hearing and approve on all three readings items 104 105
[1211.48s -> 1216.32s]  106 with the additional conditions that you read into the record 107 and
[1217.32s -> 1219.32s]  To postpone item 108
[1220.84s -> 1222.84s]  until February 13th
[1223.80s -> 1225.80s]  to
[1230.64s -> 1238.40s]  Excuse me I'm reminded February 108 is postponed until February 13th is that what you have in your record
[1239.40s -> 1241.40s]  January 23rd, okay
[1242.84s -> 1244.84s]  to
[1246.72s -> 1250.88s]  Close the public hearing and approve on all three readings item 109
[1251.68s -> 1253.08s]  with the
[1253.08s -> 1259.68s]  Prohibitions prohibited uses that you read into the record close the public hearing and approve item 110
[1261.08s -> 1263.08s]  111 112 113
[1264.36s -> 1268.36s]  114 115 and 116 on all three readings
[1269.20s -> 1273.60s]  To close the public hearing and approve on all three readings item 118
[1274.64s -> 1276.64s]  119 120
[1277.24s -> 1279.24s]  121 122
[1279.52s -> 1281.12s]  to
[1281.12s -> 1283.08s]  postpone items
[1283.08s -> 1285.24s]  123
[1285.24s -> 1288.72s]  124 and 125 until January 23rd
[1289.72s -> 1296.32s]  Close the public hearing and approve on all three readings items 126 127
[1296.72s -> 1298.24s]  128
[1298.24s -> 1300.08s]  129 and
[1300.08s -> 1307.72s]  We have some speakers on that consent list which I'll call it now first on item 102 and 103 Alan Cole
[1314.04s -> 1317.76s]  Mr. Mayor and council members, thank you. My name is Alan Cole
[1317.76s -> 1322.96s]  I live in the Hancock neighborhood and I'm here on behalf of a group of my neighbors
[1323.36s -> 1332.76s]  This includes petitioners against the proposal to develop the paria state and dozens of others who have significant concerns about the project in its present form
[1333.40s -> 1337.24s]  The good news is that for a couple of weeks now we have been in face-to-face
[1338.04s -> 1340.04s]  Negotiations with the developers attorneys
[1340.76s -> 1344.32s]  Discussions which have been moderated by council member Morrison
[1344.56s -> 1348.80s]  We look forward to continuing this work toward an agreement that makes sense
[1349.20s -> 1352.20s]  Not only for the developer, but also for the neighborhood
[1352.96s -> 1360.00s]  We are grateful to council members Morrison Tovo and Martinez in particular for encouraging these conversations
[1360.72s -> 1364.72s]  Although we hope to find a solution that protects our residential community
[1364.72s -> 1371.72s]  Let me stress that we are still in discussions the neighborhood association as you will recall voted last spring
[1372.28s -> 1378.36s]  Against this proposed zoning change and against the project before you by a large margin over 80%
[1379.00s -> 1383.92s]  Rejected it more over most of the adjoining residents signed a petition
[1384.40s -> 1389.40s]  Against the proposed use as a hotel and outdoor music and event venue
[1390.76s -> 1396.52s]  Even so, let me say clearly that my neighbors and I are not against the development of the paria state
[1396.96s -> 1406.08s]  We simply want this to occur in a manner that is compatible with the neighborhood single-family homes and which has the appropriate scale and limits
[1406.32s -> 1410.80s]  So that this development does not fundamentally change the Hancock neighborhood
[1411.36s -> 1416.64s]  We are hopeful even encourage that conversations with the developer will continue to bear fruit
[1417.12s -> 1420.48s]  Indeed, we are hopeful that we will find a win-win solution
[1420.88s -> 1429.08s]  But more conversation more flexibility and more sensitivity to how this project will impact the neighborhood are needed. Thank you
[1430.28s -> 1435.60s]  Thank you to speak on item one twelve and one twenty
[1436.16s -> 1438.16s]  is
[1438.16s -> 1440.16s]  Mr. McLeod
[1441.28s -> 1443.28s]  Well, this is the first I
[1447.96s -> 1449.96s]  I'm surprised
[1449.96s -> 1457.16s]  You let me speak, but we're not going to pull it out pull it off of the consent agenda. We haven't voted on it yet, mr
[1457.16s -> 1458.88s]  McLeod, okay
[1458.88s -> 1464.36s]  Well, I don't know why I'm speaking just on to either opportunity to persuade us to do otherwise
[1465.08s -> 1466.36s]  Okay
[1466.36s -> 1468.36s]  Well, let me first
[1469.20s -> 1473.84s]  Talk about or item number one twelve with two ninety and Palmer
[1475.92s -> 1481.88s]  I don't see it have a problem with the restrictions on here, but I think we need to go a bit further on the restrictions
[1484.52s -> 1487.16s]  And conditions upon approval
[1487.64s -> 1495.28s]  No, it says right here the budding streets don't have sidewalk and I'm assuming two ninety and Palmer does not have sidewalks
[1496.92s -> 1501.88s]  This property owner that wants the zoning changed install sidewalks
[1502.32s -> 1505.88s]  That's very important, but of course a bike route is available
[1506.44s -> 1515.08s]  So we're encouraging people to walk in the bike route over on two ninety and Palmer, and that's a very busy intersection
[1517.72s -> 1520.78s]  Like I said, I have no fate and no problem with this
[1523.28s -> 1527.20s]  On the condition that y'all make it accessible
[1528.80s -> 1530.80s]  You need to make your
[1531.48s -> 1533.48s]  infrastructure accessible and
[1533.64s -> 1537.46s]  Item okay, and then I'll go ahead and I'll speak also on 120
[1538.32s -> 1540.08s]  Which is the domain?
[1540.08s -> 1541.92s]  the domain
[1541.92s -> 1543.24s]  you want to
[1543.24s -> 1545.24s]  jumble all
[1545.40s -> 1548.36s]  Zoning all into one big glob. I
[1549.92s -> 1553.20s]  Don't know if whether whatever towns do that
[1554.08s -> 1556.08s]  Usually it's by
[1556.08s -> 1564.04s]  Platt or by property. I'd rather see it one by one than just and I'm first sure the neighborhood would fill the same way
[1565.04s -> 1570.20s]  Then to see it all okay. Well, this is a big glob. It's mixed use. We don't know what's gonna go in I
[1570.72s -> 1572.72s]  don't want an entertainment district in
[1573.24s -> 1580.28s]  My backyard in my area in my neighborhood. I'm pretty sure the neighborhood the residents on metric
[1580.56s -> 1582.56s]  Don't want to see it either
[1583.12s -> 1586.08s]  So I am against 120
[1588.36s -> 1593.26s]  I don't think that's the proper way to deal with it. I mean if it's downtown, that's one thing
[1593.84s -> 1598.56s]  But you you're dealing with multifamily you're dealing with a residence
[1599.20s -> 1604.64s]  And I just feel like it's a bad idea and I don't want any more, you know
[1606.04s -> 1608.04s]  Entertainment districts
[1608.04s -> 1610.04s]  We should be
[1610.88s -> 1613.08s]  Focusing on better things. Thank you
[1614.16s -> 1615.44s]  Thank you
[1615.44s -> 1618.32s]  So I'll entertain a motion on the consent agenda
[1619.60s -> 1623.60s]  Council member Spelman moves approval mayor pro tem Cole seconds
[1624.36s -> 1625.40s]  Councilor Tovall
[1625.40s -> 1630.88s]  Mayor I'd like the record to reflect my vote against 92 and my recusal on 107
[1632.08s -> 1643.12s]  It was a recusal on 97 and against on 92 not quite again my vote against 92 and my recusal on 107
[1643.68s -> 1645.68s]  Thank you
[1645.68s -> 1647.52s]  Alright
[1647.52s -> 1652.40s]  So all in favor of the consent of the motion say aye aye pose say no
[1653.60s -> 1660.84s]  Passes on a vote of seven to zero with the customer tovo showing showing voting no on 92 and recused on 107
