Zoning Case: C14-2011-0047
Meeting Date: 2012-01-12T00:00:00.000
Agenda Item: 89
Source URL: http://austintx.swagit.com/play/44940/0/
================================================================================

[0.00s -> 5.38s]  And that brings us to our 2 p.m. Zoning cases
[464.18s -> 470.02s]  Zoning with the conditional overlay in accordance with the staff recommendation. This is ready for consent approval and all three readings
[470.62s -> 474.38s]  item number 95 is KC 14 2011 zero one forty four
[475.46s -> 479.10s]  This is for the property located eight oh one to eight twenty one
[479.22s -> 486.30s]  Pat and Avenue to zone the pop property to public or p district zoning the zoning planning Commission recommendation was to grant the
[486.70s -> 494.06s]  P district zoning and this is ready for consent approval and all three readings item number 96 is KC 14 2011 zero one forty five
[494.14s -> 501.10s]  For the property located at eight eighteen to eight twenty six Pat and Avenue on this is to zone the property to P
[501.30s -> 507.94s]  District zoning the zoning and planning Commission recommendation was to grant P district zoning. This is ready for consent approval on all three readings
[508.42s -> 511.90s]  Item number ninety seven is KC 14 2011
[512.74s -> 518.70s]  zero one forty eight. This is for the property located at fourteen nine twenty six north FM six twenty road
[519.10s -> 524.38s]  the zoning change the request is to general commercial services or CS district zoning the zoning and
[525.94s -> 531.58s]  Actually, this case staff is requesting a post-pulment to your January 26th agenda
[532.42s -> 541.50s]  Item number ninety eight is KC 14 2011 zero one fifty one for the property located 12 four oh seven north mopak
[541.54s -> 548.38s]  Expressway northbound unit two seventy five to zone the property to commercial liquor sales or CS one district zoning
[548.62s -> 555.06s]  Zoning and planning Commission's recommendation was to grant the CS one district zoning and this is ready for consent approval and all three readings
[556.66s -> 562.06s]  items ninety nine and one hundred are related item and let me read both of those into the record and
[562.54s -> 568.22s]  Mayor the the applicant just has a quick comment and then I could offer that as a consent item as well
[568.38s -> 574.98s]  Case c14 2011 zero one fifty three for the property located eight oh seven eight oh nine and a portion of eight eleven
[575.02s -> 577.74s]  South them are boulevard now. This is to
[578.30s -> 583.22s]  Resume the property to multifamily residents highest density conditional overlay or MF six
[584.38s -> 586.72s]  CO combined district zoning the
[587.18s -> 594.98s]  Planning Commission recommendation was to grant the MF six CO combined district zoning and that's ready for consent approval on first reading only
[595.26s -> 601.70s]  The related item is item 100. This is case c14 2011 zero one fifty four for the property
[601.70s -> 604.46s]  We'll get nine oh three nine oh five South them are boulevard
[604.46s -> 609.92s]  He's on the property to multifamily residents highest density or MF six CO combined district zoning
[610.26s -> 614.86s]  Planning Commission's recommendation was to grant the MF six CO combined district zoning
[614.86s -> 620.74s]  This is ready for consent approval and first reading as I said note that just the applicant had a quick comment on
[621.14s -> 624.34s]  Well pull it off if anyone wants to speak okay
[624.98s -> 626.98s]  That's item 99 and 100
[628.82s -> 636.38s]  Item number one on one is case c14 2011 zero one fifty nine. This is for the property located eight oh one and
[636.90s -> 638.54s]  one half south
[638.54s -> 644.50s]  First street. This is the zone the property to neighborhood office neighbor plan or no MP combined district zoning
[644.62s -> 648.54s]  The Planning Commission recommendation was to grant the neighborhood office
[648.54s -> 653.86s]  Neighbor plan or no MP combined district zoning. This is ready for consent approval and all three readings again
[653.86s -> 658.46s]  I'll just note that the address was eight oh one and not fifty eight oh one eight oh one and a half
[659.22s -> 667.50s]  South first street the last item is also a discussion item mayor and that concludes the items I can offer for consent at this time
[674.10s -> 676.10s]  So the consent agenda
[676.10s -> 679.50s]  is to postpone item 78
[680.06s -> 681.46s]  79
[681.46s -> 690.02s]  80 81 82 83 84 and 85 until February 2nd and
[691.10s -> 699.10s]  to close the public hearing and approve on all three readings the Planning Commission recommendation for 86 and
[700.78s -> 702.78s]  87
[702.78s -> 704.78s]  to
[708.46s -> 716.90s]  Close to postpone item 88 until I believe it's March 1st you read March 2nd, but that's a Friday
[716.90s -> 718.90s]  I think it's March 22nd
[719.42s -> 722.86s]  This is a post-ponement date March 22nd. That's correct
[724.38s -> 727.90s]  And to close the public hearing on approve on first
[729.58s -> 731.58s]  First reading only
[731.94s -> 735.46s]  The zoning and Planning Commission recommendation for 89 and 90
[736.02s -> 738.94s]  Well, and the Plank Mr. recommendation on 89
[740.46s -> 742.46s]  90s that one that I
[743.10s -> 746.10s]  Did not have a recommendation. That's right on item 90
[746.78s -> 748.06s]  but
[748.06s -> 753.82s]  It is a staff recommendation on item 90, but first reading only in the public hearing closed. That's correct
[755.46s -> 760.70s]  To postpone item 91 until February 2nd
[762.58s -> 766.02s]  To close the public hearing and approve on all three readings
[767.98s -> 769.98s]  Item 94
[770.54s -> 772.54s]  Planning Commission recommendation
[773.26s -> 775.26s]  95
[775.50s -> 777.50s]  Zoning and Planning Commission recommendation
[779.06s -> 785.14s]  Close the public hearing and approve on all three readings zoning and Planning Commission recommendation for 96 also
[786.26s -> 788.26s]  to postpone
[788.66s -> 790.30s]  until
[790.30s -> 792.94s]  January 26th item 97
[793.66s -> 799.74s]  To close the public hearing on approve on all three readings is owning Planning Commission recommendation for
[800.34s -> 802.34s]  number 98
[803.14s -> 809.06s]  To close the public hearing and approve on all three readings of Planning Commission recommendation
[809.50s -> 811.50s]  for item 101 and
[812.66s -> 816.66s]  To postpone item 102 until January 26
[817.66s -> 819.14s]  No
[819.14s -> 822.98s]  Mayor on the last one item 102 that would be a discussion item
[825.06s -> 827.82s]  Correction item 102 is off the
[828.86s -> 832.54s]  Synagenda so that I'll entertain a motion for the consent agenda
[834.46s -> 836.46s]  Airpro Tem Cole moves approval
[837.34s -> 846.18s]  Second by Councilman Morrison discussion quick question for mr. Grinsie mr. Grinsie. Mr. Grinsie. Mr. Grinsie 78 78 79 80 81
[846.66s -> 849.42s]  283 have been on our agenda and postpone many times
[849.42s -> 855.18s]  I wonder if you could give us some sense of why and whether or not they'll be ready in on February. I
[855.70s -> 858.74s]  Think they will be ready in February
[859.90s -> 861.38s]  We've been working with park staff
[861.38s -> 866.46s]  I think there's been some questions about housing issues and a couple things and I think we're still working through those
[866.46s -> 871.62s]  I think with the community and working with the parks department, but hopefully on groundhog day will be able to
[872.62s -> 874.14s]  Deal with it
[874.18s -> 880.06s]  On that time great you have gotten some questions about why you know there are people who really want to see that?
[880.70s -> 886.94s]  Completed so I just wanted a sense of where where we were and those sound like I'm getting a knowledge from the park staff
[886.94s -> 891.18s]  That are here 9 and they think it will go that day. Well, we'll look forward to hearing about it in February. Thanks
[892.22s -> 894.22s]  All in favor say aye there
[894.78s -> 901.14s]  Yes, we're a spellman before we will please show me recused on items 86 and 87. That's my homestead is in Hyde Park
[902.14s -> 909.10s]  All right, the clerk will show the council member Spelman recused on items 86 and 87
[909.66s -> 912.78s]  All in favor say aye. Aye. Opposed say no
[913.94s -> 918.98s]  Passes on a vote of seven to zero with council member Spelman recused on 86 and 87
