Zoning Case: C14H-2010-0004
Meeting Date: 2010-08-19T00:00:00.000
Agenda Item: 50
Source URL: http://austintx.swagit.com/play/45422/0/
================================================================================

[0.00s -> 2.00s]  Mr. Guernsey.
[531.00s -> 540.00s]  The cap is the greater of those two numbers, but either one of those numbers is less than what the city exemption would have been without the cap altogether.
[540.00s -> 551.00s]  So it hasn't limited the cap, and I don't have the calculations in front of me here to tell you what the exemption would have been without the cap.
[551.00s -> 556.00s]  I guess I'm just so not really understanding how that works.
[556.00s -> 559.00s]  Let me try again.
[559.00s -> 565.00s]  We look at the appraised value, and we run it through the tax calculator, figuring out what the city tax rate is.
[565.00s -> 570.00s]  We look at what the city tax would be without the historic exemption at all.
[570.00s -> 574.00s]  Take that number, divide it in half.
[574.00s -> 582.00s]  That figure is then measured against $2,000, and then we take the greater of those two,
[582.00s -> 592.00s]  but running through the exemptions of exempting 100% of the value of the structure and 50% of the value of the land would have resulted in a figure higher
[592.00s -> 596.00s]  than either half the normal city tax bill or $2,000.
[596.00s -> 603.00s]  So we take the greater of the half the city taxes or $2,000 and cap the exemption at that point.
[603.00s -> 609.00s]  But without that cap, the city exemption would have been higher, greater than $2,000.
[610.00s -> 612.00s]  Did I do any better that time?
[612.00s -> 619.00s]  Well, I think there's just a lot of confusion with just how that works.
[619.00s -> 632.00s]  So I'm looking at, for instance, one of the other cases where it's capped at $2,412, but this is one of the other houses that we're going to be looking at.
[632.00s -> 635.00s]  So it could be higher than $2,000.
[636.00s -> 642.00s]  It can be because that 2,500 number that you quoted would have been half of the city taxes.
[642.00s -> 643.00s]  Okay.
[643.00s -> 645.00s]  Half of the normal city tax bill.
[645.00s -> 648.00s]  Okay. I'll continue on math lesson in a little while.
[648.00s -> 653.00s]  The other question that I had was going back to the criteria that we have.
[653.00s -> 658.00s]  Tell would you please review again, it has to meet two of-
[658.00s -> 659.00s]  Two of five.
[659.00s -> 660.00s]  Two of five.
[660.00s -> 661.00s]  Right.
[661.00s -> 663.00s]  And that's once we get beyond the thresholds.
[663.00s -> 664.00s]  So any of you-
[664.00s -> 669.00s]  This one's beyond the threshold and the two of the five criteria are-
[669.00s -> 680.00s]  Are the architectural significance and then the historical associations with the Wepperman family who maintained this house through from 1915 to 1967.
[680.00s -> 683.00s]  Maintained a farm lifestyle for a number of those years.
[683.00s -> 687.00s]  And as I said, it's a remnant of a lifestyle that no longer exists in Austin.
[687.00s -> 689.00s]  And is the owner here?
[689.00s -> 691.00s]  The owner's representative is here, yes.
[691.00s -> 693.00s]  The owner's representative is here.
[693.00s -> 694.00s]  Okay.
[694.00s -> 695.00s]  Okay.
[695.00s -> 696.00s]  All right.
[696.00s -> 697.00s]  Fair.
[697.00s -> 704.00s]  Any other questions?
[704.00s -> 706.00s]  I have here for Tim.
[706.00s -> 707.00s]  Let's take a different example.
[707.00s -> 709.00s]  This one's too close to $2,000.
[709.00s -> 710.00s]  Okay.
[710.00s -> 720.00s]  So if I have a multi-million dollar home and I'm paying $50,000 a year in taxes and I go for historic designation, I get a $25,000 tax break.
[720.00s -> 721.00s]  Not 2000.
[721.00s -> 722.00s]  No.
[722.00s -> 729.00s]  As you said, it's the greater of the two numbers.
[729.00s -> 731.00s]  It's the greater of the two numbers.
[731.00s -> 739.00s]  But what we'd have to do is run through the value of the land and the value of the structure to see what your exemption would be.
[739.00s -> 747.00s]  If it's going to exceed $2,000, then we look at-
[747.00s -> 749.00s]  And it would fall under the cap.
[749.00s -> 755.00s]  It's multi-million and you're paying $25,000 in city taxes or $50,000 in city taxes.
[755.00s -> 757.00s]  That's what you said.
[757.00s -> 760.00s]  Then, yes, then it would be $25,000.
[760.00s -> 761.00s]  That's my point.
[761.00s -> 767.00s]  And I think that's Council Member Shade's point is that we use the term cap on the 2000, but it's really not a cap.
[767.00s -> 774.00s]  Because if you have a home that's a multi-million dollar home, your abatement is not capped at 2000.
[774.00s -> 784.00s]  It's capped at 50% of the overall value of 100% of the home and 50% of the land, which could mean thousands and thousands of dollars, not 2000.
[784.00s -> 788.00s]  So I think it's subtle, but I think it's significant.
[788.00s -> 793.00s]  The way we use the term cap really doesn't put a $2,000 cap.
[793.00s -> 798.00s]  It does what, in my mind, what Council Member Shade mentioned, it creates a floor.
[798.00s -> 801.00s]  It creates a cap if you have a house that's of really low value.
[801.00s -> 807.00s]  But if you, most of these homes that come before us, aren't of really low value.
[807.00s -> 809.00s]  They're actually pretty substantial in value.
[809.00s -> 817.00s]  So therefore the overall abatement in the end, if we designate the historic, is in the thousands of dollars per year, not 2000.
[817.00s -> 821.00s]  Well, that is correct, Mayor Pro Tem.
[821.00s -> 827.00s]  But the houses that are valued low, that wouldn't even approach the cap.
[827.00s -> 829.00s]  So it actually is a cap.
[829.00s -> 838.00s]  It's saying that you cannot get a city exemption of more than the greater of 50% of your city taxes or $2,000.
[838.00s -> 846.00s]  So in the case of your multi-million dollar house, without that cap, your city exemption could have been higher.
[846.00s -> 849.00s]  It could have been $75,000.
[849.00s -> 855.00s]  So it does put a cap for the most valuable pieces of property.
[855.00s -> 863.00s]  If you have a house that's worth, say, $150,000, or your property's worth $150, you're not going to get anywhere close to that cap.
[863.00s -> 866.00s]  So your exemption is your exemption.
[866.00s -> 873.00s]  It's only when the exemption without the cap would go over $2,000 that we start looking at the cap.
[873.00s -> 875.00s]  So we cap it there.
[875.00s -> 883.00s]  So if your exemption say should have been $75, then it's the value of, it's 50% of your city taxes.
[883.00s -> 884.00s]  So it's $50.
[885.00s -> 887.00s]  So it does lower the exemption.
[887.00s -> 893.00s]  So it is in fact a cap.
[893.00s -> 898.00s]  I believe Council Member Shade was next, and then Council Member Morrison.
[898.00s -> 902.00s]  All right, you got it.
[902.00s -> 904.00s]  Clear this up for us.
[904.00s -> 906.00s]  I'm just going to weigh it in just a little bit.
[906.00s -> 909.00s]  I don't actually use the word cap when we're talking about this.
[909.00s -> 918.00s]  One thing that I see is that if you have a lower priced house, you're 50%.
[918.00s -> 922.00s]  Your $2,000 could be more than 50% exemption.
[922.00s -> 927.00s]  So for a lower valued house, you might get more than a 50% exemption.
[927.00s -> 930.00s]  And it's probably more complicated than that, but I'm just going to leave it at that.
[930.00s -> 937.00s]  That's the way I think of it, and I know there's discussions about changing the way those are calculated, and I think that's great.
[937.00s -> 941.00s]  I want to ask a question content-wise about the house.
[941.00s -> 958.00s]  One thing that jumped out at me in reading the backup, which I thought was very interesting, was that the connection that because of World War II and perhaps animosity or insecurity with people of German descent here, Mr.
[958.00s -> 971.00s]  Wupperman lost his job, which then led to him having to sell off some of his property, which led to sort of the fabric and subdivisions that exist today.
[971.00s -> 972.00s]  Is that correct?
[972.00s -> 974.00s]  I wonder if you talk a little bit about that.
[974.00s -> 976.00s]  Which subdivisions we're talking about?
[976.00s -> 978.00s]  Do you know how much property he owned?
[978.00s -> 982.00s]  So did it go down to Harris Avenue?
[983.00s -> 997.00s]  He owned one-five-sixth acres, and it was out of the site on Harris properties.
[997.00s -> 1010.00s]  Site on Harris was the developer of Harris Park, which is very close to here, which he purchased, so he owned almost two acres and had to sell off property in smaller lots.
[1010.00s -> 1018.00s]  But there was never another subdivision created by the lots that he basically sold off land to other people.
[1018.00s -> 1036.00s]  Because for me, that's really a compelling story of Austin that actually some of these political and historical events that were global were actually in the end defining some of what Nuna looks like today in terms of their plot.
[1036.00s -> 1039.00s]  So to me, that's a compelling story.
[1040.00s -> 1047.00s]  And with that, I'd like to make a motion that we approve staff recommendation.
[1047.00s -> 1052.00s]  Motion by Council Member Marston to approve. Second by Council Member Spelman.
[1052.00s -> 1054.00s]  Any more discussion?
[1054.00s -> 1057.00s]  Council Member Shade.
[1057.00s -> 1068.00s]  I have one other question there because we got off on the definition of cap or multiplier or D multiplier, whatever you want to call it.
[1068.00s -> 1074.00s]  But you did make a comment about restrained Queen Anne, and I just wanted to go back to.
[1074.00s -> 1081.00s]  So how does that relate to the phrase good example if it's restrained? I just didn't understand that and I wanted to.
[1081.00s -> 1089.00s]  Well, it's taking the finest points of Queen Anne without all the embellishment.
[1089.00s -> 1095.00s]  I mean, sometimes Queen Anne is known for its embellishment, and that's like the painted ladies of San Francisco.
[1095.00s -> 1100.00s]  Those are excellent examples of a very embellished form of Queen Anne.
[1100.00s -> 1106.00s]  This is a very classical, almost quiet, Queen Anne, but it has the best elements of it.
[1106.00s -> 1122.00s]  It's got the canted bay, it's got the full width porch, it's got various sorts of design features that typify Queen Anne, the triple windows in the gable in the front, for example.
[1123.00s -> 1130.00s]  I mean, it's reigned in because Queen Anne is a rather broad category of architecture.
[1130.00s -> 1134.00s]  Okay, and then finally, a question that I...
[1134.00s -> 1143.00s]  If you could just summarize it in one sentence, what is the public purpose that is, in your opinion, greatest?
[1143.00s -> 1146.00s]  And what is the greatest strength of this application?
[1147.00s -> 1159.00s]  The greatest strength of the application, I think, is to show a house that represents a lifestyle and a time gone by.
[1159.00s -> 1162.00s]  I think else.
[1162.00s -> 1167.00s]  One favorite of the motion to approve the staff recommendation say aye.
[1167.00s -> 1168.00s]  Aye.
[1168.00s -> 1170.00s]  Opposed say no.
[1171.00s -> 1173.00s]  That passes on a vote of six to one.
[1173.00s -> 1175.00s]  Council Member Shade voting no.
[1175.00s -> 1179.00s]  And that takes us to item 51.
[1179.00s -> 1180.00s]  Mayor?
[1180.00s -> 1181.00s]  Council Member Riley.
[1181.00s -> 1189.00s]  If I could take just a moment to add one word about the motion we just made and about these two other upcoming cases as well.
[1189.00s -> 1199.00s]  But as we've been talking, taking up these historic landmark cases over the past few weeks, I've been making an effort with each case to point out that we are
[1199.00s -> 1203.00s]  engaged in ongoing discussions about our historic landmark program.
[1203.00s -> 1214.00s]  And there is some possibility that those discussions may culminate in recommendations that would affect the benefits associated with historic landmark status.
[1214.00s -> 1219.00s]  The tax benefits associated with being designated a historic landmark.
[1219.00s -> 1225.00s]  And the point I've made in discussions about those cases recently is that given that those discussions are ongoing now,
[1225.00s -> 1237.00s]  that I would expect that those landowners who are getting their landmark status now would be on notice that there may well be changes to those tax benefits associated with landmark status.
[1237.00s -> 1242.00s]  And so that I expect that to the extent that those changes are approved by this Council on the future,
[1242.00s -> 1254.00s]  that my hope and expectation is that those changes would apply fully to those landmark cases that are getting those cases in which we are designating properties as historic landmarks now.
[1254.00s -> 1263.00s]  I realize that properties that were designated long ago may have a grandfather in claim based on their expectations at that time.
[1263.00s -> 1276.00s]  But given that these discussions have been ongoing now, I think it's fair to say that those who are now obtaining landmark status are on notice that there may well be changes to the tax benefits associated with that designation.
[1277.00s -> 1284.00s]  I just wanted to make that comment and that really applies to all of the historic landmark cases that we're discussing today.
[1284.00s -> 1286.00s]  Okay.
[1286.00s -> 1289.00s]  It applies to all the historic landmark cases.
[1289.00s -> 1291.00s]  Same comments.
