Zoning Case: C14H-2017-0082
Meeting Date: 2017-10-05T00:00:00.000
Agenda Item: 49
Source URL: http://austintx.swagit.com/play/45747/0/
================================================================================

[0.00s -> 2.16s]  Zoning agenda.
[399.56s -> 400.80s]  You know, all of these bodies,
[400.80s -> 403.76s]  we're looking, I believe it also had the staff recommendation.
[403.76s -> 408.48s]  So all of those who we've tasked with doing kind of
[408.48s -> 411.40s]  the initial review believe that it meets the criteria
[411.40s -> 413.40s]  that are specified within our code.
[413.40s -> 416.88s]  From our historic preservation officer,
[416.88s -> 421.88s]  whose job it is to, you know, be the first reviewer
[422.88s -> 423.92s]  to the landmark commission,
[423.92s -> 427.24s]  which is made up of individuals with significant expertise
[427.24s -> 428.92s]  and architecture and historic reservation
[428.92s -> 430.96s]  to the planning, restoration to the planning commission.
[430.96s -> 432.00s]  So I guess I would say,
[432.00s -> 433.68s]  I mean, I'm happy to discuss it further,
[433.68s -> 436.32s]  but I think just an answer to your question,
[436.32s -> 439.68s]  I would say that all of those who have studied it
[439.68s -> 442.20s]  to this point believe it does meet the criteria.
[444.20s -> 447.44s]  And I don't see our historic preservation staff here,
[447.44s -> 449.12s]  or can you just tell me why,
[449.12s -> 451.36s]  what criteria it met or what is the reasoning
[451.36s -> 453.40s]  for recommending approval?
[453.40s -> 455.60s]  Oh, there you are, sorry, I didn't see you there.
[459.92s -> 464.04s]  Hello, council members, I'm Cara Bertrand,
[464.04s -> 466.68s]  I'm the deputy preservation officer.
[466.68s -> 471.20s]  And the building retains a really high degree of integrity.
[471.20s -> 474.80s]  It's also significant for, it is significant for architecture.
[474.80s -> 478.28s]  It does have a unique blend of period revival styles,
[478.28s -> 482.04s]  and it is significant for its historical association.
[482.04s -> 484.32s]  It was developed during a time when the city of Austin
[484.32s -> 487.76s]  was expanding very rapidly from a relatively sleepy town
[487.76s -> 490.76s]  to one that was the center of government,
[490.76s -> 492.68s]  the center of education,
[492.68s -> 494.60s]  the state government was expanding rapidly,
[494.60s -> 496.24s]  local governments were expanding,
[496.24s -> 498.64s]  University of Texas was expanding.
[498.64s -> 503.64s]  And with affiliated, or because of these institutional expansions,
[505.68s -> 509.08s]  many, many new white color employees were coming,
[509.08s -> 513.60s]  moving to Austin to live here and work downtown.
[513.60s -> 517.04s]  The downtown core was developing with,
[517.04s -> 521.36s]  or was being redeveloped from smaller single family houses
[521.36s -> 526.36s]  to a mix of smaller scale apartment buildings,
[526.44s -> 528.88s]  mostly to story for unit buildings,
[528.88s -> 531.32s]  similar to this one.
[531.32s -> 533.84s]  They were very different from rooming houses of the past,
[533.84s -> 536.98s]  which were single rooms off of long corridors.
[536.98s -> 541.98s]  These buildings, they were developed to be homes
[545.54s -> 549.14s]  for these young, single workers,
[549.14s -> 552.14s]  very often women who were living by themselves.
[552.14s -> 557.14s]  So it was a long, which is to say, architecture and...
[557.66s -> 559.94s]  Let's hang on just one second.
[559.94s -> 561.14s]  If we're gonna discuss this,
[561.14s -> 563.10s]  then we should probably pull this item.
[563.10s -> 564.82s]  Does anybody wanna pull this item?
[567.98s -> 570.74s]  I mean, if no other council members have questions,
[570.74s -> 571.66s]  then I'll just abstain,
[571.66s -> 572.86s]  are you gonna abstain or vote no?
[572.86s -> 573.70s]  What'd you say?
[574.78s -> 576.78s]  Okay, I mean, I'll just abstain, but...
[576.78s -> 578.34s]  Okay, thank you.
[578.34s -> 580.62s]  All right, so the abstention will be noted,
[580.62s -> 582.34s]  your no vote will be noted.
[582.34s -> 585.46s]  Any further discussion on the consent agenda?
[585.46s -> 587.34s]  Those in favor of the consent agenda,
[587.34s -> 590.02s]  please raise your hand with the notations made.
[590.02s -> 592.66s]  Those opposed should unanimous on the dice
[592.66s -> 594.74s]  with the exception of the notices that were made.
[594.74s -> 595.58s]  Thank you.
[597.18s -> 598.18s]  Thank you.
[598.18s -> 600.82s]  So it's end to Jenna passes.
[600.82s -> 605.14s]  We are now on the items that have been pulled.
[606.94s -> 608.98s]  Let's go ahead and finish this conversation.
[608.98s -> 610.62s]  Well, no, we passed that.
[610.62s -> 614.70s]  So that gets us to the postponement issue.
[614.70s -> 616.54s]  I guess first on...
