Zoning Case: C14-2011-0110
Meeting Date: 2011-11-03T00:00:00.000
Agenda Item: 70
Source URL: http://austintx.swagit.com/play/45483/0/
================================================================================

[0.00s -> 7.04s]  Thank you, Mayor Council. That brings us back to item number 70. That's case C-14 2011-0110.
[148.08s -> 152.24s]  And I'm happy to answer any questions if there are any on the application.
[152.24s -> 153.16s]  Questions for the applicant?
[154.44s -> 155.28s]  That's Robert Spelman.
[156.80s -> 162.08s]  Ma'am, I see that the front of the property on legendary drive is zoned LIPDA.
[162.08s -> 162.44s]  Is that right?
[162.44s -> 163.32s]  That's correct.
[163.32s -> 166.12s]  And you're asking to zone this multi-family?
[166.12s -> 167.12s]  That's correct.
[167.12s -> 168.16s]  How do those work together?
[168.16s -> 169.36s]  Explain this to me.
[169.36s -> 174.64s]  The LIPDA zoning was done with a swath of zoning on either side of Palmer Lane.
[174.64s -> 177.08s]  And that zoning allows a lot of different uses.
[177.08s -> 180.36s]  Multi-family is an included use in that area.
[180.36s -> 186.48s]  Based on the uses, it proposed use in the area and the adjacent multi-family uses.
[186.48s -> 189.88s]  Multi-family is something that the owner of the property would like to do.
[189.88s -> 195.68s]  So multi-family is an allowed use with the LIPDA and MF4 matches the density allowed with the PDA.
[196.08s -> 201.92s]  So eventually what's going to happen is this back part of the property that's before us now will be concluded with the front end of the property.
[201.92s -> 206.00s]  And you're going to have a combined development, which is going to have more than 311 dwelling units on it.
[206.00s -> 206.96s]  That is correct.
[206.96s -> 209.72s]  How many dwelling units are you considering for the entire property?
[209.72s -> 216.12s]  Right now there is a proposal for a 65 acre approximately subdivision.
[216.12s -> 222.72s]  That subdivision will have somewhere in the range of 750 units proposed at this time.
[222.72s -> 228.24s]  For 65 acres, the property for the zoning is much smaller portion than that.
[228.24s -> 229.04s]  Sure.
[229.04s -> 233.40s]  And you will not need to come back to us and get a rezoning for the LIPDA section of the property.
[233.40s -> 234.16s]  That's correct.
[234.16s -> 234.72s]  Okay, thanks.
[237.96s -> 241.24s]  All right, we'll go to speakers.
[241.24s -> 245.96s]  There are no more speakers signed up in favor, so we'll go to those signed up against Robert Bone.
[247.64s -> 251.60s]  Robert Bone is signed up against and you have three minutes.
[253.60s -> 258.24s]  Legal counsel for an owner of a property adjacent to the property in question.
[258.24s -> 260.80s]  My name is Robert Bone, I'm with the firm, excuse me.
[260.80s -> 262.92s]  I'm with the firm of Hoover Slove Checkout of Houston.
[262.92s -> 266.88s]  We represent Villas at Stono Ranch Investment Corp.
[266.88s -> 272.44s]  Our concern with this proposed zoning change is the fact that we believe it a bit disingenuous to apply for
[272.44s -> 277.56s]  this zoning change while at the same time stating that a traffic study should not be
[277.56s -> 284.04s]  required because they anticipate 2,000 or less trips per day from this property.
[284.04s -> 287.16s]  If you were to do the math, and if you were to take an into account,
[287.16s -> 293.72s]  very important statement that they plan on putting 765 or something like that units,
[293.72s -> 301.40s]  it doesn't make sense to also state in your application that you anticipate 2,000 or less car trips a day.
[302.40s -> 314.12s]  30.65 acres given a zoning change that would allow between 36 to 54 units being placed per acre.
[314.12s -> 320.32s]  Even after accounting for diminishing factors such as accounting for parking and that sort of thing,
[320.32s -> 327.88s]  it does not make sense for the applicant, the developer to state that 2,000 or less car trips per day will occur.
[327.88s -> 335.36s]  This is a safety issue, my client is not concerned about competition, my client is concerned about safety.
[335.36s -> 343.80s]  In other words, how can they say that a development that will call for 765 units
[343.80s -> 351.12s]  somehow still only come up to less than 1.5 car trips a day per unit?
[351.12s -> 352.76s]  It doesn't make sense.
[352.76s -> 361.20s]  We're imploring the council to decline approving this ordinance until the developer does a traffic study.
[361.20s -> 370.80s]  They have stated in their application that 2,000 or less car trips a day will occur in order to gain a waiver of the requirement to perform a traffic study.
[370.80s -> 374.68s]  We think that's putting the cart before the horse.
[374.68s -> 377.84s]  Have them perform their traffic study first.
[377.84s -> 382.64s]  Make sure that people aren't being put in danger on this very busy street already,
[382.64s -> 389.32s]  Palmer Lane, with one point of ingress and egress into the property, that being legendary, I believe.
[391.00s -> 400.40s]  A very busy street, adding three, excuse me, let's say between 500 to 760 units is going to cause more than 2,000 trips a day.
[401.76s -> 406.84s]  That being the case, they should be required before obtaining the zoning change.
[406.84s -> 409.72s]  It should be required to do the traffic study first.
[409.72s -> 412.80s]  And that would be our opposition to this proposal.
[415.44s -> 416.36s]  All right, thank you.
[416.36s -> 417.36s]  Questions?
[417.36s -> 420.04s]  You have three minutes for a bottle in that.
[422.68s -> 423.92s]  Thank you.
[423.92s -> 433.32s]  To speak to the point about the TIA and the proposed development, first I'd like to remind everyone that the proposed zoning is for 30 acres.
[433.32s -> 437.48s]  In that 30 acres, we are proposing less than 2,000 trips.
[437.48s -> 443.92s]  That 30 acres is not going to be the whole of the development of 750 units plus or minus.
[443.92s -> 446.96s]  There is a subdivision application in review with staff.
[446.96s -> 451.52s]  Typically speaking, a TIA is required during the subdivision application,
[451.52s -> 459.56s]  at which time we would come in with a tract of land and a proposed use if it is not required at that time it is required during the site plan stage.
[459.56s -> 465.92s]  We do intend, if it's required during either the subdivision or site plan application,
[465.92s -> 473.12s]  to perform a TIA to guarantee that no adverse impact to legendary drive will be had with the proposed development.
[473.12s -> 481.28s]  That isn't something that we are trying to not get away with doing our request to waiver, but it is not required at the time for the zoning case of 30 acres.
[483.64s -> 485.12s]  Questions?
[485.12s -> 486.64s]  Council Member Spelman?
[486.64s -> 487.76s]  Let me be sure I understand.
[488.68s -> 491.92s]  Currently this is owned interim rural residential.
[491.92s -> 492.44s]  That's correct.
[492.44s -> 494.56s]  You can't put an apartment building on rural residential.
[494.56s -> 501.88s]  You need to rezoning to MF4 or LIPDA or something else for this to be eligible for putting multifamily housing on.
[501.88s -> 503.08s]  That's correct.
[503.08s -> 510.20s]  The section you're going to put, this section is not going to have enough units on it to justify by itself a TIA.
[510.20s -> 510.76s]  Correct.
[510.76s -> 516.20s]  311 units times whatever is going to be less than 2,000 vehicle trips per day, so that's no problem.
[516.20s -> 521.16s]  Because it's going to be combined with a larger section to the south on legendary drive,
[521.16s -> 525.84s]  you're going to have 650 units and well in advance of 2,000 vehicle trips per day.
[525.84s -> 532.28s]  When you apply for the subdivision permit for the, are you going to apply for subdivision for the entire property?
[532.28s -> 539.24s]  The subdivision application has been submitted for 65 acres and a TIA was not required without application.
[539.24s -> 546.76s]  However, our client has requested us to do one to look into that, but it was not required at subdivision.
[546.76s -> 549.44s]  And the side plan application is to be submitted shortly.
[549.44s -> 553.44s]  If it's required at that time, we will obviously provide that to staff for their review.
[553.44s -> 554.00s]  Okay.
[554.00s -> 556.48s]  I'd like to ask Mr. Grinsie a question if I could.
[556.48s -> 558.32s]  Thank you, ma'am.
[561.76s -> 565.00s]  Mr. Grinsie, are you going to require these guys to do a TIA?
[565.00s -> 571.24s]  If they bring in that whole acreage and they have more than the number of trips that would trigger the 2,000, yes.
[571.24s -> 576.68s]  It would come at the time of site plan, that's when we would actually have the appropriate count.
[576.68s -> 584.20s]  If the zoning is actually approved with the condition though, this back portion could still not exceed the 2,000 trip limit.
[584.20s -> 589.56s]  So no matter how it's configured, you wouldn't be able to get more than 311 units.
[589.56s -> 593.80s]  Or generate more trips, I should say, on this piece that's being rezoned a day.
[593.80s -> 595.08s]  Let me ask you a hypothetical.
[595.08s -> 600.44s]  Say we had 311 on the back section as required by the zoning and
[600.44s -> 602.88s]  planning commission's recommendation.
[602.88s -> 609.04s]  And say we had 311 units, not 400 odd, but 311 on the front, and that wouldn't go to 2,000 either.
[609.04s -> 611.56s]  Is there any way they could avoid a TIA under those circumstances?
[611.56s -> 617.16s]  I don't see how, because then when you bring in the site plan, we're looking at the total area of that track.
[617.16s -> 623.76s]  And so between those two, you'd end up with 4,000 trips, and we would trigger a traffic impact analysis at that time.
[623.76s -> 627.56s]  Is there a wet, well, presumably they could break it into two sections and
[627.56s -> 631.24s]  do put in two site plans, one for the front and one for the back?
[631.24s -> 634.72s]  They could, but then each of those site plans would have to stand unknown.
[634.72s -> 639.32s]  Probably issues of having building two ponds for detention, or water quality systems,
[639.32s -> 642.60s]  unless the property is draining in different directions.
[642.60s -> 648.04s]  So to the property owner becomes a little bit more expensive, because in the design,
[648.04s -> 652.16s]  you're submitting two complete site plans that would go through our process.
[652.16s -> 655.24s]  And in improvements, each of those site plans would have to stand on their own.
[655.24s -> 660.40s]  Okay, well, one of these site plans would be landlocked, and the only access point would,
[660.40s -> 663.32s]  it appears to be through the front one.
[663.32s -> 667.28s]  So you wouldn't be able to, it seems to be difficult to submit a site plan for a landlocked lot.
[668.76s -> 672.88s]  There may be an issue that would be addressed at the time, a site plan.
[672.88s -> 677.08s]  There's also possible that additional land could be acquired from the Robinson Ranch.
[677.08s -> 683.20s]  It could be connected at a later date if this property owner decided not to go pursue development of the property.
[683.20s -> 688.92s]  That it could actually connect to lands to the north or to the west, would it also join this property?
[688.92s -> 697.04s]  If I wanted to be sure that, I believe Mr. Bury's agent here that they're going to submit a site plan at some point.
[697.04s -> 703.12s]  If I wanted to ensure that when these two lots are developed with multi-family
[703.12s -> 709.08s]  wellings that a traffic impact analysis was conducted, is there anything I could do right now to ensure that?
[710.60s -> 712.52s]  I might think about that with my law department.
[712.52s -> 719.96s]  I mean, I guess you would make a condition that a traffic impact analysis could be required at the site plan stage.
[721.64s -> 724.68s]  We don't have the documents that might be prepared to do that, but
[727.40s -> 732.76s]  you could do first reading a day, we could talk about that and perhaps even bring it back next week.
[733.40s -> 739.16s]  For your final consideration with either an instrument that would do that or at least something that could address that.
[740.56s -> 745.64s]  Council Member, I do think that's something we'd want to bring back, I don't think that's something we'd want to attempt today.
[745.64s -> 751.04s]  Okay, but that would be a proper motion for first read, would it not?
[751.04s -> 757.28s]  Yes, and then we could go forward, and if you'd like, we could bring that, I think we could probably actually,
[757.28s -> 762.04s]  wouldn't be that difficult to draft something like that and bring it back next week.
[762.04s -> 766.68s]  Mayor, I'd like to make that motion if I could, to close the public hearing and to approve the zoning and
[766.68s -> 773.96s]  planning commission recommendation with the additional condition that a traffic impact analysis would be done at site plan stage.
[776.16s -> 783.12s]  Motion by Council Member Spelman, close the public hearing, approve on first reading only with the additional condition.
[783.12s -> 789.32s]  And we don't have a meeting next week, it'd be, is it next week or, okay.
[789.32s -> 792.56s]  Is there a second?
[792.56s -> 794.92s]  Council Member Morrison, discussion?
[794.92s -> 796.12s]  All in favor say aye.
[796.12s -> 797.12s]  Aye.
[797.12s -> 798.32s]  O say no.
[798.32s -> 801.08s]  Passes on a vote of seven to zero.
[801.08s -> 804.00s]  Thank you, Mr. Mayor and Council, that concludes our zoning map amendments today.
[805.44s -> 808.52s]  Thank you.
[808.52s -> 812.36s]  And we'll go on to our four o'clock public hearings and possible actions.
[812.36s -> 818.72s]  But just before we do, I want to mention you may have noticed that we have not done the second 10-30 briefing
[819.36s -> 825.28s]  the Austin Resource Recovery Master Plan and the director had to leave town this afternoon.
[825.28s -> 828.20s]  So we'll postpone that, this item for another date.
