Zoning Case: NPA-2018-0021.01
Meeting Date: 2019-06-06T00:00:00.000
Agenda Item: 94
Source URL: http://austintx.swagit.com/play/45787/0/
================================================================================

[0.64s -> 2.56s]  All right, consent zoning.
[412.88s -> 414.88s]  So is there anyone that signed up for any of the
[415.80s -> 418.60s]  Non-pulled items that wishes to speak
[420.44s -> 425.48s]  Mary said 75 76 were pulled 75 and 76 were pulled correct
[427.72s -> 429.52s]  All right
[429.52s -> 434.08s]  Comments is there a first I'll take a motion then we'll take comments your motion to approve the consent agenda
[434.80s -> 440.52s]  I got some planning and makes the motion council member read to reassertions at any comments on the consent agenda
[441.52s -> 447.60s]  As it relates to a number I remember 85 it is one of the cases where we are
[448.88s -> 451.80s]  Creating mobile home zoning in order to try to
[452.56s -> 455.44s]  Preserve mobile home and RV parks in the community
[455.64s -> 462.80s]  My understanding from the the agent and the owner of this particular property is that it is mobile homes
[462.88s -> 468.40s]  They wanted to continue to expand that use in some parts that are unused and my hope is
[469.04s -> 471.60s]  That they're able to do that by zoning it this way
[472.36s -> 473.80s]  They should be able to do that
[473.80s -> 480.48s]  I hope that the staff works together with them to make that work and of course if there's any level of variance or change
[480.48s -> 483.60s]  That's required to be able to get the kind of affordable housing expansion
[483.60s -> 490.48s]  We want there then I for one and I think a lot of folks here would be very open to try to see if there's any other council
[490.48s -> 495.76s]  Action that needs to be taken because I think the intent here aligns with the intent that has been expressed
[496.24s -> 500.08s]  Okay, any further comments council member tovo. Did you have a comment you want to make?
[501.52s -> 502.68s]  Yes
[502.68s -> 507.92s]  With regard to the item on 91 that we're passing on first reading only
[508.44s -> 510.60s]  Thanks to the applicant for your willingness to do that
[510.60s -> 511.32s]  I appreciate it
[511.32s -> 517.68s]  I would like to direct the staff to do the research to determine if they would recommend review of the structure on this property for the
[517.68s -> 519.68s]  historic landmark Commission I
[520.08s -> 522.88s]  Think that would be helpful information to have just I won't
[524.08s -> 526.72s]  In light of the time go through all of the information
[528.20s -> 533.76s]  Related to this but it is this structure falls within the northwest district of the downtown plan
[533.76s -> 538.96s]  One of the goals of which was to preserve and enhance the unique historical and cultural heritage of downtown
[538.96s -> 542.88s]  And so I think it's very important to evaluate this ordinarily the that the
[543.52s -> 547.04s]  Our process at the moment and I think it needs some tweaks
[547.04s -> 553.04s]  But the our process at the moment is that it would not be evaluated for its historic merit until a demolition permit is submitted
[553.04s -> 559.64s]  And so I think that before we do the rezoning that would be really helpful information to have to determine whether or not this
[560.04s -> 562.04s]  Structures of historic merit
[562.40s -> 566.04s]  Especially because this is a district one of the the couple districts
[566.28s -> 571.80s]  Areas of downtown that was recommended in the downtown plan for a possible local historic district, which is probably a measure
[572.00s -> 574.00s]  I'm going to initiate
[574.48s -> 579.64s]  Here in our next meeting or two so again first reading with the direction to staff that they evaluate
[579.80s -> 585.72s]  Whether or not this is a property that should go before the historic landmark Commission in light of of its importance
[586.24s -> 588.24s]  To the goals of the downtown Austin plan
[589.48s -> 591.48s]  All right any other comments
[591.48s -> 597.52s]  Mayor and we close the public hearing where's appropriate closing the public hearing we're appropriate in these items any other comments
[597.72s -> 600.52s]  Take about those in favor of the consent agenda, please raise your hand
[601.04s -> 606.16s]  Those opposed unanimous on the dice with council member Harper Madison gone the others speaking
[606.56s -> 610.24s]  Okay, we're gonna knock off some of these zoning cases
[610.24s -> 613.64s]  We don't have time to do the largest one here before we take the break
[613.80s -> 615.80s]  I'm gonna start the back and move forward
