Zoning Case: C14-2013-0136
Meeting Date: 2014-04-17T00:00:00.000
Agenda Item: 71
Source URL: http://austintx.swagit.com/play/45620/0/
================================================================================

[0.00s -> 7.56s]  And I'll call back to order the meeting of the Austin City Council and I believe
[225.52s -> 231.64s]  Valopetition is it correct that if there is no zoning then the valopetition rules don't go into effect?
[231.92s -> 233.72s]  That's right. This is not a rezoning
[233.72s -> 241.08s]  This is actually establishing initial zoning on the vast majority of properties since it is unzoned and valopetition is only are for rezoning
[241.08s -> 243.08s]  That's that's correct. Okay. Great. Thank you
[243.08s -> 245.08s]  Okay
[245.68s -> 250.68s]  Great, you mentioned the requirement of a vegetative buffer along the eastern edge. Can you elaborate on that?
[250.76s -> 253.00s]  What's what's the idea with that is you know
[253.00s -> 254.88s]  We sometimes when we talk about a vegetative buffer
[254.88s -> 261.24s]  We're actually picturing something that is vertical and would obstruct outline of site is that what's contemplated?
[261.24s -> 263.24s]  No, a vegetative buffer landscaping
[264.04s -> 268.26s]  Trees that sort of thing and so but there are any any restrictions
[268.62s -> 270.62s]  Could it be a six-foot hedge?
[270.62s -> 275.78s]  But what sort of what was the idea is it just it's supposed to be just greenery and basically it's a green area
[276.18s -> 278.62s]  It's not there was it like I said
[278.62s -> 285.42s]  There's a prohibition on having a fence along this side so it was to be sort of a natural buffer adjacent to a basically just green space
[285.42s -> 293.62s]  That's correct and and no fence at all and no fence and can you speak to the what the requirements would be in terms of a sidewalk?
[293.62s -> 299.84s]  There would be a sidewalk there. There is an older fairly narrow sidewalk along with along the site now
[300.82s -> 303.82s]  I assume there would be some requirement for
[305.26s -> 307.26s]  Improvement to the sidewalk
[307.66s -> 313.56s]  Council member went when the other speakers come up let me go back through and I'll take a look of what the sidewalk requirement was
[313.82s -> 316.06s]  Okay, right at the top of my head. I don't know. Okay. Thanks
[318.30s -> 320.30s]  So we'll hear from the applicant
[321.30s -> 324.30s]  Jerry Harris is are you representing the applicant?
[324.86s -> 330.34s]  And you have a whole bunch of people known anytime to you you have five minutes on your own and
[330.74s -> 336.74s]  Then you have 12 minutes known it which would give you 15 minutes max. That would be your max
[337.66s -> 340.38s]  Assuming these people are here Laura Berlin
[341.66s -> 343.66s]  Steve Berlin and
[344.98s -> 346.98s]  Michelle James
[350.58s -> 352.58s]  Well
[352.58s -> 358.40s]  She gets back in here. We'll be able you'll be able to use her time if she isn't back in here. You can't use her
[359.14s -> 361.14s]  time Martha Kandero
[361.98s -> 363.50s]  Kintero
[363.50s -> 365.06s]  Martha Kintero
[365.06s -> 366.98s]  so right now
[366.98s -> 368.98s]  you have
[368.98s -> 374.62s]  13 minutes. Thank you very much mayor mayor pro tem members of city council
[374.94s -> 379.54s]  My name is Jerry Harris. I'm here representing the applicant in the Sony case this afternoon
[379.54s -> 381.18s]  Thank you for having us
[381.18s -> 388.30s]  My co-agent is Alice Glasgow and she's here the architect for this project
[389.22s -> 396.34s]  Mark von Berg with Dick Clark associates is here to explain a couple of things about the height and the layout of the project
[397.54s -> 405.62s]  Thank you very much for hearing this original zoning case on this piece of property. It will hopefully obtain its first zoning
[406.54s -> 414.82s]  Back in 2010 during the neighborhood plan. It was basically decided by the council that this track would main remain
[414.98s -> 422.42s]  Unzoned until an actual project was brought forward. So the zoning could be examined in the context of an actual project
[423.42s -> 425.42s]  the applicant went back and
[425.82s -> 432.66s]  Studied long and hard on what sort of project should be brought back for zoning on this particular track
[433.62s -> 435.62s]  in connection with
[436.22s -> 439.46s]  Imagine Austin and other market work
[439.86s -> 446.10s]  They decided to come back with a senior housing project a senior housing project meaning
[446.30s -> 451.86s]  It will be limited to being occupied by persons who are 55 years of age or older
[453.30s -> 458.78s]  taking a look at imagine Austin they pointed out that
[459.74s -> 468.86s]  Imagine Austin says the growing number of older residents age 55 and above has generated greater demand for services different housing
[469.70s -> 473.06s]  options and amenities for that particular group of people in
[473.98s -> 479.98s]  addition imagine Austin under the housing policies the number one policy says that we should be distributing a
[480.22s -> 483.94s]  variety of housing types throughout the city to expand the choices
[484.50s -> 489.94s]  available to meet the financial and lifestyle needs of Austin's diverse population
[491.54s -> 500.02s]  The applicant and Dick Clark then came up with the project that we will go through here very briefly on the PowerPoint
[505.06s -> 509.82s]  As you know, but well the site by now is outlined in orange there
[509.82s -> 511.82s]  We know it's a couple of acres in size
[511.98s -> 518.22s]  We know it's located very near the intersection of 35th Street and right on exposition boulevard
[518.46s -> 524.78s]  It's ideally located from a standpoint of senior housing because it's got pedestrian
[525.90s -> 533.38s]  Uses nearby. It's got a church right across the street. You all know the long exposition. There's many other churches
[534.10s -> 539.78s]  Just to the south. There's a shopping center with restaurants and other facilities located there
[540.70s -> 543.22s]  It's just real near 35th Street
[543.22s -> 551.38s]  So if you go across 35th Street and go over to the Jefferson Street area, you know, there's numerous medical facilities and
[552.06s -> 554.06s]  hospitals at that particular location
[554.90s -> 557.46s]  We know it's located to a very large
[558.18s -> 562.74s]  Institutional use the Austin State School with about 380
[563.46s -> 566.54s]  residents at the time and over a thousand employees and
[567.06s -> 573.58s]  It's surrounded by that facility and the institutional use across the street as a church
[573.90s -> 579.46s]  This has the only two houses that really are right object this particular site
[582.10s -> 583.22s]  And
[583.22s -> 591.82s]  This zeros in on the site and the the nearest uses the two single family houses that I referred to just a moment ago
[591.82s -> 598.26s]  Are outlined in yellow there the one on the north is the only house that actually faces this site
[598.62s -> 602.18s]  the one on the south faces the street to the south and
[602.86s -> 605.14s]  The church is outlined there in blue
[605.74s -> 608.54s]  This slide also illustrates the distances
[608.54s -> 615.50s]  We're talking about that we have designed this project to set the buildings at the rear of the tract
[616.14s -> 618.14s]  towards the Austin State School and
[619.10s -> 620.98s]  the dark
[621.02s -> 626.26s]  Areas show where we're we are needing the 40 feet height and three stories
[626.38s -> 631.16s]  The lighter areas is where we're going to keep the height to two stories
[631.62s -> 637.14s]  As you will see this also illustrates the large park like set setting
[637.66s -> 642.50s]  Off exposition boulevard that they want we want to very much maintain
[642.78s -> 650.50s]  For both our residents the view of motor striving by and for anybody who lives in the neighborhood
[651.98s -> 654.34s]  This
[654.34s -> 663.78s]  Slide I just want to pause briefly on and point out under the impervious cover label that we are maintaining a 40% impervious cover is
[664.38s -> 665.98s]  required by the
[665.98s -> 670.78s]  The watershed ordinances in this particular area the Taylor slew
[671.18s -> 678.82s]  South watershed also want to point out that we will be complying with all the city of Austin's drainage requirements
[678.82s -> 682.58s]  Which are very strict and likewise the water quality requirements
[682.58s -> 685.86s]  I want to point out that there are no wetlands on this track
[685.86s -> 691.98s]  We've had it examined and there are no wetlands on this track and that's not going to be a problem
[692.18s -> 696.82s]  Even if they were small wetlands, you know the city requires setbacks and that sort of thing
[697.34s -> 699.34s]  it shows our
[699.62s -> 706.74s]  34 unit and the the one bedrooms eight two bedrooms 18 in eight bedroom three bedroom units
[706.90s -> 709.38s]  Our parking will be underground
[709.86s -> 714.32s]  We have currently in the design six surface parking spaces for guests
[714.32s -> 720.02s]  But those can be moved underground if that's a desirable thing for the city of Austin
[723.22s -> 725.54s]  Our request is for MF to
[725.94s -> 729.78s]  CO zoning and we suspect it also that some of our
[730.06s -> 734.90s]  commitments will need to be placed in restrictive covenants either public or private and
[735.30s -> 743.38s]  We did in January present a private restrictive covenant to the neighborhood association in case they would care to be a participant
[744.26s -> 747.78s]  participant and become a forester of our commitments
[748.86s -> 754.42s]  We largely need MF to zoning to get 40 feet of height
[754.58s -> 759.50s]  For the buildings on the rear of the property and architect will explain that a little more
[760.02s -> 763.78s]  Definitively later so you can get that picture of why we need that
[764.26s -> 768.46s]  But we don't need it up front and that's why we're agreeing to a 75 foot
[769.26s -> 771.26s]  vegetative landscape setback
[772.74s -> 777.78s]  Which is 50 feet greater than what's in the staff recommendation and the planning commission recommendation
[778.78s -> 785.54s]  We're committed to this being a senior housing project. We're committed to the 75 foot front yard building setback
[786.10s -> 793.34s]  We're committed also that for the first 25 feet after the 75 feet to two stories in height only
[793.78s -> 800.30s]  And we're of course committed to at the rear of the track to having three stories only single level
[801.10s -> 808.94s]  Units with elevators for easy access. We're committed to one driveway to the property and we're committed to underground parking
[813.66s -> 815.66s]  The code
[815.98s -> 822.22s]  Supports us in saying that we are not creating a high density project
[822.78s -> 831.34s]  One member of the planning commission said the only thing wrong with this project. It's not dense enough as you heard the staff say that you know under
[832.26s -> 834.26s]  MF to zoning
[834.26s -> 838.02s]  You could get anywhere from 40 to 41 units
[839.26s -> 844.22s]  MF to as you can see in this slide allows up to 23 units per acre
[844.82s -> 850.10s]  We are committing ourselves to fifth around 15.5 units per acre, which
[850.74s -> 853.30s]  Means we're not trying to max out the track
[853.98s -> 861.46s]  And that's why we need MF to zoning. We do not need MF to zoning to try to max out and get as many units as possible
[862.90s -> 864.18s]  the
[864.18s -> 872.26s]  Code also points out very vividly that multi-family residents if MF to excuse me is low density
[872.38s -> 873.94s]  It's not high density
[873.94s -> 881.90s]  It's low density and this is a perfect site that as the code says here to have this project located near single family
[881.90s -> 889.98s]  Neighborhoods are in an area for which low density multi-family is desired. This is a great location for this particular project
[890.98s -> 898.94s]  I point this out because you know in trying to determine what zoning you need and how much how many units you can get
[898.94s -> 901.66s]  it all depends on the code and and and
[902.10s -> 906.46s]  What size are your units and how much land you have in your site?
[907.02s -> 912.46s]  So this slide illustrates that here's are some things that have sort of been on the table. There's on the left
[912.46s -> 914.46s]  There is the SF six
[914.86s -> 919.78s]  The town home and condominium zoning category and you have to have at least
[920.54s -> 925.38s]  3,500 square foot of site area for each dwelling unit
[925.38s -> 931.02s]  So it was straightforward simple one, but as you can see at the bottom then that would result in
[932.06s -> 937.62s]  a maximum of 27 dwelling units in the middle category is MF one
[937.94s -> 943.46s]  Which you know is described in the code as limited density and as you see there
[943.46s -> 949.26s]  it gives you a different amount of square foot of site based on the
[950.26s -> 958.54s]  Efficiency one bedroom our two-bedroom dwelling unit as we illustrate there if we were to obtain M off one zoning
[959.10s -> 963.86s]  We would get around 28 units and the third category is our request
[963.86s -> 970.98s]  Although it says you could get 41 units. We are committed to restricting ourselves to the 34 units
[973.86s -> 977.66s]  This is the site plan in sketch form
[977.82s -> 984.38s]  Which in the gray at the bottom shows a wonderful 75 foot setback the next 25 feet in the
[985.26s -> 993.22s]  Crossbars there is the two-story zone and then the green area is where we need the MF two for this particular project
[995.62s -> 1000.82s]  The trees are on the site and they will remain to the extent possible
[1000.82s -> 1007.78s]  This is just another view of the site is laid out all this slide shows is that this will not be the first
[1008.62s -> 1010.14s]  multi-family
[1010.22s -> 1017.18s]  Zoning our project in the site. There's some of the other sort of sketch scattered out throughout the Terry Town area
[1017.18s -> 1024.62s]  All of those are right up against single family dwellings. Whereas we're across the street. We're setting back
[1025.26s -> 1028.76s]  We're trying to fit in and not over
[1029.22s -> 1031.22s]  densify the site
[1034.78s -> 1037.26s]  This drawing illustrates at the bottom
[1037.86s -> 1044.74s]  what our project would basically look like setting on the site exposition being there where the car is of course and
[1046.06s -> 1052.94s]  The on the top shows what it would be under the SF six with with no 75 foot setback
[1052.94s -> 1058.42s]  But a 25 foot setback and a two-story limit for the for the next 50 feet
[1061.10s -> 1065.06s]  There's a great case you can be made that our project
[1066.06s -> 1072.42s]  Setting back on the rear of the track and just needing five feet more on those three-story units
[1072.50s -> 1078.02s]  Will be a much desirable to streetscape and park like setting on the front
[1078.10s -> 1081.42s]  Then the SF six if just illustrated above
[1085.66s -> 1087.34s]  This is looking
[1087.34s -> 1093.98s]  Cross directly at the site you can see it's sort of a park like setting there with with the trees that survived the drought
[1093.98s -> 1097.96s]  And of course we will be landscaping and re-vegetating the site
[1098.58s -> 1100.58s]  When we build the project
[1101.14s -> 1103.74s]  So you can get a view there of
[1104.54s -> 1109.94s]  Will it be better to have building starting 75 feet back or just 25 feet back?
[1110.42s -> 1116.38s]  It could be a subjective judgment call that we believe the park lights setting would be more desirable for everybody
[1117.30s -> 1123.66s]  This is just another view from the other house that actually faces the site and you can see the church there
[1124.10s -> 1126.10s]  also
[1126.10s -> 1130.58s]  At this point in time, I'll stop and ask if you have any particular questions of me
[1132.26s -> 1134.98s]  Questions from the applicant further for the applicant
[1136.30s -> 1138.30s]  elsewhere Marcin
[1139.46s -> 1145.14s]  Mr. Harris, can you go back to slide 10 for a minute, please? Yes, let me see if I can
[1146.18s -> 1151.26s]  Get it to go and reverse here. Okay. There you go. Is this is this the one? Yeah, that's the one
[1151.34s -> 1156.54s]  So you're showing the multi-family zones around some of those are listed as town homes
[1156.54s -> 1160.48s]  Are those also zoned MF or those SF five or six?
[1162.66s -> 1165.70s]  Do you know they are multi-family zoned
[1167.10s -> 1169.10s]  Mark, can you verify that I?
[1172.62s -> 1178.94s]  Believe that I can't read it from here mate that it said those all in the orange or some sort of multi-family
[1178.94s -> 1182.94s]  Right, but I'm wondering if they're SF six or if they're actually MF or SF
[1184.10s -> 1191.26s]  Alice Glasgow co-agent. I'll answer that question the townhomes on to the north or approved here
[1191.26s -> 1196.14s]  She's looking at the townhomes south of any of them that say townhomes. Yeah, okay
[1197.14s -> 1204.72s]  Okay, well the ones that are to the south of the truck in red would be multi-family the ones to the north
[1205.04s -> 1211.28s]  Are zoned as of three, but they were approved by a conditional use permit in the 70s where you instead of getting a zoning change
[1211.28s -> 1216.08s]  You could just simply get a see a conditional use permit pipeline approved without zoning
[1216.08s -> 1219.76s]  But today they would require at least MF to to accomplish the same density
[1219.76s -> 1222.92s]  Oh, it is SF and then they're so on exposition
[1222.92s -> 1227.88s]  I mean, maybe you just want to take a minute to and you can get back to me, but a long exposition
[1227.88s -> 1234.64s]  There are three sets of townhomes. I think that I was curious about because one of the issues is that the neighbors
[1234.64s -> 1238.88s]  So brought forward as should it be SF six or MF something?
[1238.88s -> 1244.48s]  And so I wanted to make sure I understood which of these were actually kind of SF on them or an MF
[1244.48s -> 1247.88s]  I have a map with me and I'll come again. I'll come back and I'll probably be better
[1248.40s -> 1251.56s]  And then mr. Harris one other thing. I mean obviously
[1252.32s -> 1258.24s]  Luckily it was before I was on council back in 2007 the applicant was before council
[1258.96s -> 1260.96s]  and I
[1261.68s -> 1266.92s]  At that point council asked you all the council had settled on SF six with 20 units
[1267.00s -> 1270.76s]  You all at that point where I think at 27 units is that right?
[1270.76s -> 1272.40s]  That's exactly right councilman
[1272.40s -> 1278.04s]  And so there was still some discussion going on but council had settled on that and now you're at 34 units
[1278.04s -> 1283.00s]  Can you tell me what changed and why the why you've got why the applicant has now gone?
[1283.64s -> 1285.64s]  and feels the need for
[1285.64s -> 1288.52s]  MF to and 34 units
[1289.16s -> 1295.68s]  Yes, the answer to that question is back then they did not have this project
[1296.40s -> 1298.40s]  designed and
[1298.40s -> 1300.40s]  studied and
[1300.96s -> 1304.96s]  Preliminary engineered after after the 2010
[1305.68s -> 1312.88s]  Decision to leave it unzoned until a project was developed. They went back and went much more detailed
[1312.88s -> 1319.92s]  Designing and coming up with a project that they learned would mark it and
[1320.56s -> 1322.96s]  Designed at the concept changed
[1324.36s -> 1325.64s]  entirely
[1325.64s -> 1328.04s]  Okay, thank you. You're welcome
[1329.52s -> 1331.80s]  Yes, we're turbo. I just have a quick question
[1332.12s -> 1336.44s]  It was my understanding that there was some discussion at the planning Commission about affordable units is
[1337.20s -> 1341.24s]  They're an affordable component to this development. Yes. Thank you very much
[1341.72s -> 1351.84s]  We are we under our request at the 34 units MF to CEO restrictive covenant. We are able to voluntarily
[1354.08s -> 1357.16s]  Offer 10% of the units
[1359.84s -> 1366.24s]  To qualify under the city smart housing program which we understand that would be at 80% MFI
[1367.08s -> 1373.16s]  And it's our understanding that since it's 34 units. It would end up being four units. That's our understanding at this time
[1373.28s -> 1375.28s]  Okay, thank you. You're most welcome
[1376.80s -> 1385.08s]  That's remember arriving. Mr. Harris. I want to ask about the cost of the units other than those that would be offered as affordable housing units
[1386.32s -> 1392.76s]  Where there's been discussion about several different possibilities in terms of the numbers of units on the site might be
[1393.76s -> 1397.56s]  34 28 some other number is their relation
[1397.56s -> 1405.48s]  But is there a relation between the number of units set by the cap and the cost that that would will be charged for those units?
[1406.56s -> 1413.32s]  Yes, there definitely is you're talking about the purchase purchase price under some of those scenarios. We've displayed up there
[1416.32s -> 1418.12s]  If
[1418.12s -> 1421.12s]  Someone were to be restricted to 20 units
[1421.96s -> 1425.88s]  The units would have a purchase price each unit of a between
[1426.52s -> 1429.28s]  1 million and a million and a half dollars
[1431.72s -> 1435.24s]  If the project were limited to 28 units
[1436.36s -> 1440.68s]  Each unit limited to a purchase price of between
[1442.00s -> 1445.00s]  $600,000 and one million dollars
[1445.00s -> 1454.52s]  If the project were limited to 34 units the price of each unit would be between
[1456.28s -> 1458.28s]  $450,000 and one million dollars
[1460.24s -> 1461.24s]  I see
[1461.24s -> 1468.20s]  Then if I noticed in the ranges that you mentioned each of those ranges has a million in it with a third 20 unit
[1469.04s -> 1475.68s]  Rain project it's 1 million to 1.5 and it gets down as low with the 34 minute unit project
[1475.68s -> 1480.88s]  It would range from 450 to 1 million is whether is there any way to provide any assurance that in fact
[1481.48s -> 1486.88s]  There would be some units available at that lowest end of the range with say if you had 34 units
[1488.48s -> 1495.16s]  Would be would be fine that it actually once it's all built that you actually are charging it that the high end of that range for each of those units
[1495.16s -> 1501.40s]  Or is this it is how could there be any assurance that there would in fact be some units at the lower end of that range
[1501.40s -> 1508.32s]  That's a pretty big range from 450,000 to a million for 34 units and how how would any maybe have any kind of
[1509.28s -> 1512.20s]  Assurance that that in fact there would be some at the lower end of that range
[1512.92s -> 1518.48s]  We would be willing to enter into any sort of recordable agreement with
[1519.48s -> 1526.96s]  The city as a public restricted covenant and or the neighborhood is a private restrictive covenant with
[1527.60s -> 1536.32s]  disclosure reporting requirements in that regard and particularly in connection with the city's smart housing
[1537.00s -> 1539.00s]  office to make sure that that
[1539.60s -> 1543.04s]  Gets carried out and it's audited and it is is that range
[1543.80s -> 1548.68s]  Attributable to the availability of different types of units are you picturing some units that might be?
[1549.20s -> 1555.52s]  efficiencies and others that would be three bedrooms is that why there's that big a range between between 450 and a million right?
[1555.52s -> 1560.40s]  We're not gonna have any efficiencies. We will have one bedroom two bedroom and three bedrooms and
[1562.00s -> 1568.08s]  Am I answer your yes, you are and so you and so you do you have a mix in mind of for each of those different scenarios?
[1569.04s -> 1571.04s]  no, but
[1571.12s -> 1573.12s]  At that point in time
[1573.56s -> 1575.02s]  We know
[1575.02s -> 1578.68s]  financially what the cost the give is is to
[1579.64s -> 1584.00s]  allow for those units to be affordable units at 80% MFI and
[1585.28s -> 1592.40s]  It's been Steve's always a position that he wanted to work with whoever is in charge of affordable housing
[1592.96s -> 1597.60s]  to make sure that that is right for them as to
[1598.20s -> 1603.44s]  Which units what you want them to be all the four hundred and fifty thousand dollar units, or do you want you know?
[1604.28s -> 1610.72s]  That detail hadn't been worked out, but I'm sure it can be worked out. Okay, we're flexible on the point is what I'm trying to say
[1610.72s -> 1612.72s]  I see okay. Thanks. Thank you
[1615.56s -> 1618.40s]  We got our next speaker Alice Glasgow
[1622.36s -> 1626.92s]  Laura Berlin donating time to you, but Laura you can only donate to one person so
[1627.68s -> 1629.68s]  You have three minutes
[1639.64s -> 1644.52s]  Good afternoon, man council members Alice Glasgow and I am speaking as a
[1645.88s -> 1649.48s]  Co-agent and I'm also speaking as
[1651.24s -> 1656.96s]  As a property on a directly across the street from the site and here we go. This is the site
[1657.68s -> 1664.16s]  the the map that is in front of you shows the church and two houses in yellow I own the house that is
[1664.80s -> 1666.80s]  to the north of the church and
[1667.32s -> 1673.56s]  That that house is the only one that faces the project and it shows that is 220 feet
[1674.08s -> 1678.80s]  that is distance to the point where the three-story buildings start and
[1681.16s -> 1687.56s]  Having said that now I will turn into my agent mode and I will do support the buffer and set back
[1687.60s -> 1695.00s]  As a property owner who would have the direct view from that site to the to this project and support the
[1695.56s -> 1697.56s]  Conditions that are being offered
[1697.84s -> 1700.04s]  This thing is a little sticky by the way
[1701.92s -> 1706.76s]  At the Planning Commission hearing there was a comment made regarding the
[1707.48s -> 1711.92s]  The prior proposal and the fact that we had indicated that 27 units
[1713.48s -> 1716.32s]  Was the number of units that could be accommodated on the site?
[1716.32s -> 1724.08s]  Well, I want to correct is that at the time we were requesting MF1 and under MF1 as you can see under the site development regulations
[1724.60s -> 1728.88s]  At the time we were proposing two and three bedroom units only
[1728.88s -> 1734.24s]  We did not offer one bedroom units and with those calculations the maximum density
[1734.48s -> 1740.88s]  Obviously under MF1 would have been 27 units and as you can tell as you go into every different zoning category
[1741.00s -> 1745.72s]  You have a different requirement and you have a different threshold and maximum
[1745.76s -> 1752.80s]  So it did the point I was making was not that you can absolutely never ever be able to achieve any more than 27 units
[1752.88s -> 1758.00s]  Because obviously you can depending on which zoning category just like if your zone DM you and CBD
[1758.00s -> 1763.16s]  There's a difference the FAR gives you more so that was the point I'd like to correct and then secondly
[1763.16s -> 1769.56s]  The question has arisen about the 20 units in 2007 we had asked for MF1 the Commission recommended as of
[1769.96s -> 1773.84s]  recommended MF as MF1 with 27 units council
[1774.36s -> 1779.92s]  Compromised at 20 units however council member Dunkely asked us to go and seek
[1780.64s -> 1784.48s]  resolution through dispute resolution and hire someone to help us reach
[1785.20s -> 1789.72s]  Breach the gap between the 20 and the 27 and we did hire Carl Baer as
[1790.68s -> 1793.28s]  the person that both parties accepted as
[1793.80s -> 1799.52s]  The dispute resolution person after three sessions was trying to come up with ways to get us to the 27
[1799.88s -> 1804.76s]  We he declared an impasse we were not able to resolve that and gap and therefore
[1806.12s -> 1810.92s]  That's the history between the 20 and the 27 and what happened or did not happen
[1811.72s -> 1813.72s]  Thank you that
[1815.16s -> 1817.68s]  All right concludes my presentation. Thank you
[1819.12s -> 1821.12s]  Mark von Berg
[1821.56s -> 1823.56s]  Donating time is Trevor Dicken
[1824.84s -> 1828.16s]  Trevor Dicken here. Okay, Matthew Duncan
[1829.00s -> 1831.00s]  So you have up to nine minutes
[1833.52s -> 1838.88s]  Hi, I'm Mark von Berg with Dick Clark architecture. Let me figure out how to work this sorry
[1846.84s -> 1848.84s]  There we go I
[1850.00s -> 1854.88s]  Wanted to clarify the design difference between the city staff's recommendation and our proposal
[1854.88s -> 1863.08s]  I want to use this diagram to very clearly point out that we are essentially trading the area of this shaded zone on the staff's
[1863.40s -> 1865.40s]  recommendation, which is the upper image
[1866.00s -> 1868.16s]  with the shaded zone of
[1869.48s -> 1876.08s]  The proposed site plan which is below so we're giving up what is 50 feet wide and 32 feet tall
[1876.36s -> 1883.88s]  Two stories at the front of the site close to the street for what is essentially five feet tall along the back of the site
[1885.72s -> 1894.12s]  I'm from standing on the sidewalk the angle of a 42-foot tall building is only 20 only 25 feet away is 47 degrees and
[1894.72s -> 1899.60s]  our and on our proposal, which is five feet taller
[1900.56s -> 1904.00s]  That angle is only 23 degrees because it's set back so much further
[1907.76s -> 1911.04s]  In addition to that, please look at the green line
[1911.64s -> 1917.48s]  Because as you can tell the two-story portion, which could be 32 feet tall from our sidewalk
[1917.48s -> 1920.64s]  Actually would still be the highest point that you see
[1922.56s -> 1928.16s]  Now from across the street you could see a portion of that upper five foot, but then you would be 200 feet away
[1929.12s -> 1933.16s]  I'm showing you that our proposal is less looming to use the neighborhood's words
[1935.00s -> 1939.04s]  I'm also showing on here the typical compatibility setback on our diagram
[1939.20s -> 1945.56s]  So you can see how much more we are setting back than the accepted standard between a commercial and a residential
[1946.84s -> 1948.84s]  Want to talk about our design a little bit?
[1950.92s -> 1952.92s]  I can fast forward
[1956.40s -> 1963.64s]  We are breaking up our massing into two buildings with a courtyard in between and we will have a continuous underground garage below
[1963.92s -> 1966.08s]  All of our parking is below the building
[1966.60s -> 1975.44s]  There are several reasons for this diagrammatically first is to build a compact footprint where we will have as little impervious cover as possible
[1976.20s -> 1980.08s]  Because we're in a suburban watershed where only 40% impervious cover is allowed
[1981.36s -> 1987.12s]  This impervious cover limit is actually less than the 45% which is allowed for single family houses
[1988.24s -> 1994.96s]  Second reason is we need to have our parking below the building where we can access an elevator and go directly up to the units
[1996.08s -> 1999.60s]  single level is
[2000.60s -> 2009.20s]  Important for an over 55 population having flats with elevator access is essential townhomes do not make good elderly housing
[2010.92s -> 2018.96s]  Third is the courtyard. We've broken the building into two separate masses so we could fit the scale of the adjacent state housing
[2019.76s -> 2021.76s]  behind us
[2022.00s -> 2023.88s]  Although we've made a compact footprint
[2023.88s -> 2029.56s]  I think we've been very mindful of the neighborhood's concerns about looming and I think this early diagram of
[2030.04s -> 2034.48s]  25 feet versus 75 feet makes it a very good case
[2036.28s -> 2038.28s]  Last I want to talk about the site slope
