Zoning Case: C14-2013-0021
Meeting Date: 2013-12-12T00:00:00.000
Agenda Item: 101
Source URL: http://austintx.swagit.com/play/45604/0/
================================================================================

[0.00s -> 2.00s]  Next
[557.68s -> 561.70s]  This is ready for first reading only mayor. I understand the applicant
[562.34s -> 568.74s]  In a neighbor's have agreed to prohibit one additional use and they would allow this also to stay in that your consent agenda
[568.82s -> 576.78s]  That would be to prohibit food sales as the additional use and then we could leave this on for consent approval for first reading an item number 109
[578.50s -> 584.30s]  Excuse me item number 110 this case c14 2013 0 1 0 6 for the property located
[585.38s -> 587.38s]  50 16 and one half
[591.74s -> 598.66s]  commercial services conditional overlay neighbor plan or cs c o and p combined district zoning for tracked one and
[598.98s -> 602.42s]  Community commercial conditional overlay neighbor plan or grco
[602.98s -> 609.96s]  Combined district zoning for track two with conditions the plank commercial recommendation was to grant the cs co and p
[610.16s -> 616.76s]  Combining district zoning for track 1 and gr c o and p combined district zoning track for track 2 with conditions
[616.76s -> 618.76s]  I don't know.
[618.76s -> 619.76s]  I don't know.
[619.76s -> 623.76s]  11 is case 14 2013 one ten was
[623.76s -> 624.76s]  all three.
[624.76s -> 625.76s]  That was all three readings.
[625.76s -> 627.76s]  Sorry, Mayor.
[627.76s -> 628.76s]  Yes.
[628.76s -> 629.76s]  I don't know.
[629.76s -> 631.76s]  One eleven is case 14 2013
[631.76s -> 634.76s]  0109 for the property located
[634.76s -> 637.76s]  10,819 FM 22 22.
[637.76s -> 639.76s]  This is the zone the property to
[639.76s -> 641.76s]  community commercial or GR district
[641.76s -> 642.76s]  zoning.
[642.76s -> 643.76s]  Zoning Planning Commission's
[643.76s -> 644.76s]  recommendation was to grant
[644.76s -> 649.36s]  a new
[649.36s -> 651.36s]  fiscal year overlay or GRCO combined
[651.36s -> 652.36s]  district zoning.
[652.36s -> 653.36s]  Excuse me.
[653.36s -> 656.96s]  And this is ready for consent
[656.96s -> 658.96s]  approval on all three readings.
[658.96s -> 660.96s]  Item number one twelve in this case
[660.96s -> 662.96s]  14 2013 zero one one two for the
[662.96s -> 664.96s]  property located at 9513 and one
[664.96s -> 666.96s]  half East Palmer Lane.
[666.96s -> 668.96s]  And this is a zoning change
[668.96s -> 670.96s]  request to commercial highway
[670.96s -> 672.96s]  services conditional overlay or
[672.96s -> 677.72s]  The zoning plan commission recommendation was to grant the CHCO combined district zoning.
[677.72s -> 684.52s]  Mayor, I believe we have a single property owner or a single law interested party that would like to speak to this item on her if you want to consider.
[684.52s -> 689.40s]  Same thing, we'll leave it on a consent and we'll call them up before we take a motion.
[689.40s -> 690.00s]  Thank you, Mayor.
[690.00s -> 700.00s]  Item number 113 is case C14 2013 0114 for the property located at 2439 East Say Highway 71 Westbound.
[700.00s -> 704.92s]  This is a zoning change request to general commercial services or CS district zoning.
[704.92s -> 710.60s]  The zoning and planning commission's recommendation was to grant general commercial services conditional overlay.
[710.60s -> 715.18s]  Or CSCO combined district zoning and this is ready for consent approval on all three readings.
[716.68s -> 728.00s]  Item number 114, in this case C14 2013 0115 for the property located at 2415 East Say Highway 71 Westbound.
[728.00s -> 731.60s]  This is on the property general commercial services or CS district zoning.
[731.60s -> 739.04s]  The zoning and planning commission's recommendation was to grant general commercial services conditional overlay or CSCO combined district zoning.
[739.04s -> 742.72s]  And this is ready for consent and approval on all three readings.
[742.72s -> 752.08s]  Item number 115 is case C14 2013 0122 for the property located at 4622 South Lamar Boulevard Southbound.
[752.08s -> 757.16s]  This is on the property to limited office conditional overlay or LOCO combined district zoning.
[757.16s -> 765.36s]  As amended, the planning commission's recommendation was to grant the limited office conditional overlay LOCO combined district zoning.
[765.36s -> 769.16s]  And this is ready for consent approval on all three readings.
[769.16s -> 778.08s]  Item number 116 is case C14 2013 0124 for the property located at 14,400.
[778.08s -> 785.16s]  The Lakes Boulevard is on the property to general commercial services mixed use or CS MU combined district zoning.
[785.16s -> 791.40s]  Planning commission's recommendation was to grant the CS MU district zoning and this is ready for consent approval on all three readings.
[792.96s -> 800.44s]  And item number 117, case C14 2013 0125 for the property located at 4010 Sawmill Drive.
[800.44s -> 804.36s]  I understand the applicant disagrees with the commission's recommendation.
[804.36s -> 806.92s]  There's a citizen here to speak to this item.
[806.92s -> 810.12s]  This might take a little while, so we'll take it off for discussion.
[811.00s -> 821.12s]  Item number 118 is case C14 2013 0127 for the property located at 3109 South Lamar Boulevard.
[821.12s -> 827.84s]  This is on the property to commercial liquor sales, vertical mixed use building or CS 1 V combined district zoning.
[827.84s -> 836.92s]  The planning commission's recommendation was to grant the CS 1 V combined district zoning and this is ready for consent approval on all three readings.
[836.92s -> 845.64s]  Item number 119 is case C14 2013 0128 for the property located at 10,730 South IH 35.
[845.64s -> 852.56s]  Service Road Southbound to zone two general commercial services mixed use or CS MU combined district zoning.
[852.56s -> 863.00s]  The zoning planning commission's recommendation was to grant general commercial services mixed use conditional overlay or CS MU CO combined district zoning and this is ready for consent approval on all three readings.
[863.00s -> 876.12s]  Item number 120 is case C14 2013 0130 for the property located at 11,824 Burnet Road to zone the property to major industrial plan development area.
[876.12s -> 889.32s]  Our MI PDA district zoning to change the condition of zoning recommendation was to grant the MI PDA zoning with the conditions and this is ready for consent approval on all three readings.
[889.32s -> 893.00s]  Remember we have one individual to speak to that item.
[893.00s -> 894.60s]  Same thing, okay.
[894.60s -> 902.76s]  Item number 121 is case C14 2013 0135 for the property located at 1701 Red River Street.
[902.76s -> 905.16s]  This is to zone the property to P district zoning.
[905.16s -> 910.80s]  The planning commission recommendation was to grant the P district zoning and this is ready for consent approval on all three readings.
[911.80s -> 919.28s]  Item number 122 case C14 2013 0137 for the property located at 5513 Southbound.
[919.28s -> 924.72s]  But Parkway, this is on the property to community, commercial, mixed use, conditional overlay,
[924.72s -> 928.68s]  neighbor plan or GR, MU, CO, MP combined district zoning.
[928.68s -> 937.20s]  The planning commission recommendation was to grant the GR, MU, CO, MP combined district zoning and this is ready for consent approval on all three readings.
[937.20s -> 948.00s]  Item number 123 is case C8 14-88-001.01 for the property located at 800 North Capitol, Texas Highway.
[948.00s -> 952.44s]  We have a neighborhood request for postponement to your January 23rd agenda.
[953.48s -> 962.96s]  Item number 124 is case C8 14-88-001 RCA for the property located at 800 North Capitol, Texas Highway.
[962.96s -> 968.04s]  We have again, we have a neighborhood request for postponement of this case to your January 23rd agenda.
[969.44s -> 977.64s]  Item number 125 is case C14 02-0183 RCT for the property located at 1120 Tillerie Street.
[977.64s -> 982.96s]  Staff is requesting a postponement of this item to your January 23rd agenda.
[982.96s -> 990.96s]  Item number 126 is case C14H 2013 004 for the property located at 1501 Woodridge Dry.
[990.96s -> 998.08s]  This is to zone the property to family residents, historic landmark, neighbor plan or SF3H and P combined district zoning.
[998.08s -> 1006.68s]  The planning commission recommendation was to grant the SF3H and P combined district zoning and this is ready for consent approval on all three readings.
[1006.68s -> 1015.56s]  Item number 127 is case C14H 2013 006 for the property located at 805 Lydia Street.
[1015.56s -> 1022.36s]  This is the zone the property to family residents, historic landmark, neighbor plan or SF3H and P combined district zoning.
[1022.36s -> 1030.20s]  The planning commission's recommendation was to grant the SF3H and P combined district zoning and this is ready for consent approval on all three readings.
[1030.20s -> 1038.40s]  Item number 128 is case C14H 2013 007 for the property located at 1911 Cliff Street.
[1038.40s -> 1048.72s]  This is to zone the property to multi-family residents, low density, historic landmark, conditional overlay, neighbor plan or MF2HCOMP combined district zoning.
[1048.72s -> 1057.52s]  The planning commission's recommendation was to grant the MF2HCOMP combined district zoning and this is ready for consent approval on all three readings.
[1057.52s -> 1061.96s]  And I think you had one speaker that had signed up in favor on this item.
[1063.16s -> 1064.72s]  On 128.
[1064.72s -> 1065.64s]  But not wishing to speak.
[1069.00s -> 1071.16s]  We have wishing to speak.
[1071.16s -> 1071.92s]  I don't believe.
[1071.92s -> 1073.92s]  Are you out there?
[1073.92s -> 1076.56s]  Okay, so she does not wish to speak.
[1076.56s -> 1077.48s]  Thank you.
[1077.48s -> 1086.52s]  Item number 129 is case C14H 2013 008 for the property located at 1504 East 11th Street to family residents,
[1086.52s -> 1090.48s]  historic landmark, neighbor plan or SF3HMP combined district zoning.
[1090.48s -> 1099.56s]  The planning commission's recommendation was to grant the SF3HMP combined district zoning and this is ready for consent approval on all three readings.
[1099.56s -> 1101.20s]  Well, that's a lot, are you out of breath yet?
[1105.44s -> 1112.36s]  Okay, Mayor, on item number 109, Mr. Rust-Oven indicated me that that actually we have an ordinance.
[1113.36s -> 1121.48s]  I know the private restricted covenant has been executed and that's the one where I added the additional condition of food sales,
[1121.48s -> 1124.68s]  which is clear enough and we can still offer that for all three readings today.
[1124.68s -> 1125.68s]  All three?
[1125.68s -> 1126.84s]  All three on 109.
[1128.68s -> 1133.56s]  With the additional prohibited use that you named.
[1133.56s -> 1137.64s]  All right, so I'll read this back to you.
[1137.64s -> 1147.16s]  Quicker, to approve item number 92 on third reading to close the public hearing and
[1147.16s -> 1157.76s]  approve on all three readings, items 96, 97, 98 to postpone item 99 until February 13th,
[1157.76s -> 1165.00s]  postpone item 100 till January 23rd, and also postpone 101 until January 23rd.
[1167.64s -> 1173.88s]  Did I miss reading back 98, postpone number 38?
[1173.88s -> 1175.36s]  I think I skipped 98.
[1175.36s -> 1181.96s]  Yeah, okay, postpone until February 13th also, and that puts me down on 101.
[1183.40s -> 1189.08s]  And 102 to postpone, excuse me,
[1189.08s -> 1192.76s]  101 postponed until January 23rd.
[1192.76s -> 1200.64s]  And on items 102 and 103 to approve on first reading only, noting that the public hearing will be kept open.
[1200.64s -> 1202.36s]  And we had that one speaker.
[1202.36s -> 1204.08s]  And we'll get to that in a minute.
[1204.08s -> 1212.00s]  And to close the public hearing and approve on all three readings, items 104, 105,
[1212.00s -> 1217.84s]  106 with the additional conditions that you read into the record, 107, and
[1217.84s -> 1224.80s]  postpone item 108 until February 13th to,
[1231.12s -> 1235.48s]  excuse me, I'm reminded, 108 is postponed until February 13th.
[1236.92s -> 1238.56s]  Is that what you have in your record?
[1238.56s -> 1241.28s]  January 23rd, okay.
[1241.28s -> 1250.04s]  To close the public hearing and approve on all three readings,
[1250.04s -> 1256.80s]  item 109 with the prohibition's prohibited uses that you read into the record.
[1256.80s -> 1264.72s]  Close the public hearing and approve item 110, 111, 112, 113,
[1264.72s -> 1269.64s]  114, 115, and 116 on all three readings.
[1269.64s -> 1277.84s]  To close the public hearing and approve on all three readings, item 118, 119, 120, 121,
[1277.84s -> 1290.12s]  122 to postpone items 123, 124, and 125 until January 23rd.
[1290.12s -> 1299.12s]  Close the public hearing and approve on all three readings, items 126, 127, 128, 129.
[1300.20s -> 1308.12s]  And we have some speakers on that consent list, which I'll call it now first on item 102 and 103, Alan Cole.
[1314.48s -> 1316.48s]  Mr. Mayor and council members, thank you.
[1316.48s -> 1323.88s]  My name is Alan Cole, I live in the Hancock neighborhood, and I'm here on behalf of a group of my neighbors.
[1323.88s -> 1328.32s]  This includes petitioners against the proposal to develop the Paris state and
[1328.32s -> 1334.00s]  dozens of others who have significant concerns about the project in its present form.
[1334.00s -> 1340.80s]  The good news is that for a couple of weeks now we have been in face to face negotiations with the developers' attorneys,
[1340.80s -> 1345.16s]  discussions which have been moderated by council member Morrison.
[1345.16s -> 1349.76s]  We look forward to continuing this work toward an agreement that makes sense,
[1349.76s -> 1353.16s]  not only for the developer, but also for the neighborhood.
[1353.16s -> 1361.12s]  We're grateful to council members Morrison, Tovo, and Martinez in particular for encouraging these conversations.
[1361.12s -> 1364.88s]  Although we hope to find a solution that protects our residential community,
[1364.88s -> 1368.48s]  let me stress that we are still in discussions.
[1368.48s -> 1374.96s]  The neighborhood association, as you will recall, voted last spring against this proposed zoning change and
[1374.96s -> 1380.96s]  against the project before you by a large margin, over 80% rejected it.
[1381.12s -> 1387.32s]  Moreover, most of the adjoining residents signed a petition against the proposed use as a hotel,
[1387.32s -> 1389.64s]  an outdoor music and event venue.
[1391.20s -> 1397.52s]  Even so, let me say clearly that my neighbors and I are not against the development of the Paris state.
[1397.52s -> 1403.84s]  We simply want this to occur in a manner that is compatible with the neighborhood's single family homes,
[1403.84s -> 1410.92s]  and which has the appropriate scale and limits, so that this development does not fundamentally change the Hancock neighborhood.
[1411.84s -> 1417.44s]  We are hopeful, even encouraged, that conversations with the developer will continue to bear fruit.
[1417.44s -> 1421.44s]  Indeed, we are hopeful that we will find a win-win solution.
[1421.44s -> 1428.92s]  But more conversation, more flexibility, and more sensitivity to how this project will impact the neighborhood are needed.
[1428.92s -> 1430.92s]  Thank you.
[1430.92s -> 1432.28s]  Thank you.
[1432.28s -> 1439.28s]  To speak on item 112 and 120 is Mr. McLeod.
[1441.68s -> 1443.12s]  Well, this is the first.
[1447.92s -> 1455.84s]  I'm surprised you let me speak, but we're not going to pull it off of the consent agenda.
[1455.84s -> 1458.12s]  We haven't voted on it yet, Mr. McLeod.
[1458.12s -> 1459.32s]  Okay.
[1459.32s -> 1461.84s]  Well, I don't know why I'm speaking just on two items.
[1461.84s -> 1465.36s]  Your opportunity to persuade us to do otherwise.
[1465.36s -> 1466.80s]  Okay.
[1466.80s -> 1474.40s]  Well, let me first talk about item number 112 with 290 in Palmer.
[1474.40s -> 1487.92s]  I don't see it have a problem with the restrictions on here, but I think we need to go a bit further on the restrictions and conditions upon approval.
[1487.92s -> 1496.92s]  Now, it says right here that budding streets don't have sidewalk, and I'm assuming 290 in Palmer does not have sidewalks.
[1496.92s -> 1502.72s]  This property owner that wants the zoning changed, installs sidewalks.
[1502.72s -> 1504.00s]  That's very important.
[1504.00s -> 1506.88s]  But of course, a bike route is available.
[1506.88s -> 1515.56s]  So we're encouraging people to walk in the bike route over on 290 in Palmer, and that's a very busy intersection.
[1518.08s -> 1527.48s]  Like I said, I have no problem with this on the condition that y'all make it accessible.
[1527.48s -> 1533.72s]  You need to make your infrastructure accessible.
[1533.72s -> 1540.60s]  And item, okay, and then I'll go ahead and I'll speak also on 120, which is the domain.
[1540.60s -> 1549.96s]  The domain, you want to jumble all the zoning all into one big glob.
[1549.96s -> 1554.32s]  I don't know if whatever towns do that.
[1554.32s -> 1557.92s]  Usually it's by plat or by property.
[1557.92s -> 1564.48s]  I'd rather see it one by one than just, and I'm first sure the neighborhood would fill the same way.
[1565.60s -> 1570.08s]  Then to see it all, okay, well, this is a big glob, it's mixed yeast, we don't know what's going to go in.
[1571.12s -> 1576.76s]  I don't want an entertainment district in my backyard, in my area, in my neighborhood.
[1576.76s -> 1583.64s]  I'm pretty sure the neighborhood, the residents on metric, don't want to see it either.
[1583.64s -> 1591.76s]  So I am against 120, I don't think that's the proper way to deal with it.
[1591.76s -> 1594.40s]  I mean, if it's downtown, that's one thing.
[1594.40s -> 1600.08s]  But you're dealing with multifamily, you're dealing with residents.
[1600.08s -> 1602.60s]  And I just feel like it's a bad idea.
[1602.60s -> 1607.40s]  And I don't want any more entertainment districts.
[1608.60s -> 1613.20s]  We should be focusing on better things, thank you.
[1614.72s -> 1615.88s]  Thank you.
[1615.88s -> 1618.52s]  So I'll entertain a motion on the consent agenda.
[1619.96s -> 1622.24s]  Council member Spelman moves approval.
[1622.24s -> 1624.76s]  Mayor Pro Tem Cole seconds.
[1624.76s -> 1625.84s]  Councilor Tovall?
[1625.84s -> 1631.04s]  Mayor, I'd like the record to reflect my vote against 92 and my recusal on 107.
[1632.64s -> 1637.60s]  That was recusal on 97 and against on 92?
[1637.60s -> 1643.40s]  Not quite, again, my vote against 92 and my recusal on 107.
[1643.40s -> 1644.24s]  107, okay.
[1644.24s -> 1644.56s]  Thank you.
[1646.08s -> 1651.60s]  All right, so all in favor of the motion say aye.
[1651.60s -> 1652.60s]  Aye, opposed say no.
[1653.56s -> 1657.64s]  Passes on a vote of seven to zero with the Council member Tovall showing
[1657.64s -> 1660.88s]  showing voting no on 92 and recused on 107.
